,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,scaffold,0,0,100,0.01,1,9,0.0125,0.01238,0.0117,0.01186,4.6054005859375,4.6052930078125,4.60633359375,4.60623291015625
1,CIFAR100,scaffold,0,0,100,0.01,1,19,0.0138,0.01324,0.0117,0.0121,4.60474765625,4.60459513671875,4.6060662109375,4.6059598828125
2,CIFAR100,scaffold,0,0,100,0.01,1,29,0.0129,0.0136,0.0119,0.01232,4.6043724609375,4.60416814453125,4.6058353515625,4.60571896484375
3,CIFAR100,scaffold,0,0,100,0.01,1,39,0.013,0.01368,0.0128,0.01282,4.6039896484375,4.60374345703125,4.6054931640625,4.605370078125
4,CIFAR100,scaffold,0,0,100,0.01,1,49,0.0134,0.01336,0.0139,0.01302,4.60352890625,4.6032282421875,4.605071484375,4.60493541015625
5,CIFAR100,scaffold,0,0,100,0.01,1,59,0.0139,0.0137,0.0135,0.0136,4.60305703125,4.60270685546875,4.604692578125,4.60451755859375
6,CIFAR100,scaffold,0,0,100,0.01,1,69,0.0149,0.0147,0.0132,0.01414,4.60268125,4.602337890625,4.60435078125,4.6041400390625
7,CIFAR100,scaffold,0,0,100,0.01,1,79,0.0153,0.0155,0.0132,0.01416,4.6023375,4.60203541015625,4.604119140625,4.60388646484375
8,CIFAR100,scaffold,0,0,100,0.01,1,89,0.016,0.01578,0.0134,0.01388,4.6019771484375,4.60168806640625,4.603880859375,4.60362916015625
9,CIFAR100,scaffold,0,0,100,0.01,1,99,0.0164,0.01604,0.013,0.01364,4.6016873046875,4.60141509765625,4.603534375,4.60326630859375
10,CIFAR100,scaffold,0,0,100,0.01,1,109,0.0164,0.01654,0.0127,0.01366,4.6014244140625,4.60115640625,4.6032228515625,4.602942890625
11,CIFAR100,scaffold,0,0,100,0.01,1,119,0.0162,0.01744,0.0137,0.01412,4.60115703125,4.600880390625,4.6028779296875,4.602590234375
12,CIFAR100,scaffold,0,0,100,0.01,1,129,0.0166,0.01728,0.0147,0.01468,4.6008736328125,4.60058544921875,4.6025291015625,4.602241484375
13,CIFAR100,scaffold,0,0,100,0.01,1,139,0.017,0.01796,0.0155,0.0154,4.600594921875,4.600286171875,4.6021478515625,4.60186677734375
14,CIFAR100,scaffold,0,0,100,0.01,1,149,0.0173,0.01814,0.0158,0.01588,4.60041640625,4.60010271484375,4.60186640625,4.601591640625
15,CIFAR100,scaffold,0,0,100,0.01,1,159,0.0169,0.0184,0.016,0.01616,4.600194921875,4.59983078125,4.60172109375,4.60144177734375
