,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,scaffold,0,0.3,100,0.01,1,9,0.0743,0.07104,0.0205,0.0195,4.1690162109375,4.167379521484375,4.595046875,4.59518966796875
1,CIFAR100,scaffold,0,0.3,100,0.01,1,19,0.0886,0.08732,0.0633,0.064,4.241276171875,4.1987296484375,4.5534296875,4.55337501953125
2,CIFAR100,scaffold,0,0.3,100,0.01,1,29,0.1484,0.15878,0.0881,0.08816,3.641287109375,3.58144765625,4.5044962890625,4.50365115234375
3,CIFAR100,scaffold,0,0.3,100,0.01,1,39,0.1619,0.17318,0.127,0.12912,3.571527734375,3.4584922265625,4.4107109375,4.40689568359375
4,CIFAR100,scaffold,0,0.3,100,0.01,1,49,0.1951,0.2095,0.1799,0.18546,3.48808271484375,3.3667263671875,4.2536400390625,4.24279845703125
5,CIFAR100,scaffold,0,0.3,100,0.01,1,59,0.2201,0.23762,0.2166,0.22598,3.2999728515625,3.166798388671875,4.07673212890625,4.05572408203125
6,CIFAR100,scaffold,0,0.3,100,0.01,1,69,0.1155,0.119,0.2401,0.25438,6.064833984375,5.88747013671875,3.9355134765625,3.903040537109375
7,CIFAR100,scaffold,0,0.3,100,0.01,1,79,0.1846,0.20136,0.2517,0.26948,3.77133388671875,3.611084169921875,3.851380078125,3.8119316796875
8,CIFAR100,scaffold,0,0.3,100,0.01,1,89,0.1448,0.15934,0.2556,0.27864,4.784001953125,4.55942708984375,3.78004033203125,3.734116552734375
9,CIFAR100,scaffold,0,0.3,100,0.01,1,99,0.2072,0.22742,0.2592,0.2814,3.8049853515625,3.57923572265625,3.70047490234375,3.645446123046875
10,CIFAR100,scaffold,0,0.3,100,0.01,1,109,0.1426,0.15428,0.2684,0.29362,4.587973046875,4.3657085546875,3.58754140625,3.520951650390625
11,CIFAR100,scaffold,0,0.3,100,0.01,1,119,0.252,0.27992,0.2774,0.30518,3.29715712890625,3.05188595703125,3.480996484375,3.402035302734375
12,CIFAR100,scaffold,0,0.3,100,0.01,1,129,0.2364,0.2523,0.286,0.31616,3.35968349609375,3.16553677734375,3.35173818359375,3.258073837890625
