,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,scaffold,0,0.3,100,0.01,3,9,0.061,0.06192,0.018,0.01784,4.3986626953125,4.3941523046875,4.5978802734375,4.59773185546875
1,CIFAR100,scaffold,0,0.3,100,0.01,3,19,0.1003,0.1019,0.0359,0.03648,3.91350498046875,3.87829408203125,4.5760234375,4.575850703125
2,CIFAR100,scaffold,0,0.3,100,0.01,3,29,0.1003,0.1065,0.0805,0.0803,4.7432296875,4.6636414453125,4.5204181640625,4.51916349609375
3,CIFAR100,scaffold,0,0.3,100,0.01,3,39,0.0902,0.09954,0.1236,0.12286,4.3935169921875,4.310358515625,4.4437603515625,4.43995357421875
4,CIFAR100,scaffold,0,0.3,100,0.01,3,49,0.1036,0.11302,0.1473,0.14904,4.415195703125,4.33092783203125,4.3884548828125,4.38182115234375
5,CIFAR100,scaffold,0,0.3,100,0.01,3,59,0.1269,0.13652,0.1737,0.17764,4.3407337890625,4.1987914453125,4.3143330078125,4.30337193359375
6,CIFAR100,scaffold,0,0.3,100,0.01,3,69,0.1293,0.13674,0.1881,0.20082,4.934567578125,4.7850201171875,4.2509154296875,4.23497857421875
7,CIFAR100,scaffold,0,0.3,100,0.01,3,79,0.1355,0.1505,0.2117,0.23114,5.0125865234375,4.81996240234375,4.117210546875,4.09199837890625
8,CIFAR100,scaffold,0,0.3,100,0.01,3,89,0.1641,0.17808,0.2306,0.25232,4.2167279296875,4.01592095703125,4.031101171875,3.999510224609375
9,CIFAR100,scaffold,0,0.3,100,0.01,3,99,0.1961,0.22256,0.2448,0.26512,3.8291939453125,3.625357763671875,3.9359837890625,3.89790791015625
10,CIFAR100,scaffold,0,0.3,100,0.01,3,109,0.2346,0.26238,0.2757,0.2973,3.51308544921875,3.2194093359375,3.71622177734375,3.658369443359375
11,CIFAR100,scaffold,0,0.3,100,0.01,3,119,0.241,0.27476,0.2909,0.32288,3.34326396484375,3.1069123828125,3.4445228515625,3.3571431640625
