,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,scaffold,0,0.3,100,0.01,2,9,0.012,0.01068,0.0094,0.01002,4.604709375,4.6045086328125,4.605878125,4.60591271484375
1,CIFAR100,scaffold,0,0.3,100,0.01,2,19,0.0127,0.01276,0.01,0.01026,4.6039833984375,4.603699453125,4.6056259765625,4.6056162890625
2,CIFAR100,scaffold,0,0.3,100,0.01,2,29,0.0144,0.01336,0.0107,0.0107,4.6035255859375,4.603178046875,4.6052921875,4.605216015625
3,CIFAR100,scaffold,0,0.3,100,0.01,2,39,0.0131,0.01282,0.0114,0.01144,4.602830859375,4.60235984375,4.6049845703125,4.604849921875
4,CIFAR100,scaffold,0,0.3,100,0.01,2,49,0.016,0.01484,0.0117,0.01166,4.6021388671875,4.601645078125,4.604685546875,4.60449650390625
5,CIFAR100,scaffold,0,0.3,100,0.01,2,59,0.0145,0.01398,0.0123,0.01226,4.6016169921875,4.60102193359375,4.6041830078125,4.6039153125
6,CIFAR100,scaffold,0,0.3,100,0.01,2,69,0.0142,0.01364,0.0125,0.01266,4.6011978515625,4.60052720703125,4.603575390625,4.6032473828125
7,CIFAR100,scaffold,0,0.3,100,0.01,2,79,0.0155,0.01584,0.0135,0.01324,4.6007,4.59998267578125,4.603043359375,4.60263712890625
8,CIFAR100,scaffold,0,0.3,100,0.01,2,89,0.0143,0.01356,0.0138,0.01314,4.60035234375,4.599538359375,4.60266015625,4.60218169921875
9,CIFAR100,scaffold,0,0.3,100,0.01,2,99,0.0143,0.0132,0.0141,0.01348,4.6000056640625,4.59916494140625,4.602220703125,4.601691015625
10,CIFAR100,scaffold,0,0.3,100,0.01,2,109,0.0152,0.0137,0.0142,0.01354,4.599621875,4.59893453125,4.6018861328125,4.60132513671875
11,CIFAR100,scaffold,0,0.3,100,0.01,2,119,0.0134,0.01308,0.014,0.01356,4.5994244140625,4.5986331640625,4.60148984375,4.6008878125
12,CIFAR100,scaffold,0,0.3,100,0.01,2,129,0.0137,0.01318,0.0142,0.01342,4.599204296875,4.59846478515625,4.601105078125,4.60045859375
13,CIFAR100,scaffold,0,0.3,100,0.01,2,139,0.0164,0.0152,0.0144,0.01346,4.59908125,4.59831943359375,4.6008564453125,4.60018384765625
14,CIFAR100,scaffold,0,0.3,100,0.01,2,149,0.0159,0.0149,0.0145,0.01368,4.5988966796875,4.59807697265625,4.6006083984375,4.5999152734375
15,CIFAR100,scaffold,0,0.3,100,0.01,2,159,0.0165,0.0148,0.0148,0.01402,4.5987818359375,4.59797140625,4.6003384765625,4.59962419921875
16,CIFAR100,scaffold,0,0.3,100,0.01,2,169,0.0175,0.0154,0.0149,0.0141,4.59851796875,4.59772146484375,4.599875390625,4.59913306640625
17,CIFAR100,scaffold,0,0.3,100,0.01,2,179,0.0166,0.01508,0.0149,0.01418,4.598391796875,4.597509765625,4.5997345703125,4.59898806640625
18,CIFAR100,scaffold,0,0.3,100,0.01,2,189,0.0158,0.01432,0.0159,0.0144,4.5983171875,4.59746130859375,4.5994287109375,4.598668359375
19,CIFAR100,scaffold,0,0.3,100,0.01,2,199,0.0153,0.01444,0.0161,0.0142,4.5982033203125,4.59732513671875,4.599165625,4.59838228515625
20,CIFAR100,scaffold,0,0.3,100,0.01,2,209,0.0152,0.014,0.0161,0.01414,4.5980724609375,4.597153203125,4.599027734375,4.59822681640625
21,CIFAR100,scaffold,0,0.3,100,0.01,2,219,0.0158,0.0146,0.0158,0.01412,4.597932421875,4.597030625,4.5988888671875,4.59806953125
22,CIFAR100,scaffold,0,0.3,100,0.01,2,229,0.0157,0.01456,0.0161,0.01428,4.597844921875,4.5969187109375,4.5987255859375,4.59789796875
23,CIFAR100,scaffold,0,0.3,100,0.01,2,239,0.0154,0.0139,0.0159,0.01436,4.597705859375,4.59676658203125,4.5986814453125,4.597850625
24,CIFAR100,scaffold,0,0.3,100,0.01,2,249,0.0154,0.0137,0.0157,0.01428,4.5975634765625,4.59658625,4.598435546875,4.5975789453125
25,CIFAR100,scaffold,0,0.3,100,0.01,2,259,0.0149,0.01384,0.0158,0.01428,4.5973857421875,4.5964411328125,4.5982728515625,4.5973975
26,CIFAR100,scaffold,0,0.3,100,0.01,2,269,0.0145,0.01398,0.0159,0.01422,4.5972529296875,4.59632349609375,4.59814375,4.5972556640625
27,CIFAR100,scaffold,0,0.3,100,0.01,2,279,0.0147,0.01408,0.0157,0.01406,4.5971240234375,4.5962112890625,4.59806484375,4.597174765625
28,CIFAR100,scaffold,0,0.3,100,0.01,2,289,0.0144,0.01424,0.0158,0.01412,4.5970087890625,4.59609349609375,4.5979302734375,4.59703271484375
29,CIFAR100,scaffold,0,0.3,100,0.01,2,299,0.0147,0.0142,0.0155,0.014,4.5969388671875,4.59599501953125,4.5978123046875,4.5969102734375
30,CIFAR100,scaffold,0,0.3,100,0.01,2,309,0.0143,0.01382,0.0153,0.014,4.5968912109375,4.5959423046875,4.59768984375,4.5967799609375
31,CIFAR100,scaffold,0,0.3,100,0.01,2,319,0.0148,0.0138,0.0151,0.01388,4.5968787109375,4.5958857421875,4.5975349609375,4.59661044921875
32,CIFAR100,scaffold,0,0.3,100,0.01,2,329,0.0152,0.01446,0.0151,0.01392,4.596812890625,4.59582466796875,4.597475390625,4.59654283203125
33,CIFAR100,scaffold,0,0.3,100,0.01,2,339,0.0152,0.01468,0.0151,0.01408,4.596730859375,4.59575228515625,4.5973798828125,4.596443203125
34,CIFAR100,scaffold,0,0.3,100,0.01,2,349,0.0147,0.01442,0.0154,0.01414,4.5966234375,4.59566140625,4.597337890625,4.596400859375
