,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,scaffold,0,0.3,100,0.01,1,9,0.0112,0.01158,0.0103,0.0099,4.6052076171875,4.6050325390625,4.606370703125,4.60619494140625
1,CIFAR100,scaffold,0,0.3,100,0.01,1,19,0.013,0.01186,0.0105,0.01008,4.604075,4.6038122265625,4.6059939453125,4.6058223828125
2,CIFAR100,scaffold,0,0.3,100,0.01,1,29,0.0122,0.01216,0.0114,0.01072,4.6033994140625,4.60318072265625,4.6056138671875,4.6054576171875
3,CIFAR100,scaffold,0,0.3,100,0.01,1,39,0.0112,0.012,0.0118,0.01122,4.6027025390625,4.60250962890625,4.6050427734375,4.60489126953125
4,CIFAR100,scaffold,0,0.3,100,0.01,1,49,0.0112,0.0117,0.0116,0.01162,4.6019744140625,4.601913984375,4.6043607421875,4.604219296875
5,CIFAR100,scaffold,0,0.3,100,0.01,1,59,0.0109,0.01166,0.0109,0.01188,4.6013103515625,4.60132880859375,4.6037611328125,4.60363470703125
6,CIFAR100,scaffold,0,0.3,100,0.01,1,69,0.0115,0.01178,0.0113,0.01186,4.6009072265625,4.6009495703125,4.6032193359375,4.60310498046875
7,CIFAR100,scaffold,0,0.3,100,0.01,1,79,0.0115,0.01232,0.0113,0.01206,4.6006294921875,4.60062369140625,4.602877734375,4.60277734375
8,CIFAR100,scaffold,0,0.3,100,0.01,1,89,0.0112,0.01208,0.0113,0.01224,4.6002814453125,4.60025931640625,4.6025576171875,4.6024615625
9,CIFAR100,scaffold,0,0.3,100,0.01,1,99,0.0117,0.01162,0.0113,0.01224,4.5998265625,4.599876171875,4.60211640625,4.6020323828125
10,CIFAR100,scaffold,0,0.3,100,0.01,1,109,0.0115,0.01168,0.0114,0.01202,4.59960234375,4.59968673828125,4.60171328125,4.601652734375
11,CIFAR100,scaffold,0,0.3,100,0.01,1,119,0.0113,0.0115,0.011,0.01186,4.599301953125,4.59942169921875,4.60129140625,4.6012585546875
12,CIFAR100,scaffold,0,0.3,100,0.01,1,129,0.0115,0.01156,0.0111,0.01178,4.59888125,4.59910228515625,4.6008505859375,4.6008554296875
13,CIFAR100,scaffold,0,0.3,100,0.01,1,139,0.0117,0.01178,0.0119,0.01186,4.5986822265625,4.5989334375,4.6003828125,4.60044529296875
14,CIFAR100,scaffold,0,0.3,100,0.01,1,149,0.0119,0.01174,0.0117,0.01176,4.5985859375,4.598820234375,4.600083984375,4.6001791796875
15,CIFAR100,scaffold,0,0.3,100,0.01,1,159,0.0114,0.01182,0.0116,0.01188,4.59846484375,4.59864224609375,4.5999458984375,4.60005525390625
16,CIFAR100,scaffold,0,0.3,100,0.01,1,169,0.0114,0.01156,0.0115,0.01192,4.598096484375,4.5983659765625,4.5997087890625,4.59983951171875
17,CIFAR100,scaffold,0,0.3,100,0.01,1,179,0.0114,0.0117,0.0111,0.01166,4.59783828125,4.598120703125,4.599361328125,4.5995177734375
18,CIFAR100,scaffold,0,0.3,100,0.01,1,189,0.0118,0.01164,0.0115,0.0116,4.597631640625,4.59793921875,4.599220703125,4.59938921875
19,CIFAR100,scaffold,0,0.3,100,0.01,1,199,0.0114,0.01156,0.0115,0.01166,4.5975439453125,4.59783669921875,4.5989705078125,4.5991662890625
20,CIFAR100,scaffold,0,0.3,100,0.01,1,209,0.0117,0.01172,0.0114,0.0117,4.5972322265625,4.59762529296875,4.59852734375,4.59876666015625
21,CIFAR100,scaffold,0,0.3,100,0.01,1,219,0.0112,0.01178,0.0112,0.0116,4.5970494140625,4.59736109375,4.598184375,4.5984576953125
22,CIFAR100,scaffold,0,0.3,100,0.01,1,229,0.0113,0.0117,0.0114,0.01172,4.5967005859375,4.5970668359375,4.597940625,4.59823705078125
23,CIFAR100,scaffold,0,0.3,100,0.01,1,239,0.0113,0.01162,0.0117,0.01174,4.596537890625,4.5969659375,4.5977646484375,4.598073046875
24,CIFAR100,scaffold,0,0.3,100,0.01,1,249,0.0111,0.01148,0.0119,0.01154,4.5963537109375,4.59679048828125,4.597561328125,4.597886953125
25,CIFAR100,scaffold,0,0.3,100,0.01,1,259,0.0106,0.01134,0.0115,0.0116,4.59632265625,4.5966726171875,4.597282421875,4.5976238671875
26,CIFAR100,scaffold,0,0.3,100,0.01,1,269,0.0108,0.01146,0.0113,0.01162,4.596186328125,4.596495,4.5971361328125,4.597482265625
27,CIFAR100,scaffold,0,0.3,100,0.01,1,279,0.0108,0.01142,0.0113,0.01154,4.59597109375,4.5963317578125,4.5969697265625,4.59731630859375
28,CIFAR100,scaffold,0,0.3,100,0.01,1,289,0.0109,0.01132,0.0111,0.0115,4.5958294921875,4.59620685546875,4.596727734375,4.59708205078125
29,CIFAR100,scaffold,0,0.3,100,0.01,1,299,0.0112,0.01142,0.0112,0.01146,4.5958095703125,4.596140625,4.5966115234375,4.59696248046875
30,CIFAR100,scaffold,0,0.3,100,0.01,1,309,0.0113,0.0114,0.0112,0.01144,4.595673046875,4.59600833984375,4.5965005859375,4.59684896484375
31,CIFAR100,scaffold,0,0.3,100,0.01,1,319,0.0111,0.01138,0.0108,0.01142,4.5956146484375,4.5959103125,4.5963697265625,4.5967126171875
32,CIFAR100,scaffold,0,0.3,100,0.01,1,329,0.0113,0.0113,0.0109,0.01136,4.59548046875,4.59578109375,4.5961900390625,4.5965337109375
33,CIFAR100,scaffold,0,0.3,100,0.01,1,339,0.011,0.01144,0.0109,0.01134,4.5953498046875,4.59571365234375,4.59606328125,4.59640220703125
34,CIFAR100,scaffold,0,0.3,100,0.01,1,349,0.0109,0.0115,0.011,0.01118,4.5954068359375,4.59572783203125,4.5958443359375,4.5961861328125
35,CIFAR100,scaffold,0,0.3,100,0.01,1,359,0.0112,0.01152,0.011,0.01136,4.595398046875,4.595756953125,4.5957943359375,4.59613904296875
36,CIFAR100,scaffold,0,0.3,100,0.01,1,369,0.011,0.01136,0.011,0.01132,4.5952318359375,4.5955649609375,4.595677734375,4.5960290625
37,CIFAR100,scaffold,0,0.3,100,0.01,1,379,0.0108,0.01114,0.0111,0.01134,4.5951173828125,4.5954980078125,4.595588671875,4.59594326171875
38,CIFAR100,scaffold,0,0.3,100,0.01,1,389,0.011,0.0114,0.0111,0.01124,4.5950083984375,4.59538111328125,4.5955099609375,4.5958705078125
39,CIFAR100,scaffold,0,0.3,100,0.01,1,399,0.0108,0.01114,0.0113,0.0112,4.5950283203125,4.59536904296875,4.5954796875,4.59583900390625
40,CIFAR100,scaffold,0,0.3,100,0.01,1,409,0.0109,0.01128,0.0113,0.01126,4.5949875,4.5952798828125,4.595392578125,4.5957482421875
41,CIFAR100,scaffold,0,0.3,100,0.01,1,419,0.0111,0.01116,0.0111,0.01128,4.59493046875,4.5952169140625,4.5953306640625,4.5956828515625
42,CIFAR100,scaffold,0,0.3,100,0.01,1,429,0.0108,0.0111,0.011,0.01128,4.5948001953125,4.59512185546875,4.595241796875,4.59559431640625
43,CIFAR100,scaffold,0,0.3,100,0.01,1,439,0.0108,0.01128,0.011,0.01138,4.5947484375,4.59510263671875,4.59513671875,4.59549806640625
44,CIFAR100,scaffold,0,0.3,100,0.01,1,449,0.0107,0.01134,0.0111,0.01148,4.5946818359375,4.5950109765625,4.5950634765625,4.59542892578125
45,CIFAR100,scaffold,0,0.3,100,0.01,1,459,0.0105,0.0113,0.0111,0.01138,4.5946216796875,4.5949639453125,4.594987890625,4.59535279296875
46,CIFAR100,scaffold,0,0.3,100,0.01,1,469,0.0108,0.01124,0.011,0.01136,4.5945814453125,4.594912734375,4.5949431640625,4.59530451171875
47,CIFAR100,scaffold,0,0.3,100,0.01,1,479,0.0106,0.01142,0.0109,0.01132,4.594559765625,4.59486046875,4.594869921875,4.59522552734375
48,CIFAR100,scaffold,0,0.3,100,0.01,1,489,0.0107,0.01122,0.0108,0.01134,4.5945177734375,4.59484314453125,4.5948302734375,4.595184765625
49,CIFAR100,scaffold,0,0.3,100,0.01,1,499,0.0108,0.01142,0.0108,0.01124,4.59447578125,4.59479158203125,4.594753125,4.59510283203125
50,CIFAR100,scaffold,0,0.3,100,0.01,1,509,0.0105,0.01124,0.0108,0.01124,4.5944017578125,4.5947463671875,4.594710546875,4.59505787109375
51,CIFAR100,scaffold,0,0.3,100,0.01,1,519,0.0111,0.01116,0.0108,0.01122,4.5943650390625,4.594706796875,4.5946478515625,4.595000234375
52,CIFAR100,scaffold,0,0.3,100,0.01,1,529,0.011,0.01118,0.0108,0.01114,4.594325,4.5946923046875,4.5945853515625,4.59494095703125
53,CIFAR100,scaffold,0,0.3,100,0.01,1,539,0.011,0.01122,0.0108,0.01114,4.59433828125,4.59466607421875,4.59452578125,4.59488109375
54,CIFAR100,scaffold,0,0.3,100,0.01,1,549,0.0108,0.01108,0.0108,0.0111,4.594359765625,4.5946885546875,4.5944787109375,4.5948285546875
55,CIFAR100,scaffold,0,0.3,100,0.01,1,559,0.0109,0.01108,0.0109,0.01112,4.5943203125,4.5946322265625,4.5944681640625,4.59481232421875
56,CIFAR100,scaffold,0,0.3,100,0.01,1,569,0.0106,0.0111,0.0109,0.01112,4.5943115234375,4.59461111328125,4.594421875,4.5947574609375
57,CIFAR100,scaffold,0,0.3,100,0.01,1,579,0.0107,0.0113,0.0109,0.01108,4.5942771484375,4.5945848046875,4.5944025390625,4.59473298828125
58,CIFAR100,scaffold,0,0.3,100,0.01,1,589,0.0108,0.01128,0.0109,0.01106,4.594212109375,4.59453357421875,4.5943716796875,4.5946984375
59,CIFAR100,scaffold,0,0.3,100,0.01,1,599,0.0105,0.01104,0.0109,0.0111,4.594266796875,4.59454767578125,4.5943427734375,4.59466677734375
60,CIFAR100,scaffold,0,0.3,100,0.01,1,609,0.011,0.01106,0.0109,0.0112,4.594198828125,4.59448681640625,4.594325,4.59464146484375
61,CIFAR100,scaffold,0,0.3,100,0.01,1,619,0.0105,0.01116,0.0109,0.01118,4.5942,4.59450626953125,4.5943060546875,4.5946181640625
62,CIFAR100,scaffold,0,0.3,100,0.01,1,629,0.0109,0.01112,0.0108,0.0111,4.5941505859375,4.5944871875,4.59427109375,4.59458576171875
63,CIFAR100,scaffold,0,0.3,100,0.01,1,639,0.0107,0.01134,0.0108,0.01116,4.5941142578125,4.594465859375,4.594211328125,4.594531640625
