,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg1,0,0,100,0.1,1,9,0.1371,0.13954,0.0988,0.10246,3.71603876953125,3.68720068359375,4.3813681640625,4.37751072265625
1,CIFAR100,fedavg1,0,0,100,0.1,1,19,0.2094,0.21718,0.1852,0.18996,3.35671845703125,3.25864919921875,3.6832921875,3.648823681640625
2,CIFAR100,fedavg1,0,0,100,0.1,1,29,0.2258,0.25306,0.221,0.23238,3.27134580078125,3.07934435546875,3.29887900390625,3.203362978515625
3,CIFAR100,fedavg1,0,0,100,0.1,1,39,0.2459,0.2819,0.2441,0.27066,3.29044931640625,2.975132255859375,3.144123828125,2.956255810546875
4,CIFAR100,fedavg1,0,0,100,0.1,1,49,0.2513,0.29548,0.2659,0.30408,3.32759609375,2.918739150390625,3.10365244140625,2.79347162109375
5,CIFAR100,fedavg1,0,0,100,0.1,1,59,0.2704,0.32534,0.2767,0.32776,3.28267705078125,2.775912646484375,3.11978642578125,2.69656146484375
6,CIFAR100,fedavg1,0,0,100,0.1,1,69,0.27,0.3316,0.2861,0.34332,3.34274501953125,2.78237177734375,3.11605634765625,2.616472138671875
7,CIFAR100,fedavg1,0,0,100,0.1,1,79,0.2769,0.34804,0.2914,0.36206,3.3254353515625,2.648804423828125,3.11859375,2.534537255859375
8,CIFAR100,fedavg1,0,0,100,0.1,1,89,0.2846,0.36436,0.2973,0.382,3.3741462890625,2.6335266015625,3.1155990234375,2.44588509765625
9,CIFAR100,fedavg1,0,0,100,0.1,1,99,0.2917,0.3782,0.3051,0.39624,3.286628515625,2.531570888671875,3.10022724609375,2.375764599609375
10,CIFAR100,fedavg1,0,0,100,0.1,1,109,0.2976,0.39106,0.3131,0.41076,3.326618359375,2.484730869140625,3.08573212890625,2.30173072265625
11,CIFAR100,fedavg1,0,0,100,0.1,1,119,0.3046,0.40698,0.3174,0.42248,3.25366728515625,2.3663037890625,3.08496572265625,2.242216875
12,CIFAR100,fedavg1,0,0,100,0.1,1,129,0.3121,0.421,0.3245,0.43768,3.27841455078125,2.323234228515625,3.07147060546875,2.169057216796875
13,CIFAR100,fedavg1,0,0,100,0.1,1,139,0.3115,0.42434,0.3295,0.4507,3.22855146484375,2.27292958984375,3.063858984375,2.1107444921875
14,CIFAR100,fedavg1,0,0,100,0.1,1,149,0.3166,0.43956,0.3315,0.46064,3.1696794921875,2.195403115234375,3.04788173828125,2.0575407421875
15,CIFAR100,fedavg1,0,0,100,0.1,1,159,0.3316,0.45604,0.3417,0.4719,3.1737806640625,2.119337861328125,3.0318021484375,2.0008174365234375
16,CIFAR100,fedavg1,0,0,100,0.1,1,169,0.3328,0.46768,0.3486,0.4831,3.1545015625,2.06351810546875,3.01342841796875,1.950609951171875
17,CIFAR100,fedavg1,0,0,100,0.1,1,179,0.3207,0.44484,0.3493,0.49202,3.26714892578125,2.187242490234375,3.00908828125,1.9033986767578126
18,CIFAR100,fedavg1,0,0,100,0.1,1,189,0.3336,0.46742,0.3533,0.50004,3.1260544921875,2.03158345703125,2.9872041015625,1.8585555712890625
19,CIFAR100,fedavg1,0,0,100,0.1,1,199,0.3415,0.47466,0.3569,0.50916,3.16796845703125,2.026366162109375,2.9615421875,1.8172015673828126
20,CIFAR100,fedavg1,0,0,100,0.1,1,209,0.3417,0.48504,0.3615,0.51718,3.14738359375,1.985265732421875,2.94828525390625,1.7883079638671875
21,CIFAR100,fedavg1,0,0,100,0.1,1,219,0.3497,0.5103,0.3638,0.52668,3.04102392578125,1.830984267578125,2.943089453125,1.748118095703125
22,CIFAR100,fedavg1,0,0,100,0.1,1,229,0.3455,0.49646,0.3651,0.53234,3.115798828125,1.9309310888671876,2.92043115234375,1.71548869140625
23,CIFAR100,fedavg1,0,0,100,0.1,1,239,0.3481,0.4883,0.3673,0.53838,3.177096484375,1.974611806640625,2.9171369140625,1.693247802734375
24,CIFAR100,fedavg1,0,0,100,0.1,1,249,0.3471,0.49402,0.3706,0.54526,3.15765439453125,1.933899560546875,2.904723046875,1.664438359375
25,CIFAR100,fedavg1,0,0,100,0.1,1,259,0.3585,0.53194,0.3697,0.55212,3.00353876953125,1.736800673828125,2.87374599609375,1.621836171875
26,CIFAR100,fedavg1,0,0,100,0.1,1,269,0.3616,0.53202,0.3724,0.55802,3.02387744140625,1.7430494970703125,2.87835693359375,1.59586859375
27,CIFAR100,fedavg1,0,0,100,0.1,1,279,0.3604,0.53428,0.3772,0.56482,3.004738671875,1.741557919921875,2.864596484375,1.573323466796875
28,CIFAR100,fedavg1,0,0,100,0.1,1,289,0.3706,0.53878,0.3804,0.57032,3.01067685546875,1.7009470849609376,2.85497568359375,1.5446527099609375
29,CIFAR100,fedavg1,0,0,100,0.1,1,299,0.3635,0.5341,0.383,0.57652,3.05137275390625,1.735418173828125,2.85237958984375,1.5199490771484374
30,CIFAR100,fedavg1,0,0,100,0.1,1,309,0.3708,0.5572,0.3799,0.5807,2.942796484375,1.6277537744140624,2.8462947265625,1.500570302734375
31,CIFAR100,fedavg1,0,0,100,0.1,1,319,0.3779,0.56718,0.3826,0.58702,2.9318921875,1.5839097412109375,2.84215126953125,1.4772215234375
32,CIFAR100,fedavg1,0,0,100,0.1,1,329,0.3777,0.57148,0.3877,0.59508,2.91528095703125,1.55560908203125,2.82621572265625,1.448103486328125
33,CIFAR100,fedavg1,0,0,100,0.1,1,339,0.3754,0.56908,0.3885,0.60024,2.9633189453125,1.5680469384765625,2.814970703125,1.4242578173828124
34,CIFAR100,fedavg1,0,0,100,0.1,1,349,0.3757,0.58594,0.3908,0.6066,2.890646875,1.49569154296875,2.80590146484375,1.4015931103515624
35,CIFAR100,fedavg1,0,0,100,0.1,1,359,0.3834,0.59206,0.3923,0.61258,2.8778759765625,1.460101240234375,2.794058984375,1.37609283203125
36,CIFAR100,fedavg1,0,0,100,0.1,1,369,0.3739,0.56442,0.3905,0.61478,2.97159169921875,1.595998076171875,2.7846046875,1.36278375
37,CIFAR100,fedavg1,0,0,100,0.1,1,379,0.378,0.57196,0.3924,0.61008,2.938994140625,1.5628568212890626,2.787146875,1.3852353857421875
38,CIFAR100,fedavg1,0,0,100,0.1,1,389,0.3857,0.59412,0.3941,0.61542,2.86855419921875,1.4574605078125,2.78728623046875,1.362605322265625
39,CIFAR100,fedavg1,0,0,100,0.1,1,399,0.3817,0.5894,0.3967,0.62112,2.918980859375,1.487107158203125,2.776569921875,1.336643671875
40,CIFAR100,fedavg1,0,0,100,0.1,1,409,0.3852,0.60072,0.3954,0.62642,2.8753833984375,1.43593197265625,2.76378408203125,1.310830517578125
41,CIFAR100,fedavg1,0,0,100,0.1,1,419,0.3882,0.5937,0.4026,0.63518,2.92493759765625,1.481721171875,2.76224375,1.2927900439453126
42,CIFAR100,fedavg1,0,0,100,0.1,1,429,0.3884,0.59912,0.4027,0.6368,2.8912306640625,1.429766337890625,2.75800087890625,1.2817123095703125
43,CIFAR100,fedavg1,0,0,100,0.1,1,439,0.3903,0.59912,0.4076,0.63878,2.88026162109375,1.4306131787109375,2.7527802734375,1.2742097021484375
44,CIFAR100,fedavg1,0,0,100,0.1,1,449,0.398,0.6105,0.4053,0.63834,2.82851083984375,1.38009228515625,2.74537783203125,1.2676496728515625
45,CIFAR100,fedavg1,0,0,100,0.1,1,459,0.3932,0.60644,0.4056,0.64124,2.8484259765625,1.399904765625,2.73937373046875,1.25275236328125
46,CIFAR100,fedavg1,0,0,100,0.1,1,469,0.3931,0.61396,0.4048,0.64384,2.86889658203125,1.3833817724609374,2.73036962890625,1.2418504248046875
47,CIFAR100,fedavg1,0,0,100,0.1,1,479,0.3862,0.60492,0.4085,0.64896,2.8743353515625,1.4030300830078124,2.71832763671875,1.2230466162109375
48,CIFAR100,fedavg1,0,0,100,0.1,1,489,0.3931,0.61094,0.4061,0.65168,2.874777734375,1.3776352685546875,2.71559365234375,1.208635751953125
49,CIFAR100,fedavg1,0,0,100,0.1,1,499,0.3945,0.62116,0.4089,0.656,2.8442845703125,1.3529381396484375,2.70682392578125,1.1976226123046876
50,CIFAR100,fedavg1,0,0,100,0.1,1,509,0.4036,0.64048,0.4098,0.65904,2.7786466796875,1.258654130859375,2.71233818359375,1.1874932421875
51,CIFAR100,fedavg1,0,0,100,0.1,1,519,0.3935,0.61432,0.4131,0.66272,2.8651357421875,1.374099521484375,2.70302109375,1.1707801953125
52,CIFAR100,fedavg1,0,0,100,0.1,1,529,0.3811,0.60602,0.4136,0.66494,2.93336435546875,1.417840888671875,2.69710986328125,1.1615997314453126
53,CIFAR100,fedavg1,0,0,100,0.1,1,539,0.3996,0.63206,0.4115,0.66678,2.82486494140625,1.307391923828125,2.6946853515625,1.1611723974609376
54,CIFAR100,fedavg1,0,0,100,0.1,1,549,0.387,0.6112,0.4107,0.67052,2.90504140625,1.399277197265625,2.6923041015625,1.152377392578125
55,CIFAR100,fedavg1,0,0,100,0.1,1,559,0.386,0.58602,0.4107,0.6701,2.9792921875,1.5167137109375,2.6931009765625,1.145340439453125
56,CIFAR100,fedavg1,0,0,100,0.1,1,569,0.4051,0.64048,0.4117,0.67196,2.79368056640625,1.26218630859375,2.683852734375,1.1370691796875
57,CIFAR100,fedavg1,0,0,100,0.1,1,579,0.3929,0.61152,0.414,0.67588,2.907290625,1.3992863330078125,2.675012890625,1.1211615283203125
58,CIFAR100,fedavg1,0,0,100,0.1,1,589,0.4007,0.63806,0.4171,0.67552,2.80064072265625,1.271920048828125,2.67936416015625,1.1213845629882813
59,CIFAR100,fedavg1,0,0,100,0.1,1,599,0.4069,0.64172,0.4167,0.67838,2.8204830078125,1.255034990234375,2.66492158203125,1.10288875
