,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg2,0,0,100,0.01,1,9,0.1114,0.1173,0.0299,0.03118,3.84831494140625,3.819849638671875,4.5882388671875,4.58805548828125
1,CIFAR100,fedavg2,0,0,100,0.01,1,19,0.159,0.16104,0.0829,0.08236,3.654500390625,3.6102397265625,4.525944921875,4.5248377734375
2,CIFAR100,fedavg2,0,0,100,0.01,1,29,0.1853,0.20188,0.1313,0.13428,3.52404140625,3.404469599609375,4.4279892578125,4.42443451171875
3,CIFAR100,fedavg2,0,0,100,0.01,1,39,0.2001,0.21538,0.1704,0.17456,3.8196677734375,3.60338181640625,4.2956263671875,4.28641419921875
4,CIFAR100,fedavg2,0,0,100,0.01,1,49,0.2079,0.23852,0.1985,0.20774,3.8105333984375,3.524625341796875,4.1516580078125,4.13302060546875
5,CIFAR100,fedavg2,0,0,100,0.01,1,59,0.1788,0.19842,0.2249,0.23934,4.214838671875,3.95953669921875,3.922098828125,3.8857391796875
6,CIFAR100,fedavg2,0,0,100,0.01,1,69,0.1789,0.20396,0.2369,0.2599,4.497544921875,4.208550703125,3.74218720703125,3.687114609375
7,CIFAR100,fedavg2,0,0,100,0.01,1,79,0.2289,0.25978,0.2501,0.27658,3.8024091796875,3.491216943359375,3.588493359375,3.515634150390625
8,CIFAR100,fedavg2,0,0,100,0.01,1,89,0.1917,0.2225,0.2581,0.2839,4.387771875,4.031808203125,3.50299423828125,3.41853396484375
9,CIFAR100,fedavg2,0,0,100,0.01,1,99,0.207,0.2279,0.2649,0.29542,4.91381171875,4.560742294921875,3.40082294921875,3.30032966796875
10,CIFAR100,fedavg2,0,0,100,0.01,1,109,0.2118,0.24512,0.2705,0.3077,4.83113046875,4.375616484375,3.26362939453125,3.14031396484375
11,CIFAR100,fedavg2,0,0,100,0.01,1,119,0.2689,0.3154,0.2817,0.32428,3.3844439453125,2.980985859375,3.1917365234375,3.048669931640625
12,CIFAR100,fedavg2,0,0,100,0.01,1,129,0.2683,0.31578,0.2969,0.3436,3.53582470703125,3.1333273828125,3.0214521484375,2.834935966796875
13,CIFAR100,fedavg2,0,0,100,0.01,1,139,0.2798,0.33184,0.3068,0.35912,3.51953701171875,3.06564404296875,2.94466455078125,2.7318721875
14,CIFAR100,fedavg2,0,0,100,0.01,1,149,0.2753,0.33026,0.3159,0.3743,3.6408875,3.14646345703125,2.827478125,2.56185748046875
15,CIFAR100,fedavg2,0,0,100,0.01,1,159,0.2469,0.28262,0.3216,0.38114,3.885900390625,3.486848974609375,2.79317431640625,2.515048779296875
16,CIFAR100,fedavg2,0,0,100,0.01,1,169,0.2365,0.27636,0.3274,0.38672,3.9728423828125,3.561493017578125,2.75301025390625,2.457390625
