,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg2,0,0,100,0.1,1,9,0.1193,0.11784,0.081,0.08298,3.82563037109375,3.80946857421875,4.41524609375,4.4135238671875
1,CIFAR100,fedavg2,0,0,100,0.1,1,19,0.188,0.19426,0.1658,0.16958,3.4405359375,3.387376943359375,3.80147041015625,3.78225751953125
2,CIFAR100,fedavg2,0,0,100,0.1,1,29,0.2204,0.2328,0.2002,0.21,3.26833916015625,3.15704947265625,3.42730419921875,3.3710772265625
3,CIFAR100,fedavg2,0,0,100,0.1,1,39,0.241,0.26568,0.2333,0.25112,3.1813533203125,2.995545,3.205225,3.092827177734375
4,CIFAR100,fedavg2,0,0,100,0.1,1,49,0.2476,0.2838,0.2559,0.28728,3.19739619140625,2.924976962890625,3.07300205078125,2.8816122265625
5,CIFAR100,fedavg2,0,0,100,0.1,1,59,0.2763,0.31236,0.2751,0.31298,3.1053458984375,2.770285654296875,3.0221400390625,2.7464341796875
6,CIFAR100,fedavg2,0,0,100,0.1,1,69,0.2791,0.32606,0.2883,0.3329,3.15450361328125,2.756803330078125,2.9960396484375,2.65460615234375
7,CIFAR100,fedavg2,0,0,100,0.1,1,79,0.2865,0.3438,0.2963,0.35082,3.1271791015625,2.633765,2.98741689453125,2.5687301953125
8,CIFAR100,fedavg2,0,0,100,0.1,1,89,0.2919,0.35374,0.3078,0.3705,3.1749435546875,2.6092151171875,2.9726822265625,2.47044953125
9,CIFAR100,fedavg2,0,0,100,0.1,1,99,0.3013,0.37302,0.3132,0.38788,3.1506541015625,2.527735244140625,2.96039453125,2.39458126953125
10,CIFAR100,fedavg2,0,0,100,0.1,1,109,0.3079,0.39542,0.324,0.40564,3.13788037109375,2.430515048828125,2.956059765625,2.317740380859375
11,CIFAR100,fedavg2,0,0,100,0.1,1,119,0.3133,0.40428,0.3298,0.41818,3.09611162109375,2.35967818359375,2.946946875,2.2567051171875
12,CIFAR100,fedavg2,0,0,100,0.1,1,129,0.3284,0.42556,0.3367,0.43246,3.0658248046875,2.254326826171875,2.93688271484375,2.180665263671875
13,CIFAR100,fedavg2,0,0,100,0.1,1,139,0.3264,0.42704,0.341,0.44588,3.0591046875,2.2254357421875,2.93568388671875,2.114055849609375
14,CIFAR100,fedavg2,0,0,100,0.1,1,149,0.3353,0.44056,0.3496,0.46276,3.031225,2.162870654296875,2.917674609375,2.047153681640625
15,CIFAR100,fedavg2,0,0,100,0.1,1,159,0.3391,0.455,0.3507,0.47288,3.023740625,2.097729013671875,2.8977119140625,1.99075080078125
16,CIFAR100,fedavg2,0,0,100,0.1,1,169,0.3447,0.47374,0.3578,0.48534,3.0312041015625,2.029616005859375,2.8875630859375,1.9350489892578124
17,CIFAR100,fedavg2,0,0,100,0.1,1,179,0.3284,0.44944,0.3619,0.49712,3.09059736328125,2.11849798828125,2.88038779296875,1.8802305078125
18,CIFAR100,fedavg2,0,0,100,0.1,1,189,0.3463,0.47626,0.3629,0.50894,3.01235966796875,1.9912007373046876,2.87147900390625,1.832749248046875
19,CIFAR100,fedavg2,0,0,100,0.1,1,199,0.3453,0.48416,0.3652,0.51586,3.06418642578125,1.979760517578125,2.8664708984375,1.7936510986328125
20,CIFAR100,fedavg2,0,0,100,0.1,1,209,0.3555,0.48872,0.3705,0.52348,3.0214115234375,1.9345608642578125,2.8495193359375,1.7600193994140625
