,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg4,0,0,100,0.1,1,9,0.0725,0.07226,0.048,0.05074,4.1361625,4.12752185546875,4.5321103515625,4.53091177734375
1,CIFAR100,fedavg4,0,0,100,0.1,1,19,0.1204,0.12092,0.0969,0.09944,3.8249240234375,3.8116368359375,4.1467556640625,4.14022830078125
2,CIFAR100,fedavg4,0,0,100,0.1,1,29,0.164,0.16114,0.1343,0.13586,3.60088935546875,3.580435107421875,3.82595888671875,3.8124176953125
3,CIFAR100,fedavg4,0,0,100,0.1,1,39,0.187,0.1918,0.1721,0.17362,3.4315974609375,3.394158876953125,3.59935537109375,3.576383505859375
4,CIFAR100,fedavg4,0,0,100,0.1,1,49,0.2122,0.21632,0.2001,0.20478,3.3100125,3.251842763671875,3.40188154296875,3.361177529296875
5,CIFAR100,fedavg4,0,0,100,0.1,1,59,0.2304,0.23974,0.2247,0.2294,3.20815654296875,3.137796806640625,3.25716376953125,3.198779052734375
6,CIFAR100,fedavg4,0,0,100,0.1,1,69,0.2474,0.25918,0.2419,0.24908,3.110459375,3.017639443359375,3.166053515625,3.090750341796875
7,CIFAR100,fedavg4,0,0,100,0.1,1,79,0.2662,0.2789,0.256,0.26946,3.0184984375,2.906284873046875,3.06995283203125,2.9770548828125
8,CIFAR100,fedavg4,0,0,100,0.1,1,89,0.2724,0.2926,0.2718,0.29246,2.98724541015625,2.853808408203125,2.979582421875,2.864566513671875
9,CIFAR100,fedavg4,0,0,100,0.1,1,99,0.2904,0.31846,0.2889,0.31026,2.88900908203125,2.721196025390625,2.90974892578125,2.769375732421875
10,CIFAR100,fedavg4,0,0,100,0.1,1,109,0.3044,0.33362,0.3064,0.32912,2.83490517578125,2.646883046875,2.8377505859375,2.670823974609375
11,CIFAR100,fedavg4,0,0,100,0.1,1,119,0.3178,0.34998,0.3161,0.34556,2.7869244140625,2.581104365234375,2.788465625,2.596856015625
12,CIFAR100,fedavg4,0,0,100,0.1,1,129,0.3257,0.36672,0.3253,0.36182,2.73326201171875,2.4780769921875,2.7370130859375,2.5129913671875
13,CIFAR100,fedavg4,0,0,100,0.1,1,139,0.3341,0.37802,0.3372,0.37918,2.69655517578125,2.42875853515625,2.6860154296875,2.432124794921875
14,CIFAR100,fedavg4,0,0,100,0.1,1,149,0.3492,0.39684,0.3483,0.3967,2.64351611328125,2.337702685546875,2.6384673828125,2.353064814453125
15,CIFAR100,fedavg4,0,0,100,0.1,1,159,0.3548,0.41074,0.3588,0.41068,2.6082796875,2.27107857421875,2.59293017578125,2.280071513671875
16,CIFAR100,fedavg4,0,0,100,0.1,1,169,0.36,0.42138,0.368,0.4248,2.58031845703125,2.2115008984375,2.55133935546875,2.20871435546875
17,CIFAR100,fedavg4,0,0,100,0.1,1,179,0.3482,0.41692,0.3734,0.43928,2.62238955078125,2.230353134765625,2.5223794921875,2.143335419921875
18,CIFAR100,fedavg4,0,0,100,0.1,1,189,0.3627,0.44002,0.3761,0.45264,2.54447421875,2.120828330078125,2.491194140625,2.0825251171875
19,CIFAR100,fedavg4,0,0,100,0.1,1,199,0.3722,0.45148,0.3809,0.46678,2.5407625,2.072167431640625,2.467692578125,2.0293484033203124
20,CIFAR100,fedavg4,0,0,100,0.1,1,209,0.377,0.45974,0.3885,0.47742,2.53673720703125,2.045051083984375,2.44591748046875,1.979577666015625
21,CIFAR100,fedavg4,0,0,100,0.1,1,219,0.3906,0.48998,0.3961,0.49056,2.44143251953125,1.9157481689453124,2.42431103515625,1.9149422021484375
22,CIFAR100,fedavg4,0,0,100,0.1,1,229,0.3818,0.48316,0.3955,0.49976,2.483808203125,1.93831990234375,2.40973916015625,1.87855080078125
23,CIFAR100,fedavg4,0,0,100,0.1,1,239,0.3793,0.48832,0.4038,0.51158,2.48658544921875,1.916891123046875,2.38971201171875,1.8231896533203125
24,CIFAR100,fedavg4,0,0,100,0.1,1,249,0.3816,0.49056,0.4114,0.52222,2.4902283203125,1.89399763671875,2.36793251953125,1.778415751953125
25,CIFAR100,fedavg4,0,0,100,0.1,1,259,0.4071,0.51984,0.4128,0.53176,2.42360791015625,1.7685584765625,2.35626142578125,1.73231654296875
26,CIFAR100,fedavg4,0,0,100,0.1,1,269,0.407,0.53382,0.4171,0.54192,2.38960849609375,1.715117421875,2.34468427734375,1.6870820751953124
27,CIFAR100,fedavg4,0,0,100,0.1,1,279,0.4097,0.53556,0.4182,0.55114,2.38956748046875,1.7030004638671874,2.33625205078125,1.6520543896484374
28,CIFAR100,fedavg4,0,0,100,0.1,1,289,0.4128,0.54462,0.4235,0.56152,2.39335029296875,1.65914833984375,2.32687177734375,1.6042008984375
29,CIFAR100,fedavg4,0,0,100,0.1,1,299,0.4099,0.55004,0.4262,0.56942,2.38865849609375,1.6362898046875,2.31401884765625,1.5662130322265626
30,CIFAR100,fedavg4,0,0,100,0.1,1,309,0.4163,0.56738,0.4292,0.57918,2.37563955078125,1.5794689453125,2.311365234375,1.52903435546875
31,CIFAR100,fedavg4,0,0,100,0.1,1,319,0.419,0.574,0.4315,0.58646,2.36998623046875,1.5374667333984375,2.3116478515625,1.4965705322265626
32,CIFAR100,fedavg4,0,0,100,0.1,1,329,0.4241,0.58158,0.4311,0.59658,2.36445009765625,1.50718849609375,2.30650625,1.4569208740234374
33,CIFAR100,fedavg4,0,0,100,0.1,1,339,0.4253,0.59086,0.4377,0.60448,2.34651767578125,1.470152802734375,2.296805859375,1.4212527978515626
34,CIFAR100,fedavg4,0,0,100,0.1,1,349,0.4285,0.6045,0.4384,0.614,2.3149791015625,1.4246478271484375,2.283470703125,1.387606826171875
35,CIFAR100,fedavg4,0,0,100,0.1,1,359,0.435,0.61682,0.4439,0.62276,2.30705986328125,1.3817535400390626,2.27438896484375,1.3515610546875
36,CIFAR100,fedavg4,0,0,100,0.1,1,369,0.4232,0.5997,0.4417,0.63028,2.3792013671875,1.4363773388671874,2.27351689453125,1.3310303369140626
37,CIFAR100,fedavg4,0,0,100,0.1,1,379,0.4267,0.60736,0.4412,0.63076,2.36379453125,1.4123177197265624,2.27476064453125,1.3329137890625
38,CIFAR100,fedavg4,0,0,100,0.1,1,389,0.4347,0.6279,0.4416,0.63844,2.3295486328125,1.3401793701171876,2.2830388671875,1.299725556640625
39,CIFAR100,fedavg4,0,0,100,0.1,1,399,0.4292,0.61958,0.4454,0.6465,2.37556787109375,1.3552481103515626,2.27606259765625,1.27214748046875
40,CIFAR100,fedavg4,0,0,100,0.1,1,409,0.4387,0.63558,0.4478,0.65374,2.3288513671875,1.296778134765625,2.27406064453125,1.24433517578125
41,CIFAR100,fedavg4,0,0,100,0.1,1,419,0.4307,0.62778,0.4488,0.65802,2.4001392578125,1.318575576171875,2.26920302734375,1.2215445849609374
