,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.01,2,9,0.4671,0.47208,0.1816,0.18186,1.452555859375,1.4540352392578124,2.2752919921875,2.275444755859375
1,CIFAR10,fedavg,0,0,100,0.01,2,19,0.5164,0.52508,0.3119,0.3037,1.37043583984375,1.3598431884765625,2.20902001953125,2.2094813671875
2,CIFAR10,fedavg,0,0,100,0.01,2,29,0.5306,0.5446,0.3914,0.38984,1.469139111328125,1.4148297998046875,2.0969828125,2.09749744140625
3,CIFAR10,fedavg,0,0,100,0.01,2,39,0.564,0.57598,0.4498,0.44962,1.287161328125,1.2497067236328125,1.98229326171875,1.9821135791015625
4,CIFAR10,fedavg,0,0,100,0.01,2,49,0.5952,0.61404,0.4924,0.48962,1.218304296875,1.1596297998046876,1.880110595703125,1.87849435546875
5,CIFAR10,fedavg,0,0,100,0.01,2,59,0.6227,0.63564,0.5459,0.5491,1.185513232421875,1.113182431640625,1.705257666015625,1.699752216796875
6,CIFAR10,fedavg,0,0,100,0.01,2,69,0.6696,0.7027,0.5914,0.6039,1.0011557861328124,0.892144560546875,1.515871826171875,1.5029955859375
7,CIFAR10,fedavg,0,0,100,0.01,2,79,0.6931,0.72586,0.6347,0.65142,0.9266073486328125,0.8192771997070313,1.31569443359375,1.2919713232421874
8,CIFAR10,fedavg,0,0,100,0.01,2,89,0.6626,0.69342,0.6545,0.67694,1.1009759765625,0.9804475366210937,1.201460302734375,1.1688608740234374
9,CIFAR10,fedavg,0,0,100,0.01,2,99,0.7238,0.76138,0.679,0.7044,0.8433560791015625,0.715738759765625,1.1212283203125,1.0790076123046874
10,CIFAR10,fedavg,0,0,100,0.01,2,109,0.6906,0.71958,0.694,0.72082,1.012374755859375,0.8800080810546875,1.046804296875,0.9963715087890626
11,CIFAR10,fedavg,0,0,100,0.01,2,119,0.7138,0.7509,0.7119,0.7415,0.9102463134765625,0.7738908959960937,0.9500827392578125,0.887530751953125
12,CIFAR10,fedavg,0,0,100,0.01,2,129,0.7286,0.7659,0.7256,0.75802,0.862367529296875,0.7091818676757813,0.8851116455078125,0.810647041015625
13,CIFAR10,fedavg,0,0,100,0.01,2,139,0.6979,0.73368,0.7328,0.76816,0.911035107421875,0.7927226708984375,0.8426759033203125,0.7591208544921875
14,CIFAR10,fedavg,0,0,100,0.01,2,149,0.6962,0.72848,0.7384,0.77804,0.9972234619140625,0.8420487475585937,0.8148552978515625,0.7243874536132813
15,CIFAR10,fedavg,0,0,100,0.01,2,159,0.6783,0.72012,0.7457,0.7883,1.132261279296875,0.9439192456054688,0.7814513671875,0.6820445629882812
16,CIFAR10,fedavg,0,0,100,0.01,2,169,0.7205,0.75724,0.7566,0.79986,0.8901614501953125,0.7333979711914063,0.7295973388671875,0.6094714990234374
17,CIFAR10,fedavg,0,0,100,0.01,2,179,0.7033,0.75112,0.7593,0.805,0.9486180419921875,0.7685408740234375,0.7202120361328125,0.5963324755859375
18,CIFAR10,fedavg,0,0,100,0.01,2,189,0.7384,0.78798,0.7634,0.81454,0.8359581298828125,0.645717939453125,0.700384375,0.565761064453125
19,CIFAR10,fedavg,0,0,100,0.01,2,199,0.7399,0.78826,0.7698,0.82134,0.850355615234375,0.6586627563476563,0.686651806640625,0.5397684326171875
20,CIFAR10,fedavg,0,0,100,0.01,2,209,0.7209,0.77196,0.7738,0.82644,0.940039501953125,0.732382412109375,0.6781421630859376,0.5257060693359376
21,CIFAR10,fedavg,0,0,100,0.01,2,219,0.7174,0.76496,0.7756,0.83044,0.8845256103515625,0.7057343432617188,0.67180361328125,0.5140973803710938
22,CIFAR10,fedavg,0,0,100,0.01,2,229,0.7263,0.77744,0.7772,0.83492,0.8656295654296875,0.68125458984375,0.6639095703125,0.5007693103027344
23,CIFAR10,fedavg,0,0,100,0.01,2,239,0.7245,0.7696,0.778,0.83634,0.8959923095703125,0.708070029296875,0.660288037109375,0.4961863220214844
24,CIFAR10,fedavg,0,0,100,0.01,2,249,0.7591,0.81778,0.7827,0.84134,0.7453255859375,0.55048416015625,0.653741455078125,0.4762763513183594
25,CIFAR10,fedavg,0,0,100,0.01,2,259,0.711,0.75958,0.7841,0.84344,0.9567387451171875,0.7561454760742188,0.6500548583984375,0.46457579467773435
26,CIFAR10,fedavg,0,0,100,0.01,2,269,0.7539,0.8076,0.7865,0.8467,0.8122003173828125,0.5881540051269531,0.646115576171875,0.45511806640625
27,CIFAR10,fedavg,0,0,100,0.01,2,279,0.7374,0.78942,0.7871,0.84854,0.8870948974609375,0.6568241479492187,0.6438529296875,0.4495841650390625
28,CIFAR10,fedavg,0,0,100,0.01,2,289,0.7067,0.75526,0.7898,0.85182,0.9982013671875,0.777096728515625,0.6407489990234375,0.4403809777832031
29,CIFAR10,fedavg,0,0,100,0.01,2,299,0.7079,0.75792,0.7903,0.85408,0.9832644775390625,0.7643683251953125,0.6367259521484375,0.4345416247558594
30,CIFAR10,fedavg,0,0,100,0.01,2,309,0.6952,0.73998,0.793,0.85634,1.038964892578125,0.834358974609375,0.6326219970703125,0.4267036779785156
31,CIFAR10,fedavg,0,0,100,0.01,2,319,0.77,0.8265,0.795,0.85998,0.7271977783203125,0.5172401916503906,0.6260744384765625,0.4176281384277344
32,CIFAR10,fedavg,0,0,100,0.01,2,329,0.7257,0.78144,0.797,0.86072,0.8951840087890625,0.6777488696289062,0.6230174560546875,0.41381825805664063
33,CIFAR10,fedavg,0,0,100,0.01,2,339,0.717,0.77106,0.7998,0.86304,0.9785617431640625,0.7417599169921875,0.6188962646484375,0.40869402465820315
34,CIFAR10,fedavg,0,0,100,0.01,2,349,0.7256,0.78122,0.7985,0.86452,0.953541064453125,0.7136486596679688,0.6172291748046875,0.40623555419921875
35,CIFAR10,fedavg,0,0,100,0.01,2,359,0.7386,0.78094,0.7996,0.86662,0.9179368408203125,0.7118474682617187,0.6141791748046875,0.4016702685546875
36,CIFAR10,fedavg,0,0,100,0.01,2,369,0.7244,0.7734,0.8021,0.86856,0.9576155517578125,0.7419763891601563,0.6101978759765625,0.3946217077636719
37,CIFAR10,fedavg,0,0,100,0.01,2,379,0.7261,0.7806,0.8032,0.87,0.93758515625,0.7061318603515625,0.605823291015625,0.3915217236328125
38,CIFAR10,fedavg,0,0,100,0.01,2,389,0.7162,0.76736,0.8036,0.87096,0.9454905517578125,0.7387345556640625,0.6026794677734375,0.3880775817871094
39,CIFAR10,fedavg,0,0,100,0.01,2,399,0.7482,0.80864,0.8027,0.87314,0.8411763671875,0.5935787255859375,0.5991549072265625,0.3819365441894531
40,CIFAR10,fedavg,0,0,100,0.01,2,409,0.7669,0.83458,0.8029,0.8754,0.7826168212890625,0.5180475646972657,0.595586474609375,0.37601703125
41,CIFAR10,fedavg,0,0,100,0.01,2,419,0.7157,0.77472,0.8046,0.87658,1.008984716796875,0.737265068359375,0.59456884765625,0.37378384643554685
42,CIFAR10,fedavg,0,0,100,0.01,2,429,0.7704,0.82926,0.8061,0.87766,0.7457215576171875,0.5152135656738281,0.5933193603515625,0.3713050866699219
43,CIFAR10,fedavg,0,0,100,0.01,2,439,0.7681,0.83348,0.8051,0.87926,0.7528215576171875,0.5017373059082031,0.5923082763671875,0.3670863586425781
44,CIFAR10,fedavg,0,0,100,0.01,2,449,0.7428,0.79858,0.8047,0.88082,0.91926083984375,0.6690775146484375,0.5918844482421876,0.36131936157226563
45,CIFAR10,fedavg,0,0,100,0.01,2,459,0.7423,0.8038,0.8059,0.88176,0.860003271484375,0.6277365148925781,0.5902982666015625,0.36009021606445313
46,CIFAR10,fedavg,0,0,100,0.01,2,469,0.7383,0.79652,0.8073,0.88294,0.906165283203125,0.6583424072265625,0.58806884765625,0.35603244873046874
47,CIFAR10,fedavg,0,0,100,0.01,2,479,0.7615,0.8242,0.806,0.88394,0.7434552001953125,0.5239860302734375,0.586104345703125,0.3533370458984375
48,CIFAR10,fedavg,0,0,100,0.01,2,489,0.7328,0.78388,0.8066,0.88382,0.922426611328125,0.7009933715820312,0.5848102294921875,0.35125307861328126
49,CIFAR10,fedavg,0,0,100,0.01,2,499,0.7753,0.84346,0.8089,0.88544,0.727463623046875,0.4843167138671875,0.5834103515625,0.3486012506103516
50,CIFAR10,fedavg,0,0,100,0.01,2,509,0.7539,0.81916,0.8086,0.88688,0.821740185546875,0.5604693994140625,0.584037744140625,0.3445206011962891
51,CIFAR10,fedavg,0,0,100,0.01,2,519,0.771,0.83552,0.8097,0.88756,0.7574924560546875,0.5068752197265625,0.583214306640625,0.34279250122070315
52,CIFAR10,fedavg,0,0,100,0.01,2,529,0.773,0.83562,0.8093,0.88762,0.73276318359375,0.4975789453125,0.5822504638671875,0.3417941809082031
53,CIFAR10,fedavg,0,0,100,0.01,2,539,0.7493,0.8095,0.8114,0.889,0.8068686279296875,0.582298037109375,0.5822658203125,0.3361327099609375
54,CIFAR10,fedavg,0,0,100,0.01,2,549,0.7521,0.8149,0.8117,0.8902,0.818108935546875,0.5734190295410156,0.580044970703125,0.3317251043701172
