,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.01,4,9,0.443,0.4546,0.2417,0.2341,1.695977294921875,1.654934736328125,2.2781365234375,2.2786173828125
1,CIFAR10,fedavg,0,0,100,0.01,4,19,0.5316,0.54298,0.2657,0.26196,1.612246337890625,1.5573823193359375,2.2413890625,2.242040126953125
2,CIFAR10,fedavg,0,0,100,0.01,4,29,0.5599,0.5816,0.3121,0.31538,1.56040869140625,1.4623995166015624,2.188766015625,2.1887216796875
3,CIFAR10,fedavg,0,0,100,0.01,4,39,0.6449,0.6748,0.3729,0.37778,1.187138671875,1.0686860791015624,2.1068853515625,2.105036484375
4,CIFAR10,fedavg,0,0,100,0.01,4,49,0.6047,0.63212,0.5143,0.5291,1.389140576171875,1.287404931640625,1.831022021484375,1.8198733154296876
5,CIFAR10,fedavg,0,0,100,0.01,4,59,0.6244,0.6613,0.5692,0.59134,1.327479150390625,1.1885984814453125,1.6611642578125,1.6412646044921875
6,CIFAR10,fedavg,0,0,100,0.01,4,69,0.6913,0.7212,0.636,0.66786,1.052243896484375,0.92630154296875,1.36758359375,1.3294630029296874
7,CIFAR10,fedavg,0,0,100,0.01,4,79,0.7096,0.75096,0.6618,0.6951,0.953515576171875,0.8097569189453125,1.229289208984375,1.1807237646484374
8,CIFAR10,fedavg,0,0,100,0.01,4,89,0.6637,0.7038,0.6729,0.71232,1.19268369140625,1.0364873046875,1.154311328125,1.0989129638671875
9,CIFAR10,fedavg,0,0,100,0.01,4,99,0.6649,0.7002,0.7025,0.74574,1.2459271484375,1.071787119140625,0.9634418212890625,0.886537109375
10,CIFAR10,fedavg,0,0,100,0.01,4,109,0.7038,0.74512,0.7183,0.76348,1.040563818359375,0.8572412524414063,0.9070888671875,0.8222171533203125
11,CIFAR10,fedavg,0,0,100,0.01,4,119,0.6607,0.6924,0.7269,0.77502,1.317114794921875,1.1429475537109375,0.8662173095703125,0.7734099145507812
12,CIFAR10,fedavg,0,0,100,0.01,4,129,0.6784,0.71502,0.7318,0.78406,1.21938251953125,1.05706525390625,0.817840234375,0.7152667333984375
13,CIFAR10,fedavg,0,0,100,0.01,4,139,0.6743,0.71068,0.7403,0.79308,1.319533056640625,1.11611646484375,0.790833642578125,0.681507900390625
14,CIFAR10,fedavg,0,0,100,0.01,4,149,0.7007,0.74052,0.7452,0.7969,1.151210205078125,0.967894365234375,0.78100263671875,0.669358515625
15,CIFAR10,fedavg,0,0,100,0.01,4,159,0.6879,0.72356,0.7523,0.80584,1.211169775390625,1.022385166015625,0.7453613037109375,0.6248056787109375
16,CIFAR10,fedavg,0,0,100,0.01,4,169,0.6763,0.69814,0.7561,0.8105,1.29684189453125,1.136697998046875,0.728822998046875,0.6039336987304688
17,CIFAR10,fedavg,0,0,100,0.01,4,179,0.6948,0.72962,0.7589,0.81498,1.16738466796875,0.9804241552734375,0.7090289306640625,0.5773703637695312
18,CIFAR10,fedavg,0,0,100,0.01,4,189,0.7346,0.77596,0.7657,0.81918,0.9452336669921875,0.7685788452148438,0.6939871826171875,0.5585366674804687
19,CIFAR10,fedavg,0,0,100,0.01,4,199,0.6982,0.73686,0.7717,0.82452,1.212574853515625,0.9870920288085937,0.6783232421875,0.5389852954101563
20,CIFAR10,fedavg,0,0,100,0.01,4,209,0.7024,0.74346,0.7746,0.82792,1.176584326171875,0.9716757177734375,0.6675750732421875,0.5206298388671875
21,CIFAR10,fedavg,0,0,100,0.01,4,219,0.7061,0.7397,0.7774,0.83204,1.12157216796875,0.9444573291015625,0.65915048828125,0.5094378491210938
22,CIFAR10,fedavg,0,0,100,0.01,4,229,0.7496,0.80016,0.781,0.83622,0.8229891845703124,0.63887130859375,0.6530857177734375,0.4965852197265625
23,CIFAR10,fedavg,0,0,100,0.01,4,239,0.6814,0.7254,0.784,0.83978,1.1174193359375,0.9291085302734375,0.6488178466796874,0.47848075439453125
24,CIFAR10,fedavg,0,0,100,0.01,4,249,0.7026,0.74848,0.7837,0.84296,1.075498046875,0.8892239721679688,0.6434035888671875,0.46810354370117185
