,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.01,1,9,0.5266,0.53516,0.2542,0.25106,1.34755693359375,1.32524796875,2.2588140625,2.259026572265625
1,CIFAR10,fedavg,0,0,100,0.01,1,19,0.5852,0.60054,0.3154,0.31462,1.287613232421875,1.23683388671875,2.17223212890625,2.171788369140625
2,CIFAR10,fedavg,0,0,100,0.01,1,29,0.6503,0.6744,0.3992,0.40622,1.170036181640625,1.06590091796875,2.03989345703125,2.037648974609375
3,CIFAR10,fedavg,0,0,100,0.01,1,39,0.667,0.69642,0.4951,0.50452,1.10899228515625,0.9912794116210938,1.861319873046875,1.8546255517578125
4,CIFAR10,fedavg,0,0,100,0.01,1,49,0.6812,0.71264,0.5604,0.57338,1.081679931640625,0.94969720703125,1.670349951171875,1.6553999267578126
5,CIFAR10,fedavg,0,0,100,0.01,1,59,0.6647,0.68794,0.624,0.6446,1.190951123046875,1.0739718994140626,1.39540537109375,1.3649817431640625
6,CIFAR10,fedavg,0,0,100,0.01,1,69,0.6374,0.67016,0.6582,0.68838,1.303827978515625,1.149691689453125,1.2143259765625,1.16974775390625
7,CIFAR10,fedavg,0,0,100,0.01,1,79,0.7034,0.73602,0.6807,0.7175,0.987648291015625,0.8583194384765624,1.083193310546875,1.0267304858398438
8,CIFAR10,fedavg,0,0,100,0.01,1,89,0.6216,0.64466,0.698,0.7317,1.55259130859375,1.4121514990234374,1.00982734375,0.9472288842773438
9,CIFAR10,fedavg,0,0,100,0.01,1,99,0.6728,0.70982,0.7125,0.7482,1.2203240234375,1.0444384985351562,0.934548046875,0.8640326782226563
10,CIFAR10,fedavg,0,0,100,0.01,1,109,0.7047,0.7372,0.7275,0.76228,1.06349150390625,0.9171057348632813,0.856790380859375,0.775268681640625
11,CIFAR10,fedavg,0,0,100,0.01,1,119,0.7473,0.78568,0.7393,0.777,0.8221317626953125,0.6637402416992187,0.816988525390625,0.7301783276367187
12,CIFAR10,fedavg,0,0,100,0.01,1,129,0.7394,0.77828,0.7544,0.79586,0.8592353271484375,0.6957514135742188,0.7476232666015625,0.64792140625
13,CIFAR10,fedavg,0,0,100,0.01,1,139,0.7408,0.78652,0.7617,0.8054,0.8670044189453125,0.68703224609375,0.71961005859375,0.6097205029296875
