,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.01,3,9,0.5125,0.51392,0.1459,0.14748,1.36503369140625,1.3552510498046875,2.27878154296875,2.278673896484375
1,CIFAR10,fedavg,0,0,100,0.01,3,19,0.6089,0.62858,0.2612,0.26456,1.152521337890625,1.10215564453125,2.22589482421875,2.225733955078125
2,CIFAR10,fedavg,0,0,100,0.01,3,29,0.5909,0.60778,0.4002,0.40694,1.42286669921875,1.346973388671875,2.09014208984375,2.0882820703125
3,CIFAR10,fedavg,0,0,100,0.01,3,39,0.616,0.63696,0.4437,0.45484,1.2874181640625,1.1968347900390626,1.996587158203125,1.9927794970703125
4,CIFAR10,fedavg,0,0,100,0.01,3,49,0.685,0.7159,0.5046,0.51182,1.029775390625,0.9117938452148437,1.85692470703125,1.8495672216796875
5,CIFAR10,fedavg,0,0,100,0.01,3,59,0.6488,0.6726,0.5684,0.58382,1.177602880859375,1.08856779296875,1.64822734375,1.6333160498046875
6,CIFAR10,fedavg,0,0,100,0.01,3,69,0.6466,0.67498,0.617,0.63852,1.252453564453125,1.13733375,1.4659505859375,1.44131697265625
7,CIFAR10,fedavg,0,0,100,0.01,3,79,0.6767,0.70378,0.6464,0.67778,1.128239453125,0.9908997265625,1.30409873046875,1.269062646484375
8,CIFAR10,fedavg,0,0,100,0.01,3,89,0.6972,0.72912,0.6805,0.71694,1.057567138671875,0.9240824853515625,1.109830908203125,1.05950904296875
9,CIFAR10,fedavg,0,0,100,0.01,3,99,0.7221,0.75886,0.7112,0.7527,0.953622998046875,0.7823003198242188,0.950719677734375,0.883020166015625
10,CIFAR10,fedavg,0,0,100,0.01,3,109,0.7295,0.76406,0.735,0.77654,0.881832666015625,0.7295262622070312,0.8393267578125,0.7551394750976562
11,CIFAR10,fedavg,0,0,100,0.01,3,119,0.6949,0.73144,0.7505,0.79672,1.07377744140625,0.89287498046875,0.757354736328125,0.6557988305664062
