,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.01,1,9,0.5311,0.53344,0.2085,0.20876,1.373994775390625,1.3506031591796874,2.2573697265625,2.257576650390625
1,CIFAR10,fedavg,0,0,100,0.01,1,19,0.5752,0.591,0.2893,0.2913,1.3138076171875,1.2514443603515626,2.16699599609375,2.167149189453125
2,CIFAR10,fedavg,0,0,100,0.01,1,29,0.6173,0.64516,0.4048,0.4062,1.25425556640625,1.15359583984375,2.033234228515625,2.03109609375
3,CIFAR10,fedavg,0,0,100,0.01,1,39,0.6286,0.65624,0.4955,0.50568,1.3036365234375,1.1592229614257812,1.8575525390625,1.84948701171875
4,CIFAR10,fedavg,0,0,100,0.01,1,49,0.6406,0.67736,0.5656,0.58454,1.2891568359375,1.1276844873046874,1.66624052734375,1.64864708984375
5,CIFAR10,fedavg,0,0,100,0.01,1,59,0.6278,0.65282,0.6263,0.65186,1.4301681640625,1.2892273779296874,1.395853466796875,1.3609257275390625
6,CIFAR10,fedavg,0,0,100,0.01,1,69,0.6334,0.65136,0.6483,0.68504,1.4167080078125,1.30908974609375,1.232481494140625,1.18341474609375
7,CIFAR10,fedavg,0,0,100,0.01,1,79,0.6687,0.70368,0.6682,0.70618,1.164285595703125,1.0204977490234375,1.11399609375,1.052712490234375
8,CIFAR10,fedavg,0,0,100,0.01,1,89,0.6372,0.67212,0.6799,0.71698,1.282131298828125,1.120070029296875,1.05125732421875,0.9837996557617188
9,CIFAR10,fedavg,0,0,100,0.01,1,99,0.6502,0.68806,0.6932,0.73072,1.365007568359375,1.1583727807617188,0.98740546875,0.9103033422851563
10,CIFAR10,fedavg,0,0,100,0.01,1,109,0.6776,0.7072,0.7012,0.74256,1.24936787109375,1.07992763671875,0.9221890869140625,0.8324960180664063
11,CIFAR10,fedavg,0,0,100,0.01,1,119,0.7039,0.74924,0.7157,0.75744,1.020751171875,0.8174384228515625,0.885761279296875,0.788715126953125
12,CIFAR10,fedavg,0,0,100,0.01,1,129,0.7048,0.7497,0.724,0.77158,1.0184899658203126,0.823447822265625,0.8264549560546876,0.7136560668945312
13,CIFAR10,fedavg,0,0,100,0.01,1,139,0.712,0.7488,0.7318,0.78204,1.067778369140625,0.8622122241210938,0.7983544921875,0.6766223022460938
14,CIFAR10,fedavg,0,0,100,0.01,1,149,0.7073,0.75264,0.7432,0.79022,1.05340478515625,0.8276293579101562,0.7679227783203125,0.62746720703125
15,CIFAR10,fedavg,0,0,100,0.01,1,159,0.6596,0.6936,0.7442,0.79268,1.248788330078125,1.0699253833007814,0.7617135498046875,0.6152322778320313
16,CIFAR10,fedavg,0,0,100,0.01,1,169,0.6654,0.70414,0.7481,0.79834,1.246039501953125,1.0305196630859375,0.7515570556640625,0.5980378088378906
17,CIFAR10,fedavg,0,0,100,0.01,1,179,0.6776,0.7146,0.7553,0.80326,1.309709033203125,1.1009365771484374,0.7390375,0.5807777197265624
18,CIFAR10,fedavg,0,0,100,0.01,1,189,0.7388,0.79012,0.7607,0.81116,0.8934373779296875,0.6838258178710938,0.7250380615234375,0.5539672229003906
19,CIFAR10,fedavg,0,0,100,0.01,1,199,0.6649,0.70948,0.7624,0.8159,1.31651845703125,1.0744859423828126,0.7155083251953125,0.5407589794921875
20,CIFAR10,fedavg,0,0,100,0.01,1,209,0.736,0.78598,0.765,0.82258,0.9307333984375,0.7019760864257812,0.705591796875,0.5226557641601562
21,CIFAR10,fedavg,0,0,100,0.01,1,219,0.6838,0.72482,0.7698,0.82584,1.23374580078125,1.0080570458984375,0.7040491455078125,0.5119003820800782
22,CIFAR10,fedavg,0,0,100,0.01,1,229,0.7478,0.79732,0.7718,0.82808,0.87406884765625,0.6679529467773437,0.7002345458984375,0.5055946997070313
