,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.01,2,9,0.5056,0.51696,0.253,0.24514,1.394451318359375,1.385792431640625,2.2723619140625,2.27265029296875
1,CIFAR10,fedavg,0,0,100,0.01,2,19,0.5711,0.59452,0.4032,0.40096,1.310083154296875,1.2570147314453124,2.221203125,2.2213676953125
2,CIFAR10,fedavg,0,0,100,0.01,2,29,0.5707,0.58992,0.5106,0.51132,1.576467724609375,1.4616508251953124,2.1232330078125,2.12257744140625
3,CIFAR10,fedavg,0,0,100,0.01,2,39,0.5919,0.6131,0.5621,0.57278,1.3730234375,1.2852369384765625,1.971201904296875,1.96827853515625
4,CIFAR10,fedavg,0,0,100,0.01,2,49,0.6272,0.6515,0.5937,0.6086,1.40278603515625,1.275346455078125,1.882490771484375,1.87712365234375
5,CIFAR10,fedavg,0,0,100,0.01,2,59,0.64,0.67306,0.6333,0.65262,1.2987654296875,1.1451401708984374,1.65694814453125,1.6448246728515625
6,CIFAR10,fedavg,0,0,100,0.01,2,69,0.6529,0.67808,0.6624,0.6901,1.209203173828125,1.0719927099609374,1.39855986328125,1.3753796484375
7,CIFAR10,fedavg,0,0,100,0.01,2,79,0.6993,0.72744,0.6849,0.71454,1.0131568603515626,0.88422798828125,1.27261845703125,1.2416522412109374
8,CIFAR10,fedavg,0,0,100,0.01,2,89,0.6758,0.70688,0.6977,0.73052,1.15727529296875,1.0186775659179688,1.16962861328125,1.1301681689453125
9,CIFAR10,fedavg,0,0,100,0.01,2,99,0.7283,0.77232,0.7092,0.74554,0.886829443359375,0.7260565283203125,1.069799853515625,1.02052751953125
10,CIFAR10,fedavg,0,0,100,0.01,2,109,0.6728,0.70202,0.7159,0.75716,1.378143701171875,1.1804587158203126,0.96751669921875,0.9055193896484375
11,CIFAR10,fedavg,0,0,100,0.01,2,119,0.7122,0.7515,0.7283,0.77116,1.029194140625,0.8531284350585937,0.849886767578125,0.768052578125
12,CIFAR10,fedavg,0,0,100,0.01,2,129,0.7334,0.7706,0.7368,0.78114,0.9120759033203125,0.7382749072265625,0.7924124267578125,0.6947988818359375
13,CIFAR10,fedavg,0,0,100,0.01,2,139,0.6883,0.72582,0.7451,0.78964,1.066408447265625,0.9086808032226562,0.7622565185546875,0.654515078125
14,CIFAR10,fedavg,0,0,100,0.01,2,149,0.7011,0.7379,0.7472,0.79364,1.080800634765625,0.9054809814453125,0.7555737060546875,0.645916435546875
15,CIFAR10,fedavg,0,0,100,0.01,2,159,0.6927,0.72846,0.7567,0.80132,1.1762021484375,0.97139302734375,0.7247068115234375,0.5977161962890625
16,CIFAR10,fedavg,0,0,100,0.01,2,169,0.6879,0.71952,0.7599,0.80558,1.1557513671875,0.9796706640625,0.7144595703125,0.57824794921875
17,CIFAR10,fedavg,0,0,100,0.01,2,179,0.6896,0.73224,0.7635,0.80964,1.074744580078125,0.902817783203125,0.7067709228515625,0.5600790966796875
18,CIFAR10,fedavg,0,0,100,0.01,2,189,0.718,0.76884,0.7667,0.81484,0.982390478515625,0.7769731567382813,0.6966349853515625,0.548022705078125
19,CIFAR10,fedavg,0,0,100,0.01,2,199,0.7089,0.75758,0.7709,0.82048,1.05223876953125,0.828788056640625,0.684466748046875,0.527167099609375
20,CIFAR10,fedavg,0,0,100,0.01,2,209,0.6875,0.72464,0.7714,0.82514,1.139737060546875,0.9369847729492188,0.6783050537109375,0.5160507080078125
21,CIFAR10,fedavg,0,0,100,0.01,2,219,0.7084,0.75114,0.7734,0.82816,1.029536865234375,0.836525,0.6751419921875,0.5053255712890625
22,CIFAR10,fedavg,0,0,100,0.01,2,229,0.7099,0.75458,0.7745,0.8311,1.042746435546875,0.8375892651367187,0.6730157470703125,0.49685203247070314
23,CIFAR10,fedavg,0,0,100,0.01,2,239,0.75,0.80204,0.7815,0.8374,0.8798148681640625,0.6461553369140625,0.6635569580078124,0.4810504943847656
24,CIFAR10,fedavg,0,0,100,0.01,2,249,0.741,0.79386,0.7839,0.84208,0.8653874267578126,0.6435724975585938,0.6560910888671875,0.46733359497070315
25,CIFAR10,fedavg,0,0,100,0.01,2,259,0.6971,0.73676,0.7844,0.84342,1.124162744140625,0.9249576245117187,0.6539550537109375,0.46283224487304686
