,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.01,4,9,0.4855,0.4911,0.2208,0.21612,1.455582177734375,1.450448173828125,2.26784384765625,2.268003857421875
1,CIFAR10,fedavg,0,0,100,0.01,4,19,0.5154,0.51868,0.4151,0.40668,1.456909814453125,1.43895466796875,2.19408720703125,2.19455857421875
2,CIFAR10,fedavg,0,0,100,0.01,4,29,0.56,0.57516,0.4984,0.49692,1.388542822265625,1.32020236328125,2.082130859375,2.082423994140625
3,CIFAR10,fedavg,0,0,100,0.01,4,39,0.6183,0.63812,0.5471,0.55708,1.16651953125,1.09389619140625,1.934156396484375,1.933079609375
4,CIFAR10,fedavg,0,0,100,0.01,4,49,0.5916,0.6151,0.6083,0.62314,1.2993578125,1.2211089990234374,1.596652978515625,1.586995146484375
5,CIFAR10,fedavg,0,0,100,0.01,4,59,0.612,0.63784,0.6272,0.64868,1.2349583984375,1.135209326171875,1.4289021484375,1.4104216015625
6,CIFAR10,fedavg,0,0,100,0.01,4,69,0.6617,0.69298,0.6517,0.68098,1.060227001953125,0.93783291015625,1.19955654296875,1.165241533203125
7,CIFAR10,fedavg,0,0,100,0.01,4,79,0.6865,0.72372,0.6668,0.69488,0.9705828369140626,0.8485008374023437,1.100582080078125,1.056420361328125
8,CIFAR10,fedavg,0,0,100,0.01,4,89,0.6485,0.68014,0.6752,0.70488,1.12249130859375,1.0050875732421876,1.048469287109375,0.997873857421875
9,CIFAR10,fedavg,0,0,100,0.01,4,99,0.6614,0.69826,0.6883,0.72328,1.089690576171875,0.9588984375,0.9350346923828124,0.8659024291992188
10,CIFAR10,fedavg,0,0,100,0.01,4,109,0.6852,0.72386,0.7034,0.74068,0.9863601806640625,0.8379296728515625,0.8945501708984375,0.816258955078125
11,CIFAR10,fedavg,0,0,100,0.01,4,119,0.6486,0.6838,0.7071,0.74842,1.20440927734375,1.0395932763671876,0.8682266357421875,0.7821960009765625
12,CIFAR10,fedavg,0,0,100,0.01,4,129,0.6834,0.71054,0.7142,0.75354,1.061843310546875,0.920349921875,0.842731640625,0.7470970288085937
13,CIFAR10,fedavg,0,0,100,0.01,4,139,0.6816,0.71212,0.7191,0.76108,1.09779677734375,0.9345690307617187,0.824009130859375,0.7217131469726562
14,CIFAR10,fedavg,0,0,100,0.01,4,149,0.6831,0.7187,0.7201,0.76404,1.04430751953125,0.894590712890625,0.8157849853515625,0.7114751049804687
15,CIFAR10,fedavg,0,0,100,0.01,4,159,0.6896,0.72364,0.7268,0.77228,1.011260986328125,0.8668538842773438,0.793353955078125,0.6803896166992187
16,CIFAR10,fedavg,0,0,100,0.01,4,169,0.6873,0.72048,0.7305,0.7762,1.070188134765625,0.91887783203125,0.7824,0.6648410009765625
17,CIFAR10,fedavg,0,0,100,0.01,4,179,0.6988,0.72694,0.7341,0.77948,1.0116394775390625,0.8743040283203125,0.7729630615234375,0.6484730615234375
18,CIFAR10,fedavg,0,0,100,0.01,4,189,0.7214,0.76024,0.7378,0.78386,0.8962736328125,0.7485932275390625,0.7634165283203125,0.6337658374023437
19,CIFAR10,fedavg,0,0,100,0.01,4,199,0.7006,0.73988,0.7432,0.78844,1.0116737060546874,0.8349119897460937,0.7516724365234375,0.6166716967773438
20,CIFAR10,fedavg,0,0,100,0.01,4,209,0.6985,0.73474,0.7449,0.79276,0.9974797607421875,0.830581630859375,0.74659853515625,0.6034277685546875
21,CIFAR10,fedavg,0,0,100,0.01,4,219,0.6926,0.72794,0.7463,0.7968,1.025610546875,0.862163583984375,0.7383697509765625,0.592408466796875
22,CIFAR10,fedavg,0,0,100,0.01,4,229,0.7368,0.77918,0.7483,0.79954,0.8139736572265625,0.6588831372070313,0.732706591796875,0.5821821630859375
23,CIFAR10,fedavg,0,0,100,0.01,4,239,0.6928,0.73402,0.7536,0.80402,0.9865810302734375,0.8266710571289062,0.72938759765625,0.5696740478515625
