,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.01,1,9,0.5277,0.5385,0.2103,0.21518,1.3650564453125,1.3340543017578126,2.25307841796875,2.253267880859375
1,CIFAR10,fedavg,0,0,100,0.01,1,19,0.589,0.59982,0.3019,0.30244,1.336237646484375,1.277116064453125,2.16898310546875,2.16913515625
2,CIFAR10,fedavg,0,0,100,0.01,1,29,0.6349,0.66514,0.386,0.3909,1.206292724609375,1.0886267626953126,2.04242509765625,2.03994234375
3,CIFAR10,fedavg,0,0,100,0.01,1,39,0.6555,0.69018,0.4731,0.4833,1.188815625,1.035653505859375,1.864570751953125,1.8561879931640626
4,CIFAR10,fedavg,0,0,100,0.01,1,49,0.6617,0.70216,0.5395,0.55586,1.14740400390625,0.9794434375,1.6776033203125,1.660649140625
5,CIFAR10,fedavg,0,0,100,0.01,1,59,0.6395,0.66104,0.6185,0.64104,1.3550107421875,1.2351503173828124,1.394956982421875,1.3625041552734376
6,CIFAR10,fedavg,0,0,100,0.01,1,69,0.6417,0.67366,0.6556,0.68314,1.319406640625,1.1632400732421875,1.218118798828125,1.1703630712890625
7,CIFAR10,fedavg,0,0,100,0.01,1,79,0.6696,0.7026,0.6791,0.71062,1.15589404296875,1.0133281127929687,1.08934619140625,1.0279407348632812
8,CIFAR10,fedavg,0,0,100,0.01,1,89,0.6563,0.68536,0.6895,0.72472,1.258737158203125,1.119472216796875,1.017374609375,0.948312822265625
9,CIFAR10,fedavg,0,0,100,0.01,1,99,0.6529,0.69514,0.7066,0.74098,1.383133447265625,1.1717724438476562,0.9476061767578124,0.8687054565429687
10,CIFAR10,fedavg,0,0,100,0.01,1,109,0.7009,0.7393,0.7174,0.75636,1.130948583984375,0.9434702368164063,0.87906171875,0.78481857421875
11,CIFAR10,fedavg,0,0,100,0.01,1,119,0.7308,0.77288,0.7284,0.76878,0.9223548095703125,0.7360690551757813,0.84035908203125,0.7388813427734375
12,CIFAR10,fedavg,0,0,100,0.01,1,129,0.7136,0.76276,0.7427,0.78568,0.9305989013671875,0.7506849047851563,0.779397119140625,0.66234779296875
13,CIFAR10,fedavg,0,0,100,0.01,1,139,0.7189,0.76686,0.7503,0.79718,0.966260791015625,0.765908994140625,0.7525766357421875,0.6260928002929688
