,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.01,2,9,0.5288,0.53738,0.2222,0.22634,1.369073583984375,1.344537578125,2.2761240234375,2.27629216796875
1,CIFAR10,fedavg,0,0,100,0.01,2,19,0.5587,0.58236,0.3136,0.31414,1.397807275390625,1.3246804345703125,2.23729384765625,2.2372287109375
2,CIFAR10,fedavg,0,0,100,0.01,2,29,0.5555,0.571,0.3602,0.36522,1.805419873046875,1.7124035693359374,2.16025390625,2.158901220703125
3,CIFAR10,fedavg,0,0,100,0.01,2,39,0.5997,0.6221,0.4299,0.43828,1.380191259765625,1.2861934716796875,2.0333908203125,2.0292916259765623
4,CIFAR10,fedavg,0,0,100,0.01,2,49,0.6194,0.64402,0.464,0.4818,1.53524111328125,1.380377392578125,1.95227900390625,1.9454136767578125
5,CIFAR10,fedavg,0,0,100,0.01,2,59,0.6188,0.6498,0.5574,0.5739,1.422096875,1.26445486328125,1.73245908203125,1.71761169921875
6,CIFAR10,fedavg,0,0,100,0.01,2,69,0.6482,0.68722,0.6212,0.64784,1.230948583984375,1.081634775390625,1.460006787109375,1.430615
7,CIFAR10,fedavg,0,0,100,0.01,2,79,0.6962,0.7315,0.6513,0.68464,1.024004736328125,0.8664994506835938,1.31779052734375,1.277853369140625
8,CIFAR10,fedavg,0,0,100,0.01,2,89,0.6632,0.70084,0.6752,0.71068,1.2820111328125,1.0915319775390624,1.20393935546875,1.1543634423828124
9,CIFAR10,fedavg,0,0,100,0.01,2,99,0.7309,0.77688,0.6966,0.73418,0.8919745361328125,0.7147797338867188,1.094356787109375,1.0345724365234374
10,CIFAR10,fedavg,0,0,100,0.01,2,109,0.6864,0.72796,0.712,0.75396,1.19485712890625,0.9886564770507813,0.982964404296875,0.9097001928710937
11,CIFAR10,fedavg,0,0,100,0.01,2,119,0.7186,0.7559,0.7263,0.77488,1.0138646484375,0.833983779296875,0.8566603515625,0.7608224291992187
12,CIFAR10,fedavg,0,0,100,0.01,2,129,0.7391,0.7765,0.7385,0.7881,0.9047940673828125,0.7369235400390625,0.792577392578125,0.6799393896484375
13,CIFAR10,fedavg,0,0,100,0.01,2,139,0.6761,0.71418,0.746,0.79858,1.1328880859375,0.9689766943359375,0.7566637451171875,0.6337095727539063
14,CIFAR10,fedavg,0,0,100,0.01,2,149,0.6923,0.73478,0.7505,0.80328,1.185406591796875,0.976158974609375,0.7495894775390625,0.6244958374023437
15,CIFAR10,fedavg,0,0,100,0.01,2,159,0.7039,0.74426,0.7595,0.81196,1.19791796875,0.9787214819335938,0.7164234619140625,0.5731891528320312
16,CIFAR10,fedavg,0,0,100,0.01,2,169,0.6858,0.7166,0.7633,0.81786,1.142679541015625,0.9741486083984375,0.7035257080078124,0.550871513671875
17,CIFAR10,fedavg,0,0,100,0.01,2,179,0.7043,0.74324,0.7673,0.8212,1.074496630859375,0.897366875,0.695504150390625,0.5329484155273437
18,CIFAR10,fedavg,0,0,100,0.01,2,189,0.7376,0.7852,0.7705,0.82468,0.92114912109375,0.7140340258789063,0.686672119140625,0.5225307641601562
19,CIFAR10,fedavg,0,0,100,0.01,2,199,0.7062,0.75016,0.7757,0.82988,1.16041728515625,0.9273332250976563,0.674889404296875,0.5046040893554687
20,CIFAR10,fedavg,0,0,100,0.01,2,209,0.6711,0.71548,0.7785,0.83396,1.296573095703125,1.0699034765625,0.667325048828125,0.49335658447265623
21,CIFAR10,fedavg,0,0,100,0.01,2,219,0.7162,0.75574,0.7824,0.83742,1.046956201171875,0.86539275390625,0.6608281494140625,0.48182252197265624
22,CIFAR10,fedavg,0,0,100,0.01,2,229,0.7077,0.7624,0.783,0.83992,1.00129541015625,0.7823252880859375,0.658932470703125,0.4742447119140625
23,CIFAR10,fedavg,0,0,100,0.01,2,239,0.7456,0.79634,0.7876,0.84504,0.911712939453125,0.6773428295898437,0.6494320556640625,0.4589352233886719
24,CIFAR10,fedavg,0,0,100,0.01,2,249,0.7483,0.80678,0.7905,0.8506,0.847965576171875,0.620318603515625,0.642464111328125,0.44569079467773437
25,CIFAR10,fedavg,0,0,100,0.01,2,259,0.7069,0.74932,0.7924,0.8523,1.089680419921875,0.8856172265625,0.63876337890625,0.4407424597167969
26,CIFAR10,fedavg,0,0,100,0.01,2,269,0.743,0.78934,0.7949,0.85416,0.8717395263671875,0.6873271069335938,0.6331267822265625,0.4354483142089844
27,CIFAR10,fedavg,0,0,100,0.01,2,279,0.7382,0.7944,0.7962,0.8544,0.911896044921875,0.6828448486328125,0.6346999755859375,0.4331726379394531
28,CIFAR10,fedavg,0,0,100,0.01,2,289,0.7182,0.76418,0.7992,0.85628,1.068572998046875,0.8451340258789063,0.6308553955078126,0.42727848266601565
29,CIFAR10,fedavg,0,0,100,0.01,2,299,0.6849,0.72386,0.7982,0.85846,1.255988623046875,1.0436847265625,0.6279427490234375,0.4235135070800781
30,CIFAR10,fedavg,0,0,100,0.01,2,309,0.717,0.75748,0.7969,0.85854,1.0493203125,0.8424338354492188,0.6280193359375,0.4227372595214844
31,CIFAR10,fedavg,0,0,100,0.01,2,319,0.757,0.81182,0.7978,0.86114,0.8120111572265625,0.597744462890625,0.624664013671875,0.41886756103515627
32,CIFAR10,fedavg,0,0,100,0.01,2,329,0.6978,0.74228,0.7988,0.8615,1.0746453125,0.8802001635742187,0.6230572998046875,0.4168551611328125
33,CIFAR10,fedavg,0,0,100,0.01,2,339,0.7403,0.79254,0.7989,0.86194,0.916319775390625,0.7061324584960937,0.6206678955078125,0.41368901977539063
34,CIFAR10,fedavg,0,0,100,0.01,2,349,0.6869,0.7256,0.7983,0.86226,1.158478076171875,0.9731779638671875,0.61865185546875,0.41157020874023437
35,CIFAR10,fedavg,0,0,100,0.01,2,359,0.7306,0.77216,0.7997,0.86388,0.9884913818359375,0.7784851489257812,0.61792158203125,0.4093142565917969
36,CIFAR10,fedavg,0,0,100,0.01,2,369,0.7122,0.76092,0.8003,0.86502,1.067071240234375,0.83224349609375,0.6155416748046875,0.40496929809570315
37,CIFAR10,fedavg,0,0,100,0.01,2,379,0.7169,0.75282,0.8001,0.86716,1.130755322265625,0.9091932080078124,0.6131799072265625,0.40047618408203123
38,CIFAR10,fedavg,0,0,100,0.01,2,389,0.7324,0.77396,0.8008,0.86884,0.993832421875,0.8019730322265625,0.608593212890625,0.397300849609375
39,CIFAR10,fedavg,0,0,100,0.01,2,399,0.7653,0.81972,0.8047,0.86936,0.8256809814453125,0.5852260546875,0.6060786376953124,0.3934403210449219
40,CIFAR10,fedavg,0,0,100,0.01,2,409,0.7598,0.81012,0.8065,0.87122,0.89463056640625,0.6561292578125,0.605443505859375,0.38933775634765627
41,CIFAR10,fedavg,0,0,100,0.01,2,419,0.7075,0.75398,0.8074,0.8724,1.19791962890625,0.9336199633789063,0.603930712890625,0.38687474609375
42,CIFAR10,fedavg,0,0,100,0.01,2,429,0.7604,0.81336,0.8062,0.8728,0.817999365234375,0.6063224926757812,0.603903564453125,0.38485129516601563
43,CIFAR10,fedavg,0,0,100,0.01,2,439,0.7464,0.79302,0.8054,0.87352,0.976971826171875,0.749519921875,0.6065246826171875,0.3844105419921875
44,CIFAR10,fedavg,0,0,100,0.01,2,449,0.726,0.7741,0.806,0.8744,0.9714705322265625,0.770011904296875,0.60521875,0.38361347412109376
45,CIFAR10,fedavg,0,0,100,0.01,2,459,0.7647,0.81496,0.8064,0.87428,0.848396484375,0.628711123046875,0.6008181396484376,0.38148820434570313
46,CIFAR10,fedavg,0,0,100,0.01,2,469,0.7281,0.77286,0.8104,0.87416,1.011252783203125,0.7913547680664063,0.59914970703125,0.37958069946289064
47,CIFAR10,fedavg,0,0,100,0.01,2,479,0.7517,0.80036,0.8087,0.87514,0.89769091796875,0.6820174975585938,0.596901123046875,0.3784602978515625
48,CIFAR10,fedavg,0,0,100,0.01,2,489,0.7258,0.7685,0.8085,0.87474,1.129046630859375,0.8966269604492187,0.5961232666015625,0.37855248779296874
49,CIFAR10,fedavg,0,0,100,0.01,2,499,0.7779,0.82968,0.8085,0.87536,0.763306982421875,0.5478278918457031,0.593412060546875,0.37654848754882814
50,CIFAR10,fedavg,0,0,100,0.01,2,509,0.7431,0.79184,0.8105,0.87632,0.958765087890625,0.7334715063476562,0.5904447509765625,0.3734346228027344
51,CIFAR10,fedavg,0,0,100,0.01,2,519,0.7168,0.75328,0.811,0.8776,0.9958209228515625,0.819411787109375,0.587062109375,0.3715841748046875
52,CIFAR10,fedavg,0,0,100,0.01,2,529,0.7627,0.81104,0.8124,0.87776,0.8314510498046875,0.6167021630859375,0.5854776123046875,0.37064309204101564
53,CIFAR10,fedavg,0,0,100,0.01,2,539,0.76,0.81268,0.8141,0.87984,0.8398658935546875,0.6152766650390625,0.5819463134765624,0.3664040966796875
54,CIFAR10,fedavg,0,0,100,0.01,2,549,0.7355,0.78222,0.8162,0.88018,1.046403369140625,0.805435703125,0.579448876953125,0.3641641418457031
55,CIFAR10,fedavg,0,0,100,0.01,2,559,0.7645,0.81756,0.8164,0.8802,0.84150009765625,0.611371044921875,0.577984765625,0.3618750555419922
