,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.01,2,9,0.4579,0.4561,0.1634,0.1637,1.4990646484375,1.506821455078125,2.27641640625,2.276980458984375
1,CIFAR10,fedavg,0,0,100,0.01,2,19,0.5228,0.5319,0.271,0.27264,1.325352587890625,1.3119179931640625,2.20885556640625,2.209687373046875
2,CIFAR10,fedavg,0,0,100,0.01,2,29,0.5063,0.51484,0.3766,0.3739,1.502686865234375,1.4583477001953125,2.09733857421875,2.09855845703125
3,CIFAR10,fedavg,0,0,100,0.01,2,39,0.5687,0.57806,0.4327,0.43256,1.22521982421875,1.193792861328125,1.985350732421875,1.986361171875
4,CIFAR10,fedavg,0,0,100,0.01,2,49,0.6002,0.61582,0.4744,0.47498,1.162171240234375,1.11703548828125,1.88496865234375,1.88512021484375
5,CIFAR10,fedavg,0,0,100,0.01,2,59,0.5898,0.5989,0.5365,0.53714,1.316727587890625,1.2721814794921875,1.716947314453125,1.7145698388671875
6,CIFAR10,fedavg,0,0,100,0.01,2,69,0.6708,0.69376,0.5815,0.5897,0.99595107421875,0.9142151025390625,1.5343171875,1.526405966796875
7,CIFAR10,fedavg,0,0,100,0.01,2,79,0.6903,0.71704,0.6221,0.63856,0.9332196533203125,0.8467292065429688,1.340056787109375,1.323439873046875
8,CIFAR10,fedavg,0,0,100,0.01,2,89,0.653,0.68122,0.6446,0.66302,1.116854736328125,1.003113408203125,1.226426611328125,1.201821494140625
9,CIFAR10,fedavg,0,0,100,0.01,2,99,0.7199,0.75724,0.6648,0.68966,0.8506968994140625,0.724850986328125,1.149305126953125,1.116380693359375
10,CIFAR10,fedavg,0,0,100,0.01,2,109,0.6868,0.71292,0.683,0.71028,1.031470556640625,0.9034814013671875,1.071846044921875,1.030483701171875
11,CIFAR10,fedavg,0,0,100,0.01,2,119,0.7097,0.74636,0.6983,0.73184,0.90577275390625,0.7699971752929687,0.9743019287109375,0.9206285766601563
12,CIFAR10,fedavg,0,0,100,0.01,2,129,0.7217,0.76614,0.7157,0.75072,0.8350405029296875,0.7010524829101562,0.9032476806640625,0.8384498828125
13,CIFAR10,fedavg,0,0,100,0.01,2,139,0.6949,0.73108,0.7262,0.76258,0.97333125,0.8321324145507812,0.853612451171875,0.7807449169921875
14,CIFAR10,fedavg,0,0,100,0.01,2,149,0.6881,0.7263,0.7328,0.7728,0.993342578125,0.843456083984375,0.8233134521484375,0.7427007568359375
15,CIFAR10,fedavg,0,0,100,0.01,2,159,0.6787,0.71062,0.7421,0.78314,1.080791162109375,0.9385660595703125,0.785816748046875,0.6954823974609375
16,CIFAR10,fedavg,0,0,100,0.01,2,169,0.6713,0.70236,0.7544,0.79838,1.04091240234375,0.9028541967773438,0.7293364501953125,0.6196489526367187
17,CIFAR10,fedavg,0,0,100,0.01,2,179,0.7155,0.75974,0.7574,0.80342,0.903846142578125,0.7461389819335937,0.718342138671875,0.605641796875
18,CIFAR10,fedavg,0,0,100,0.01,2,189,0.7362,0.78244,0.7641,0.81236,0.8292211181640625,0.66751609375,0.695981787109375,0.57393015625
19,CIFAR10,fedavg,0,0,100,0.01,2,199,0.7488,0.79982,0.7707,0.82016,0.7728747314453125,0.6023720581054688,0.6773984619140625,0.5457876928710937
20,CIFAR10,fedavg,0,0,100,0.01,2,209,0.7211,0.77092,0.7729,0.82444,0.901243212890625,0.7086230981445313,0.66769755859375,0.5308806079101562
21,CIFAR10,fedavg,0,0,100,0.01,2,219,0.7284,0.77652,0.7762,0.83048,0.850643798828125,0.677785498046875,0.6598299072265625,0.5172684106445312
22,CIFAR10,fedavg,0,0,100,0.01,2,229,0.7192,0.7701,0.7798,0.83606,0.879842529296875,0.6930634619140625,0.6509273193359375,0.5017666845703125
23,CIFAR10,fedavg,0,0,100,0.01,2,239,0.7184,0.7624,0.7824,0.83764,0.8977274169921875,0.7300021826171875,0.6477758056640625,0.4960050903320313
24,CIFAR10,fedavg,0,0,100,0.01,2,249,0.7557,0.81174,0.7887,0.84376,0.74777880859375,0.5665378369140625,0.63782509765625,0.4744667639160156
25,CIFAR10,fedavg,0,0,100,0.01,2,259,0.7214,0.7734,0.7884,0.84696,0.8798419921875,0.67961623046875,0.6337619140625,0.46346238159179687
26,CIFAR10,fedavg,0,0,100,0.01,2,269,0.7554,0.81074,0.7912,0.8495,0.7905935791015625,0.5738469775390626,0.62825791015625,0.45354294677734375
27,CIFAR10,fedavg,0,0,100,0.01,2,279,0.7486,0.80662,0.7904,0.8509,0.7861642333984376,0.585174462890625,0.6241150146484375,0.4484706884765625
28,CIFAR10,fedavg,0,0,100,0.01,2,289,0.7289,0.77454,0.7912,0.85378,0.87223154296875,0.69111083984375,0.6188950927734375,0.4390500671386719
29,CIFAR10,fedavg,0,0,100,0.01,2,299,0.7242,0.7763,0.7932,0.85614,0.9023902587890625,0.6937620141601563,0.6134492919921875,0.43155446044921875
30,CIFAR10,fedavg,0,0,100,0.01,2,309,0.7346,0.7838,0.7947,0.85872,0.84927109375,0.6550993041992188,0.609202587890625,0.4233393798828125
31,CIFAR10,fedavg,0,0,100,0.01,2,319,0.7683,0.8248,0.7996,0.86228,0.7157403564453125,0.520077568359375,0.6034600341796875,0.41387899780273435
