,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.01,1,9,0.4728,0.47272,0.1949,0.19428,1.47908916015625,1.484978515625,2.27114951171875,2.2711566015625
1,CIFAR10,fedavg,0,0,100,0.01,1,19,0.545,0.54448,0.3385,0.33646,1.293005322265625,1.284550244140625,2.18867841796875,2.18904833984375
2,CIFAR10,fedavg,0,0,100,0.01,1,29,0.5818,0.58878,0.3852,0.38406,1.2049740234375,1.1788037744140625,2.1154173828125,2.11568796875
3,CIFAR10,fedavg,0,0,100,0.01,1,39,0.6043,0.62206,0.4519,0.4563,1.154990185546875,1.1001461328125,1.97189609375,1.9709151318359375
4,CIFAR10,fedavg,0,0,100,0.01,1,49,0.6323,0.65296,0.5344,0.5398,1.092024462890625,1.0210974926757812,1.752399072265625,1.7466890234375
5,CIFAR10,fedavg,0,0,100,0.01,1,59,0.6675,0.69814,0.5895,0.59882,0.987890576171875,0.892563056640625,1.5326134765625,1.519130048828125
6,CIFAR10,fedavg,0,0,100,0.01,1,69,0.6156,0.63942,0.6285,0.64236,1.244478662109375,1.145480986328125,1.369168017578125,1.346857646484375
7,CIFAR10,fedavg,0,0,100,0.01,1,79,0.6707,0.70154,0.6497,0.66426,1.0000571533203124,0.8942371655273438,1.274854052734375,1.24587037109375
8,CIFAR10,fedavg,0,0,100,0.01,1,89,0.6582,0.6868,0.6619,0.68176,1.045171435546875,0.948184365234375,1.18744296875,1.151934189453125
9,CIFAR10,fedavg,0,0,100,0.01,1,99,0.691,0.72614,0.6805,0.70666,0.95455166015625,0.832433544921875,1.086188427734375,1.0422240869140624
10,CIFAR10,fedavg,0,0,100,0.01,1,109,0.6717,0.70066,0.6947,0.72704,1.109555224609375,0.9740465893554687,1.0013259765625,0.947111005859375
11,CIFAR10,fedavg,0,0,100,0.01,1,119,0.6972,0.73248,0.7064,0.74576,0.932763720703125,0.7986215991210938,0.92906728515625,0.86372306640625
12,CIFAR10,fedavg,0,0,100,0.01,1,129,0.7082,0.7511,0.7195,0.76114,0.8804943115234375,0.7311704711914062,0.864762158203125,0.786566708984375
