,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.01,2,9,0.4695,0.46696,0.2783,0.27622,1.4807384765625,1.4913171875,2.272292578125,2.27249326171875
1,CIFAR10,fedavg,0,0,100,0.01,2,19,0.529,0.53438,0.4045,0.40152,1.308130517578125,1.303963369140625,2.19169072265625,2.192434423828125
2,CIFAR10,fedavg,0,0,100,0.01,2,29,0.5361,0.54196,0.48,0.47954,1.37391015625,1.3514044140625,2.05205595703125,2.05328123046875
3,CIFAR10,fedavg,0,0,100,0.01,2,39,0.5716,0.57542,0.5154,0.51936,1.247606396484375,1.22976169921875,1.913316455078125,1.914667275390625
4,CIFAR10,fedavg,0,0,100,0.01,2,49,0.5948,0.60656,0.5451,0.55322,1.16727705078125,1.1343507177734375,1.796500732421875,1.79701171875
5,CIFAR10,fedavg,0,0,100,0.01,2,59,0.6199,0.63572,0.5837,0.59044,1.1255771484375,1.0743547705078125,1.609907958984375,1.6075844140625
6,CIFAR10,fedavg,0,0,100,0.01,2,69,0.6578,0.68242,0.6148,0.62776,1.0023572265625,0.9279600024414062,1.416976171875,1.408915244140625
7,CIFAR10,fedavg,0,0,100,0.01,2,79,0.6896,0.70906,0.637,0.65706,0.9121345947265626,0.84158306640625,1.2412396484375,1.2250965869140624
8,CIFAR10,fedavg,0,0,100,0.01,2,89,0.6753,0.7043,0.6531,0.67408,0.976787353515625,0.8838450341796875,1.1417771484375,1.1188953173828124
9,CIFAR10,fedavg,0,0,100,0.01,2,99,0.7117,0.7431,0.6738,0.69574,0.8532526123046875,0.7464359130859375,1.07278466796875,1.0427003125
10,CIFAR10,fedavg,0,0,100,0.01,2,109,0.6776,0.7075,0.6868,0.71154,0.99397109375,0.8759776977539062,1.0111079833984375,0.9739338159179688
11,CIFAR10,fedavg,0,0,100,0.01,2,119,0.7113,0.74528,0.6983,0.72716,0.8844546630859375,0.7612131518554688,0.9334954833984375,0.8854622314453126
12,CIFAR10,fedavg,0,0,100,0.01,2,129,0.7282,0.75934,0.7123,0.74244,0.8271515380859376,0.7139107666015625,0.8770182861328125,0.818899951171875
13,CIFAR10,fedavg,0,0,100,0.01,2,139,0.7049,0.73632,0.7197,0.75064,0.891025830078125,0.7692402563476562,0.84170400390625,0.7757635131835937
14,CIFAR10,fedavg,0,0,100,0.01,2,149,0.7054,0.74006,0.7278,0.76096,0.8878905517578125,0.7703943432617187,0.813873095703125,0.7408744580078125
15,CIFAR10,fedavg,0,0,100,0.01,2,159,0.6919,0.72582,0.7361,0.76936,0.98255400390625,0.840493603515625,0.7842071533203125,0.7034908325195313
16,CIFAR10,fedavg,0,0,100,0.01,2,169,0.7033,0.73312,0.7464,0.7806,0.912670654296875,0.789540341796875,0.744540283203125,0.6469504077148438
17,CIFAR10,fedavg,0,0,100,0.01,2,179,0.6972,0.7329,0.7507,0.78582,0.9592099365234374,0.820443515625,0.732812255859375,0.6320954370117188
18,CIFAR10,fedavg,0,0,100,0.01,2,189,0.7423,0.78158,0.7574,0.7948,0.7688979248046875,0.6371780029296875,0.7115199462890625,0.6021097827148437
19,CIFAR10,fedavg,0,0,100,0.01,2,199,0.7393,0.7831,0.7618,0.80286,0.7680470947265625,0.6329528466796875,0.6957254150390625,0.5775810815429687
20,CIFAR10,fedavg,0,0,100,0.01,2,209,0.724,0.76852,0.7649,0.80866,0.83260224609375,0.6875391259765625,0.6865847900390625,0.5636083349609375
21,CIFAR10,fedavg,0,0,100,0.01,2,219,0.7223,0.76254,0.7685,0.81232,0.83826162109375,0.6908494763183594,0.6779077880859375,0.5511175317382813
22,CIFAR10,fedavg,0,0,100,0.01,2,229,0.7195,0.75922,0.7714,0.81692,0.864278759765625,0.7251072705078125,0.6688300048828125,0.5373332629394532
23,CIFAR10,fedavg,0,0,100,0.01,2,239,0.695,0.732,0.7718,0.818,0.9400689208984375,0.8018230053710937,0.6659346435546875,0.5330352416992188
24,CIFAR10,fedavg,0,0,100,0.01,2,249,0.7631,0.81242,0.7747,0.82266,0.703544873046875,0.5513024584960937,0.6584871337890625,0.5177661645507813
25,CIFAR10,fedavg,0,0,100,0.01,2,259,0.7253,0.76862,0.777,0.82572,0.8323387451171875,0.67376603515625,0.6537734375,0.5078317211914063
26,CIFAR10,fedavg,0,0,100,0.01,2,269,0.7581,0.80208,0.7789,0.82824,0.7389040771484375,0.5802539819335938,0.6481010986328125,0.49947584228515624
27,CIFAR10,fedavg,0,0,100,0.01,2,279,0.7522,0.80168,0.7811,0.82886,0.741131787109375,0.5793679125976563,0.646274462890625,0.4947123522949219
28,CIFAR10,fedavg,0,0,100,0.01,2,289,0.7283,0.77092,0.7841,0.83148,0.822412548828125,0.6694187524414063,0.6422347412109375,0.4871278759765625
29,CIFAR10,fedavg,0,0,100,0.01,2,299,0.7225,0.76492,0.787,0.83304,0.8582403076171875,0.703737890625,0.6393013671875,0.481285625
30,CIFAR10,fedavg,0,0,100,0.01,2,309,0.7329,0.7723,0.787,0.83536,0.8138521484375,0.6629183764648438,0.6352553466796875,0.4747755859375
31,CIFAR10,fedavg,0,0,100,0.01,2,319,0.762,0.81488,0.7893,0.83824,0.690386865234375,0.5359956811523438,0.6288782958984375,0.46701425048828127
32,CIFAR10,fedavg,0,0,100,0.01,2,329,0.7414,0.78674,0.7893,0.83918,0.7731310791015625,0.625615615234375,0.6260287109375,0.4637099694824219
33,CIFAR10,fedavg,0,0,100,0.01,2,339,0.738,0.77768,0.7915,0.8413,0.812519287109375,0.6534769018554687,0.6218147216796875,0.4586995715332031
34,CIFAR10,fedavg,0,0,100,0.01,2,349,0.741,0.7839,0.792,0.84244,0.790977294921875,0.6387765600585937,0.62071142578125,0.4562078942871094
35,CIFAR10,fedavg,0,0,100,0.01,2,359,0.7484,0.78746,0.7915,0.84306,0.7515026611328125,0.6185501806640625,0.6183127685546875,0.45269478271484376
36,CIFAR10,fedavg,0,0,100,0.01,2,369,0.7297,0.7735,0.7931,0.84508,0.8059309814453125,0.6598781884765625,0.61392421875,0.44768129150390623
