,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.1,1,9,0.5078,0.50648,0.4439,0.43796,1.387609716796875,1.3894193359375,1.996803515625,1.9984682177734374
1,CIFAR10,fedavg,0,0,100,0.1,1,19,0.5932,0.5981,0.5586,0.55786,1.157163232421875,1.1340985400390624,1.405846923828125,1.401801953125
2,CIFAR10,fedavg,0,0,100,0.1,1,29,0.6355,0.65562,0.6102,0.62154,1.05050869140625,0.9912912426757813,1.144900537109375,1.116537021484375
3,CIFAR10,fedavg,0,0,100,0.1,1,39,0.6704,0.70288,0.6531,0.67642,0.9574936279296875,0.8605630200195312,1.0075777587890624,0.9469048754882813
4,CIFAR10,fedavg,0,0,100,0.1,1,49,0.6889,0.72994,0.688,0.7211,0.91895615234375,0.7882103247070312,0.9124250244140625,0.8129307006835937
5,CIFAR10,fedavg,0,0,100,0.1,1,59,0.7141,0.75938,0.709,0.7507,0.85470498046875,0.7002962866210938,0.8607494873046875,0.723481162109375
6,CIFAR10,fedavg,0,0,100,0.1,1,69,0.7258,0.7749,0.7231,0.77148,0.8367616943359375,0.6552935205078125,0.824358056640625,0.6649337915039063
7,CIFAR10,fedavg,0,0,100,0.1,1,79,0.7334,0.79598,0.7348,0.7914,0.8015849365234375,0.5978262280273438,0.7916205322265625,0.6080523266601563
8,CIFAR10,fedavg,0,0,100,0.1,1,89,0.7413,0.80758,0.7436,0.80884,0.7922322998046875,0.5650388391113281,0.7654048583984375,0.5564460766601562
9,CIFAR10,fedavg,0,0,100,0.1,1,99,0.7443,0.81808,0.7494,0.82176,0.7850650634765625,0.5358230407714843,0.7518484619140625,0.5201580822753906
10,CIFAR10,fedavg,0,0,100,0.1,1,109,0.7531,0.83074,0.7561,0.8329,0.7450685791015625,0.49922954345703124,0.7357158447265625,0.486097353515625
11,CIFAR10,fedavg,0,0,100,0.1,1,119,0.7553,0.83334,0.7593,0.84434,0.7636083251953125,0.49065609619140627,0.7228917724609375,0.4588249609375
12,CIFAR10,fedavg,0,0,100,0.1,1,129,0.7617,0.84634,0.7659,0.85318,0.74067236328125,0.45186756103515624,0.71096943359375,0.4328127551269531
