,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.1,3,9,0.5797,0.5929,0.5082,0.50674,1.204714111328125,1.1660663232421875,1.74152001953125,1.7398327099609374
1,CIFAR10,fedavg,0,0,100,0.1,3,19,0.6466,0.67516,0.6171,0.63934,1.06145322265625,0.9574075708007812,1.12520634765625,1.0771748388671876
2,CIFAR10,fedavg,0,0,100,0.1,3,29,0.6823,0.72614,0.6708,0.7072,0.9862070068359375,0.8211191552734375,0.969000927734375,0.8629022314453125
3,CIFAR10,fedavg,0,0,100,0.1,3,39,0.6957,0.75156,0.6923,0.74156,0.961428515625,0.7580927490234375,0.926311181640625,0.7651304931640625
4,CIFAR10,fedavg,0,0,100,0.1,3,49,0.7149,0.78144,0.7094,0.76948,0.9032482421875,0.6662358081054688,0.8807863037109375,0.6833550756835938
5,CIFAR10,fedavg,0,0,100,0.1,3,59,0.7286,0.79672,0.7253,0.79492,0.857321435546875,0.6096377124023438,0.849508154296875,0.6104239135742188
6,CIFAR10,fedavg,0,0,100,0.1,3,69,0.7348,0.80876,0.7368,0.81268,0.842879931640625,0.5743338208007812,0.820969970703125,0.5592839624023438
7,CIFAR10,fedavg,0,0,100,0.1,3,79,0.74,0.81922,0.7447,0.82338,0.83136337890625,0.5450402404785156,0.7996218994140625,0.523371552734375
8,CIFAR10,fedavg,0,0,100,0.1,3,89,0.7478,0.83252,0.7542,0.83552,0.8028659912109375,0.5040391821289063,0.77630390625,0.4881493017578125
9,CIFAR10,fedavg,0,0,100,0.1,3,99,0.7527,0.83802,0.7587,0.8435,0.78632041015625,0.4810978076171875,0.7623751708984375,0.463772314453125
10,CIFAR10,fedavg,0,0,100,0.1,3,109,0.7565,0.84164,0.763,0.85156,0.7895806396484375,0.47278990844726565,0.7510817138671875,0.43839886352539065
11,CIFAR10,fedavg,0,0,100,0.1,3,119,0.7551,0.84062,0.7674,0.85814,0.784527783203125,0.47440691284179687,0.7368884033203125,0.41688309204101565
12,CIFAR10,fedavg,0,0,100,0.1,3,129,0.7694,0.85326,0.7726,0.86362,0.7630032470703125,0.43262584228515627,0.7263486572265625,0.40138186889648436
13,CIFAR10,fedavg,0,0,100,0.1,3,139,0.7683,0.85528,0.7751,0.8692,0.7579186279296874,0.4269712280273438,0.7168186279296875,0.38585238891601564
14,CIFAR10,fedavg,0,0,100,0.1,3,149,0.7652,0.86142,0.7761,0.87392,0.75231953125,0.41094057861328126,0.7130462890625,0.37108478149414065
15,CIFAR10,fedavg,0,0,100,0.1,3,159,0.7691,0.86662,0.7733,0.8762,0.7354197265625,0.39607379272460935,0.7076165771484375,0.36712073974609377
16,CIFAR10,fedavg,0,0,100,0.1,3,169,0.771,0.8688,0.7801,0.8791,0.7297732666015625,0.38691791259765623,0.698369921875,0.356097568359375
17,CIFAR10,fedavg,0,0,100,0.1,3,179,0.7747,0.876,0.7825,0.88322,0.72598525390625,0.368760576171875,0.6947051513671875,0.345259765625
18,CIFAR10,fedavg,0,0,100,0.1,3,189,0.7746,0.87344,0.7824,0.88732,0.7271302978515625,0.37769236938476564,0.6883646728515626,0.33664496337890626
19,CIFAR10,fedavg,0,0,100,0.1,3,199,0.7678,0.86198,0.7845,0.88844,0.758027392578125,0.41210343139648437,0.6853009765625,0.33210622680664065
20,CIFAR10,fedavg,0,0,100,0.1,3,209,0.7797,0.88116,0.7872,0.8908,0.70070556640625,0.35620351196289063,0.6805971435546875,0.32624033569335936
21,CIFAR10,fedavg,0,0,100,0.1,3,219,0.7799,0.88068,0.7878,0.89362,0.7151740478515625,0.358724990234375,0.67822734375,0.317829091796875
22,CIFAR10,fedavg,0,0,100,0.1,3,229,0.7715,0.86862,0.7883,0.8961,0.7505150390625,0.39122624389648436,0.676495703125,0.31281185424804686
23,CIFAR10,fedavg,0,0,100,0.1,3,239,0.7736,0.87062,0.7885,0.89734,0.747231689453125,0.38141210083007815,0.6708471435546876,0.30921365234375
24,CIFAR10,fedavg,0,0,100,0.1,3,249,0.7826,0.88686,0.7906,0.89882,0.6957723876953125,0.3390919689941406,0.6677967041015626,0.30372269409179686
25,CIFAR10,fedavg,0,0,100,0.1,3,259,0.7871,0.89046,0.7936,0.90018,0.681615185546875,0.32600131713867186,0.6614648681640625,0.298616884765625
26,CIFAR10,fedavg,0,0,100,0.1,3,269,0.7867,0.89114,0.7927,0.9021,0.6910414794921875,0.32629644897460935,0.6593846923828125,0.2929384436035156
27,CIFAR10,fedavg,0,0,100,0.1,3,279,0.7853,0.88904,0.7943,0.9038,0.6941335693359375,0.3322618896484375,0.654993212890625,0.2889601123046875
28,CIFAR10,fedavg,0,0,100,0.1,3,289,0.7886,0.88686,0.7949,0.9039,0.6894007568359375,0.3399427465820313,0.6518736083984376,0.28791866455078124
29,CIFAR10,fedavg,0,0,100,0.1,3,299,0.7922,0.89122,0.7982,0.90628,0.6888971435546875,0.32877171875,0.6474800048828125,0.2846355407714844
