,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0,100,0.1,4,9,0.5493,0.55576,0.495,0.4931,1.270379931640625,1.2608097119140624,1.8107603515625,1.81357107421875
1,CIFAR10,fedavg,0,0,100,0.1,4,19,0.6324,0.64878,0.5885,0.60292,1.07207373046875,1.015142353515625,1.259973095703125,1.243256240234375
2,CIFAR10,fedavg,0,0,100,0.1,4,29,0.6764,0.70882,0.6527,0.67612,0.9580126708984374,0.8546566796875,1.02366884765625,0.9674948046875
3,CIFAR10,fedavg,0,0,100,0.1,4,39,0.7121,0.75224,0.6946,0.73,0.8821523681640625,0.7366311279296875,0.9004196533203125,0.7959342358398438
4,CIFAR10,fedavg,0,0,100,0.1,4,49,0.7335,0.78298,0.7232,0.77004,0.831883984375,0.6511551171875,0.83176591796875,0.686964892578125
5,CIFAR10,fedavg,0,0,100,0.1,4,59,0.7394,0.79492,0.7397,0.7931,0.80793466796875,0.6100711865234375,0.793341162109375,0.6175932666015626
6,CIFAR10,fedavg,0,0,100,0.1,4,69,0.7491,0.81066,0.7533,0.81206,0.78125185546875,0.5609050024414063,0.7567424560546875,0.557927451171875
7,CIFAR10,fedavg,0,0,100,0.1,4,79,0.7546,0.82056,0.7628,0.8249,0.7754052978515625,0.5452332934570312,0.73629462890625,0.5222831420898437
8,CIFAR10,fedavg,0,0,100,0.1,4,89,0.7631,0.82864,0.7671,0.83676,0.750819091796875,0.5159597705078125,0.718479052734375,0.48942786254882814
9,CIFAR10,fedavg,0,0,100,0.1,4,99,0.7595,0.83698,0.7717,0.84902,0.75478955078125,0.4912945837402344,0.705971533203125,0.45544517211914065
10,CIFAR10,fedavg,0,0,100,0.1,4,109,0.7671,0.84082,0.7777,0.85648,0.751413427734375,0.47929680908203126,0.6992954833984375,0.4316645422363281
11,CIFAR10,fedavg,0,0,100,0.1,4,119,0.772,0.85434,0.7813,0.86272,0.731934228515625,0.4393889697265625,0.6934335693359375,0.4127349731445312
12,CIFAR10,fedavg,0,0,100,0.1,4,129,0.7791,0.86302,0.786,0.8704,0.7160917236328125,0.4150976879882812,0.6838970458984375,0.39305592407226564
13,CIFAR10,fedavg,0,0,100,0.1,4,139,0.7819,0.86378,0.7917,0.87508,0.7100001220703125,0.4054219348144531,0.6712068603515625,0.37400757080078123
14,CIFAR10,fedavg,0,0,100,0.1,4,149,0.787,0.87242,0.7957,0.88012,0.6905491455078125,0.38215998168945314,0.6619043701171875,0.3569723254394531
15,CIFAR10,fedavg,0,0,100,0.1,4,159,0.7873,0.87736,0.7963,0.88526,0.67535908203125,0.3688007678222656,0.6526501708984375,0.3436196435546875
16,CIFAR10,fedavg,0,0,100,0.1,4,169,0.7858,0.87684,0.7975,0.88906,0.6883106689453125,0.37160630249023435,0.6460102294921874,0.3351825732421875
17,CIFAR10,fedavg,0,0,100,0.1,4,179,0.7841,0.87408,0.7974,0.89218,0.707174365234375,0.38207604125976563,0.643705029296875,0.32636901000976565
18,CIFAR10,fedavg,0,0,100,0.1,4,189,0.7875,0.87138,0.8005,0.89494,0.7059084716796875,0.38696137084960935,0.6396514404296875,0.31546580078125
19,CIFAR10,fedavg,0,0,100,0.1,4,199,0.7921,0.88312,0.8022,0.89728,0.6828661376953125,0.35235918823242185,0.634982421875,0.30839882446289063
20,CIFAR10,fedavg,0,0,100,0.1,4,209,0.7846,0.88222,0.8047,0.90054,0.6866047119140625,0.3559731726074219,0.627720458984375,0.2992007971191406
21,CIFAR10,fedavg,0,0,100,0.1,4,219,0.7949,0.89212,0.804,0.9014,0.6632119140625,0.3247111328125,0.6239398193359375,0.2935771557617188
22,CIFAR10,fedavg,0,0,100,0.1,4,229,0.7984,0.89312,0.8042,0.9048,0.6497381103515625,0.32335074951171877,0.61974814453125,0.2867785119628906
23,CIFAR10,fedavg,0,0,100,0.1,4,239,0.797,0.8904,0.8052,0.90654,0.6618861328125,0.3277811511230469,0.6170236083984375,0.28309897033691406
24,CIFAR10,fedavg,0,0,100,0.1,4,249,0.7997,0.89614,0.8077,0.90678,0.6496118896484375,0.3130331018066406,0.6147398681640625,0.28082132568359375
25,CIFAR10,fedavg,0,0,100,0.1,4,259,0.808,0.90212,0.8084,0.90936,0.6244524169921875,0.29337212036132815,0.6096617919921875,0.2745983154296875
26,CIFAR10,fedavg,0,0,100,0.1,4,269,0.8023,0.90114,0.8085,0.91132,0.6380162841796875,0.3005658154296875,0.606787255859375,0.27029426391601563
27,CIFAR10,fedavg,0,0,100,0.1,4,279,0.8035,0.90188,0.8083,0.91226,0.643393115234375,0.2996410485839844,0.6074254638671875,0.2687669451904297
28,CIFAR10,fedavg,0,0,100,0.1,4,289,0.8017,0.8978,0.8104,0.91262,0.6466283447265625,0.3069831750488281,0.6111049560546875,0.26725918884277344
29,CIFAR10,fedavg,0,0,100,0.1,4,299,0.8014,0.89374,0.811,0.91468,0.6530355224609375,0.32337006103515625,0.60359013671875,0.2643213671875
