,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,4,9,0.2846,0.28408,0.1919,0.1859,1.948387109375,1.9485563525390626,2.287769140625,2.287854677734375
1,CIFAR10,fedavg,0,0.3,100,0.01,4,19,0.2433,0.24096,0.2501,0.2487,3.05755546875,3.043390673828125,2.25191572265625,2.25218248046875
2,CIFAR10,fedavg,0,0.3,100,0.01,4,29,0.2945,0.29314,0.3629,0.35982,3.2275810546875,3.23111037109375,2.191319140625,2.191908505859375
3,CIFAR10,fedavg,0,0.3,100,0.01,4,39,0.5023,0.50958,0.4073,0.40696,1.380553369140625,1.356350654296875,2.08845166015625,2.089211748046875
4,CIFAR10,fedavg,0,0.3,100,0.01,4,49,0.4567,0.46544,0.4525,0.45434,1.647490966796875,1.6111654833984375,1.97981337890625,1.9800475048828126
5,CIFAR10,fedavg,0,0.3,100,0.01,4,59,0.479,0.48994,0.4962,0.49698,1.84496123046875,1.788638583984375,1.8794814453125,1.8781977685546876
6,CIFAR10,fedavg,0,0.3,100,0.01,4,69,0.5943,0.61154,0.5307,0.53188,1.17333134765625,1.1088977490234375,1.787131103515625,1.783701533203125
7,CIFAR10,fedavg,0,0.3,100,0.01,4,79,0.4425,0.45556,0.5717,0.57794,2.51881396484375,2.435435458984375,1.606537939453125,1.598176015625
8,CIFAR10,fedavg,0,0.3,100,0.01,4,89,0.4837,0.49732,0.5991,0.60858,1.9331255859375,1.8361973388671875,1.50096708984375,1.487380517578125
9,CIFAR10,fedavg,0,0.3,100,0.01,4,99,0.4786,0.49648,0.6377,0.6525,1.8935318359375,1.7751210009765626,1.277864404296875,1.252449765625
10,CIFAR10,fedavg,0,0.3,100,0.01,4,109,0.5345,0.55658,0.6529,0.66812,1.487029296875,1.4008962060546875,1.21304345703125,1.1822097265625
11,CIFAR10,fedavg,0,0.3,100,0.01,4,119,0.537,0.55394,0.6696,0.68708,1.850730078125,1.75376099609375,1.124960107421875,1.086222177734375
12,CIFAR10,fedavg,0,0.3,100,0.01,4,129,0.4464,0.46306,0.6752,0.69576,2.67697568359375,2.569028505859375,1.07922685546875,1.0353149853515624
13,CIFAR10,fedavg,0,0.3,100,0.01,4,139,0.5972,0.62514,0.6872,0.7084,1.234363232421875,1.13872310546875,1.036762451171875,0.9875166870117188
14,CIFAR10,fedavg,0,0.3,100,0.01,4,149,0.4941,0.51376,0.6947,0.71752,1.919146142578125,1.7865972607421876,1.009278955078125,0.9561750708007812
15,CIFAR10,fedavg,0,0.3,100,0.01,4,159,0.5838,0.61016,0.7007,0.72636,1.55624580078125,1.439440458984375,0.9918769775390625,0.9352974633789063
16,CIFAR10,fedavg,0,0.3,100,0.01,4,169,0.475,0.50666,0.7065,0.73538,2.290097265625,2.13423669921875,0.9566474609375,0.8952143017578125
17,CIFAR10,fedavg,0,0.3,100,0.01,4,179,0.5895,0.61162,0.7133,0.74528,1.523323046875,1.40324140625,0.9008711181640625,0.8304855810546875
18,CIFAR10,fedavg,0,0.3,100,0.01,4,189,0.6337,0.65626,0.7165,0.75112,1.22570322265625,1.116231484375,0.8888836669921875,0.8156531787109375
19,CIFAR10,fedavg,0,0.3,100,0.01,4,199,0.4997,0.52588,0.7251,0.7629,2.1866244140625,2.017006904296875,0.84170986328125,0.7586369946289062
20,CIFAR10,fedavg,0,0.3,100,0.01,4,209,0.6301,0.65808,0.732,0.7725,1.23843271484375,1.108601728515625,0.8042899658203125,0.7123927661132813
21,CIFAR10,fedavg,0,0.3,100,0.01,4,219,0.442,0.45484,0.7374,0.77582,2.58756845703125,2.461659765625,0.789291943359375,0.6921888647460938
22,CIFAR10,fedavg,0,0.3,100,0.01,4,229,0.6825,0.71766,0.7446,0.78472,0.9880963134765625,0.8455619409179688,0.76554853515625,0.6599506323242188
23,CIFAR10,fedavg,0,0.3,100,0.01,4,239,0.5317,0.5491,0.745,0.78714,2.08376318359375,1.946791435546875,0.752030126953125,0.6367056982421875
24,CIFAR10,fedavg,0,0.3,100,0.01,4,249,0.5983,0.61934,0.7487,0.79072,1.35864990234375,1.2259140234375,0.7411605224609376,0.6200764770507813
25,CIFAR10,fedavg,0,0.3,100,0.01,4,259,0.6464,0.68216,0.7518,0.79742,1.1802333984375,1.0070658764648437,0.72954619140625,0.6009911376953125
26,CIFAR10,fedavg,0,0.3,100,0.01,4,269,0.6105,0.64058,0.7541,0.79982,1.45300947265625,1.2830594580078125,0.723505029296875,0.5917545532226562
27,CIFAR10,fedavg,0,0.3,100,0.01,4,279,0.6987,0.74292,0.7581,0.80506,0.9779547119140625,0.78474263671875,0.715681640625,0.5790193969726563
28,CIFAR10,fedavg,0,0.3,100,0.01,4,289,0.6507,0.68964,0.7602,0.80848,1.171028759765625,1.0010006982421875,0.70788701171875,0.5664285229492187
29,CIFAR10,fedavg,0,0.3,100,0.01,4,299,0.6402,0.6677,0.7618,0.81238,1.287347802734375,1.1321046484375,0.70053740234375,0.5519708569335937
30,CIFAR10,fedavg,0,0.3,100,0.01,4,309,0.592,0.61098,0.7646,0.81322,1.766792919921875,1.5918808447265624,0.698732861328125,0.5481590698242188
31,CIFAR10,fedavg,0,0.3,100,0.01,4,319,0.6079,0.62924,0.7656,0.8159,1.53130302734375,1.3835597216796875,0.693920947265625,0.5402493713378906
32,CIFAR10,fedavg,0,0.3,100,0.01,4,329,0.492,0.52078,0.767,0.81792,2.04130673828125,1.85475935546875,0.6885888427734375,0.5347505895996094
33,CIFAR10,fedavg,0,0.3,100,0.01,4,339,0.5379,0.56456,0.7686,0.8207,1.80339873046875,1.6127067724609374,0.68456259765625,0.5282894274902343
34,CIFAR10,fedavg,0,0.3,100,0.01,4,349,0.5319,0.55828,0.7702,0.82458,1.88526513671875,1.7155330712890624,0.6782248291015625,0.5144358288574219
35,CIFAR10,fedavg,0,0.3,100,0.01,4,359,0.5161,0.53818,0.7728,0.8256,2.3004904296875,2.11091505859375,0.675074755859375,0.5077298022460938
36,CIFAR10,fedavg,0,0.3,100,0.01,4,369,0.6062,0.63456,0.7744,0.8274,1.485687109375,1.31315740234375,0.671450634765625,0.5015160620117187
37,CIFAR10,fedavg,0,0.3,100,0.01,4,379,0.6857,0.7252,0.7769,0.82924,1.0100830078125,0.8333686938476562,0.6671425537109374,0.496435625
