,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,5,9,0.2741,0.27458,0.1874,0.18164,2.25545107421875,2.255970078125,2.28444296875,2.2845595703125
1,CIFAR10,fedavg,0,0.3,100,0.01,5,19,0.3405,0.33178,0.2218,0.22148,2.1745296875,2.202502412109375,2.24736005859375,2.247622021484375
2,CIFAR10,fedavg,0,0.3,100,0.01,5,29,0.3379,0.3404,0.2622,0.26302,2.04768994140625,2.051715322265625,2.198993359375,2.199522099609375
3,CIFAR10,fedavg,0,0.3,100,0.01,5,39,0.3221,0.3226,0.3003,0.30228,2.92941826171875,2.895952919921875,2.14411279296875,2.144870263671875
4,CIFAR10,fedavg,0,0.3,100,0.01,5,49,0.5278,0.54186,0.4143,0.41716,1.341442138671875,1.298777490234375,2.02436826171875,2.0247288037109374
5,CIFAR10,fedavg,0,0.3,100,0.01,5,59,0.4926,0.50388,0.4583,0.46498,1.6975873046875,1.6465040283203125,1.945564453125,1.9450413525390624
6,CIFAR10,fedavg,0,0.3,100,0.01,5,69,0.4675,0.47328,0.5166,0.52168,1.87276318359375,1.830032119140625,1.79231962890625,1.7891919873046875
7,CIFAR10,fedavg,0,0.3,100,0.01,5,79,0.4132,0.42794,0.5654,0.56764,2.21938994140625,2.13967662109375,1.642386962890625,1.6358561279296875
8,CIFAR10,fedavg,0,0.3,100,0.01,5,89,0.4434,0.45288,0.5923,0.5959,2.10933369140625,2.02890650390625,1.532040966796875,1.52173796875
9,CIFAR10,fedavg,0,0.3,100,0.01,5,99,0.3973,0.40384,0.6163,0.6235,2.4401869140625,2.399821064453125,1.418352392578125,1.403226123046875
10,CIFAR10,fedavg,0,0.3,100,0.01,5,109,0.5269,0.54588,0.629,0.63732,2.001501708984375,1.8990888232421874,1.3415646484375,1.322116181640625
11,CIFAR10,fedavg,0,0.3,100,0.01,5,119,0.4289,0.43426,0.6463,0.66278,2.5431322265625,2.45302947265625,1.24024150390625,1.2124000634765626
12,CIFAR10,fedavg,0,0.3,100,0.01,5,129,0.6021,0.61926,0.6693,0.68804,1.257699169921875,1.1710127001953126,1.130096435546875,1.0931828076171874
13,CIFAR10,fedavg,0,0.3,100,0.01,5,139,0.6324,0.66242,0.6827,0.70648,1.09317275390625,0.978151796875,1.06542392578125,1.021459228515625
14,CIFAR10,fedavg,0,0.3,100,0.01,5,149,0.5618,0.58076,0.6942,0.71932,1.52497080078125,1.4379316455078126,0.9926821533203125,0.9408692041015625
15,CIFAR10,fedavg,0,0.3,100,0.01,5,159,0.4893,0.50404,0.7118,0.73734,2.07299521484375,1.943487578125,0.933116943359375,0.8720948657226563
16,CIFAR10,fedavg,0,0.3,100,0.01,5,169,0.604,0.62952,0.7221,0.75542,1.2658212890625,1.1532221728515626,0.8550535400390625,0.780866923828125
17,CIFAR10,fedavg,0,0.3,100,0.01,5,179,0.4629,0.4845,0.7261,0.7622,2.046981591796875,1.9419450244140626,0.8368237060546875,0.7575439379882812
18,CIFAR10,fedavg,0,0.3,100,0.01,5,189,0.6286,0.6584,0.7317,0.76772,1.170437255859375,1.0497893994140626,0.8124575439453126,0.7264775512695313
