,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,3,9,0.3813,0.38472,0.1576,0.16024,2.0472091796875,2.03978025390625,2.2842251953125,2.28439443359375
1,CIFAR10,fedavg,0,0.3,100,0.01,3,19,0.4757,0.48252,0.251,0.25028,1.639458740234375,1.6196860009765626,2.23323310546875,2.2337187890625
2,CIFAR10,fedavg,0,0.3,100,0.01,3,29,0.36,0.36942,0.3637,0.3651,3.18550361328125,3.14482296875,2.11461533203125,2.114705537109375
3,CIFAR10,fedavg,0,0.3,100,0.01,3,39,0.3296,0.33606,0.4124,0.41744,3.7514951171875,3.687323623046875,2.038595849609375,2.0373802734375
4,CIFAR10,fedavg,0,0.3,100,0.01,3,49,0.5159,0.54122,0.4737,0.48282,1.767116015625,1.654796796875,1.927462255859375,1.9242496728515626
5,CIFAR10,fedavg,0,0.3,100,0.01,3,59,0.435,0.44598,0.5343,0.54826,2.819006640625,2.73099990234375,1.76107841796875,1.752439228515625
6,CIFAR10,fedavg,0,0.3,100,0.01,3,69,0.4611,0.48092,0.5788,0.59498,2.7264271484375,2.587360146484375,1.6176634765625,1.601535595703125
7,CIFAR10,fedavg,0,0.3,100,0.01,3,79,0.4962,0.51412,0.6106,0.63244,2.089671484375,1.98788564453125,1.48156982421875,1.45666283203125
8,CIFAR10,fedavg,0,0.3,100,0.01,3,89,0.53,0.55262,0.64,0.66864,2.1069251953125,1.960055048828125,1.308014794921875,1.270694765625
9,CIFAR10,fedavg,0,0.3,100,0.01,3,99,0.5893,0.61068,0.6689,0.69922,1.465648779296875,1.3724008544921875,1.14997646484375,1.0986030712890624
10,CIFAR10,fedavg,0,0.3,100,0.01,3,109,0.5877,0.61852,0.6895,0.7236,1.3908564453125,1.261470615234375,1.025009228515625,0.95987548828125
11,CIFAR10,fedavg,0,0.3,100,0.01,3,119,0.5094,0.52184,0.7057,0.74316,2.4844453125,2.3318447216796874,0.92727490234375,0.8478661376953125
12,CIFAR10,fedavg,0,0.3,100,0.01,3,129,0.4387,0.44784,0.7143,0.75308,2.97129541015625,2.8476912890625,0.88358095703125,0.7962575268554688
13,CIFAR10,fedavg,0,0.3,100,0.01,3,139,0.5867,0.61022,0.7186,0.75804,1.745891748046875,1.6136466552734374,0.8648005615234375,0.7738591455078125
14,CIFAR10,fedavg,0,0.3,100,0.01,3,149,0.5502,0.57042,0.7244,0.76566,1.8991201171875,1.7392343310546876,0.8301152587890624,0.7301661865234375
15,CIFAR10,fedavg,0,0.3,100,0.01,3,159,0.6652,0.7028,0.7264,0.77032,1.104965283203125,0.9454349291992188,0.80891337890625,0.7012325
16,CIFAR10,fedavg,0,0.3,100,0.01,3,169,0.518,0.5381,0.7322,0.7756,2.139545703125,1.9825600244140624,0.794196728515625,0.6803202294921875
17,CIFAR10,fedavg,0,0.3,100,0.01,3,179,0.682,0.72362,0.7421,0.78356,1.038513818359375,0.8726065405273438,0.772231640625,0.6484721923828125
18,CIFAR10,fedavg,0,0.3,100,0.01,3,189,0.6433,0.67896,0.7457,0.78802,1.200245458984375,1.0390644140625,0.7629869384765625,0.6328406591796875
19,CIFAR10,fedavg,0,0.3,100,0.01,3,199,0.6794,0.72346,0.7471,0.79098,1.06542353515625,0.8824600366210937,0.7572482421875,0.6245234399414062
20,CIFAR10,fedavg,0,0.3,100,0.01,3,209,0.4975,0.51596,0.7527,0.79586,2.2717197265625,2.12996185546875,0.7453300048828125,0.5988827490234375
21,CIFAR10,fedavg,0,0.3,100,0.01,3,219,0.6087,0.63194,0.7528,0.79828,1.59648046875,1.4303094775390626,0.7412966552734375,0.5900099438476563
22,CIFAR10,fedavg,0,0.3,100,0.01,3,229,0.5878,0.61134,0.7536,0.79984,1.630228857421875,1.4821046728515626,0.7363858642578125,0.5844685498046875
23,CIFAR10,fedavg,0,0.3,100,0.01,3,239,0.6121,0.64778,0.7529,0.80044,1.385243798828125,1.201904736328125,0.7339037841796875,0.5824658959960938
24,CIFAR10,fedavg,0,0.3,100,0.01,3,249,0.6575,0.68852,0.7552,0.80348,1.266945751953125,1.0988880224609374,0.730078564453125,0.5776440405273437
25,CIFAR10,fedavg,0,0.3,100,0.01,3,259,0.5035,0.52928,0.7588,0.8057,2.44248818359375,2.2495174462890626,0.7237565673828125,0.5687793798828125
26,CIFAR10,fedavg,0,0.3,100,0.01,3,269,0.681,0.71428,0.7632,0.8085,1.075457666015625,0.9242896411132813,0.715232421875,0.5570484057617188
27,CIFAR10,fedavg,0,0.3,100,0.01,3,279,0.5388,0.56448,0.7641,0.81102,2.0658875,1.883472509765625,0.7126296142578125,0.5535781176757812
28,CIFAR10,fedavg,0,0.3,100,0.01,3,289,0.4636,0.48678,0.7652,0.81404,2.6405283203125,2.4490334765625,0.705628955078125,0.5458472485351562
29,CIFAR10,fedavg,0,0.3,100,0.01,3,299,0.6383,0.6627,0.7675,0.81398,1.496003271484375,1.336648017578125,0.7032107177734375,0.5423185522460937
30,CIFAR10,fedavg,0,0.3,100,0.01,3,309,0.5597,0.58374,0.7666,0.815,1.79914921875,1.6491979296875,0.7012419189453125,0.5405197338867187
31,CIFAR10,fedavg,0,0.3,100,0.01,3,319,0.4789,0.49562,0.7686,0.8185,2.50568017578125,2.35139732421875,0.69276796875,0.5284955053710938
32,CIFAR10,fedavg,0,0.3,100,0.01,3,329,0.6574,0.68778,0.7704,0.82012,1.14606611328125,0.9974621875,0.6886147705078125,0.5234696704101562
33,CIFAR10,fedavg,0,0.3,100,0.01,3,339,0.6682,0.70124,0.7741,0.8227,1.191652099609375,1.0200063818359375,0.6810515625,0.5132011450195313
34,CIFAR10,fedavg,0,0.3,100,0.01,3,349,0.6762,0.70766,0.7768,0.82498,1.136253271484375,0.9838333447265625,0.6758525390625,0.5094413159179687
35,CIFAR10,fedavg,0,0.3,100,0.01,3,359,0.6417,0.67252,0.7775,0.82682,1.37822353515625,1.1914381103515626,0.670301220703125,0.5049073217773438
36,CIFAR10,fedavg,0,0.3,100,0.01,3,369,0.7093,0.747,0.7804,0.82732,0.9476478515625,0.786772177734375,0.6664670654296875,0.502176923828125
37,CIFAR10,fedavg,0,0.3,100,0.01,3,379,0.4439,0.46756,0.7796,0.82814,2.77704453125,2.584861025390625,0.662773291015625,0.49898438720703125
38,CIFAR10,fedavg,0,0.3,100,0.01,3,389,0.5196,0.54024,0.7804,0.83028,2.1902576171875,2.0409093896484376,0.6608239013671875,0.49625595947265627
39,CIFAR10,fedavg,0,0.3,100,0.01,3,399,0.574,0.59166,0.7817,0.83124,2.2012109375,2.0016357568359373,0.6583490966796876,0.4931375341796875
40,CIFAR10,fedavg,0,0.3,100,0.01,3,409,0.6398,0.6748,0.7814,0.83344,1.193985400390625,1.0458298583984376,0.654818115234375,0.49000090087890624
41,CIFAR10,fedavg,0,0.3,100,0.01,3,419,0.5974,0.62442,0.7823,0.8334,1.8472599609375,1.673064697265625,0.653106298828125,0.4888687890625
42,CIFAR10,fedavg,0,0.3,100,0.01,3,429,0.605,0.63036,0.7828,0.834,1.8615107421875,1.697262841796875,0.6539225341796875,0.48954407104492187
43,CIFAR10,fedavg,0,0.3,100,0.01,3,439,0.6321,0.65734,0.7863,0.83398,1.324433935546875,1.1693747021484375,0.6527649169921875,0.490267568359375
44,CIFAR10,fedavg,0,0.3,100,0.01,3,449,0.6754,0.71502,0.7906,0.835,1.01217763671875,0.868731357421875,0.64716943359375,0.4864383093261719
45,CIFAR10,fedavg,0,0.3,100,0.01,3,459,0.6218,0.64696,0.7896,0.8357,1.626953515625,1.4431361962890625,0.6439455810546875,0.48233554931640626
46,CIFAR10,fedavg,0,0.3,100,0.01,3,469,0.635,0.66812,0.7877,0.83648,1.33437939453125,1.1702696240234376,0.6427914794921875,0.4805761242675781
47,CIFAR10,fedavg,0,0.3,100,0.01,3,479,0.6348,0.66998,0.7865,0.83692,1.290400927734375,1.1213317919921875,0.6427412841796875,0.4793466442871094
48,CIFAR10,fedavg,0,0.3,100,0.01,3,489,0.6418,0.66846,0.7856,0.83866,1.520634375,1.3546008349609375,0.641436767578125,0.47682572509765625
49,CIFAR10,fedavg,0,0.3,100,0.01,3,499,0.5683,0.59562,0.7869,0.84006,1.881790673828125,1.6871310009765625,0.640503662109375,0.4732865478515625
50,CIFAR10,fedavg,0,0.3,100,0.01,3,509,0.5771,0.6058,0.7881,0.8407,1.776926806640625,1.6059060986328124,0.6389084228515625,0.4708510888671875
51,CIFAR10,fedavg,0,0.3,100,0.01,3,519,0.5427,0.5716,0.7879,0.84102,2.10578017578125,1.913751513671875,0.636931494140625,0.47039609619140627
52,CIFAR10,fedavg,0,0.3,100,0.01,3,529,0.6722,0.69804,0.7884,0.8417,1.1775384765625,1.022175400390625,0.6355055908203125,0.47017484130859377
53,CIFAR10,fedavg,0,0.3,100,0.01,3,539,0.6492,0.67478,0.7891,0.84114,1.441367822265625,1.2561713232421876,0.6344953857421874,0.4690741467285156
54,CIFAR10,fedavg,0,0.3,100,0.01,3,549,0.5427,0.5698,0.7896,0.84246,2.1540724609375,1.972700302734375,0.63477900390625,0.46863619018554686
55,CIFAR10,fedavg,0,0.3,100,0.01,3,559,0.6992,0.73686,0.7888,0.84262,1.1825701171875,1.0211473486328124,0.6343583251953125,0.46719870361328125
56,CIFAR10,fedavg,0,0.3,100,0.01,3,569,0.7098,0.74396,0.7905,0.84282,0.9870254638671875,0.828308369140625,0.6350974365234375,0.46716223754882813
57,CIFAR10,fedavg,0,0.3,100,0.01,3,579,0.6446,0.67364,0.7909,0.84336,1.335211474609375,1.1407041455078124,0.6346658203125,0.46563408081054686
58,CIFAR10,fedavg,0,0.3,100,0.01,3,589,0.706,0.747,0.7913,0.84426,0.9984456298828125,0.808119365234375,0.63460791015625,0.4626227099609375
59,CIFAR10,fedavg,0,0.3,100,0.01,3,599,0.6681,0.71288,0.7903,0.84482,1.11702568359375,0.932462998046875,0.6344293701171875,0.4616196484375
