,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,3,9,0.3708,0.36946,0.1575,0.15714,2.18721162109375,2.174649921875,2.2866439453125,2.28646875
1,CIFAR10,fedavg,0,0.3,100,0.01,3,19,0.4908,0.50074,0.2932,0.2916,1.5160330078125,1.496141357421875,2.23961650390625,2.2397161328125
2,CIFAR10,fedavg,0,0.3,100,0.01,3,29,0.3715,0.37758,0.4191,0.42126,2.95504443359375,2.934077158203125,2.12529482421875,2.125464130859375
3,CIFAR10,fedavg,0,0.3,100,0.01,3,39,0.3776,0.38382,0.4355,0.44426,2.8842505859375,2.83053361328125,2.0533763671875,2.0526775390625
4,CIFAR10,fedavg,0,0.3,100,0.01,3,49,0.5617,0.57872,0.4832,0.49038,1.427883203125,1.36191615234375,1.94033642578125,1.9374871484375
5,CIFAR10,fedavg,0,0.3,100,0.01,3,59,0.4625,0.4723,0.5335,0.54266,2.80356728515625,2.732185966796875,1.767639697265625,1.7605693505859374
6,CIFAR10,fedavg,0,0.3,100,0.01,3,69,0.4979,0.51384,0.5767,0.58768,2.19475322265625,2.096974560546875,1.6073064453125,1.59458984375
7,CIFAR10,fedavg,0,0.3,100,0.01,3,79,0.5075,0.51716,0.6082,0.62402,1.95826865234375,1.8788963037109374,1.46068388671875,1.4412609619140626
8,CIFAR10,fedavg,0,0.3,100,0.01,3,89,0.5612,0.57792,0.647,0.66492,1.843656640625,1.73568482421875,1.276381494140625,1.2478153564453125
9,CIFAR10,fedavg,0,0.3,100,0.01,3,99,0.5926,0.60282,0.6783,0.69938,1.53021484375,1.463455205078125,1.105760595703125,1.06552935546875
10,CIFAR10,fedavg,0,0.3,100,0.01,3,109,0.6353,0.65338,0.7028,0.72526,1.24681787109375,1.1518159521484375,0.9800860107421875,0.9281949389648437
11,CIFAR10,fedavg,0,0.3,100,0.01,3,119,0.5081,0.52074,0.7194,0.74594,2.417671484375,2.2827497705078126,0.8846212890625,0.8211700390625
12,CIFAR10,fedavg,0,0.3,100,0.01,3,129,0.4777,0.48556,0.7276,0.7558,2.58210615234375,2.46865375,0.8442778076171875,0.7726904150390626
13,CIFAR10,fedavg,0,0.3,100,0.01,3,139,0.5514,0.57022,0.7308,0.76174,1.961047265625,1.8447443505859376,0.826107080078125,0.7508165161132813
14,CIFAR10,fedavg,0,0.3,100,0.01,3,149,0.5651,0.58626,0.7378,0.77066,1.76683779296875,1.6595951611328126,0.79125595703125,0.7074214331054688
15,CIFAR10,fedavg,0,0.3,100,0.01,3,159,0.6875,0.71998,0.7431,0.77598,1.051763134765625,0.9064901831054688,0.7718682861328126,0.6806132861328125
16,CIFAR10,fedavg,0,0.3,100,0.01,3,169,0.5123,0.53122,0.7464,0.78214,2.20188623046875,2.070023935546875,0.7562076416015625,0.660113916015625
17,CIFAR10,fedavg,0,0.3,100,0.01,3,179,0.6932,0.7289,0.7536,0.79004,1.01239619140625,0.868101240234375,0.7344623046875,0.6306446215820313
18,CIFAR10,fedavg,0,0.3,100,0.01,3,189,0.6669,0.70612,0.7586,0.79492,1.082411279296875,0.9313581225585937,0.7254754150390625,0.6149156103515625
19,CIFAR10,fedavg,0,0.3,100,0.01,3,199,0.7041,0.74254,0.7602,0.79756,0.97673271484375,0.8227690283203125,0.7222635498046875,0.6079496142578125
20,CIFAR10,fedavg,0,0.3,100,0.01,3,209,0.5929,0.6166,0.7636,0.8047,1.576536376953125,1.4343959033203124,0.7121431640625,0.5843190380859375
21,CIFAR10,fedavg,0,0.3,100,0.01,3,219,0.6361,0.66352,0.7642,0.80728,1.383644677734375,1.2116060888671876,0.708341943359375,0.5755282763671875
22,CIFAR10,fedavg,0,0.3,100,0.01,3,229,0.5787,0.59886,0.7666,0.80836,1.583560498046875,1.479990283203125,0.7036710205078125,0.5700877587890625
23,CIFAR10,fedavg,0,0.3,100,0.01,3,239,0.6452,0.67958,0.7671,0.80942,1.19055576171875,1.0400690893554687,0.7000811279296875,0.56836859375
24,CIFAR10,fedavg,0,0.3,100,0.01,3,249,0.6772,0.70652,0.7711,0.81042,1.21982939453125,1.066160576171875,0.69491171875,0.56396810546875
25,CIFAR10,fedavg,0,0.3,100,0.01,3,259,0.5389,0.55814,0.7723,0.81256,2.1443701171875,1.96097099609375,0.6883398193359375,0.5561899780273437
26,CIFAR10,fedavg,0,0.3,100,0.01,3,269,0.6863,0.72368,0.7743,0.815,1.075951513671875,0.9126155834960937,0.6824455078125,0.546699375
27,CIFAR10,fedavg,0,0.3,100,0.01,3,279,0.5723,0.5925,0.7772,0.81738,1.89995908203125,1.7559970947265624,0.677354296875,0.5413703857421875
28,CIFAR10,fedavg,0,0.3,100,0.01,3,289,0.5196,0.53718,0.7772,0.82012,2.0870849609375,1.944491904296875,0.671322412109375,0.5336831860351563
29,CIFAR10,fedavg,0,0.3,100,0.01,3,299,0.6511,0.6773,0.7783,0.82176,1.39426650390625,1.2222909033203124,0.6703057373046875,0.530300634765625
30,CIFAR10,fedavg,0,0.3,100,0.01,3,309,0.5431,0.56818,0.7794,0.82138,1.956212646484375,1.819088115234375,0.669763916015625,0.5282859106445312
31,CIFAR10,fedavg,0,0.3,100,0.01,3,319,0.5025,0.52618,0.7815,0.82586,2.17281689453125,1.9822952783203125,0.661444580078125,0.5170536279296875
32,CIFAR10,fedavg,0,0.3,100,0.01,3,329,0.6862,0.72412,0.7823,0.82804,1.038835693359375,0.8855449487304687,0.657254296875,0.512524697265625
33,CIFAR10,fedavg,0,0.3,100,0.01,3,339,0.6794,0.71456,0.785,0.82964,1.14417294921875,0.9873395068359375,0.656030908203125,0.5050654638671875
34,CIFAR10,fedavg,0,0.3,100,0.01,3,349,0.6922,0.72902,0.7846,0.83044,1.096361669921875,0.9345131884765625,0.6532891845703125,0.5019804125976562
35,CIFAR10,fedavg,0,0.3,100,0.01,3,359,0.6397,0.6734,0.7862,0.83086,1.429754345703125,1.236497578125,0.64992890625,0.499037265625
36,CIFAR10,fedavg,0,0.3,100,0.01,3,369,0.7072,0.73798,0.7869,0.83194,0.9989075439453124,0.858153515625,0.64696875,0.49632972900390626
