,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,1,9,0.3301,0.32868,0.1073,0.10606,2.02444306640625,2.0229871142578126,2.2860171875,2.28601771484375
1,CIFAR10,fedavg,0,0.3,100,0.01,1,19,0.4521,0.45612,0.196,0.19472,1.5912294921875,1.5810995947265625,2.24041005859375,2.240672255859375
2,CIFAR10,fedavg,0,0.3,100,0.01,1,29,0.5156,0.5183,0.3664,0.3645,1.470410888671875,1.4332775927734376,2.15931796875,2.159799501953125
3,CIFAR10,fedavg,0,0.3,100,0.01,1,39,0.5316,0.54184,0.4905,0.4929,1.47721435546875,1.43145931640625,2.0270435546875,2.0264050830078126
4,CIFAR10,fedavg,0,0.3,100,0.01,1,49,0.5686,0.5742,0.5618,0.56522,1.42237431640625,1.3758991943359375,1.868375634765625,1.86545
5,CIFAR10,fedavg,0,0.3,100,0.01,1,59,0.4671,0.47686,0.5989,0.60796,2.3986166015625,2.331357373046875,1.615278271484375,1.607065703125
6,CIFAR10,fedavg,0,0.3,100,0.01,1,69,0.473,0.4756,0.6242,0.6357,2.3785169921875,2.314864755859375,1.43686689453125,1.4217200830078125
7,CIFAR10,fedavg,0,0.3,100,0.01,1,79,0.6262,0.64496,0.6398,0.65538,1.196725927734375,1.1083131103515624,1.299368603515625,1.2772114990234376
8,CIFAR10,fedavg,0,0.3,100,0.01,1,89,0.4392,0.44796,0.6535,0.67092,2.99055869140625,2.888230751953125,1.215849169921875,1.189
9,CIFAR10,fedavg,0,0.3,100,0.01,1,99,0.4047,0.40552,0.6695,0.6873,3.16852578125,3.085517626953125,1.13597060546875,1.102859580078125
10,CIFAR10,fedavg,0,0.3,100,0.01,1,109,0.5019,0.51544,0.6787,0.70078,2.27499853515625,2.21335701171875,1.04620654296875,1.0055032348632813
11,CIFAR10,fedavg,0,0.3,100,0.01,1,119,0.6875,0.70812,0.6929,0.71688,1.036706201171875,0.9298427270507813,0.9959881591796875,0.9491425415039062
12,CIFAR10,fedavg,0,0.3,100,0.01,1,129,0.5761,0.6013,0.7152,0.73732,1.509096728515625,1.393231904296875,0.9036865966796875,0.8454212255859375
13,CIFAR10,fedavg,0,0.3,100,0.01,1,139,0.5677,0.59006,0.7226,0.75148,1.6813970703125,1.52945857421875,0.8590248291015625,0.7926429541015625
14,CIFAR10,fedavg,0,0.3,100,0.01,1,149,0.5656,0.58026,0.7332,0.76544,1.725215185546875,1.5983757666015626,0.80284208984375,0.7230363745117188
15,CIFAR10,fedavg,0,0.3,100,0.01,1,159,0.5077,0.52082,0.7372,0.76868,2.5378390625,2.412903984375,0.789633154296875,0.7054137841796875
16,CIFAR10,fedavg,0,0.3,100,0.01,1,169,0.6767,0.69998,0.7402,0.774,1.12537236328125,1.0104320458984375,0.7714135498046875,0.6826631005859375
17,CIFAR10,fedavg,0,0.3,100,0.01,1,179,0.5681,0.58208,0.7464,0.77892,1.9396302734375,1.8028751806640626,0.75391240234375,0.6621004614257813
18,CIFAR10,fedavg,0,0.3,100,0.01,1,189,0.6822,0.71364,0.7532,0.78654,1.0756912109375,0.950675703125,0.732010009765625,0.63142310546875
19,CIFAR10,fedavg,0,0.3,100,0.01,1,199,0.5284,0.54704,0.7549,0.79214,2.09026943359375,1.9496830859375,0.7198337646484375,0.615920537109375
20,CIFAR10,fedavg,0,0.3,100,0.01,1,209,0.5816,0.60368,0.7602,0.79708,1.73312783203125,1.5817566650390624,0.7083902587890625,0.5976296606445313
21,CIFAR10,fedavg,0,0.3,100,0.01,1,219,0.5549,0.57654,0.7645,0.80096,1.71770419921875,1.5904652294921875,0.699325927734375,0.58254326171875
22,CIFAR10,fedavg,0,0.3,100,0.01,1,229,0.675,0.70564,0.7652,0.80432,1.079229736328125,0.9505340307617187,0.693205908203125,0.5730160131835937
23,CIFAR10,fedavg,0,0.3,100,0.01,1,239,0.5924,0.61394,0.7671,0.80976,1.66681669921875,1.5169943017578125,0.683098046875,0.559482294921875
24,CIFAR10,fedavg,0,0.3,100,0.01,1,249,0.514,0.53538,0.77,0.81156,1.997134765625,1.8600894677734374,0.68097880859375,0.5527107299804688
25,CIFAR10,fedavg,0,0.3,100,0.01,1,259,0.6591,0.68984,0.7698,0.81308,1.168965234375,1.0251252807617188,0.6774644775390625,0.5466202026367187
26,CIFAR10,fedavg,0,0.3,100,0.01,1,269,0.6705,0.70386,0.7705,0.81508,1.0746505859375,0.9406985009765625,0.6746833984375,0.540578046875
27,CIFAR10,fedavg,0,0.3,100,0.01,1,279,0.6606,0.68366,0.7723,0.81722,1.2563212890625,1.1148040478515624,0.670335546875,0.5343637817382813
28,CIFAR10,fedavg,0,0.3,100,0.01,1,289,0.6872,0.7158,0.7741,0.81886,1.199450390625,1.05575724609375,0.6668133056640625,0.52925833984375
29,CIFAR10,fedavg,0,0.3,100,0.01,1,299,0.5298,0.54682,0.7745,0.8199,2.3152263671875,2.17045421875,0.6634167724609376,0.5254884423828124
30,CIFAR10,fedavg,0,0.3,100,0.01,1,309,0.6178,0.63862,0.7746,0.8216,1.5687662109375,1.4258884765625,0.662408447265625,0.5228333251953124
31,CIFAR10,fedavg,0,0.3,100,0.01,1,319,0.6955,0.72898,0.7788,0.825,1.000893798828125,0.8488777563476563,0.6580443115234375,0.51733173828125
32,CIFAR10,fedavg,0,0.3,100,0.01,1,329,0.6508,0.68882,0.7823,0.82686,1.2612859375,1.08861703125,0.65443671875,0.5120279296875
33,CIFAR10,fedavg,0,0.3,100,0.01,1,339,0.5017,0.51892,0.7847,0.82782,2.3345244140625,2.1554000146484373,0.6524941650390625,0.5078660986328125
34,CIFAR10,fedavg,0,0.3,100,0.01,1,349,0.6769,0.71458,0.783,0.8287,1.079761767578125,0.9163973583984375,0.65045185546875,0.5050374243164063
35,CIFAR10,fedavg,0,0.3,100,0.01,1,359,0.4696,0.49244,0.7836,0.82916,2.48148486328125,2.2791398046875,0.6506736328125,0.50481447265625
36,CIFAR10,fedavg,0,0.3,100,0.01,1,369,0.5878,0.60754,0.788,0.82974,1.7832341796875,1.63175470703125,0.6489662353515625,0.5003022900390625
37,CIFAR10,fedavg,0,0.3,100,0.01,1,379,0.5253,0.5412,0.7872,0.83016,2.0358193359375,1.88434466796875,0.648776220703125,0.4990216394042969
38,CIFAR10,fedavg,0,0.3,100,0.01,1,389,0.704,0.7455,0.7871,0.83138,1.0086081298828125,0.8326921557617187,0.6480617919921875,0.49565370361328126
39,CIFAR10,fedavg,0,0.3,100,0.01,1,399,0.6668,0.70426,0.7879,0.8327,1.144156884765625,0.9824668896484375,0.647198046875,0.49291187622070315
40,CIFAR10,fedavg,0,0.3,100,0.01,1,409,0.7071,0.74368,0.7862,0.8333,0.9476024658203125,0.8130232373046875,0.6458901611328125,0.4910542333984375
41,CIFAR10,fedavg,0,0.3,100,0.01,1,419,0.6761,0.71032,0.7857,0.8335,1.160956201171875,1.0049597412109375,0.64564794921875,0.48984342651367185
42,CIFAR10,fedavg,0,0.3,100,0.01,1,429,0.5959,0.61172,0.7858,0.83502,1.69723720703125,1.560517353515625,0.6457973388671875,0.48761851196289063
43,CIFAR10,fedavg,0,0.3,100,0.01,1,439,0.5767,0.6017,0.7833,0.83604,1.746671630859375,1.559795625,0.6445540771484375,0.48459355590820313
44,CIFAR10,fedavg,0,0.3,100,0.01,1,449,0.55,0.5742,0.7856,0.8377,2.07863349609375,1.923819228515625,0.6426688720703125,0.48164398315429685
45,CIFAR10,fedavg,0,0.3,100,0.01,1,459,0.5545,0.57188,0.7882,0.83878,1.962424072265625,1.81942587890625,0.6383789794921875,0.4768370153808594
46,CIFAR10,fedavg,0,0.3,100,0.01,1,469,0.5067,0.51956,0.7902,0.83966,2.4483751953125,2.288525849609375,0.63769296875,0.4749953356933594
47,CIFAR10,fedavg,0,0.3,100,0.01,1,479,0.6199,0.64144,0.7905,0.84056,1.519288720703125,1.3612364404296875,0.6350416259765626,0.4743652819824219
48,CIFAR10,fedavg,0,0.3,100,0.01,1,489,0.7416,0.77736,0.7908,0.84126,0.8824982177734375,0.722355810546875,0.6310108154296875,0.4725992041015625
49,CIFAR10,fedavg,0,0.3,100,0.01,1,499,0.6845,0.72164,0.7925,0.8408,1.08265751953125,0.91534734375,0.6312530029296874,0.4719381311035156
50,CIFAR10,fedavg,0,0.3,100,0.01,1,509,0.7514,0.78548,0.7914,0.84076,0.834363427734375,0.6790614135742188,0.62907041015625,0.47175609130859375
51,CIFAR10,fedavg,0,0.3,100,0.01,1,519,0.6464,0.68442,0.7905,0.84136,1.176128271484375,1.00599556640625,0.6279769287109375,0.4692076232910156
52,CIFAR10,fedavg,0,0.3,100,0.01,1,529,0.5455,0.56008,0.7926,0.84238,2.04399970703125,1.877305322265625,0.62697666015625,0.46577504638671874
53,CIFAR10,fedavg,0,0.3,100,0.01,1,539,0.5456,0.57222,0.7914,0.84262,1.860363330078125,1.708861201171875,0.62779033203125,0.4650546569824219
54,CIFAR10,fedavg,0,0.3,100,0.01,1,549,0.5779,0.60284,0.7923,0.84282,1.759721484375,1.5823199853515626,0.626878662109375,0.46462258911132814
55,CIFAR10,fedavg,0,0.3,100,0.01,1,559,0.5809,0.6051,0.7948,0.8432,1.850193603515625,1.68833150390625,0.62275302734375,0.46237440063476565
56,CIFAR10,fedavg,0,0.3,100,0.01,1,569,0.5217,0.55096,0.7967,0.84388,2.0716162109375,1.890923818359375,0.6192235107421875,0.46035192260742186
57,CIFAR10,fedavg,0,0.3,100,0.01,1,579,0.6203,0.65246,0.7968,0.84478,1.55534091796875,1.3613954150390626,0.617140771484375,0.45867332763671875
58,CIFAR10,fedavg,0,0.3,100,0.01,1,589,0.5702,0.60374,0.7978,0.84538,1.81728173828125,1.6262005908203125,0.6149599609375,0.4574090625
59,CIFAR10,fedavg,0,0.3,100,0.01,1,599,0.7191,0.75034,0.7957,0.84552,0.967533984375,0.80340328125,0.613261767578125,0.4570245324707031
