,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,2,9,0.3763,0.37354,0.2394,0.23762,2.11301494140625,2.1096342529296876,2.27902900390625,2.278932529296875
1,CIFAR10,fedavg,0,0.3,100,0.01,2,19,0.4235,0.42362,0.3691,0.36294,2.31572294921875,2.274116181640625,2.23222900390625,2.23212455078125
2,CIFAR10,fedavg,0,0.3,100,0.01,2,29,0.2637,0.26264,0.4416,0.4383,3.96248173828125,3.93512216796875,2.1497041015625,2.149668232421875
3,CIFAR10,fedavg,0,0.3,100,0.01,2,39,0.4373,0.44622,0.506,0.50508,2.27627783203125,2.24118015625,2.027818798828125,2.027155537109375
4,CIFAR10,fedavg,0,0.3,100,0.01,2,49,0.4427,0.45454,0.5467,0.5468,2.51309033203125,2.3959050390625,1.95769208984375,1.95548013671875
5,CIFAR10,fedavg,0,0.3,100,0.01,2,59,0.4347,0.44412,0.5874,0.59464,3.084932421875,2.97674369140625,1.7715087890625,1.76466068359375
6,CIFAR10,fedavg,0,0.3,100,0.01,2,69,0.437,0.4512,0.6183,0.63246,2.50314306640625,2.400934599609375,1.546051708984375,1.530768486328125
7,CIFAR10,fedavg,0,0.3,100,0.01,2,79,0.6406,0.66592,0.6393,0.6555,1.1975625,1.0845877685546874,1.428589501953125,1.4062207177734376
8,CIFAR10,fedavg,0,0.3,100,0.01,2,89,0.4826,0.49596,0.65,0.67182,2.39557041015625,2.2696259765625,1.33132060546875,1.3028186279296874
9,CIFAR10,fedavg,0,0.3,100,0.01,2,99,0.6604,0.6917,0.6634,0.691,1.120332666015625,0.9707234643554687,1.233558154296875,1.19807443359375
10,CIFAR10,fedavg,0,0.3,100,0.01,2,109,0.5525,0.57184,0.6765,0.70494,2.06786796875,1.9556193115234375,1.128497216796875,1.084329189453125
