,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,3,9,0.398,0.39794,0.2143,0.21292,2.009415283203125,1.9961020166015624,2.265587890625,2.265831015625
1,CIFAR10,fedavg,0,0.3,100,0.01,3,19,0.4643,0.46632,0.3686,0.36076,1.567989697265625,1.552329814453125,2.16693564453125,2.167803896484375
2,CIFAR10,fedavg,0,0.3,100,0.01,3,29,0.3349,0.34312,0.4697,0.4666,2.855616796875,2.84386609375,1.977792138671875,1.978709296875
3,CIFAR10,fedavg,0,0.3,100,0.01,3,39,0.3565,0.36236,0.5136,0.50938,2.71396748046875,2.684637900390625,1.863488671875,1.863899599609375
4,CIFAR10,fedavg,0,0.3,100,0.01,3,49,0.5222,0.53372,0.5425,0.54526,1.54489296875,1.4819880859375,1.71388662109375,1.713446259765625
5,CIFAR10,fedavg,0,0.3,100,0.01,3,59,0.4344,0.44542,0.5801,0.58344,2.76523837890625,2.69554962890625,1.53091279296875,1.52684779296875
6,CIFAR10,fedavg,0,0.3,100,0.01,3,69,0.4608,0.4674,0.6018,0.61262,2.1942923828125,2.1295420703125,1.394367919921875,1.3850525341796875
7,CIFAR10,fedavg,0,0.3,100,0.01,3,79,0.4425,0.46034,0.6223,0.63744,2.10521142578125,2.033133955078125,1.27830087890625,1.26193865234375
8,CIFAR10,fedavg,0,0.3,100,0.01,3,89,0.5224,0.54144,0.6428,0.65608,1.796695263671875,1.697783447265625,1.1552560546875,1.13018541015625
9,CIFAR10,fedavg,0,0.3,100,0.01,3,99,0.5782,0.59382,0.6582,0.67414,1.36764873046875,1.2879214404296875,1.055800146484375,1.0197177685546874
10,CIFAR10,fedavg,0,0.3,100,0.01,3,109,0.583,0.6012,0.6668,0.68848,1.372529150390625,1.294668115234375,0.9875373291015626,0.9405220458984375
11,CIFAR10,fedavg,0,0.3,100,0.01,3,119,0.4963,0.5073,0.6789,0.70274,2.22754697265625,2.1278186962890624,0.935170166015625,0.8762652709960937
12,CIFAR10,fedavg,0,0.3,100,0.01,3,129,0.4134,0.41506,0.6848,0.71094,2.70406591796875,2.63319119140625,0.9083373291015625,0.841538935546875
13,CIFAR10,fedavg,0,0.3,100,0.01,3,139,0.5596,0.57974,0.6873,0.71604,1.59944541015625,1.5024292724609376,0.8957122314453125,0.8244251806640625
14,CIFAR10,fedavg,0,0.3,100,0.01,3,149,0.497,0.51608,0.6923,0.72338,1.947902001953125,1.8380865185546875,0.874502197265625,0.7949379638671875
15,CIFAR10,fedavg,0,0.3,100,0.01,3,159,0.6449,0.67034,0.6963,0.7276,1.107793359375,0.9952872534179688,0.862691064453125,0.7764844091796875
16,CIFAR10,fedavg,0,0.3,100,0.01,3,169,0.4896,0.50318,0.7012,0.73324,2.2266078125,2.1285770654296874,0.8529020751953125,0.761651357421875
17,CIFAR10,fedavg,0,0.3,100,0.01,3,179,0.6424,0.67188,0.7071,0.74074,1.13833896484375,0.9979629223632812,0.83639658203125,0.7359370751953125
18,CIFAR10,fedavg,0,0.3,100,0.01,3,189,0.6244,0.64862,0.7106,0.74484,1.237869775390625,1.1058125439453126,0.8307887939453125,0.7252371459960938
19,CIFAR10,fedavg,0,0.3,100,0.01,3,199,0.6492,0.67676,0.7127,0.74804,1.120338671875,0.9839910522460937,0.8226306884765625,0.7159187548828125
20,CIFAR10,fedavg,0,0.3,100,0.01,3,209,0.5272,0.54658,0.7201,0.75374,1.696074462890625,1.5944701953125,0.8161171875,0.6992666381835938
21,CIFAR10,fedavg,0,0.3,100,0.01,3,219,0.5661,0.5841,0.7257,0.75772,1.730973779296875,1.6012509033203124,0.81302392578125,0.6925574560546875
22,CIFAR10,fedavg,0,0.3,100,0.01,3,229,0.5738,0.5943,0.7281,0.75894,1.57322412109375,1.4501183642578126,0.8076314453125,0.6865263647460937
23,CIFAR10,fedavg,0,0.3,100,0.01,3,239,0.5738,0.59868,0.7296,0.76028,1.40011953125,1.273355771484375,0.8044459716796875,0.6820374829101562
24,CIFAR10,fedavg,0,0.3,100,0.01,3,249,0.6154,0.64176,0.7302,0.76142,1.33504736328125,1.19629716796875,0.8016402099609375,0.677173603515625
25,CIFAR10,fedavg,0,0.3,100,0.01,3,259,0.4888,0.50622,0.7305,0.76556,2.2910787109375,2.1595014013671876,0.796235205078125,0.6672918823242188
26,CIFAR10,fedavg,0,0.3,100,0.01,3,269,0.6494,0.66952,0.7315,0.76886,1.15419345703125,1.0300795776367186,0.790588818359375,0.6557348999023438
27,CIFAR10,fedavg,0,0.3,100,0.01,3,279,0.5625,0.58026,0.7325,0.77078,1.60482509765625,1.48278484375,0.785912841796875,0.6498766259765625
28,CIFAR10,fedavg,0,0.3,100,0.01,3,289,0.4575,0.4721,0.7363,0.77284,2.34608984375,2.1823493359375,0.7811919189453125,0.6436390454101563
29,CIFAR10,fedavg,0,0.3,100,0.01,3,299,0.5986,0.61904,0.7353,0.77556,1.496529345703125,1.3633832568359374,0.77936826171875,0.638851689453125
30,CIFAR10,fedavg,0,0.3,100,0.01,3,309,0.5152,0.52824,0.7353,0.77722,2.0148373046875,1.89877583984375,0.7769760498046875,0.6344226000976563
31,CIFAR10,fedavg,0,0.3,100,0.01,3,319,0.4891,0.50614,0.7388,0.78056,2.08170283203125,1.93570611328125,0.7714509033203125,0.6263276342773437
32,CIFAR10,fedavg,0,0.3,100,0.01,3,329,0.6366,0.66438,0.7412,0.78236,1.18799580078125,1.0567236572265626,0.7666798095703125,0.6219428393554688
33,CIFAR10,fedavg,0,0.3,100,0.01,3,339,0.6243,0.65172,0.7417,0.78396,1.2443521484375,1.11146818359375,0.759627685546875,0.6138606201171874
34,CIFAR10,fedavg,0,0.3,100,0.01,3,349,0.646,0.67392,0.7438,0.78508,1.187753515625,1.0552111474609376,0.75570537109375,0.6104897875976563
35,CIFAR10,fedavg,0,0.3,100,0.01,3,359,0.6133,0.63646,0.746,0.7864,1.346680517578125,1.205400048828125,0.7522556396484374,0.60758994140625
36,CIFAR10,fedavg,0,0.3,100,0.01,3,369,0.6865,0.71482,0.7454,0.78704,0.9963131103515624,0.8681582739257813,0.7493285400390625,0.6052622192382813
37,CIFAR10,fedavg,0,0.3,100,0.01,3,379,0.4681,0.48334,0.7462,0.78758,2.29655029296875,2.15344666015625,0.746671875,0.60319751953125
38,CIFAR10,fedavg,0,0.3,100,0.01,3,389,0.4973,0.51084,0.7464,0.7885,2.05784052734375,1.9315329296875,0.745623486328125,0.6008967749023437
39,CIFAR10,fedavg,0,0.3,100,0.01,3,399,0.5221,0.53852,0.7461,0.78834,2.31875224609375,2.16259794921875,0.74600517578125,0.5994410327148437
40,CIFAR10,fedavg,0,0.3,100,0.01,3,409,0.5895,0.61616,0.7449,0.78904,1.365978271484375,1.2304990283203125,0.744987841796875,0.596972353515625
41,CIFAR10,fedavg,0,0.3,100,0.01,3,419,0.5799,0.59698,0.7467,0.79,1.67922802734375,1.5412876220703124,0.742444873046875,0.5937692602539062
42,CIFAR10,fedavg,0,0.3,100,0.01,3,429,0.5866,0.61022,0.7459,0.7903,1.679650341796875,1.5331487109375,0.743659521484375,0.5944792724609375
43,CIFAR10,fedavg,0,0.3,100,0.01,3,439,0.5879,0.61108,0.7461,0.79122,1.38876259765625,1.261443037109375,0.7413888916015625,0.5931354956054687
44,CIFAR10,fedavg,0,0.3,100,0.01,3,449,0.6199,0.64974,0.7471,0.79218,1.20232802734375,1.0771466064453126,0.736867822265625,0.5896079370117188
45,CIFAR10,fedavg,0,0.3,100,0.01,3,459,0.616,0.63684,0.7472,0.79296,1.444185498046875,1.31099091796875,0.733972265625,0.5868508813476563
46,CIFAR10,fedavg,0,0.3,100,0.01,3,469,0.6092,0.64504,0.7505,0.79424,1.294599951171875,1.1461450927734376,0.7312150634765625,0.5850328686523437
47,CIFAR10,fedavg,0,0.3,100,0.01,3,479,0.6312,0.6616,0.7525,0.79426,1.173555908203125,1.0528500537109375,0.7305094970703125,0.584223369140625
48,CIFAR10,fedavg,0,0.3,100,0.01,3,489,0.6073,0.6237,0.7509,0.79534,1.546494140625,1.42207341796875,0.728107568359375,0.58118619140625
49,CIFAR10,fedavg,0,0.3,100,0.01,3,499,0.4786,0.49512,0.7516,0.7956,2.09410859375,1.963097861328125,0.72661611328125,0.5796198486328125
50,CIFAR10,fedavg,0,0.3,100,0.01,3,509,0.5225,0.5442,0.7526,0.7961,1.9413791015625,1.794495400390625,0.72470654296875,0.5787400854492187
51,CIFAR10,fedavg,0,0.3,100,0.01,3,519,0.5477,0.57118,0.752,0.79598,1.648189501953125,1.5238086474609376,0.7235559326171875,0.5787682495117188
52,CIFAR10,fedavg,0,0.3,100,0.01,3,529,0.622,0.64626,0.7526,0.79736,1.29446103515625,1.1488012426757812,0.7222545654296875,0.5780014453125
53,CIFAR10,fedavg,0,0.3,100,0.01,3,539,0.6108,0.62782,0.7557,0.79812,1.45779873046875,1.3183841259765625,0.7209686767578125,0.575726552734375
54,CIFAR10,fedavg,0,0.3,100,0.01,3,549,0.5145,0.52866,0.7571,0.7987,2.0934373046875,1.963439580078125,0.7200804443359375,0.5736700512695313
55,CIFAR10,fedavg,0,0.3,100,0.01,3,559,0.6665,0.69284,0.7566,0.79904,1.2265025390625,1.0817920532226561,0.71710283203125,0.571544326171875
56,CIFAR10,fedavg,0,0.3,100,0.01,3,569,0.657,0.68654,0.7585,0.79994,1.107695849609375,0.9861284716796875,0.714808251953125,0.5694281884765625
57,CIFAR10,fedavg,0,0.3,100,0.01,3,579,0.599,0.62434,0.7587,0.79984,1.4247796875,1.2829182739257812,0.714481884765625,0.5690719750976563
58,CIFAR10,fedavg,0,0.3,100,0.01,3,589,0.6745,0.70464,0.7571,0.80102,1.04678642578125,0.9086919677734375,0.7125570068359375,0.5660871484375
59,CIFAR10,fedavg,0,0.3,100,0.01,3,599,0.6399,0.66854,0.7561,0.80146,1.229121484375,1.079682685546875,0.7120425537109375,0.5649169018554687
