,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,1,9,0.4094,0.40488,0.1843,0.18134,1.891221826171875,1.8757395751953125,2.26925517578125,2.26951353515625
1,CIFAR10,fedavg,0,0.3,100,0.01,1,19,0.4228,0.43034,0.3419,0.33914,1.97306611328125,1.943613173828125,2.194816015625,2.1952660546875
2,CIFAR10,fedavg,0,0.3,100,0.01,1,29,0.4963,0.5139,0.4028,0.40446,1.6162833984375,1.52783716796875,2.0893826171875,2.089193525390625
3,CIFAR10,fedavg,0,0.3,100,0.01,1,39,0.5461,0.56216,0.4644,0.4702,1.550251220703125,1.46133001953125,1.945112158203125,1.941880224609375
4,CIFAR10,fedavg,0,0.3,100,0.01,1,49,0.5316,0.551,0.5186,0.53082,1.677658837890625,1.581535517578125,1.7911634765625,1.782304970703125
5,CIFAR10,fedavg,0,0.3,100,0.01,1,59,0.4653,0.48198,0.5716,0.59036,2.45589638671875,2.349532744140625,1.564763720703125,1.544768046875
6,CIFAR10,fedavg,0,0.3,100,0.01,1,69,0.5197,0.53938,0.6054,0.62842,1.9186271484375,1.7894923779296874,1.40604609375,1.3743966064453126
7,CIFAR10,fedavg,0,0.3,100,0.01,1,79,0.5752,0.6106,0.6303,0.65406,1.433954443359375,1.3085500341796874,1.279664306640625,1.2383913916015625
8,CIFAR10,fedavg,0,0.3,100,0.01,1,89,0.4508,0.4727,0.6443,0.67234,2.93683544921875,2.8048388671875,1.204959326171875,1.1577217822265624
9,CIFAR10,fedavg,0,0.3,100,0.01,1,99,0.332,0.33514,0.66,0.69178,4.456495703125,4.3682638671875,1.123975390625,1.069265888671875
10,CIFAR10,fedavg,0,0.3,100,0.01,1,109,0.5467,0.56464,0.6762,0.70718,1.977478564453125,1.85638193359375,1.039329052734375,0.9755350341796875
11,CIFAR10,fedavg,0,0.3,100,0.01,1,119,0.6858,0.71298,0.689,0.722,1.023775244140625,0.9168505590820313,0.989089697265625,0.9195452563476563
12,CIFAR10,fedavg,0,0.3,100,0.01,1,129,0.5759,0.6012,0.7074,0.74336,1.53633330078125,1.401665087890625,0.9071306396484375,0.825636875
13,CIFAR10,fedavg,0,0.3,100,0.01,1,139,0.5399,0.565,0.7195,0.75792,1.7499748046875,1.6084598828125,0.8650997802734375,0.7777796948242187
14,CIFAR10,fedavg,0,0.3,100,0.01,1,149,0.5717,0.59478,0.7321,0.77152,1.618816259765625,1.4747911328125,0.8094041015625,0.7087122778320313
