,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,3,9,0.3898,0.39312,0.1688,0.17342,1.963270458984375,1.94341974609375,2.28454326171875,2.284619580078125
1,CIFAR10,fedavg,0,0.3,100,0.01,3,19,0.4556,0.46554,0.2425,0.23892,1.67302392578125,1.628614931640625,2.23993154296875,2.239961103515625
2,CIFAR10,fedavg,0,0.3,100,0.01,3,29,0.3699,0.37186,0.3493,0.34968,3.1972330078125,3.169764541015625,2.126416796875,2.12523919921875
3,CIFAR10,fedavg,0,0.3,100,0.01,3,39,0.3923,0.40284,0.3969,0.40594,3.02878779296875,2.94239822265625,2.05147021484375,2.048224423828125
4,CIFAR10,fedavg,0,0.3,100,0.01,3,49,0.5311,0.5587,0.46,0.47648,1.574048193359375,1.481342822265625,1.941783447265625,1.9353124365234375
5,CIFAR10,fedavg,0,0.3,100,0.01,3,59,0.4383,0.45214,0.5267,0.54952,3.21109326171875,3.07259041015625,1.775018505859375,1.7624164306640624
6,CIFAR10,fedavg,0,0.3,100,0.01,3,69,0.4513,0.4709,0.5706,0.59716,2.51238251953125,2.3960998828125,1.620890087890625,1.6009678466796875
7,CIFAR10,fedavg,0,0.3,100,0.01,3,79,0.4757,0.49004,0.6061,0.63384,2.250289453125,2.1768506591796877,1.48236689453125,1.4531816064453125
8,CIFAR10,fedavg,0,0.3,100,0.01,3,89,0.5479,0.57142,0.6363,0.66848,1.937397998046875,1.79004716796875,1.30993203125,1.2672467041015625
9,CIFAR10,fedavg,0,0.3,100,0.01,3,99,0.5941,0.61222,0.6579,0.6961,1.46280341796875,1.3700067626953125,1.152106591796875,1.0943251220703125
10,CIFAR10,fedavg,0,0.3,100,0.01,3,109,0.6064,0.62772,0.6812,0.718,1.40020498046875,1.2740663037109374,1.03394296875,0.9617844091796875
11,CIFAR10,fedavg,0,0.3,100,0.01,3,119,0.4981,0.51704,0.6973,0.73756,2.4118224609375,2.2644300341796875,0.9395864013671875,0.85411962890625
12,CIFAR10,fedavg,0,0.3,100,0.01,3,129,0.468,0.48234,0.7069,0.74894,2.59063515625,2.4749536328125,0.896515625,0.8021702954101563
