,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,5,9,0.2965,0.29456,0.1398,0.13738,2.018138623046875,2.027580087890625,2.28805771484375,2.28796630859375
1,CIFAR10,fedavg,0,0.3,100,0.01,5,19,0.3496,0.34092,0.2099,0.2077,2.34464755859375,2.37870955078125,2.2536501953125,2.25380720703125
2,CIFAR10,fedavg,0,0.3,100,0.01,5,29,0.3772,0.37204,0.255,0.25652,2.12177021484375,2.119597744140625,2.20970625,2.209958251953125
3,CIFAR10,fedavg,0,0.3,100,0.01,5,39,0.3567,0.34918,0.2983,0.3005,2.89620576171875,2.911174443359375,2.1601142578125,2.16023001953125
4,CIFAR10,fedavg,0,0.3,100,0.01,5,49,0.5352,0.54362,0.4089,0.41158,1.3092669921875,1.292449384765625,2.0495857421875,2.0497250390625
5,CIFAR10,fedavg,0,0.3,100,0.01,5,59,0.539,0.54608,0.4551,0.45546,1.361125,1.3371747412109376,1.9746021484375,1.974433173828125
6,CIFAR10,fedavg,0,0.3,100,0.01,5,69,0.4481,0.4601,0.5127,0.51636,1.840203271484375,1.8171683056640624,1.818025244140625,1.8155440576171875
7,CIFAR10,fedavg,0,0.3,100,0.01,5,79,0.4844,0.49256,0.5599,0.56024,1.73378447265625,1.6660207421875,1.6687505859375,1.663483271484375
8,CIFAR10,fedavg,0,0.3,100,0.01,5,89,0.4816,0.48094,0.5826,0.5861,1.79463447265625,1.7417357861328124,1.5569796875,1.5483012890625
9,CIFAR10,fedavg,0,0.3,100,0.01,5,99,0.3889,0.3947,0.6058,0.6111,2.56457578125,2.5333685546875,1.441784423828125,1.4283004345703125
10,CIFAR10,fedavg,0,0.3,100,0.01,5,109,0.5339,0.54292,0.6214,0.62846,2.022343896484375,1.956627666015625,1.352285791015625,1.33515822265625
11,CIFAR10,fedavg,0,0.3,100,0.01,5,119,0.4277,0.43124,0.645,0.65438,2.3888630859375,2.328837685546875,1.2481873046875,1.2232421875
12,CIFAR10,fedavg,0,0.3,100,0.01,5,129,0.6042,0.62572,0.666,0.68162,1.24607763671875,1.158790771484375,1.133951513671875,1.100265830078125
13,CIFAR10,fedavg,0,0.3,100,0.01,5,139,0.6372,0.66136,0.6814,0.70114,1.09328330078125,1.0006787524414062,1.067080078125,1.0251855517578126
14,CIFAR10,fedavg,0,0.3,100,0.01,5,149,0.5546,0.57516,0.6912,0.71536,1.559534619140625,1.47092751953125,0.9971310302734375,0.9483166845703125
15,CIFAR10,fedavg,0,0.3,100,0.01,5,159,0.561,0.57792,0.7057,0.73188,1.566617919921875,1.464674140625,0.93923876953125,0.882067001953125
16,CIFAR10,fedavg,0,0.3,100,0.01,5,169,0.6719,0.68426,0.7193,0.74632,1.023972216796875,0.9408726586914062,0.8624054931640625,0.7943819677734375
17,CIFAR10,fedavg,0,0.3,100,0.01,5,179,0.5099,0.52618,0.7252,0.7536,1.738251513671875,1.6651049267578124,0.8421971923828125,0.770044560546875
18,CIFAR10,fedavg,0,0.3,100,0.01,5,189,0.6417,0.66546,0.7276,0.76058,1.109652490234375,1.0067588818359374,0.8176824951171875,0.7400450146484375
19,CIFAR10,fedavg,0,0.3,100,0.01,5,199,0.5836,0.59818,0.7339,0.76488,1.550949853515625,1.44247134765625,0.80044619140625,0.718627197265625
