,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,2,9,0.2828,0.28378,0.1733,0.17128,2.23838310546875,2.2416367529296877,2.28651220703125,2.28671015625
1,CIFAR10,fedavg,0,0.3,100,0.01,2,19,0.3738,0.3694,0.2431,0.24274,2.15312353515625,2.137944736328125,2.23896357421875,2.239568642578125
2,CIFAR10,fedavg,0,0.3,100,0.01,2,29,0.3358,0.34034,0.3095,0.3148,2.05944326171875,2.0337565234375,2.15553134765625,2.1566309375
3,CIFAR10,fedavg,0,0.3,100,0.01,2,39,0.4055,0.40786,0.3735,0.37124,1.715916650390625,1.706944873046875,2.0667529296875,2.068226513671875
4,CIFAR10,fedavg,0,0.3,100,0.01,2,49,0.3665,0.37054,0.4083,0.40808,2.51200947265625,2.50609025390625,1.986666796875,1.9882655029296874
5,CIFAR10,fedavg,0,0.3,100,0.01,2,59,0.4126,0.42044,0.4626,0.46096,2.53632099609375,2.505676728515625,1.841976708984375,1.843224716796875
6,CIFAR10,fedavg,0,0.3,100,0.01,2,69,0.5116,0.51612,0.5204,0.51974,1.502280810546875,1.46774841796875,1.674779345703125,1.674000771484375
7,CIFAR10,fedavg,0,0.3,100,0.01,2,79,0.6248,0.6344,0.5641,0.56474,1.112226220703125,1.0598544384765625,1.498279345703125,1.4936938720703126
8,CIFAR10,fedavg,0,0.3,100,0.01,2,89,0.4828,0.48552,0.5859,0.58896,2.08745771484375,2.0220529052734375,1.39284287109375,1.3838890283203125
9,CIFAR10,fedavg,0,0.3,100,0.01,2,99,0.6441,0.66326,0.6111,0.61594,1.05889150390625,0.9815875903320312,1.311071484375,1.295977294921875
10,CIFAR10,fedavg,0,0.3,100,0.01,2,109,0.545,0.55998,0.6271,0.63548,1.633265576171875,1.56904802734375,1.237696533203125,1.2168192919921874
11,CIFAR10,fedavg,0,0.3,100,0.01,2,119,0.6248,0.64092,0.6508,0.662,1.19856572265625,1.1298282421875,1.131139208984375,1.1031297119140624
12,CIFAR10,fedavg,0,0.3,100,0.01,2,129,0.6337,0.65064,0.6717,0.68318,1.154502783203125,1.082569990234375,1.0540263671875,1.019019296875
13,CIFAR10,fedavg,0,0.3,100,0.01,2,139,0.3885,0.40626,0.683,0.6972,2.45921806640625,2.370377470703125,1.0023898681640624,0.96139568359375
14,CIFAR10,fedavg,0,0.3,100,0.01,2,149,0.4489,0.451,0.6912,0.70888,2.22225341796875,2.151150849609375,0.9661841064453125,0.9193960546875
15,CIFAR10,fedavg,0,0.3,100,0.01,2,159,0.6516,0.66878,0.7005,0.7203,1.13580400390625,1.042329140625,0.9230622802734375,0.86971404296875
16,CIFAR10,fedavg,0,0.3,100,0.01,2,169,0.5404,0.56228,0.7128,0.73684,1.919123974609375,1.821148994140625,0.8526460693359375,0.7865775341796875
17,CIFAR10,fedavg,0,0.3,100,0.01,2,179,0.5537,0.56496,0.7173,0.74156,1.808949658203125,1.7108168359375,0.840440087890625,0.7714442553710937
18,CIFAR10,fedavg,0,0.3,100,0.01,2,189,0.6455,0.67808,0.7257,0.75194,1.105811083984375,0.9862129443359375,0.81105146484375,0.7340945678710937
19,CIFAR10,fedavg,0,0.3,100,0.01,2,199,0.6445,0.67328,0.73,0.76064,1.277667236328125,1.142790556640625,0.7890723876953125,0.7020355200195313
20,CIFAR10,fedavg,0,0.3,100,0.01,2,209,0.5451,0.56658,0.7371,0.76744,1.829888916015625,1.7236866015625,0.77633212890625,0.6842978833007812
21,CIFAR10,fedavg,0,0.3,100,0.01,2,219,0.5524,0.57744,0.741,0.77252,1.726093115234375,1.5840332275390625,0.76520537109375,0.6681469482421875
22,CIFAR10,fedavg,0,0.3,100,0.01,2,229,0.5763,0.59984,0.7459,0.77814,1.526026171875,1.3855429248046875,0.7538039306640625,0.6519936279296875
23,CIFAR10,fedavg,0,0.3,100,0.01,2,239,0.5306,0.548,0.7454,0.7793,1.771414697265625,1.6516532861328126,0.7500494384765625,0.6478409423828125
24,CIFAR10,fedavg,0,0.3,100,0.01,2,249,0.6871,0.72284,0.7508,0.7857,0.982755029296875,0.8484237622070312,0.7339754150390625,0.6239046313476563
