,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,3,9,0.2787,0.27236,0.1271,0.12658,2.0894880859375,2.088735009765625,2.29377236328125,2.293990224609375
1,CIFAR10,fedavg,0,0.3,100,0.01,3,19,0.3863,0.38664,0.1806,0.17658,1.667480224609375,1.6638233251953125,2.26085595703125,2.26130013671875
2,CIFAR10,fedavg,0,0.3,100,0.01,3,29,0.3156,0.31892,0.3245,0.31946,2.49999814453125,2.514671240234375,2.18013291015625,2.180925654296875
3,CIFAR10,fedavg,0,0.3,100,0.01,3,39,0.2616,0.26428,0.3736,0.37164,3.09882568359375,3.0762816796875,2.12321650390625,2.123752529296875
4,CIFAR10,fedavg,0,0.3,100,0.01,3,49,0.4822,0.4953,0.4036,0.4047,1.45375205078125,1.4219828955078124,2.049030078125,2.049221845703125
5,CIFAR10,fedavg,0,0.3,100,0.01,3,59,0.4003,0.408,0.459,0.45906,2.659155078125,2.64026423828125,1.914565771484375,1.913652373046875
6,CIFAR10,fedavg,0,0.3,100,0.01,3,69,0.4085,0.40964,0.5046,0.5096,2.40985087890625,2.3762820703125,1.786707568359375,1.784126416015625
7,CIFAR10,fedavg,0,0.3,100,0.01,3,79,0.4186,0.42936,0.5435,0.55108,2.014857373046875,1.95162904296875,1.65856640625,1.6526539013671875
8,CIFAR10,fedavg,0,0.3,100,0.01,3,89,0.5151,0.5272,0.5861,0.59456,1.72327470703125,1.6662884326171874,1.49206259765625,1.4806803955078125
9,CIFAR10,fedavg,0,0.3,100,0.01,3,99,0.5851,0.59782,0.6169,0.63062,1.286750048828125,1.241431875,1.324869921875,1.305923662109375
10,CIFAR10,fedavg,0,0.3,100,0.01,3,109,0.5939,0.61142,0.641,0.65938,1.263222216796875,1.1941515576171875,1.184092578125,1.1563108642578126
11,CIFAR10,fedavg,0,0.3,100,0.01,3,119,0.4488,0.46198,0.6638,0.68324,2.52169521484375,2.4011621240234375,1.06547763671875,1.0279194921875
12,CIFAR10,fedavg,0,0.3,100,0.01,3,129,0.4639,0.46826,0.6773,0.69914,2.231085546875,2.163483310546875,1.00092724609375,0.9564173681640625
13,CIFAR10,fedavg,0,0.3,100,0.01,3,139,0.5577,0.58388,0.6859,0.70838,1.548481005859375,1.445957412109375,0.9708748046875,0.92246560546875
14,CIFAR10,fedavg,0,0.3,100,0.01,3,149,0.562,0.5791,0.6924,0.72064,1.506409375,1.4151034375,0.92177021484375,0.8656209130859375
15,CIFAR10,fedavg,0,0.3,100,0.01,3,159,0.6657,0.6915,0.7021,0.72828,1.0066066650390626,0.9071711376953125,0.88793740234375,0.8266614990234376
16,CIFAR10,fedavg,0,0.3,100,0.01,3,169,0.5356,0.55306,0.7097,0.73624,1.7278412109375,1.6310422119140624,0.862077294921875,0.7956882983398438
17,CIFAR10,fedavg,0,0.3,100,0.01,3,179,0.6791,0.7111,0.7211,0.74846,0.9993276123046875,0.8675125341796875,0.82358271484375,0.74791130859375
18,CIFAR10,fedavg,0,0.3,100,0.01,3,189,0.6545,0.67408,0.7266,0.7547,1.101416357421875,0.9863125805664062,0.8084639892578125,0.7265961743164062
19,CIFAR10,fedavg,0,0.3,100,0.01,3,199,0.6873,0.72196,0.7288,0.75888,0.9717750732421875,0.8338846801757812,0.8009310791015625,0.7151637377929687
20,CIFAR10,fedavg,0,0.3,100,0.01,3,209,0.5247,0.54642,0.7356,0.76934,1.732674072265625,1.60924552734375,0.7781283203125,0.679832421875
21,CIFAR10,fedavg,0,0.3,100,0.01,3,219,0.6458,0.67116,0.7388,0.7743,1.279444384765625,1.1340521240234376,0.7691047607421875,0.6641257299804687
22,CIFAR10,fedavg,0,0.3,100,0.01,3,229,0.6109,0.63966,0.7404,0.77852,1.365029638671875,1.2411882104492187,0.76245126953125,0.6552106030273438
23,CIFAR10,fedavg,0,0.3,100,0.01,3,239,0.6527,0.68588,0.7418,0.7805,1.077806298828125,0.9457036499023438,0.7581060791015625,0.6471649243164063
24,CIFAR10,fedavg,0,0.3,100,0.01,3,249,0.6716,0.69298,0.7418,0.78386,1.129403271484375,0.9989204077148438,0.7510134033203125,0.6369955249023438
25,CIFAR10,fedavg,0,0.3,100,0.01,3,259,0.5255,0.5511,0.7465,0.7902,1.988021337890625,1.83165716796875,0.740366845703125,0.6211348486328125
26,CIFAR10,fedavg,0,0.3,100,0.01,3,269,0.6962,0.72974,0.7505,0.79504,0.9713069580078125,0.8270204956054688,0.73028935546875,0.604138349609375
27,CIFAR10,fedavg,0,0.3,100,0.01,3,279,0.5907,0.61364,0.7522,0.79742,1.47552041015625,1.3415018310546876,0.723898779296875,0.595454169921875
28,CIFAR10,fedavg,0,0.3,100,0.01,3,289,0.4847,0.50392,0.7566,0.80194,2.191858203125,2.044115517578125,0.7144180908203125,0.5829108178710938
29,CIFAR10,fedavg,0,0.3,100,0.01,3,299,0.6545,0.68432,0.7573,0.80472,1.2598716796875,1.12052708984375,0.7096678466796875,0.5748628173828125
30,CIFAR10,fedavg,0,0.3,100,0.01,3,309,0.5555,0.5851,0.7595,0.80682,1.635334326171875,1.5205680029296875,0.704921337890625,0.5691740771484375
31,CIFAR10,fedavg,0,0.3,100,0.01,3,319,0.5249,0.54442,0.7644,0.80986,1.81073642578125,1.6563187646484374,0.6997597900390625,0.5584639599609375
32,CIFAR10,fedavg,0,0.3,100,0.01,3,329,0.6875,0.72516,0.7665,0.81138,0.9659077880859375,0.8146502661132813,0.696525,0.55239765625
33,CIFAR10,fedavg,0,0.3,100,0.01,3,339,0.67,0.70696,0.7697,0.81576,1.068712744140625,0.909084208984375,0.6908088623046875,0.53899388671875
34,CIFAR10,fedavg,0,0.3,100,0.01,3,349,0.6871,0.72392,0.7718,0.81816,1.04151630859375,0.8814963208007812,0.6869948486328125,0.5333433471679687
35,CIFAR10,fedavg,0,0.3,100,0.01,3,359,0.6605,0.69872,0.7733,0.81962,1.130917138671875,0.9554351806640625,0.6834103271484375,0.529158115234375
36,CIFAR10,fedavg,0,0.3,100,0.01,3,369,0.7118,0.74968,0.773,0.82168,0.9119797607421875,0.7601588403320313,0.679287841796875,0.523599443359375
37,CIFAR10,fedavg,0,0.3,100,0.01,3,379,0.5074,0.52596,0.7745,0.82304,2.12214892578125,1.949522939453125,0.67432353515625,0.51767759765625
38,CIFAR10,fedavg,0,0.3,100,0.01,3,389,0.5178,0.54086,0.7741,0.82488,2.0121873046875,1.8411279296875,0.67051083984375,0.5129431982421875
39,CIFAR10,fedavg,0,0.3,100,0.01,3,399,0.5825,0.6052,0.7772,0.8263,1.8650412109375,1.668442548828125,0.66622529296875,0.5067474255371094
40,CIFAR10,fedavg,0,0.3,100,0.01,3,409,0.6603,0.70342,0.7788,0.82782,1.087766650390625,0.9181316430664063,0.663719970703125,0.50302712890625
41,CIFAR10,fedavg,0,0.3,100,0.01,3,419,0.6259,0.64804,0.7816,0.82974,1.4417357421875,1.288743701171875,0.6602422607421875,0.49864460327148435
42,CIFAR10,fedavg,0,0.3,100,0.01,3,429,0.6076,0.636,0.7837,0.83142,1.53421796875,1.374919931640625,0.6572471435546875,0.49397262084960936
43,CIFAR10,fedavg,0,0.3,100,0.01,3,439,0.6312,0.66552,0.7818,0.83282,1.192627685546875,1.025307998046875,0.654439111328125,0.49134466918945313
44,CIFAR10,fedavg,0,0.3,100,0.01,3,449,0.7175,0.75806,0.784,0.83388,0.8671362060546876,0.7129807446289063,0.6481739013671876,0.4863118994140625
45,CIFAR10,fedavg,0,0.3,100,0.01,3,459,0.6579,0.69008,0.7846,0.83426,1.20406787109375,1.0414956640625,0.646645947265625,0.48338625
46,CIFAR10,fedavg,0,0.3,100,0.01,3,469,0.6933,0.7375,0.7845,0.83522,0.9711641845703125,0.8050074438476562,0.6461451904296875,0.48035595703125
47,CIFAR10,fedavg,0,0.3,100,0.01,3,479,0.6799,0.71974,0.785,0.83696,1.048119873046875,0.8738474877929687,0.646259814453125,0.4781943701171875
48,CIFAR10,fedavg,0,0.3,100,0.01,3,489,0.6357,0.66872,0.7857,0.8391,1.357301318359375,1.1816830712890625,0.6441627685546875,0.4740583654785156
49,CIFAR10,fedavg,0,0.3,100,0.01,3,499,0.5944,0.63292,0.7848,0.84078,1.52818408203125,1.35637498046875,0.64114404296875,0.46834307250976565
50,CIFAR10,fedavg,0,0.3,100,0.01,3,509,0.5983,0.63302,0.7854,0.84216,1.4893041015625,1.2975186181640626,0.638714013671875,0.4648189453125
51,CIFAR10,fedavg,0,0.3,100,0.01,3,519,0.5436,0.57172,0.7855,0.84312,1.88723623046875,1.7032454931640626,0.6373154296875,0.46327599975585937
52,CIFAR10,fedavg,0,0.3,100,0.01,3,529,0.7295,0.76852,0.7863,0.8442,0.865540185546875,0.6919352783203125,0.6360541748046875,0.46246186279296875
53,CIFAR10,fedavg,0,0.3,100,0.01,3,539,0.6635,0.6949,0.7877,0.84488,1.254219384765625,1.0540353930664061,0.633573828125,0.4595466650390625
54,CIFAR10,fedavg,0,0.3,100,0.01,3,549,0.5488,0.57302,0.788,0.84568,2.11330712890625,1.919588173828125,0.63256962890625,0.456986640625
55,CIFAR10,fedavg,0,0.3,100,0.01,3,559,0.7106,0.74448,0.7884,0.84646,1.053932666015625,0.8805816845703125,0.6314692138671875,0.45534693481445315
56,CIFAR10,fedavg,0,0.3,100,0.01,3,569,0.7255,0.77036,0.7889,0.84678,0.8605667236328125,0.6889007153320312,0.630185400390625,0.4542797253417969
57,CIFAR10,fedavg,0,0.3,100,0.01,3,579,0.6485,0.68236,0.7907,0.8468,1.227581103515625,1.04808619140625,0.628679296875,0.45235463012695315
58,CIFAR10,fedavg,0,0.3,100,0.01,3,589,0.7218,0.75832,0.7922,0.84812,0.9121591064453125,0.7435430395507813,0.6281592041015625,0.4497010217285156
59,CIFAR10,fedavg,0,0.3,100,0.01,3,599,0.704,0.74834,0.7932,0.84962,0.9517424072265624,0.7628864184570312,0.626524267578125,0.44737743408203123
