,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,4,9,0.1872,0.18598,0.1435,0.1421,3.50799921875,3.50162873046875,2.2956306640625,2.29587005859375
1,CIFAR10,fedavg,0,0.3,100,0.01,4,19,0.1998,0.2015,0.1893,0.18928,3.39976533203125,3.390375341796875,2.2777294921875,2.278061201171875
2,CIFAR10,fedavg,0,0.3,100,0.01,4,29,0.2565,0.2541,0.2603,0.26234,3.15211875,3.15461138671875,2.2461552734375,2.24663806640625
3,CIFAR10,fedavg,0,0.3,100,0.01,4,39,0.4984,0.50362,0.3035,0.3061,1.463063427734375,1.4547715283203124,2.190776953125,2.19140708984375
4,CIFAR10,fedavg,0,0.3,100,0.01,4,49,0.3918,0.39548,0.3773,0.3789,2.11345322265625,2.1015293115234375,2.023690869140625,2.024751728515625
5,CIFAR10,fedavg,0,0.3,100,0.01,4,59,0.3978,0.40524,0.4338,0.43688,1.954901513671875,1.9389402197265626,1.9109421875,1.91153111328125
6,CIFAR10,fedavg,0,0.3,100,0.01,4,69,0.5695,0.58234,0.5093,0.51546,1.22442548828125,1.186212294921875,1.698465185546875,1.6963480224609375
7,CIFAR10,fedavg,0,0.3,100,0.01,4,79,0.5604,0.5706,0.5424,0.553,1.2600013671875,1.2199057470703125,1.582426904296875,1.57771705078125
8,CIFAR10,fedavg,0,0.3,100,0.01,4,89,0.4728,0.4744,0.564,0.57468,2.097496484375,2.0411126904296877,1.504984619140625,1.497770087890625
9,CIFAR10,fedavg,0,0.3,100,0.01,4,99,0.5545,0.56654,0.6048,0.62232,1.4329125,1.372309912109375,1.304196337890625,1.2891905224609375
10,CIFAR10,fedavg,0,0.3,100,0.01,4,109,0.5623,0.57812,0.6273,0.64408,1.33057021484375,1.2699909814453125,1.2316798828125,1.2104359228515624
11,CIFAR10,fedavg,0,0.3,100,0.01,4,119,0.4983,0.5052,0.6462,0.66398,1.95656162109375,1.9135120751953125,1.16971494140625,1.14472033203125
12,CIFAR10,fedavg,0,0.3,100,0.01,4,129,0.4122,0.4213,0.6633,0.67724,2.799612890625,2.719686708984375,1.096305908203125,1.066332177734375
13,CIFAR10,fedavg,0,0.3,100,0.01,4,139,0.4823,0.49088,0.6708,0.6892,2.0648357421875,1.96831017578125,1.059198876953125,1.024162685546875
14,CIFAR10,fedavg,0,0.3,100,0.01,4,149,0.4974,0.50724,0.6745,0.695,1.949109716796875,1.8612806494140626,1.045329052734375,1.0071540185546874
15,CIFAR10,fedavg,0,0.3,100,0.01,4,159,0.582,0.60552,0.6869,0.70742,1.44924970703125,1.35060240234375,0.9871658203125,0.941133515625
16,CIFAR10,fedavg,0,0.3,100,0.01,4,169,0.4613,0.48258,0.694,0.71654,2.3758626953125,2.235080546875,0.954305078125,0.9030826538085938
17,CIFAR10,fedavg,0,0.3,100,0.01,4,179,0.5887,0.6094,0.7034,0.72538,1.4643927734375,1.37947720703125,0.9161711181640625,0.8587485864257812
18,CIFAR10,fedavg,0,0.3,100,0.01,4,189,0.6178,0.63138,0.7097,0.73506,1.3111849609375,1.220622216796875,0.887256884765625,0.8245923779296875
19,CIFAR10,fedavg,0,0.3,100,0.01,4,199,0.4961,0.5147,0.717,0.74626,2.23620322265625,2.103698173828125,0.8543434814453125,0.7850797509765625
20,CIFAR10,fedavg,0,0.3,100,0.01,4,209,0.6341,0.65454,0.7227,0.75374,1.23032939453125,1.1221778173828125,0.8264370849609375,0.7506320751953125
21,CIFAR10,fedavg,0,0.3,100,0.01,4,219,0.5067,0.52158,0.7295,0.76162,2.104173828125,2.005219306640625,0.8072289306640625,0.7266908740234375
22,CIFAR10,fedavg,0,0.3,100,0.01,4,229,0.6836,0.71794,0.7367,0.76914,0.969723876953125,0.8497561767578125,0.7858199951171875,0.6988062622070312
23,CIFAR10,fedavg,0,0.3,100,0.01,4,239,0.5163,0.53786,0.7446,0.77794,1.905507666015625,1.784290224609375,0.76118974609375,0.6644099975585938
24,CIFAR10,fedavg,0,0.3,100,0.01,4,249,0.5221,0.53912,0.7474,0.78322,2.08032666015625,1.9303946533203125,0.748042041015625,0.6470679345703125
25,CIFAR10,fedavg,0,0.3,100,0.01,4,259,0.6709,0.69288,0.7525,0.78872,1.08163642578125,0.96298142578125,0.733915673828125,0.627399833984375
26,CIFAR10,fedavg,0,0.3,100,0.01,4,269,0.5809,0.60514,0.7551,0.79086,1.447831005859375,1.3249406689453125,0.7287151123046876,0.621571123046875
27,CIFAR10,fedavg,0,0.3,100,0.01,4,279,0.7236,0.75254,0.759,0.79582,0.86885576171875,0.74577185546875,0.7157812255859375,0.6042755908203125
28,CIFAR10,fedavg,0,0.3,100,0.01,4,289,0.6464,0.67648,0.7639,0.79884,1.23315693359375,1.088697373046875,0.70394541015625,0.5878942041015625
29,CIFAR10,fedavg,0,0.3,100,0.01,4,299,0.6155,0.63904,0.765,0.80086,1.38616865234375,1.2537397998046875,0.6989748046875,0.58210490234375
30,CIFAR10,fedavg,0,0.3,100,0.01,4,309,0.5998,0.62498,0.7679,0.80484,1.356327783203125,1.241289833984375,0.6926943115234375,0.5738389208984375
31,CIFAR10,fedavg,0,0.3,100,0.01,4,319,0.6344,0.65908,0.7688,0.8055,1.386121484375,1.2582821337890624,0.68930986328125,0.5664627905273437
32,CIFAR10,fedavg,0,0.3,100,0.01,4,329,0.7133,0.75168,0.7701,0.80904,0.893944970703125,0.7536744189453125,0.683893310546875,0.55868224609375
33,CIFAR10,fedavg,0,0.3,100,0.01,4,339,0.5704,0.5972,0.7712,0.81146,1.548978466796875,1.4094188134765624,0.6782078125,0.5488179736328125
34,CIFAR10,fedavg,0,0.3,100,0.01,4,349,0.5913,0.6118,0.7736,0.81364,1.54912314453125,1.4109584765625,0.6749072021484375,0.5441072265625
35,CIFAR10,fedavg,0,0.3,100,0.01,4,359,0.54,0.564,0.7738,0.81566,1.897109375,1.7350978564453126,0.672247314453125,0.5391434692382813
36,CIFAR10,fedavg,0,0.3,100,0.01,4,369,0.6117,0.63798,0.7758,0.81658,1.443769970703125,1.285455302734375,0.669413818359375,0.5348472497558594
37,CIFAR10,fedavg,0,0.3,100,0.01,4,379,0.6965,0.7281,0.7796,0.81984,0.945727197265625,0.817839150390625,0.6631524658203125,0.5262554956054688
38,CIFAR10,fedavg,0,0.3,100,0.01,4,389,0.5484,0.56456,0.7827,0.82276,1.847868701171875,1.7028307177734374,0.654048193359375,0.5142939904785157
39,CIFAR10,fedavg,0,0.3,100,0.01,4,399,0.5841,0.6,0.7844,0.82412,1.64394345703125,1.5179672802734374,0.651782568359375,0.5115541979980469
40,CIFAR10,fedavg,0,0.3,100,0.01,4,409,0.624,0.65452,0.7849,0.82586,1.25612626953125,1.1045770458984374,0.648977587890625,0.5078835119628906
41,CIFAR10,fedavg,0,0.3,100,0.01,4,419,0.7158,0.7503,0.7855,0.82782,0.878507861328125,0.7368548974609375,0.6425409423828125,0.500446416015625
42,CIFAR10,fedavg,0,0.3,100,0.01,4,429,0.6373,0.65818,0.7862,0.82882,1.4423884765625,1.27096263671875,0.64097060546875,0.497001181640625
43,CIFAR10,fedavg,0,0.3,100,0.01,4,439,0.5659,0.59138,0.7871,0.8312,1.809718603515625,1.644392578125,0.639177294921875,0.4889383288574219
44,CIFAR10,fedavg,0,0.3,100,0.01,4,449,0.6863,0.71128,0.788,0.83214,1.1199224609375,0.9538370532226562,0.6391093994140625,0.48574826538085936
45,CIFAR10,fedavg,0,0.3,100,0.01,4,459,0.6214,0.64876,0.7881,0.8331,1.3311794921875,1.16879865234375,0.6379244873046875,0.48200617431640624
46,CIFAR10,fedavg,0,0.3,100,0.01,4,469,0.5948,0.6213,0.7894,0.83516,1.488921923828125,1.3196826123046874,0.6364523193359375,0.4773245202636719
47,CIFAR10,fedavg,0,0.3,100,0.01,4,479,0.7079,0.7461,0.7907,0.83602,0.9121570068359375,0.7493022534179687,0.63554453125,0.47509712158203127
48,CIFAR10,fedavg,0,0.3,100,0.01,4,489,0.7085,0.74924,0.7915,0.83772,0.9347473876953125,0.7686178784179688,0.633845703125,0.47082825317382815
