,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,1,9,0.2407,0.23932,0.1185,0.11808,2.23135166015625,2.226256298828125,2.29686572265625,2.296749541015625
1,CIFAR10,fedavg,0,0.3,100,0.01,1,19,0.3195,0.32058,0.2001,0.19648,1.85947216796875,1.8634915283203124,2.26903369140625,2.26901923828125
2,CIFAR10,fedavg,0,0.3,100,0.01,1,29,0.3949,0.39196,0.2843,0.28478,1.70665419921875,1.7004681884765624,2.217897265625,2.21837291015625
3,CIFAR10,fedavg,0,0.3,100,0.01,1,39,0.4836,0.49456,0.3488,0.34916,1.436831787109375,1.4195936865234375,2.131681640625,2.13236974609375
4,CIFAR10,fedavg,0,0.3,100,0.01,1,49,0.466,0.47184,0.4149,0.4181,1.52732353515625,1.5107217236328125,2.020373291015625,2.0210544775390624
5,CIFAR10,fedavg,0,0.3,100,0.01,1,59,0.343,0.34212,0.4839,0.4843,2.5312546875,2.522749052734375,1.8367083984375,1.83609814453125
6,CIFAR10,fedavg,0,0.3,100,0.01,1,69,0.4066,0.40884,0.5355,0.53582,2.08321171875,2.046789326171875,1.6899943359375,1.68749544921875
7,CIFAR10,fedavg,0,0.3,100,0.01,1,79,0.5736,0.5877,0.5637,0.56646,1.241845947265625,1.19247017578125,1.55749404296875,1.5519579833984376
8,CIFAR10,fedavg,0,0.3,100,0.01,1,89,0.4465,0.4555,0.5828,0.5868,2.09777373046875,2.04947908203125,1.479028173828125,1.4709057861328125
9,CIFAR10,fedavg,0,0.3,100,0.01,1,99,0.3396,0.34042,0.6049,0.60862,2.93580224609375,2.8997872265625,1.391143017578125,1.379361162109375
10,CIFAR10,fedavg,0,0.3,100,0.01,1,109,0.477,0.48356,0.6217,0.62892,1.91887802734375,1.8642482470703126,1.283311181640625,1.26705708984375
11,CIFAR10,fedavg,0,0.3,100,0.01,1,119,0.6463,0.66746,0.6409,0.6499,1.0358828125,0.973311484375,1.211072705078125,1.1898225634765625
12,CIFAR10,fedavg,0,0.3,100,0.01,1,129,0.55,0.56884,0.6603,0.6735,1.393407763671875,1.329469140625,1.093572900390625,1.06330306640625
13,CIFAR10,fedavg,0,0.3,100,0.01,1,139,0.5378,0.55178,0.6751,0.69094,1.5229404296875,1.430286875,1.030853125,0.9938674462890625
14,CIFAR10,fedavg,0,0.3,100,0.01,1,149,0.5478,0.56612,0.6889,0.70808,1.477768408203125,1.38992390625,0.949576171875,0.9020805126953125
15,CIFAR10,fedavg,0,0.3,100,0.01,1,159,0.5285,0.53936,0.6947,0.71516,1.923953515625,1.8438265625,0.9262003662109375,0.875477275390625
16,CIFAR10,fedavg,0,0.3,100,0.01,1,169,0.6294,0.65582,0.7026,0.72146,1.113346875,1.0281550341796875,0.8981462158203125,0.8431031396484375
17,CIFAR10,fedavg,0,0.3,100,0.01,1,179,0.55,0.571,0.7103,0.73208,1.6374390625,1.5392911279296875,0.870597900390625,0.8106270678710937
18,CIFAR10,fedavg,0,0.3,100,0.01,1,189,0.6554,0.67732,0.7175,0.74278,1.059436083984375,0.9757481494140625,0.833614697265625,0.7667461108398438
19,CIFAR10,fedavg,0,0.3,100,0.01,1,199,0.5138,0.53442,0.7256,0.75074,1.87176494140625,1.773678076171875,0.814568701171875,0.7440301782226563
20,CIFAR10,fedavg,0,0.3,100,0.01,1,209,0.5993,0.62056,0.733,0.75828,1.387674169921875,1.27379783203125,0.79137001953125,0.7139589868164062
21,CIFAR10,fedavg,0,0.3,100,0.01,1,219,0.5928,0.61772,0.7391,0.7638,1.34687275390625,1.2374442919921875,0.775615869140625,0.6917068920898437
22,CIFAR10,fedavg,0,0.3,100,0.01,1,229,0.6691,0.69914,0.7405,0.7693,1.016382958984375,0.8974334008789062,0.7644694580078125,0.674935625
23,CIFAR10,fedavg,0,0.3,100,0.01,1,239,0.5917,0.60574,0.7468,0.77602,1.409861865234375,1.3091647607421875,0.749382275390625,0.6549678588867187
24,CIFAR10,fedavg,0,0.3,100,0.01,1,249,0.4656,0.48116,0.7501,0.77806,2.1830306640625,2.0499121240234377,0.7439529052734375,0.6444816430664062
25,CIFAR10,fedavg,0,0.3,100,0.01,1,259,0.6003,0.6221,0.7527,0.78256,1.409543798828125,1.27742501953125,0.736859228515625,0.6326802856445313
26,CIFAR10,fedavg,0,0.3,100,0.01,1,269,0.6869,0.71728,0.7565,0.78574,0.97192099609375,0.8493236010742188,0.7306061279296875,0.62229091796875
27,CIFAR10,fedavg,0,0.3,100,0.01,1,279,0.622,0.64436,0.7594,0.78924,1.285325146484375,1.1482956494140626,0.724121923828125,0.6109715869140625
28,CIFAR10,fedavg,0,0.3,100,0.01,1,289,0.6752,0.7052,0.7598,0.79224,1.111745947265625,0.9722175659179687,0.7196590087890625,0.6039578442382812
29,CIFAR10,fedavg,0,0.3,100,0.01,1,299,0.4799,0.5004,0.7608,0.79448,2.2305765625,2.0754596826171876,0.7168931884765625,0.5991043798828125
30,CIFAR10,fedavg,0,0.3,100,0.01,1,309,0.6268,0.64384,0.7635,0.79756,1.297670703125,1.1807125048828124,0.7124851806640625,0.5927898046875
31,CIFAR10,fedavg,0,0.3,100,0.01,1,319,0.6792,0.71416,0.7651,0.80116,1.0042656982421876,0.8596405908203125,0.706902001953125,0.5832590161132812
32,CIFAR10,fedavg,0,0.3,100,0.01,1,329,0.6471,0.68196,0.7674,0.80342,1.2243658203125,1.0696082275390626,0.7027259033203125,0.5749633959960937
33,CIFAR10,fedavg,0,0.3,100,0.01,1,339,0.5052,0.52006,0.768,0.80532,1.97435107421875,1.83945900390625,0.7001001953125,0.5694400903320312
34,CIFAR10,fedavg,0,0.3,100,0.01,1,349,0.6597,0.6921,0.7678,0.80804,1.08067294921875,0.93394830078125,0.69885341796875,0.5644717016601563
35,CIFAR10,fedavg,0,0.3,100,0.01,1,359,0.4638,0.47924,0.7691,0.80944,2.25192109375,2.10314619140625,0.6984465576171875,0.5621591674804688
36,CIFAR10,fedavg,0,0.3,100,0.01,1,369,0.6207,0.64892,0.7704,0.8113,1.33878515625,1.1975997021484375,0.6934296142578125,0.5531673217773437
37,CIFAR10,fedavg,0,0.3,100,0.01,1,379,0.5658,0.58614,0.7683,0.8131,1.629100537109375,1.5098152978515624,0.689614501953125,0.5476220141601562
38,CIFAR10,fedavg,0,0.3,100,0.01,1,389,0.6941,0.73038,0.7717,0.81544,0.9839891845703125,0.8314604443359375,0.68490771484375,0.5406359985351562
39,CIFAR10,fedavg,0,0.3,100,0.01,1,399,0.6874,0.72674,0.7725,0.81706,0.9881238525390625,0.8401893041992188,0.6810123291015625,0.5348008959960937
40,CIFAR10,fedavg,0,0.3,100,0.01,1,409,0.7197,0.75386,0.7733,0.8189,0.8523184814453125,0.735359111328125,0.675865625,0.5303373852539063
41,CIFAR10,fedavg,0,0.3,100,0.01,1,419,0.6688,0.69876,0.7727,0.8207,1.079892333984375,0.9584430639648438,0.6709829345703126,0.52616240234375
42,CIFAR10,fedavg,0,0.3,100,0.01,1,429,0.6255,0.65102,0.776,0.82264,1.263505126953125,1.1410676806640625,0.6648744384765625,0.5210590954589843
43,CIFAR10,fedavg,0,0.3,100,0.01,1,439,0.5827,0.60692,0.7798,0.8243,1.48975537109375,1.33181671875,0.66020244140625,0.5151219689941406
44,CIFAR10,fedavg,0,0.3,100,0.01,1,449,0.5347,0.56008,0.7824,0.82566,1.89606328125,1.728091650390625,0.65759609375,0.5093530944824218
45,CIFAR10,fedavg,0,0.3,100,0.01,1,459,0.5568,0.58306,0.7789,0.82624,1.8253705078125,1.664696953125,0.65734130859375,0.5055966564941407
46,CIFAR10,fedavg,0,0.3,100,0.01,1,469,0.5143,0.53344,0.7815,0.82838,1.97574306640625,1.81717826171875,0.657359814453125,0.501618251953125
47,CIFAR10,fedavg,0,0.3,100,0.01,1,479,0.6013,0.61786,0.7806,0.82942,1.44256572265625,1.332914794921875,0.657419775390625,0.5011953564453125
48,CIFAR10,fedavg,0,0.3,100,0.01,1,489,0.7267,0.76298,0.7813,0.8296,0.913630029296875,0.74866443359375,0.65889365234375,0.5014291809082031
49,CIFAR10,fedavg,0,0.3,100,0.01,1,499,0.6817,0.71942,0.7815,0.83118,1.025872705078125,0.8731687866210938,0.65608701171875,0.4977568115234375
50,CIFAR10,fedavg,0,0.3,100,0.01,1,509,0.7386,0.78174,0.7814,0.83244,0.8051058349609375,0.65136796875,0.6535068115234375,0.4952067297363281
51,CIFAR10,fedavg,0,0.3,100,0.01,1,519,0.6412,0.67482,0.7812,0.834,1.098505126953125,0.9566789477539063,0.64950830078125,0.4909280249023438
52,CIFAR10,fedavg,0,0.3,100,0.01,1,529,0.5603,0.5811,0.7828,0.83508,1.741279638671875,1.584195673828125,0.6455620361328125,0.48619265502929687
53,CIFAR10,fedavg,0,0.3,100,0.01,1,539,0.5243,0.54524,0.7821,0.83668,1.7545052734375,1.6100124072265625,0.643363427734375,0.4824784265136719
54,CIFAR10,fedavg,0,0.3,100,0.01,1,549,0.5864,0.61898,0.7842,0.83784,1.531291943359375,1.336046455078125,0.6400156982421875,0.47847389770507814
55,CIFAR10,fedavg,0,0.3,100,0.01,1,559,0.6189,0.64404,0.7828,0.83826,1.443743896484375,1.2910848193359374,0.635500341796875,0.4746257849121094
56,CIFAR10,fedavg,0,0.3,100,0.01,1,569,0.5281,0.55174,0.7853,0.83956,1.9666556640625,1.7970401708984376,0.6335673828125,0.47286479736328124
