,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,2,9,0.1922,0.19054,0.126,0.12672,2.37046240234375,2.374467294921875,2.29241845703125,2.2924605078125
1,CIFAR10,fedavg,0,0.3,100,0.01,2,19,0.3039,0.301,0.2299,0.23132,2.1572294921875,2.15260119140625,2.2662837890625,2.266306474609375
2,CIFAR10,fedavg,0,0.3,100,0.01,2,29,0.1576,0.15706,0.2929,0.2937,2.9345916015625,2.939896630859375,2.2252416015625,2.225372685546875
3,CIFAR10,fedavg,0,0.3,100,0.01,2,39,0.3896,0.39354,0.3369,0.33906,1.820751708984375,1.808652783203125,2.1699033203125,2.170275673828125
4,CIFAR10,fedavg,0,0.3,100,0.01,2,49,0.392,0.39394,0.3853,0.38848,1.674872802734375,1.659917138671875,2.13070400390625,2.1310159375
5,CIFAR10,fedavg,0,0.3,100,0.01,2,59,0.3767,0.37784,0.4395,0.43814,2.42248125,2.401272294921875,2.0188322265625,2.0192438623046876
6,CIFAR10,fedavg,0,0.3,100,0.01,2,69,0.3782,0.38056,0.497,0.50008,1.95858984375,1.936995263671875,1.857205322265625,1.8568975244140624
7,CIFAR10,fedavg,0,0.3,100,0.01,2,79,0.6026,0.61182,0.5412,0.54558,1.1715978515625,1.14324435546875,1.748760693359375,1.746702724609375
8,CIFAR10,fedavg,0,0.3,100,0.01,2,89,0.449,0.45698,0.5686,0.57488,2.0932232421875,2.0467805712890623,1.651184716796875,1.6473049658203125
9,CIFAR10,fedavg,0,0.3,100,0.01,2,99,0.5934,0.60792,0.5958,0.60562,1.187409765625,1.1421219189453125,1.5431591796875,1.536780810546875
10,CIFAR10,fedavg,0,0.3,100,0.01,2,109,0.5249,0.52986,0.6169,0.62512,1.87105751953125,1.850695869140625,1.42234912109375,1.4128206982421876
11,CIFAR10,fedavg,0,0.3,100,0.01,2,119,0.6099,0.6233,0.636,0.64734,1.174848974609375,1.1284426611328124,1.253324853515625,1.2380089990234375
12,CIFAR10,fedavg,0,0.3,100,0.01,2,129,0.6275,0.6318,0.6538,0.66332,1.10342705078125,1.0673687866210937,1.140813720703125,1.1209303466796876
13,CIFAR10,fedavg,0,0.3,100,0.01,2,139,0.3441,0.3544,0.6656,0.6768,2.79107353515625,2.725110654296875,1.075807958984375,1.0519433447265625
14,CIFAR10,fedavg,0,0.3,100,0.01,2,149,0.364,0.36688,0.6685,0.68202,2.935233984375,2.888977236328125,1.061396435546875,1.035599287109375
15,CIFAR10,fedavg,0,0.3,100,0.01,2,159,0.5604,0.5737,0.6761,0.69152,1.318017626953125,1.2487030078125,0.9857756591796875,0.9537132958984375
16,CIFAR10,fedavg,0,0.3,100,0.01,2,169,0.5359,0.54764,0.6848,0.70168,1.889065283203125,1.820630654296875,0.947191650390625,0.9103633544921875
17,CIFAR10,fedavg,0,0.3,100,0.01,2,179,0.4812,0.49526,0.6957,0.71108,2.2057017578125,2.09018798828125,0.909297265625,0.866536923828125
18,CIFAR10,fedavg,0,0.3,100,0.01,2,189,0.6385,0.65932,0.7,0.71722,1.128209375,1.0314603369140625,0.893142529296875,0.8464230493164062
19,CIFAR10,fedavg,0,0.3,100,0.01,2,199,0.6094,0.62844,0.7065,0.72668,1.2450453125,1.1500364794921876,0.866446533203125,0.8129511474609376
20,CIFAR10,fedavg,0,0.3,100,0.01,2,209,0.5747,0.59346,0.7152,0.73394,1.470434814453125,1.387315859375,0.84814248046875,0.7901995092773437
21,CIFAR10,fedavg,0,0.3,100,0.01,2,219,0.4546,0.46042,0.7197,0.74094,2.24381328125,2.170147177734375,0.828386083984375,0.7652145068359375
22,CIFAR10,fedavg,0,0.3,100,0.01,2,229,0.4593,0.4708,0.7209,0.74434,2.40588984375,2.322054990234375,0.8151886474609376,0.7476326196289063
23,CIFAR10,fedavg,0,0.3,100,0.01,2,239,0.677,0.6978,0.728,0.75436,1.0046118896484375,0.9009481958007812,0.7928660888671875,0.7178909643554687
24,CIFAR10,fedavg,0,0.3,100,0.01,2,249,0.6741,0.70388,0.7352,0.76352,0.9927967529296875,0.878720966796875,0.7733977783203125,0.6922657202148438
25,CIFAR10,fedavg,0,0.3,100,0.01,2,259,0.5185,0.5276,0.735,0.7646,1.89068876953125,1.80672359375,0.7688813232421875,0.6852452319335938
26,CIFAR10,fedavg,0,0.3,100,0.01,2,269,0.618,0.64896,0.7402,0.77062,1.17743505859375,1.0633950146484374,0.75893623046875,0.6713703515625
27,CIFAR10,fedavg,0,0.3,100,0.01,2,279,0.6484,0.67026,0.7422,0.77464,1.161671240234375,1.0639741064453125,0.751987158203125,0.6594553247070313
28,CIFAR10,fedavg,0,0.3,100,0.01,2,289,0.5096,0.53414,0.7467,0.7796,1.766454736328125,1.64100400390625,0.7432927001953125,0.6462250927734375
29,CIFAR10,fedavg,0,0.3,100,0.01,2,299,0.5825,0.6043,0.749,0.78322,1.5682095703125,1.457328232421875,0.736183251953125,0.6350709375
30,CIFAR10,fedavg,0,0.3,100,0.01,2,309,0.4985,0.51766,0.7493,0.7858,2.16812451171875,2.033527998046875,0.73234248046875,0.62749169921875
31,CIFAR10,fedavg,0,0.3,100,0.01,2,319,0.6529,0.67758,0.7525,0.78918,1.08601455078125,0.9734329296875,0.725324951171875,0.6162143286132813
32,CIFAR10,fedavg,0,0.3,100,0.01,2,329,0.5847,0.60698,0.7542,0.79066,1.459909521484375,1.347847958984375,0.720323388671875,0.6098921923828124
33,CIFAR10,fedavg,0,0.3,100,0.01,2,339,0.6863,0.71804,0.7585,0.79398,0.933594287109375,0.8209748999023437,0.712546533203125,0.60120154296875
34,CIFAR10,fedavg,0,0.3,100,0.01,2,349,0.539,0.55926,0.7581,0.796,1.645056396484375,1.52629181640625,0.7089227783203125,0.5963962744140625
35,CIFAR10,fedavg,0,0.3,100,0.01,2,359,0.5329,0.55198,0.7592,0.79804,1.632806591796875,1.5367554296875,0.703305712890625,0.589752451171875
36,CIFAR10,fedavg,0,0.3,100,0.01,2,369,0.5366,0.55626,0.7619,0.7999,1.7877865234375,1.6791030078125,0.6979660400390625,0.582375244140625
37,CIFAR10,fedavg,0,0.3,100,0.01,2,379,0.4787,0.49566,0.7641,0.80142,2.42066123046875,2.286684111328125,0.694563671875,0.576537626953125
38,CIFAR10,fedavg,0,0.3,100,0.01,2,389,0.6198,0.64692,0.7664,0.80462,1.260976416015625,1.1344144677734376,0.6896867919921875,0.5696974072265625
39,CIFAR10,fedavg,0,0.3,100,0.01,2,399,0.7279,0.77038,0.7694,0.80768,0.8255162109375,0.6755940234375,0.6836923828125,0.5604598266601563
40,CIFAR10,fedavg,0,0.3,100,0.01,2,409,0.634,0.66568,0.7701,0.80994,1.2476552734375,1.10287619140625,0.6806990234375,0.5537181225585938
41,CIFAR10,fedavg,0,0.3,100,0.01,2,419,0.692,0.7278,0.7704,0.81172,0.9638735595703125,0.825687939453125,0.678211865234375,0.54956109375
42,CIFAR10,fedavg,0,0.3,100,0.01,2,429,0.6739,0.71138,0.7738,0.81396,0.9801064453125,0.85181732421875,0.67446962890625,0.5443630859375
43,CIFAR10,fedavg,0,0.3,100,0.01,2,439,0.5617,0.5832,0.773,0.81546,1.77061279296875,1.6199646826171874,0.6714657470703125,0.5387268188476563
44,CIFAR10,fedavg,0,0.3,100,0.01,2,449,0.6456,0.67988,0.7762,0.81746,1.151056494140625,1.0096293115234376,0.6681794189453125,0.5331721875
45,CIFAR10,fedavg,0,0.3,100,0.01,2,459,0.6934,0.72484,0.7768,0.81906,1.0157091064453125,0.8724737084960937,0.6658235107421875,0.5284346313476562
46,CIFAR10,fedavg,0,0.3,100,0.01,2,469,0.6627,0.68864,0.779,0.82008,1.16841806640625,1.0292458056640625,0.6642556396484375,0.5234408422851563
47,CIFAR10,fedavg,0,0.3,100,0.01,2,479,0.7069,0.73658,0.7782,0.82168,0.9688253662109375,0.8237299389648437,0.663453173828125,0.5201316333007813
48,CIFAR10,fedavg,0,0.3,100,0.01,2,489,0.6707,0.69434,0.7784,0.82294,1.279933740234375,1.128022666015625,0.660714794921875,0.51505892578125
