,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,2,9,0.3381,0.33056,0.1548,0.15728,2.1453861328125,2.1458317626953125,2.28395791015625,2.28408310546875
1,CIFAR10,fedavg,0,0.3,100,0.01,2,19,0.363,0.36254,0.3513,0.3498,2.04577490234375,2.0263289404296874,2.22002451171875,2.220338095703125
2,CIFAR10,fedavg,0,0.3,100,0.01,2,29,0.3789,0.37944,0.4218,0.421,2.0213609375,1.99085060546875,2.109291015625,2.10998396484375
3,CIFAR10,fedavg,0,0.3,100,0.01,2,39,0.4286,0.42864,0.4627,0.45988,1.87274189453125,1.8617344677734375,1.993431640625,1.99439646484375
4,CIFAR10,fedavg,0,0.3,100,0.01,2,49,0.3856,0.3869,0.4927,0.49176,2.19094052734375,2.183187763671875,1.892568212890625,1.8934971240234375
5,CIFAR10,fedavg,0,0.3,100,0.01,2,59,0.4317,0.43594,0.5278,0.53094,2.31135107421875,2.27991736328125,1.73333193359375,1.732990771484375
6,CIFAR10,fedavg,0,0.3,100,0.01,2,69,0.5157,0.52298,0.5598,0.56528,1.416607958984375,1.3893562646484374,1.5686099609375,1.565576884765625
7,CIFAR10,fedavg,0,0.3,100,0.01,2,79,0.6044,0.62072,0.587,0.59202,1.15444560546875,1.10323693359375,1.4059146484375,1.3987590869140625
8,CIFAR10,fedavg,0,0.3,100,0.01,2,89,0.4912,0.50336,0.6026,0.60712,1.847754248046875,1.7775564013671874,1.312392578125,1.3013632421875
9,CIFAR10,fedavg,0,0.3,100,0.01,2,99,0.6129,0.63148,0.6189,0.62798,1.130341455078125,1.063116259765625,1.244739697265625,1.2293599951171874
10,CIFAR10,fedavg,0,0.3,100,0.01,2,109,0.5577,0.5739,0.6304,0.6431,1.49715205078125,1.43789361328125,1.180998486328125,1.1608287109375
11,CIFAR10,fedavg,0,0.3,100,0.01,2,119,0.6216,0.63446,0.6448,0.65716,1.151860888671875,1.0958799072265626,1.10088447265625,1.0750019384765626
12,CIFAR10,fedavg,0,0.3,100,0.01,2,129,0.6208,0.63326,0.6609,0.67456,1.1443861328125,1.0879964208984374,1.036833154296875,1.005707685546875
13,CIFAR10,fedavg,0,0.3,100,0.01,2,139,0.4066,0.42328,0.6714,0.68442,2.21390048828125,2.119505947265625,0.99698193359375,0.9611252416992188
14,CIFAR10,fedavg,0,0.3,100,0.01,2,149,0.3803,0.38102,0.6786,0.69448,2.74853349609375,2.69961869140625,0.9637968994140625,0.9229131103515625
15,CIFAR10,fedavg,0,0.3,100,0.01,2,159,0.6524,0.6784,0.6856,0.70308,0.9996307861328125,0.9205829736328125,0.9309028076171875,0.8841704370117187
16,CIFAR10,fedavg,0,0.3,100,0.01,2,169,0.5519,0.56514,0.6986,0.71676,1.662023291015625,1.5878029541015626,0.879887158203125,0.8226756372070313
17,CIFAR10,fedavg,0,0.3,100,0.01,2,179,0.4986,0.50616,0.7029,0.72234,2.03461416015625,1.9540479150390626,0.86617802734375,0.8061678247070313
18,CIFAR10,fedavg,0,0.3,100,0.01,2,189,0.5975,0.61382,0.711,0.73364,1.240516015625,1.1443071337890625,0.83969013671875,0.7721905126953125
19,CIFAR10,fedavg,0,0.3,100,0.01,2,199,0.6295,0.65014,0.7155,0.74192,1.25743642578125,1.1615297509765625,0.8196343994140625,0.7443861376953125
20,CIFAR10,fedavg,0,0.3,100,0.01,2,209,0.5264,0.54878,0.7209,0.74778,1.860529443359375,1.7594238623046874,0.8073064208984375,0.7275510229492187
21,CIFAR10,fedavg,0,0.3,100,0.01,2,219,0.5037,0.51576,0.7255,0.75344,1.833610546875,1.7470900830078124,0.79444912109375,0.7108375244140624
22,CIFAR10,fedavg,0,0.3,100,0.01,2,229,0.5972,0.61642,0.7315,0.75868,1.291592919921875,1.20383876953125,0.7820207275390625,0.69624419921875
23,CIFAR10,fedavg,0,0.3,100,0.01,2,239,0.5025,0.5083,0.7343,0.76038,1.757059619140625,1.676639072265625,0.778144970703125,0.6918937329101562
24,CIFAR10,fedavg,0,0.3,100,0.01,2,249,0.6538,0.68862,0.7362,0.76556,1.004613916015625,0.8980886694335938,0.7654336669921875,0.6726071166992188
25,CIFAR10,fedavg,0,0.3,100,0.01,2,259,0.5361,0.54734,0.739,0.76816,1.713168603515625,1.6300853857421875,0.759359423828125,0.663180810546875
26,CIFAR10,fedavg,0,0.3,100,0.01,2,269,0.6698,0.69218,0.7408,0.77192,1.015863720703125,0.9071794189453125,0.7513913330078125,0.6527172290039063
27,CIFAR10,fedavg,0,0.3,100,0.01,2,279,0.6104,0.62928,0.7427,0.77326,1.322209423828125,1.23033646484375,0.74816826171875,0.6479921630859375
28,CIFAR10,fedavg,0,0.3,100,0.01,2,289,0.4809,0.49806,0.7458,0.77724,1.871148291015625,1.74886009765625,0.7412252197265625,0.6383330712890625
29,CIFAR10,fedavg,0,0.3,100,0.01,2,299,0.5203,0.53172,0.7491,0.77994,1.937601611328125,1.8412665087890625,0.734230322265625,0.62990763671875
30,CIFAR10,fedavg,0,0.3,100,0.01,2,309,0.5306,0.54638,0.7522,0.78238,1.89806513671875,1.789390458984375,0.7279255126953125,0.622660322265625
31,CIFAR10,fedavg,0,0.3,100,0.01,2,319,0.6495,0.66396,0.754,0.78468,1.027791064453125,0.9383093041992188,0.7209937744140625,0.6150996923828125
32,CIFAR10,fedavg,0,0.3,100,0.01,2,329,0.5882,0.60694,0.7561,0.78564,1.35503154296875,1.26161626953125,0.71698623046875,0.6107946606445313
33,CIFAR10,fedavg,0,0.3,100,0.01,2,339,0.606,0.6226,0.7583,0.78934,1.320216552734375,1.2119456982421875,0.7093681884765625,0.603269560546875
34,CIFAR10,fedavg,0,0.3,100,0.01,2,349,0.4704,0.48072,0.7579,0.79024,1.93924931640625,1.8302907470703125,0.7076719970703125,0.6001557177734375
35,CIFAR10,fedavg,0,0.3,100,0.01,2,359,0.4934,0.50998,0.7605,0.7911,1.751123681640625,1.655603408203125,0.7045923583984375,0.5959201831054688
36,CIFAR10,fedavg,0,0.3,100,0.01,2,369,0.4853,0.50212,0.7602,0.79304,1.831608056640625,1.722847275390625,0.7004326416015625,0.5914564404296875
37,CIFAR10,fedavg,0,0.3,100,0.01,2,379,0.6054,0.6287,0.76,0.79382,1.291100830078125,1.171378984375,0.699019921875,0.5891355834960937
38,CIFAR10,fedavg,0,0.3,100,0.01,2,389,0.5642,0.57906,0.7594,0.79406,1.384001220703125,1.284699208984375,0.69836162109375,0.5872765087890625
39,CIFAR10,fedavg,0,0.3,100,0.01,2,399,0.6029,0.62542,0.7603,0.79438,1.241348046875,1.137019365234375,0.69763984375,0.5855087524414062
40,CIFAR10,fedavg,0,0.3,100,0.01,2,409,0.5974,0.61702,0.7594,0.79554,1.297647265625,1.20125951171875,0.6961397216796875,0.5837903735351563
41,CIFAR10,fedavg,0,0.3,100,0.01,2,419,0.6875,0.7157,0.76,0.7951,0.8925373046875,0.803224169921875,0.6967028076171875,0.5832633154296875
42,CIFAR10,fedavg,0,0.3,100,0.01,2,429,0.6776,0.70726,0.7604,0.79482,0.9212079833984375,0.8241746069335938,0.697713134765625,0.5830487426757812
43,CIFAR10,fedavg,0,0.3,100,0.01,2,439,0.6697,0.69774,0.7627,0.796,0.95982705078125,0.8587506274414063,0.6963119384765625,0.5814636694335937
44,CIFAR10,fedavg,0,0.3,100,0.01,2,449,0.5805,0.60596,0.762,0.79694,1.29116982421875,1.1774640625,0.6918582275390625,0.5780672900390625
45,CIFAR10,fedavg,0,0.3,100,0.01,2,459,0.6487,0.66804,0.7614,0.79782,1.16166416015625,1.0695949291992188,0.689853564453125,0.576414931640625
46,CIFAR10,fedavg,0,0.3,100,0.01,2,469,0.6249,0.64954,0.7627,0.79824,1.122381494140625,1.029893134765625,0.6887458984375,0.575726484375
47,CIFAR10,fedavg,0,0.3,100,0.01,2,479,0.6704,0.68962,0.7632,0.79844,0.974592626953125,0.8847913696289063,0.68654013671875,0.5741388842773437
48,CIFAR10,fedavg,0,0.3,100,0.01,2,489,0.6806,0.7003,0.7629,0.79894,1.0452515625,0.9609279711914063,0.6853286865234375,0.5730758203125
49,CIFAR10,fedavg,0,0.3,100,0.01,2,499,0.6561,0.68122,0.7637,0.79938,0.99147744140625,0.9052040161132813,0.6824631103515625,0.5721247924804688
50,CIFAR10,fedavg,0,0.3,100,0.01,2,509,0.4222,0.42906,0.7653,0.79986,2.09287412109375,1.9870531298828125,0.68069677734375,0.5713895629882813
51,CIFAR10,fedavg,0,0.3,100,0.01,2,519,0.622,0.6439,0.7653,0.79936,1.100313232421875,1.0180481469726563,0.6805420654296875,0.5719201733398438
52,CIFAR10,fedavg,0,0.3,100,0.01,2,529,0.561,0.57866,0.7634,0.79948,1.439203857421875,1.361815517578125,0.680353271484375,0.5730079443359375
53,CIFAR10,fedavg,0,0.3,100,0.01,2,539,0.5859,0.60078,0.7619,0.79828,1.296930419921875,1.2190345678710937,0.6790996826171875,0.5756000903320313
54,CIFAR10,fedavg,0,0.3,100,0.01,2,549,0.6056,0.61936,0.7639,0.79878,1.192574755859375,1.116615859375,0.676458984375,0.5756358349609375
55,CIFAR10,fedavg,0,0.3,100,0.01,2,559,0.6614,0.68146,0.7632,0.79852,0.995550537109375,0.9142671655273438,0.6771934326171875,0.577032470703125
56,CIFAR10,fedavg,0,0.3,100,0.01,2,569,0.6316,0.64596,0.7646,0.79738,1.082115966796875,1.0066569677734376,0.6779378173828124,0.5798632153320312
57,CIFAR10,fedavg,0,0.3,100,0.01,2,579,0.643,0.66376,0.7641,0.79718,1.0261091796875,0.9507664770507812,0.67762734375,0.5804481103515625
58,CIFAR10,fedavg,0,0.3,100,0.01,2,589,0.57,0.591,0.7642,0.7969,1.26869775390625,1.1799163720703125,0.6778578125,0.58341509765625
59,CIFAR10,fedavg,0,0.3,100,0.01,2,599,0.4464,0.45502,0.7639,0.79632,1.90450068359375,1.826473076171875,0.677988037109375,0.5841540600585937
60,CIFAR10,fedavg,0,0.3,100,0.01,2,609,0.6867,0.70572,0.7635,0.79458,0.910840625,0.8345044506835938,0.68023125,0.587968681640625
61,CIFAR10,fedavg,0,0.3,100,0.01,2,619,0.5661,0.57982,0.7636,0.79494,1.55129970703125,1.48379984375,0.6826373291015625,0.5963242065429688
62,CIFAR10,fedavg,0,0.3,100,0.01,2,629,0.4514,0.45786,0.7635,0.79452,1.8903849609375,1.82325287109375,0.683714013671875,0.5988346826171875
63,CIFAR10,fedavg,0,0.3,100,0.01,2,639,0.5957,0.60968,0.763,0.79256,1.268709619140625,1.2084721240234375,0.6855475830078125,0.6027124633789063
64,CIFAR10,fedavg,0,0.3,100,0.01,2,649,0.5324,0.54612,0.7638,0.79208,1.62534130859375,1.550979228515625,0.688337060546875,0.6066802001953125
65,CIFAR10,fedavg,0,0.3,100,0.01,2,659,0.6288,0.64768,0.7643,0.7923,1.129780517578125,1.0644226513671875,0.6881849853515625,0.607468388671875
66,CIFAR10,fedavg,0,0.3,100,0.01,2,669,0.59,0.60574,0.765,0.79094,1.21615,1.1571451123046874,0.6898082275390625,0.6105705834960937
67,CIFAR10,fedavg,0,0.3,100,0.01,2,679,0.4931,0.50346,0.7635,0.79072,1.50247802734375,1.442937109375,0.6916658203125,0.613621591796875
68,CIFAR10,fedavg,0,0.3,100,0.01,2,689,0.5205,0.53296,0.7639,0.78976,1.574278125,1.4953269921875,0.69260615234375,0.6152142504882813
