,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,3,9,0.3286,0.32714,0.1711,0.1662,2.06298828125,2.0664092431640624,2.28866337890625,2.28867052734375
1,CIFAR10,fedavg,0,0.3,100,0.01,3,19,0.3873,0.38274,0.2691,0.26748,1.718818701171875,1.7330535205078126,2.2521373046875,2.252492880859375
2,CIFAR10,fedavg,0,0.3,100,0.01,3,29,0.3274,0.32988,0.3777,0.37574,2.20050625,2.2179358984375,2.1587650390625,2.159574267578125
3,CIFAR10,fedavg,0,0.3,100,0.01,3,39,0.3924,0.3912,0.4366,0.43918,2.16492099609375,2.16252060546875,2.03670048828125,2.038227353515625
4,CIFAR10,fedavg,0,0.3,100,0.01,3,49,0.4707,0.47528,0.4717,0.47298,1.59125078125,1.5664151904296875,1.94300810546875,1.944502568359375
5,CIFAR10,fedavg,0,0.3,100,0.01,3,59,0.3772,0.37798,0.5093,0.51054,2.56912197265625,2.542765498046875,1.83097470703125,1.8322288671875
6,CIFAR10,fedavg,0,0.3,100,0.01,3,69,0.477,0.48702,0.5444,0.5408,1.728405615234375,1.6907458447265624,1.730826953125,1.7310173291015625
7,CIFAR10,fedavg,0,0.3,100,0.01,3,79,0.4772,0.48306,0.5801,0.5826,1.704779296875,1.6852344873046874,1.56934892578125,1.56675994140625
8,CIFAR10,fedavg,0,0.3,100,0.01,3,89,0.5224,0.53572,0.5996,0.60586,1.588500146484375,1.540947216796875,1.475120361328125,1.4697665576171874
9,CIFAR10,fedavg,0,0.3,100,0.01,3,99,0.5569,0.56394,0.6181,0.62478,1.349670849609375,1.3091268701171874,1.370561083984375,1.3614654736328125
10,CIFAR10,fedavg,0,0.3,100,0.01,3,109,0.6025,0.62048,0.6499,0.65862,1.184903662109375,1.1213389599609376,1.207160546875,1.18902443359375
11,CIFAR10,fedavg,0,0.3,100,0.01,3,119,0.6021,0.61948,0.6708,0.68372,1.197739501953125,1.139636787109375,1.06154326171875,1.03226427734375
12,CIFAR10,fedavg,0,0.3,100,0.01,3,129,0.4226,0.426,0.685,0.70074,2.2115708984375,2.1561192724609377,0.97069013671875,0.931580947265625
13,CIFAR10,fedavg,0,0.3,100,0.01,3,139,0.5446,0.56066,0.6917,0.71056,1.571154736328125,1.5071216455078125,0.942650927734375,0.8992536865234375
14,CIFAR10,fedavg,0,0.3,100,0.01,3,149,0.5619,0.57818,0.6975,0.7182,1.39873603515625,1.324840302734375,0.901000927734375,0.8500434106445313
15,CIFAR10,fedavg,0,0.3,100,0.01,3,159,0.6574,0.68038,0.7024,0.724,1.05358505859375,0.9682138793945313,0.880519580078125,0.8258527661132813
16,CIFAR10,fedavg,0,0.3,100,0.01,3,169,0.4906,0.50238,0.708,0.73146,1.9391818359375,1.8553908935546874,0.856105517578125,0.795942724609375
