,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,2,9,0.3054,0.30044,0.1427,0.14238,2.21173798828125,2.2157087451171873,2.28921591796875,2.289341875
1,CIFAR10,fedavg,0,0.3,100,0.01,2,19,0.3509,0.35094,0.1998,0.2026,2.29063349609375,2.262941455078125,2.25737412109375,2.257426796875
2,CIFAR10,fedavg,0,0.3,100,0.01,2,29,0.2496,0.24764,0.2505,0.2543,3.1174013671875,3.10081248046875,2.20096953125,2.2013169140625
3,CIFAR10,fedavg,0,0.3,100,0.01,2,39,0.4354,0.43376,0.3186,0.32328,2.04351162109375,2.031793876953125,2.1178208984375,2.11840853515625
4,CIFAR10,fedavg,0,0.3,100,0.01,2,49,0.4009,0.40914,0.3751,0.37518,2.247517578125,2.1976899609375,2.0633896484375,2.063994755859375
5,CIFAR10,fedavg,0,0.3,100,0.01,2,59,0.4045,0.40768,0.4625,0.46676,2.562366015625,2.4879544921875,1.921329736328125,1.9211610498046876
6,CIFAR10,fedavg,0,0.3,100,0.01,2,69,0.3917,0.39654,0.5299,0.53942,2.2620451171875,2.2267859375,1.738379833984375,1.735173515625
7,CIFAR10,fedavg,0,0.3,100,0.01,2,79,0.6128,0.63334,0.5621,0.57492,1.14972060546875,1.076667939453125,1.6286640625,1.6213067919921875
8,CIFAR10,fedavg,0,0.3,100,0.01,2,89,0.4578,0.46518,0.5836,0.59862,2.15275244140625,2.085055654296875,1.535270556640625,1.52335375
9,CIFAR10,fedavg,0,0.3,100,0.01,2,99,0.6402,0.66576,0.6096,0.62796,1.09874716796875,0.993884658203125,1.4288232421875,1.41026244140625
10,CIFAR10,fedavg,0,0.3,100,0.01,2,109,0.568,0.5886,0.6312,0.65082,1.6539056640625,1.5637141845703124,1.313086376953125,1.28708291015625
11,CIFAR10,fedavg,0,0.3,100,0.01,2,119,0.6307,0.65182,0.6557,0.67854,1.157669140625,1.0647936865234375,1.155762353515625,1.1169245849609375
12,CIFAR10,fedavg,0,0.3,100,0.01,2,129,0.6377,0.65906,0.6714,0.69924,1.150700439453125,1.0457006005859375,1.053910595703125,1.0044034130859374
13,CIFAR10,fedavg,0,0.3,100,0.01,2,139,0.4314,0.45208,0.6875,0.71426,2.28287216796875,2.163204912109375,0.9942364013671875,0.9363349487304687
14,CIFAR10,fedavg,0,0.3,100,0.01,2,149,0.4184,0.42516,0.6907,0.72098,2.57509482421875,2.497494541015625,0.978567236328125,0.9176288647460937
15,CIFAR10,fedavg,0,0.3,100,0.01,2,159,0.5848,0.61088,0.7016,0.7316,1.36933681640625,1.240190078125,0.9065590576171875,0.8329087231445312
16,CIFAR10,fedavg,0,0.3,100,0.01,2,169,0.5593,0.57596,0.711,0.74312,1.735237109375,1.6197958203125,0.8707457275390625,0.7890569653320313
17,CIFAR10,fedavg,0,0.3,100,0.01,2,179,0.5189,0.53502,0.7191,0.75106,2.0356048828125,1.9025326806640626,0.837636083984375,0.7470075317382813
18,CIFAR10,fedavg,0,0.3,100,0.01,2,189,0.627,0.66332,0.7236,0.7572,1.196004736328125,1.0487391015625,0.8241989501953125,0.7298206201171875
19,CIFAR10,fedavg,0,0.3,100,0.01,2,199,0.6328,0.65852,0.7309,0.76706,1.216468017578125,1.0827432470703124,0.7995651611328125,0.697131181640625
20,CIFAR10,fedavg,0,0.3,100,0.01,2,209,0.5701,0.59314,0.7365,0.77422,1.645605810546875,1.5094142919921876,0.785259814453125,0.6786871142578125
21,CIFAR10,fedavg,0,0.3,100,0.01,2,219,0.4576,0.46698,0.7434,0.77988,2.4672013671875,2.2807590625,0.769264794921875,0.6572985327148437
22,CIFAR10,fedavg,0,0.3,100,0.01,2,229,0.4857,0.50482,0.746,0.78342,2.1743775390625,2.0372162109375,0.759147216796875,0.6412176806640625
23,CIFAR10,fedavg,0,0.3,100,0.01,2,239,0.6393,0.67198,0.7534,0.79166,1.200988330078125,1.0385762646484376,0.7408660888671875,0.6156472924804688
24,CIFAR10,fedavg,0,0.3,100,0.01,2,249,0.6523,0.6942,0.7602,0.7988,1.088491064453125,0.9194305883789062,0.7257279052734374,0.5941991577148438
25,CIFAR10,fedavg,0,0.3,100,0.01,2,259,0.5399,0.55574,0.7606,0.80108,1.82316123046875,1.68908921875,0.721000537109375,0.587022412109375
26,CIFAR10,fedavg,0,0.3,100,0.01,2,269,0.6355,0.66846,0.7603,0.8042,1.1620140625,1.02078359375,0.7150864990234375,0.57871087890625
27,CIFAR10,fedavg,0,0.3,100,0.01,2,279,0.6182,0.6434,0.761,0.8067,1.435575439453125,1.2885327734375,0.7096865478515625,0.5682163842773438
