,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.01,4,9,0.2424,0.2404,0.1417,0.14048,3.17833212890625,3.1672250390625,2.2883427734375,2.28852384765625
1,CIFAR10,fedavg,0,0.3,100,0.01,4,19,0.2655,0.2637,0.2614,0.26444,3.0747208984375,3.063751279296875,2.26075234375,2.26076943359375
2,CIFAR10,fedavg,0,0.3,100,0.01,4,29,0.3381,0.33504,0.3029,0.30354,2.67737548828125,2.67270837890625,2.2189705078125,2.21911201171875
3,CIFAR10,fedavg,0,0.3,100,0.01,4,39,0.5178,0.52592,0.3795,0.37302,1.48344716796875,1.455116416015625,2.15773271484375,2.15794970703125
4,CIFAR10,fedavg,0,0.3,100,0.01,4,49,0.3969,0.40412,0.4635,0.46784,2.33962939453125,2.2912705078125,1.97244833984375,1.9713352099609376
5,CIFAR10,fedavg,0,0.3,100,0.01,4,59,0.412,0.42,0.5059,0.51376,2.16536103515625,2.1159505322265626,1.856336474609375,1.852981513671875
6,CIFAR10,fedavg,0,0.3,100,0.01,4,69,0.5875,0.61136,0.5633,0.57156,1.1854216796875,1.11826685546875,1.64383310546875,1.6347316259765625
7,CIFAR10,fedavg,0,0.3,100,0.01,4,79,0.5708,0.5978,0.5839,0.59502,1.236042333984375,1.1520650390625,1.53562353515625,1.5219809521484375
8,CIFAR10,fedavg,0,0.3,100,0.01,4,89,0.466,0.481,0.6,0.61376,2.07575927734375,1.980142021484375,1.46375087890625,1.4459414697265625
9,CIFAR10,fedavg,0,0.3,100,0.01,4,99,0.4668,0.47846,0.6306,0.64962,2.0030166015625,1.8935684619140625,1.271046142578125,1.2411719287109375
10,CIFAR10,fedavg,0,0.3,100,0.01,4,109,0.5737,0.5954,0.6482,0.66892,1.323999267578125,1.2310765673828126,1.20411787109375,1.1662844873046876
11,CIFAR10,fedavg,0,0.3,100,0.01,4,119,0.4979,0.51124,0.6595,0.68188,1.85515556640625,1.7515232470703126,1.151790625,1.1078166259765625
12,CIFAR10,fedavg,0,0.3,100,0.01,4,129,0.4513,0.46682,0.6686,0.69282,2.560541015625,2.44747982421875,1.0876375,1.036689541015625
13,CIFAR10,fedavg,0,0.3,100,0.01,4,139,0.5541,0.57664,0.6807,0.70308,1.603013330078125,1.491144052734375,1.049119580078125,0.9930905053710938
14,CIFAR10,fedavg,0,0.3,100,0.01,4,149,0.4351,0.44996,0.6833,0.70854,2.378276953125,2.24405916015625,1.0336599609375,0.9747016259765625
15,CIFAR10,fedavg,0,0.3,100,0.01,4,159,0.5679,0.59496,0.691,0.72236,1.599488232421875,1.474909765625,0.9797051513671875,0.9116852490234375
16,CIFAR10,fedavg,0,0.3,100,0.01,4,169,0.4447,0.46608,0.6995,0.7316,2.61719580078125,2.486482763671875,0.94942666015625,0.8766389721679687
17,CIFAR10,fedavg,0,0.3,100,0.01,4,179,0.5701,0.5902,0.7083,0.73994,1.562140380859375,1.4520661083984374,0.910855712890625,0.8319523999023437
18,CIFAR10,fedavg,0,0.3,100,0.01,4,189,0.6211,0.6445,0.7145,0.74884,1.26055419921875,1.132860947265625,0.8827196044921874,0.7989165844726562
19,CIFAR10,fedavg,0,0.3,100,0.01,4,199,0.5041,0.53582,0.7237,0.7579,2.25903505859375,2.06159380859375,0.8493006591796874,0.759408037109375
20,CIFAR10,fedavg,0,0.3,100,0.01,4,209,0.6239,0.64646,0.7282,0.76552,1.288876123046875,1.169341142578125,0.820896533203125,0.7228392456054687
21,CIFAR10,fedavg,0,0.3,100,0.01,4,219,0.5033,0.52066,0.733,0.77292,2.219305078125,2.108454560546875,0.801772265625,0.699798837890625
22,CIFAR10,fedavg,0,0.3,100,0.01,4,229,0.6846,0.72234,0.7408,0.77894,0.9662214599609374,0.8277374462890625,0.7805852783203125,0.6735773461914063
23,CIFAR10,fedavg,0,0.3,100,0.01,4,239,0.5015,0.52066,0.7472,0.7863,2.44425791015625,2.2809218359375,0.7524555908203125,0.6366688256835937
24,CIFAR10,fedavg,0,0.3,100,0.01,4,249,0.5275,0.54418,0.7525,0.7918,1.9858291015625,1.841833564453125,0.7394153076171875,0.6214381567382813
25,CIFAR10,fedavg,0,0.3,100,0.01,4,259,0.6735,0.70902,0.7573,0.7986,1.012732568359375,0.8649078881835938,0.7250123291015625,0.6027460229492188
26,CIFAR10,fedavg,0,0.3,100,0.01,4,269,0.5598,0.58496,0.7597,0.8002,1.588009814453125,1.4569092724609376,0.7215768798828125,0.598009638671875
27,CIFAR10,fedavg,0,0.3,100,0.01,4,279,0.7133,0.76178,0.7638,0.80454,0.8967565673828125,0.7239659985351562,0.710196875,0.5808766235351562
28,CIFAR10,fedavg,0,0.3,100,0.01,4,289,0.6598,0.69734,0.7689,0.80902,1.150537451171875,0.9810356420898437,0.70008671875,0.5627235766601563
29,CIFAR10,fedavg,0,0.3,100,0.01,4,299,0.6424,0.6743,0.7702,0.8111,1.3024974609375,1.149671220703125,0.69626103515625,0.557627275390625
30,CIFAR10,fedavg,0,0.3,100,0.01,4,309,0.6164,0.64978,0.7696,0.81346,1.235592822265625,1.0841656640625,0.692031494140625,0.5503955102539062
31,CIFAR10,fedavg,0,0.3,100,0.01,4,319,0.6103,0.63594,0.7712,0.81556,1.573487060546875,1.405085712890625,0.6881079345703125,0.5411838037109375
32,CIFAR10,fedavg,0,0.3,100,0.01,4,329,0.6988,0.7401,0.7724,0.81948,0.954703759765625,0.7876016772460938,0.6829061767578125,0.5330240966796875
33,CIFAR10,fedavg,0,0.3,100,0.01,4,339,0.5545,0.58452,0.7743,0.82292,1.699705224609375,1.5135060205078126,0.674980322265625,0.5210845129394531
34,CIFAR10,fedavg,0,0.3,100,0.01,4,349,0.5564,0.57746,0.7727,0.82464,1.81144580078125,1.6625355615234374,0.67275810546875,0.51694626953125
35,CIFAR10,fedavg,0,0.3,100,0.01,4,359,0.5227,0.55192,0.773,0.82628,1.980097607421875,1.8111110205078125,0.669822509765625,0.5126389489746094
36,CIFAR10,fedavg,0,0.3,100,0.01,4,369,0.6068,0.63656,0.7749,0.82712,1.4426197265625,1.27339041015625,0.66679443359375,0.5084099719238281
37,CIFAR10,fedavg,0,0.3,100,0.01,4,379,0.6895,0.72732,0.7756,0.83016,0.9633006103515624,0.8121102416992187,0.66142822265625,0.5015857702636719
38,CIFAR10,fedavg,0,0.3,100,0.01,4,389,0.5123,0.52824,0.7789,0.8336,2.01932587890625,1.8552473828125,0.654854345703125,0.49165633056640623
39,CIFAR10,fedavg,0,0.3,100,0.01,4,399,0.583,0.60462,0.7829,0.83334,1.620609130859375,1.4590796875,0.6514103759765625,0.4888887976074219
40,CIFAR10,fedavg,0,0.3,100,0.01,4,409,0.6388,0.67846,0.7824,0.83468,1.1675484375,0.98626189453125,0.6493564453125,0.4870474169921875
41,CIFAR10,fedavg,0,0.3,100,0.01,4,419,0.7105,0.75198,0.7834,0.83588,0.9203688720703125,0.7481747631835938,0.645507275390625,0.48218380126953125
42,CIFAR10,fedavg,0,0.3,100,0.01,4,429,0.598,0.62332,0.7853,0.83826,1.646959814453125,1.4659929736328126,0.6428470703125,0.47869121704101564
43,CIFAR10,fedavg,0,0.3,100,0.01,4,439,0.5654,0.59254,0.7852,0.83982,1.816207421875,1.634244111328125,0.63828134765625,0.4696604833984375
44,CIFAR10,fedavg,0,0.3,100,0.01,4,449,0.6829,0.71046,0.7856,0.84048,1.107181591796875,0.94385095703125,0.6372380126953126,0.46762810791015624
45,CIFAR10,fedavg,0,0.3,100,0.01,4,459,0.6247,0.65592,0.7868,0.84164,1.36350693359375,1.215023720703125,0.6339537841796875,0.46329278930664064
46,CIFAR10,fedavg,0,0.3,100,0.01,4,469,0.5898,0.61432,0.7863,0.84256,1.486767333984375,1.33788787109375,0.63199677734375,0.45920384033203127
47,CIFAR10,fedavg,0,0.3,100,0.01,4,479,0.7068,0.74924,0.7906,0.8439,0.9216854736328125,0.7463422338867187,0.628817724609375,0.45597912719726563
48,CIFAR10,fedavg,0,0.3,100,0.01,4,489,0.6902,0.73834,0.7914,0.84614,0.9635126708984375,0.788128662109375,0.6262104248046875,0.451614248046875
49,CIFAR10,fedavg,0,0.3,100,0.01,4,499,0.6849,0.7269,0.7914,0.84772,1.06396123046875,0.8869406787109375,0.624028466796875,0.4482757568359375
50,CIFAR10,fedavg,0,0.3,100,0.01,4,509,0.5746,0.60382,0.7923,0.85002,1.703039013671875,1.538862607421875,0.6210308349609375,0.44326729370117185
51,CIFAR10,fedavg,0,0.3,100,0.01,4,519,0.6739,0.708,0.792,0.85146,1.166008251953125,0.981199697265625,0.618877294921875,0.44002819458007814
52,CIFAR10,fedavg,0,0.3,100,0.01,4,529,0.7234,0.7728,0.7918,0.8523,0.86689697265625,0.6865873803710938,0.6169901123046875,0.43634641845703126
53,CIFAR10,fedavg,0,0.3,100,0.01,4,539,0.5305,0.55188,0.7929,0.8528,2.02012744140625,1.8461901953125,0.6159131103515625,0.43184640380859374
54,CIFAR10,fedavg,0,0.3,100,0.01,4,549,0.5771,0.60172,0.7957,0.85366,1.747812646484375,1.556736904296875,0.6147128173828125,0.42940165771484373
55,CIFAR10,fedavg,0,0.3,100,0.01,4,559,0.5962,0.62752,0.7945,0.85402,1.523963916015625,1.324780224609375,0.6146655029296875,0.42765095703125
56,CIFAR10,fedavg,0,0.3,100,0.01,4,569,0.6868,0.73476,0.7968,0.85532,1.0146116943359376,0.8161476391601562,0.6138218017578125,0.42537489379882815
57,CIFAR10,fedavg,0,0.3,100,0.01,4,579,0.6371,0.67308,0.7967,0.85632,1.3082626953125,1.10383685546875,0.6111099853515625,0.4222293505859375
58,CIFAR10,fedavg,0,0.3,100,0.01,4,589,0.7249,0.7686,0.7981,0.85588,0.8657677734375,0.677317998046875,0.609070361328125,0.4212151281738281
59,CIFAR10,fedavg,0,0.3,100,0.01,4,599,0.5023,0.52646,0.799,0.85712,2.312222265625,2.1122780859375,0.6080749267578125,0.41953697021484376
