,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.1,2,9,0.5106,0.51214,0.4266,0.4243,1.346729345703125,1.3403012353515624,1.87967451171875,1.8830179736328125
1,CIFAR10,fedavg,0,0.3,100,0.1,2,19,0.58,0.597,0.5664,0.5768,1.228721923828125,1.1686692822265625,1.300620849609375,1.2842743505859375
2,CIFAR10,fedavg,0,0.3,100,0.1,2,29,0.6328,0.6645,0.6304,0.65636,1.07258779296875,0.9759080322265625,1.062187353515625,0.99713685546875
3,CIFAR10,fedavg,0,0.3,100,0.1,2,39,0.6602,0.68878,0.6663,0.70112,1.061794580078125,0.9193981176757813,0.973415234375,0.8666274462890625
4,CIFAR10,fedavg,0,0.3,100,0.1,2,49,0.6886,0.73304,0.6853,0.72706,0.963330859375,0.794419951171875,0.9248107421875,0.7909448852539063
5,CIFAR10,fedavg,0,0.3,100,0.1,2,59,0.6989,0.7436,0.701,0.7491,0.952522119140625,0.7639649487304687,0.890422021484375,0.731772763671875
6,CIFAR10,fedavg,0,0.3,100,0.1,2,69,0.6918,0.74434,0.7117,0.77064,0.94380302734375,0.74386484375,0.85648173828125,0.6675162426757812
7,CIFAR10,fedavg,0,0.3,100,0.1,2,79,0.7129,0.76706,0.7227,0.78446,0.9062156005859375,0.6884171899414062,0.8297251953125,0.62820732421875
8,CIFAR10,fedavg,0,0.3,100,0.1,2,89,0.7197,0.77312,0.7319,0.79566,0.8843007080078125,0.6604286059570312,0.80907861328125,0.5952901416015625
9,CIFAR10,fedavg,0,0.3,100,0.1,2,99,0.7353,0.79908,0.7397,0.80724,0.8251577880859375,0.5863593920898438,0.789960302734375,0.5618209252929688
10,CIFAR10,fedavg,0,0.3,100,0.1,2,109,0.7366,0.8018,0.7451,0.81524,0.81077021484375,0.575844130859375,0.7763914306640625,0.5374427209472656
11,CIFAR10,fedavg,0,0.3,100,0.1,2,119,0.7315,0.79296,0.7494,0.82124,0.8427181884765625,0.6010268115234375,0.764668359375,0.5211372119140625
12,CIFAR10,fedavg,0,0.3,100,0.1,2,129,0.7414,0.8091,0.7493,0.82586,0.7972239501953124,0.5555008361816406,0.75629296875,0.5084346936035157
13,CIFAR10,fedavg,0,0.3,100,0.1,2,139,0.7413,0.81142,0.7525,0.82816,0.7998400146484375,0.547460048828125,0.7507441650390625,0.4987542053222656
14,CIFAR10,fedavg,0,0.3,100,0.1,2,149,0.7481,0.82026,0.7564,0.83272,0.783037841796875,0.5247164501953125,0.73667236328125,0.48582183349609376
15,CIFAR10,fedavg,0,0.3,100,0.1,2,159,0.7559,0.8296,0.7601,0.83678,0.75101630859375,0.49654590698242185,0.7239550537109375,0.4734461791992188
16,CIFAR10,fedavg,0,0.3,100,0.1,2,169,0.7223,0.79434,0.7629,0.84198,0.852728466796875,0.6075496435546875,0.719889111328125,0.46077957641601563
17,CIFAR10,fedavg,0,0.3,100,0.1,2,179,0.7451,0.82366,0.7643,0.84532,0.7869261474609375,0.5193609521484375,0.715615625,0.45110366455078127
18,CIFAR10,fedavg,0,0.3,100,0.1,2,189,0.7438,0.82526,0.7659,0.84758,0.7593823486328125,0.5007934631347656,0.7096853759765624,0.4449040844726562
19,CIFAR10,fedavg,0,0.3,100,0.1,2,199,0.7383,0.8134,0.7678,0.84928,0.829417919921875,0.5448185034179688,0.702633544921875,0.4384970642089844
20,CIFAR10,fedavg,0,0.3,100,0.1,2,209,0.7575,0.8322,0.7682,0.8494,0.74318369140625,0.48414605224609375,0.6970647705078125,0.43381480590820315
21,CIFAR10,fedavg,0,0.3,100,0.1,2,219,0.7171,0.77168,0.7713,0.85098,0.93509921875,0.6819280004882813,0.6913430419921875,0.4277125756835938
22,CIFAR10,fedavg,0,0.3,100,0.1,2,229,0.7667,0.83932,0.7764,0.85536,0.726223583984375,0.46481439697265625,0.6857743896484375,0.42166093017578127
23,CIFAR10,fedavg,0,0.3,100,0.1,2,239,0.7592,0.83492,0.7776,0.8581,0.7410954345703125,0.4754615100097656,0.6836790771484375,0.41488406982421877
24,CIFAR10,fedavg,0,0.3,100,0.1,2,249,0.7662,0.84524,0.7745,0.85932,0.7196774169921875,0.44972402221679686,0.6816141845703125,0.41115642822265625
25,CIFAR10,fedavg,0,0.3,100,0.1,2,259,0.7465,0.81408,0.7762,0.8584,0.830995849609375,0.557000986328125,0.6830806884765624,0.409394892578125
26,CIFAR10,fedavg,0,0.3,100,0.1,2,269,0.724,0.7886,0.7759,0.86096,0.9116717041015625,0.6392078955078125,0.6779046142578125,0.4070756005859375
27,CIFAR10,fedavg,0,0.3,100,0.1,2,279,0.7566,0.8257,0.7792,0.86124,0.7835574462890625,0.5066810864257812,0.6712484375,0.40488146240234374
28,CIFAR10,fedavg,0,0.3,100,0.1,2,289,0.7193,0.7925,0.7803,0.86318,0.8768638671875,0.60868833984375,0.6682297607421875,0.40124935791015626
29,CIFAR10,fedavg,0,0.3,100,0.1,2,299,0.7593,0.83336,0.7848,0.86388,0.754900439453125,0.480285283203125,0.667866015625,0.39890859008789065
