,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.1,2,9,0.5084,0.51498,0.4354,0.43802,1.3563099609375,1.34804673828125,1.8727775390625,1.875164619140625
1,CIFAR10,fedavg,0,0.3,100,0.1,2,19,0.5915,0.60786,0.5663,0.57724,1.206535302734375,1.1515345361328124,1.297206982421875,1.28162025390625
2,CIFAR10,fedavg,0,0.3,100,0.1,2,29,0.6342,0.65904,0.6317,0.65214,1.08594794921875,0.9920224047851562,1.06319052734375,1.001003291015625
3,CIFAR10,fedavg,0,0.3,100,0.1,2,39,0.6616,0.69466,0.6618,0.69378,1.0372048828125,0.8984713598632813,0.9793072021484375,0.8749683984375
4,CIFAR10,fedavg,0,0.3,100,0.1,2,49,0.6905,0.7339,0.6796,0.72296,0.9457287353515625,0.7813738403320313,0.93410458984375,0.799515654296875
5,CIFAR10,fedavg,0,0.3,100,0.1,2,59,0.6955,0.74396,0.6984,0.74236,0.947707763671875,0.76258109375,0.89881064453125,0.7388106030273438
6,CIFAR10,fedavg,0,0.3,100,0.1,2,69,0.6904,0.7405,0.7131,0.7646,0.95114833984375,0.755557353515625,0.86079912109375,0.674464873046875
7,CIFAR10,fedavg,0,0.3,100,0.1,2,79,0.7194,0.7696,0.7248,0.78064,0.8949208984375,0.68011625,0.8316565673828125,0.6316407690429687
8,CIFAR10,fedavg,0,0.3,100,0.1,2,89,0.7181,0.77122,0.7314,0.7924,0.86917353515625,0.6560910180664062,0.81262216796875,0.59776798828125
9,CIFAR10,fedavg,0,0.3,100,0.1,2,99,0.7362,0.79424,0.7411,0.80338,0.8229607177734375,0.5885934936523437,0.7882197998046875,0.5643994653320312
10,CIFAR10,fedavg,0,0.3,100,0.1,2,109,0.7305,0.79926,0.7472,0.81276,0.8242875244140625,0.583809931640625,0.7754068603515625,0.54093275390625
11,CIFAR10,fedavg,0,0.3,100,0.1,2,119,0.727,0.79332,0.7511,0.8183,0.8455005859375,0.6045399267578125,0.7670521240234375,0.5249503503417968
12,CIFAR10,fedavg,0,0.3,100,0.1,2,129,0.7437,0.80556,0.7537,0.82406,0.7959603759765626,0.5626298693847657,0.7514579345703125,0.5084715246582031
13,CIFAR10,fedavg,0,0.3,100,0.1,2,139,0.7398,0.80324,0.7567,0.82726,0.8150514892578125,0.5659011376953125,0.743253369140625,0.4979675012207031
14,CIFAR10,fedavg,0,0.3,100,0.1,2,149,0.7517,0.82064,0.7602,0.83038,0.764522412109375,0.5167380517578125,0.7336533447265625,0.4864962915039063
15,CIFAR10,fedavg,0,0.3,100,0.1,2,159,0.7555,0.8301,0.7647,0.83544,0.747497021484375,0.4926467663574219,0.724896923828125,0.4748366845703125
16,CIFAR10,fedavg,0,0.3,100,0.1,2,169,0.728,0.7986,0.7645,0.84004,0.832238330078125,0.5835292553710938,0.7224974609375,0.46112896118164065
17,CIFAR10,fedavg,0,0.3,100,0.1,2,179,0.7506,0.81844,0.7632,0.84264,0.799005712890625,0.5290476391601563,0.7195931396484375,0.45293762451171876
18,CIFAR10,fedavg,0,0.3,100,0.1,2,189,0.7497,0.82672,0.7663,0.84548,0.7551855224609375,0.499659873046875,0.7097400634765625,0.44373616821289064
19,CIFAR10,fedavg,0,0.3,100,0.1,2,199,0.7497,0.82002,0.7716,0.8483,0.7847080322265625,0.5187235278320312,0.6996667236328125,0.4366451013183594
20,CIFAR10,fedavg,0,0.3,100,0.1,2,209,0.7607,0.83458,0.7724,0.85006,0.7371744873046875,0.4801139416503906,0.692933984375,0.4313296789550781
21,CIFAR10,fedavg,0,0.3,100,0.1,2,219,0.7285,0.79122,0.7739,0.85138,0.87108017578125,0.6220794091796875,0.6905939697265625,0.42835635131835936
22,CIFAR10,fedavg,0,0.3,100,0.1,2,229,0.7681,0.84066,0.7756,0.85422,0.7285156982421875,0.46298624755859374,0.686660302734375,0.4225782470703125
23,CIFAR10,fedavg,0,0.3,100,0.1,2,239,0.759,0.83278,0.7763,0.85746,0.7433676513671875,0.4795292138671875,0.678622705078125,0.4134668908691406
24,CIFAR10,fedavg,0,0.3,100,0.1,2,249,0.7699,0.84498,0.7769,0.85972,0.7108322509765626,0.4481155029296875,0.6758148193359375,0.40909246337890626
25,CIFAR10,fedavg,0,0.3,100,0.1,2,259,0.7449,0.80898,0.7807,0.85976,0.835319091796875,0.569555517578125,0.676426708984375,0.4084924377441406
26,CIFAR10,fedavg,0,0.3,100,0.1,2,269,0.7256,0.78412,0.7802,0.85998,0.93230859375,0.675631025390625,0.6765127197265625,0.40685738525390625
27,CIFAR10,fedavg,0,0.3,100,0.1,2,279,0.7621,0.8283,0.7806,0.86094,0.7669708984375,0.4952509045410156,0.67358251953125,0.4037369702148437
28,CIFAR10,fedavg,0,0.3,100,0.1,2,289,0.7277,0.79548,0.7835,0.86156,0.8473078125,0.5871742211914063,0.66766357421875,0.3997486682128906
29,CIFAR10,fedavg,0,0.3,100,0.1,2,299,0.7594,0.83564,0.7839,0.86344,0.73242734375,0.4705978173828125,0.66206748046875,0.39626048217773435
