,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavg,0,0.3,100,0.1,3,9,0.4937,0.49314,0.4034,0.40316,1.400265869140625,1.39714669921875,1.952187744140625,1.9533204736328125
1,CIFAR10,fedavg,0,0.3,100,0.1,3,19,0.5834,0.59126,0.5574,0.56448,1.186123681640625,1.1545152001953125,1.3125279296875,1.30352974609375
2,CIFAR10,fedavg,0,0.3,100,0.1,3,29,0.6309,0.64812,0.6285,0.64052,1.083910693359375,1.012459560546875,1.086956494140625,1.048084462890625
3,CIFAR10,fedavg,0,0.3,100,0.1,3,39,0.6623,0.69208,0.666,0.6864,1.029391455078125,0.91826015625,0.9816852783203125,0.9110230712890625
4,CIFAR10,fedavg,0,0.3,100,0.1,3,49,0.6889,0.72258,0.6932,0.7207,0.945009619140625,0.818320205078125,0.91216669921875,0.8151282348632812
5,CIFAR10,fedavg,0,0.3,100,0.1,3,59,0.7103,0.74798,0.7123,0.74828,0.886470751953125,0.7430303955078125,0.861627978515625,0.7334793432617187
6,CIFAR10,fedavg,0,0.3,100,0.1,3,69,0.7202,0.76374,0.7264,0.7676,0.861198095703125,0.690669140625,0.831039599609375,0.6795680541992187
7,CIFAR10,fedavg,0,0.3,100,0.1,3,79,0.7224,0.7682,0.7318,0.7803,0.86440791015625,0.6864574877929688,0.8088361328125,0.6385364916992188
8,CIFAR10,fedavg,0,0.3,100,0.1,3,89,0.7415,0.7919,0.7427,0.79388,0.8024823486328125,0.6114760791015625,0.787597900390625,0.6014853759765625
9,CIFAR10,fedavg,0,0.3,100,0.1,3,99,0.7402,0.7981,0.7494,0.8022,0.805429931640625,0.6051403955078125,0.7717,0.5750199096679688
10,CIFAR10,fedavg,0,0.3,100,0.1,3,109,0.7308,0.78852,0.7552,0.81428,0.8283138671875,0.6151964282226563,0.751993701171875,0.5480257592773438
11,CIFAR10,fedavg,0,0.3,100,0.1,3,119,0.7432,0.80106,0.7605,0.82116,0.8233769287109375,0.5958029809570312,0.7404510009765625,0.5273955053710937
12,CIFAR10,fedavg,0,0.3,100,0.1,3,129,0.7466,0.80184,0.7601,0.8239,0.7946379150390624,0.5800389794921875,0.7339600830078125,0.5126775048828125
13,CIFAR10,fedavg,0,0.3,100,0.1,3,139,0.7363,0.7945,0.7644,0.8301,0.805157958984375,0.598295419921875,0.7188631103515625,0.4951833837890625
14,CIFAR10,fedavg,0,0.3,100,0.1,3,149,0.7571,0.81812,0.7693,0.83606,0.7678002197265625,0.5291694580078125,0.7061779052734375,0.47908208251953127
15,CIFAR10,fedavg,0,0.3,100,0.1,3,159,0.7515,0.8132,0.7717,0.83846,0.78444248046875,0.553546259765625,0.7014419677734375,0.4718143017578125
16,CIFAR10,fedavg,0,0.3,100,0.1,3,169,0.7656,0.8296,0.7722,0.84174,0.744771923828125,0.5016637817382813,0.6971792724609375,0.46194746826171873
17,CIFAR10,fedavg,0,0.3,100,0.1,3,179,0.7648,0.83254,0.7753,0.8456,0.74033876953125,0.4929101489257813,0.69370517578125,0.45236967529296873
18,CIFAR10,fedavg,0,0.3,100,0.1,3,189,0.7599,0.82724,0.7773,0.84888,0.7656066162109375,0.5172550073242187,0.6872770263671875,0.4430003527832031
19,CIFAR10,fedavg,0,0.3,100,0.1,3,199,0.763,0.82844,0.7768,0.85038,0.7543140380859376,0.5102743322753907,0.684278173828125,0.4380081030273438
20,CIFAR10,fedavg,0,0.3,100,0.1,3,209,0.7693,0.8332,0.7802,0.85416,0.72566943359375,0.48164803833007813,0.6774911376953126,0.4289216955566406
21,CIFAR10,fedavg,0,0.3,100,0.1,3,219,0.771,0.83764,0.7815,0.85506,0.7351512939453125,0.47511993774414063,0.6713987060546875,0.42205313720703125
22,CIFAR10,fedavg,0,0.3,100,0.1,3,229,0.7562,0.82008,0.7853,0.85652,0.76332236328125,0.5240785229492188,0.668481982421875,0.41671654541015624
23,CIFAR10,fedavg,0,0.3,100,0.1,3,239,0.7475,0.8125,0.7856,0.85882,0.8378922607421875,0.5630893872070313,0.66435712890625,0.41216870971679687
24,CIFAR10,fedavg,0,0.3,100,0.1,3,249,0.7714,0.83978,0.7872,0.86124,0.7175052001953125,0.4651337585449219,0.658605078125,0.4041204736328125
25,CIFAR10,fedavg,0,0.3,100,0.1,3,259,0.783,0.85156,0.7876,0.8616,0.6929340576171875,0.43743080322265626,0.6566020263671875,0.4026467004394531
26,CIFAR10,fedavg,0,0.3,100,0.1,3,269,0.779,0.85348,0.7889,0.86402,0.6846409912109375,0.432745673828125,0.6527694091796875,0.39592306640625
27,CIFAR10,fedavg,0,0.3,100,0.1,3,279,0.7736,0.84886,0.7873,0.86526,0.698694287109375,0.44278966430664063,0.6504776611328125,0.3931531335449219
28,CIFAR10,fedavg,0,0.3,100,0.1,3,289,0.7816,0.85714,0.7863,0.8665,0.6790890380859375,0.42232981689453125,0.65121962890625,0.39094862915039064
29,CIFAR10,fedavg,0,0.3,100,0.1,3,299,0.7698,0.83692,0.7883,0.86838,0.741461474609375,0.4777346655273437,0.649187109375,0.3874884069824219
