,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0,100,0.01,3,9,0.4085,0.40864,0.1544,0.15634,1.653556298828125,1.6577565966796874,2.2910365234375,2.291123056640625
1,CIFAR10,feddecorr,0,0,100,0.01,3,19,0.521,0.52412,0.2475,0.24188,1.3287345703125,1.321789052734375,2.26601416015625,2.266253837890625
2,CIFAR10,feddecorr,0,0,100,0.01,3,29,0.5169,0.52242,0.2619,0.26182,1.408679931640625,1.3810405859375,2.20874697265625,2.208849091796875
3,CIFAR10,feddecorr,0,0,100,0.01,3,39,0.5499,0.56278,0.3282,0.3294,1.33956923828125,1.301323857421875,2.1176119140625,2.11730294921875
4,CIFAR10,feddecorr,0,0,100,0.01,3,49,0.5959,0.61492,0.3798,0.38112,1.22156298828125,1.15603619140625,2.037776806640625,2.0366726806640627
5,CIFAR10,feddecorr,0,0,100,0.01,3,59,0.6121,0.63462,0.4343,0.43696,1.171685302734375,1.106832724609375,1.92972939453125,1.92686005859375
6,CIFAR10,feddecorr,0,0,100,0.01,3,69,0.6305,0.6475,0.4804,0.48784,1.1572013671875,1.0906828955078125,1.836393798828125,1.8309993408203125
7,CIFAR10,feddecorr,0,0,100,0.01,3,79,0.6503,0.67522,0.5568,0.5655,1.05239375,0.9653398657226563,1.655987451171875,1.64459236328125
8,CIFAR10,feddecorr,0,0,100,0.01,3,89,0.675,0.6972,0.5854,0.59938,1.016893701171875,0.9416589965820312,1.548119775390625,1.53128630859375
9,CIFAR10,feddecorr,0,0,100,0.01,3,99,0.6947,0.72554,0.6213,0.63524,0.9277935546875,0.8229281005859375,1.41759189453125,1.3945565380859375
10,CIFAR10,feddecorr,0,0,100,0.01,3,109,0.7137,0.7495,0.6696,0.69452,0.8667605712890625,0.7461632739257813,1.2029630859375,1.1657697802734375
11,CIFAR10,feddecorr,0,0,100,0.01,3,119,0.7161,0.7518,0.7035,0.7364,0.8680220458984375,0.7431361865234375,1.00015185546875,0.945284140625
12,CIFAR10,feddecorr,0,0,100,0.01,3,129,0.67,0.69208,0.7234,0.7594,1.099711279296875,0.9898948315429688,0.8775529296875,0.8067739794921875
13,CIFAR10,feddecorr,0,0,100,0.01,3,139,0.699,0.73682,0.7324,0.771,0.97849931640625,0.8273231225585937,0.853009326171875,0.7770034790039062
14,CIFAR10,feddecorr,0,0,100,0.01,3,149,0.666,0.70432,0.7412,0.78212,1.1028013671875,0.9406364282226563,0.7972039794921875,0.7087885009765625
15,CIFAR10,feddecorr,0,0,100,0.01,3,159,0.741,0.77824,0.746,0.78888,0.8002224609375,0.6609462036132813,0.7760434326171874,0.681741572265625
16,CIFAR10,feddecorr,0,0,100,0.01,3,169,0.7044,0.73964,0.753,0.79654,1.0143444580078125,0.8602251245117187,0.751307568359375,0.6493585913085937
17,CIFAR10,feddecorr,0,0,100,0.01,3,179,0.7467,0.79064,0.7609,0.80456,0.807163330078125,0.6422002880859375,0.733355322265625,0.6258845043945312
18,CIFAR10,feddecorr,0,0,100,0.01,3,189,0.7472,0.79276,0.7657,0.81216,0.773238330078125,0.6209629309082031,0.703050830078125,0.5807859777832032
19,CIFAR10,feddecorr,0,0,100,0.01,3,199,0.7561,0.80724,0.7713,0.81904,0.796109619140625,0.5960996594238281,0.6858425537109375,0.5516623937988281
20,CIFAR10,feddecorr,0,0,100,0.01,3,209,0.7159,0.7506,0.776,0.82468,0.93546904296875,0.7770743627929687,0.6744441162109375,0.5302568542480469
21,CIFAR10,feddecorr,0,0,100,0.01,3,219,0.7549,0.80174,0.7763,0.82898,0.777959375,0.5978558349609375,0.665415576171875,0.5124062707519531
22,CIFAR10,feddecorr,0,0,100,0.01,3,229,0.7188,0.76914,0.7789,0.83128,0.9269142578125,0.7286692065429687,0.6614699951171875,0.5046300109863281
