,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0,100,0.01,4,9,0.4234,0.41862,0.1049,0.10342,1.577242822265625,1.5794951806640625,2.29121259765625,2.291292861328125
1,CIFAR10,feddecorr,0,0,100,0.01,4,19,0.4703,0.46936,0.2273,0.2282,1.515667822265625,1.501358857421875,2.26099248046875,2.26116962890625
2,CIFAR10,feddecorr,0,0,100,0.01,4,29,0.5538,0.56216,0.3146,0.31454,1.27881279296875,1.2467058154296875,2.20934677734375,2.209625322265625
3,CIFAR10,feddecorr,0,0,100,0.01,4,39,0.6087,0.6185,0.3683,0.37022,1.134733984375,1.0955326708984374,2.1129642578125,2.112946044921875
4,CIFAR10,feddecorr,0,0,100,0.01,4,49,0.6079,0.62428,0.4194,0.4238,1.149549560546875,1.0954220703125,2.00528583984375,2.0041626513671873
5,CIFAR10,feddecorr,0,0,100,0.01,4,59,0.6075,0.62568,0.4613,0.46626,1.19967568359375,1.1312567529296875,1.904070654296875,1.9009861962890624
6,CIFAR10,feddecorr,0,0,100,0.01,4,69,0.6714,0.69256,0.503,0.50938,0.998994482421875,0.9261648803710938,1.802103955078125,1.7964966552734376
7,CIFAR10,feddecorr,0,0,100,0.01,4,79,0.657,0.67714,0.5674,0.57784,1.043985205078125,0.9658473486328125,1.597228271484375,1.5852185791015625
8,CIFAR10,feddecorr,0,0,100,0.01,4,89,0.6449,0.66708,0.6065,0.62196,1.15085546875,1.0511353393554688,1.479504931640625,1.461190810546875
9,CIFAR10,feddecorr,0,0,100,0.01,4,99,0.6752,0.6977,0.6629,0.68342,1.04389990234375,0.9412813745117188,1.2139001953125,1.1819616357421876
10,CIFAR10,feddecorr,0,0,100,0.01,4,109,0.6963,0.72806,0.6846,0.70722,0.9363402099609375,0.81994275390625,1.12867763671875,1.0895296728515624
11,CIFAR10,feddecorr,0,0,100,0.01,4,119,0.6903,0.72278,0.7069,0.73216,1.02269951171875,0.8877523486328125,1.0227486328125,0.97348109375
12,CIFAR10,feddecorr,0,0,100,0.01,4,129,0.6874,0.71284,0.7161,0.74364,1.024700439453125,0.90488,0.9692006103515625,0.9139972094726563
13,CIFAR10,feddecorr,0,0,100,0.01,4,139,0.7265,0.766,0.7283,0.75876,0.845284423828125,0.6987620483398438,0.9239101318359375,0.8620712841796875
