,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0,100,0.01,2,9,0.498,0.49842,0.177,0.1747,1.396442138671875,1.395538115234375,2.28836767578125,2.288679765625
1,CIFAR10,feddecorr,0,0,100,0.01,2,19,0.5763,0.59532,0.2497,0.25114,1.31179111328125,1.243681923828125,2.26313681640625,2.263588037109375
2,CIFAR10,feddecorr,0,0,100,0.01,2,29,0.5757,0.59404,0.307,0.30918,1.65566904296875,1.5488403076171875,2.20900556640625,2.209329970703125
3,CIFAR10,feddecorr,0,0,100,0.01,2,39,0.6024,0.61856,0.3673,0.3738,1.332304931640625,1.258920751953125,2.1098296875,2.108922314453125
4,CIFAR10,feddecorr,0,0,100,0.01,2,49,0.611,0.63882,0.4092,0.41124,1.526448974609375,1.40108783203125,2.04394892578125,2.0413562890625
5,CIFAR10,feddecorr,0,0,100,0.01,2,59,0.6474,0.67438,0.5191,0.52704,1.265547265625,1.1256857275390626,1.847990283203125,1.83953029296875
6,CIFAR10,feddecorr,0,0,100,0.01,2,69,0.6578,0.68606,0.605,0.62474,1.230488525390625,1.0927591455078125,1.575530517578125,1.5552187451171875
7,CIFAR10,feddecorr,0,0,100,0.01,2,79,0.6954,0.7347,0.6404,0.6674,1.021097265625,0.8654135815429688,1.426094677734375,1.39653
8,CIFAR10,feddecorr,0,0,100,0.01,2,89,0.6682,0.70272,0.6647,0.69754,1.253595166015625,1.0863839697265625,1.302688916015625,1.264131474609375
9,CIFAR10,feddecorr,0,0,100,0.01,2,99,0.7345,0.7805,0.6895,0.72606,0.89970263671875,0.7113174609375,1.174900244140625,1.125563759765625
10,CIFAR10,feddecorr,0,0,100,0.01,2,109,0.6827,0.71718,0.7102,0.74872,1.23935166015625,1.056028447265625,1.037416748046875,0.9748961938476562
11,CIFAR10,feddecorr,0,0,100,0.01,2,119,0.7231,0.76728,0.7273,0.77042,1.00548232421875,0.8024367651367188,0.8804720703125,0.7962558251953125
12,CIFAR10,feddecorr,0,0,100,0.01,2,129,0.7266,0.771,0.74,0.78404,0.9328144775390625,0.7582679565429687,0.805321337890625,0.70427345703125
13,CIFAR10,feddecorr,0,0,100,0.01,2,139,0.6933,0.72988,0.7477,0.79418,1.079753564453125,0.91002876953125,0.768882763671875,0.6561983374023438
14,CIFAR10,feddecorr,0,0,100,0.01,2,149,0.6513,0.68682,0.7488,0.7983,1.41826083984375,1.20927330078125,0.764238134765625,0.64947240234375
15,CIFAR10,feddecorr,0,0,100,0.01,2,159,0.6846,0.72308,0.756,0.8097,1.259932666015625,1.048065712890625,0.72443359375,0.5906192822265625
16,CIFAR10,feddecorr,0,0,100,0.01,2,169,0.6964,0.7371,0.7603,0.8154,1.06460458984375,0.888115068359375,0.7095523681640625,0.56648521484375
17,CIFAR10,feddecorr,0,0,100,0.01,2,179,0.6998,0.7393,0.7642,0.82,1.07347177734375,0.89232546875,0.6999523681640625,0.5450469165039062
18,CIFAR10,feddecorr,0,0,100,0.01,2,189,0.7369,0.78466,0.7695,0.82316,0.932774755859375,0.7185094702148438,0.690730029296875,0.5340663305664063
19,CIFAR10,feddecorr,0,0,100,0.01,2,199,0.7002,0.74618,0.7735,0.82872,1.165887646484375,0.9449750512695313,0.67909931640625,0.514853232421875
20,CIFAR10,feddecorr,0,0,100,0.01,2,209,0.7021,0.74728,0.7777,0.83292,1.044901318359375,0.8542364379882813,0.670743408203125,0.503461748046875
21,CIFAR10,feddecorr,0,0,100,0.01,2,219,0.7138,0.75566,0.78,0.8363,1.0321275390625,0.8588513452148437,0.665646923828125,0.49177205810546876
