,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0,100,0.01,2,9,0.4631,0.46552,0.1647,0.16732,1.501205419921875,1.4981339794921875,2.293487109375,2.29383064453125
1,CIFAR10,feddecorr,0,0,100,0.01,2,19,0.5513,0.56066,0.2203,0.2215,1.2745287109375,1.251488837890625,2.27510615234375,2.275324365234375
2,CIFAR10,feddecorr,0,0,100,0.01,2,29,0.5505,0.56202,0.2552,0.25746,1.5173919921875,1.459098798828125,2.23544736328125,2.23555119140625
3,CIFAR10,feddecorr,0,0,100,0.01,2,39,0.5484,0.56108,0.3437,0.34726,1.565247021484375,1.51293541015625,2.1534482421875,2.153028193359375
4,CIFAR10,feddecorr,0,0,100,0.01,2,49,0.5911,0.60576,0.3931,0.39688,1.541288037109375,1.446584814453125,2.097037109375,2.0955144921875
5,CIFAR10,feddecorr,0,0,100,0.01,2,59,0.6367,0.6573,0.4982,0.5045,1.217288232421875,1.1298504931640625,1.929599853515625,1.924390810546875
6,CIFAR10,feddecorr,0,0,100,0.01,2,69,0.6443,0.6689,0.5934,0.60422,1.1651130859375,1.0715979833984375,1.674835400390625,1.6623998388671875
7,CIFAR10,feddecorr,0,0,100,0.01,2,79,0.7185,0.73712,0.6332,0.65122,0.9145845947265625,0.8150554565429687,1.515738134765625,1.4964690966796874
8,CIFAR10,feddecorr,0,0,100,0.01,2,89,0.6572,0.6861,0.6653,0.68412,1.187302392578125,1.0518335205078124,1.380876904296875,1.3546309228515625
9,CIFAR10,feddecorr,0,0,100,0.01,2,99,0.7382,0.77564,0.6905,0.71562,0.8548566162109374,0.7067092114257812,1.242622998046875,1.2069668017578126
10,CIFAR10,feddecorr,0,0,100,0.01,2,109,0.6986,0.72178,0.7104,0.73932,1.148826171875,1.0067693359375,1.096131494140625,1.0502357373046876
11,CIFAR10,feddecorr,0,0,100,0.01,2,119,0.7175,0.75186,0.7332,0.76446,0.972179248046875,0.8108102075195313,0.9149656494140626,0.8531865991210937
12,CIFAR10,feddecorr,0,0,100,0.01,2,129,0.7408,0.77926,0.7467,0.78084,0.8525886962890625,0.7054648852539063,0.819067919921875,0.7438840087890625
13,CIFAR10,feddecorr,0,0,100,0.01,2,139,0.6957,0.72034,0.7562,0.791,1.041864013671875,0.9141469775390625,0.7704467041015625,0.6847746801757812
14,CIFAR10,feddecorr,0,0,100,0.01,2,149,0.7077,0.73652,0.759,0.79604,1.008175,0.8674603784179687,0.761615869140625,0.6729578100585938
15,CIFAR10,feddecorr,0,0,100,0.01,2,159,0.7069,0.73542,0.7663,0.80718,1.052247412109375,0.890065546875,0.710873779296875,0.6049612573242188
16,CIFAR10,feddecorr,0,0,100,0.01,2,169,0.6575,0.6903,0.7707,0.8126,1.248988623046875,1.09888455078125,0.693216357421875,0.5772492333984375
17,CIFAR10,feddecorr,0,0,100,0.01,2,179,0.6939,0.7317,0.7707,0.8178,1.07155146484375,0.8933987841796875,0.680430712890625,0.5532332861328125
18,CIFAR10,feddecorr,0,0,100,0.01,2,189,0.7366,0.77612,0.7737,0.82114,0.9138677978515625,0.7417752661132813,0.6739592041015625,0.5439902465820312
19,CIFAR10,feddecorr,0,0,100,0.01,2,199,0.7176,0.75586,0.7801,0.82676,0.9954107666015625,0.8203179248046875,0.661673876953125,0.5233831518554688
20,CIFAR10,feddecorr,0,0,100,0.01,2,209,0.7003,0.7415,0.7826,0.83038,1.06477978515625,0.8871119458007812,0.6565885009765625,0.511429150390625
21,CIFAR10,feddecorr,0,0,100,0.01,2,219,0.6873,0.7252,0.7846,0.83408,1.150755517578125,0.9667235009765625,0.6530243896484375,0.500005615234375
22,CIFAR10,feddecorr,0,0,100,0.01,2,229,0.7169,0.75776,0.7883,0.8378,0.9907011474609375,0.799775595703125,0.6489741455078125,0.4903469128417969
23,CIFAR10,feddecorr,0,0,100,0.01,2,239,0.7641,0.81256,0.7904,0.84306,0.806749609375,0.597398388671875,0.642383642578125,0.4736965625
24,CIFAR10,feddecorr,0,0,100,0.01,2,249,0.7547,0.80978,0.7924,0.84654,0.805336181640625,0.5966335693359375,0.636497705078125,0.46008452026367186
