,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0,100,0.01,2,9,0.3399,0.33416,0.1521,0.15426,1.746146826171875,1.7526663330078125,2.2950439453125,2.29509361328125
1,CIFAR10,feddecorr,0,0,100,0.01,2,19,0.4574,0.46156,0.2389,0.23806,1.469468896484375,1.467354560546875,2.2613705078125,2.261680498046875
2,CIFAR10,feddecorr,0,0,100,0.01,2,29,0.4504,0.45454,0.3138,0.30946,1.499084765625,1.4818653076171875,2.1963146484375,2.196986533203125
3,CIFAR10,feddecorr,0,0,100,0.01,2,39,0.5081,0.51332,0.3782,0.37618,1.45866728515625,1.42918685546875,2.12637275390625,2.127257958984375
4,CIFAR10,feddecorr,0,0,100,0.01,2,49,0.5604,0.56532,0.4186,0.41926,1.2381875,1.2249190771484375,2.0571765625,2.0580578515625
5,CIFAR10,feddecorr,0,0,100,0.01,2,59,0.5851,0.58824,0.4752,0.47608,1.21599267578125,1.1843223779296874,1.933077783203125,1.9332937451171874
6,CIFAR10,feddecorr,0,0,100,0.01,2,69,0.6351,0.64514,0.5367,0.54128,1.04991123046875,1.0122470776367187,1.772667578125,1.7711066015625
7,CIFAR10,feddecorr,0,0,100,0.01,2,79,0.6587,0.67358,0.584,0.59276,0.9830160400390625,0.9323960473632813,1.586857421875,1.581985693359375
8,CIFAR10,feddecorr,0,0,100,0.01,2,89,0.6535,0.66308,0.6115,0.61962,1.095584521484375,1.0258335400390626,1.46631376953125,1.4575371044921874
9,CIFAR10,feddecorr,0,0,100,0.01,2,99,0.6993,0.71852,0.6346,0.64486,0.8834214599609375,0.816721650390625,1.377619775390625,1.3643490283203126
10,CIFAR10,feddecorr,0,0,100,0.01,2,109,0.6273,0.63826,0.6465,0.66142,1.171382763671875,1.102508212890625,1.28523203125,1.267407470703125
11,CIFAR10,feddecorr,0,0,100,0.01,2,119,0.6932,0.70866,0.6665,0.68388,0.9481781494140625,0.873754833984375,1.15632021484375,1.1309122705078125
12,CIFAR10,feddecorr,0,0,100,0.01,2,129,0.7104,0.74384,0.6841,0.7052,0.8543949462890625,0.7646037377929688,1.062579296875,1.0285749560546875
13,CIFAR10,feddecorr,0,0,100,0.01,2,139,0.6667,0.69176,0.6929,0.7166,1.023941064453125,0.927066953125,1.00106572265625,0.9600546850585937
14,CIFAR10,feddecorr,0,0,100,0.01,2,149,0.6402,0.66978,0.7027,0.72924,1.12859326171875,1.0300107275390624,0.960513232421875,0.9133192919921875
15,CIFAR10,feddecorr,0,0,100,0.01,2,159,0.6808,0.71164,0.7151,0.74128,1.000254833984375,0.8823361010742188,0.908557763671875,0.8539893310546876
16,CIFAR10,feddecorr,0,0,100,0.01,2,169,0.6861,0.71276,0.7323,0.76068,0.9725146484375,0.8544214477539063,0.8189045654296875,0.749012783203125
17,CIFAR10,feddecorr,0,0,100,0.01,2,179,0.6678,0.70172,0.7369,0.76706,1.087269287109375,0.963835947265625,0.804995166015625,0.7310365893554688
18,CIFAR10,feddecorr,0,0,100,0.01,2,189,0.7262,0.75916,0.7469,0.77898,0.8241657958984375,0.7184996533203125,0.771799755859375,0.68914013671875
19,CIFAR10,feddecorr,0,0,100,0.01,2,199,0.73,0.76502,0.7513,0.78724,0.8395884033203125,0.7096266235351563,0.746046435546875,0.6538128051757812
20,CIFAR10,feddecorr,0,0,100,0.01,2,209,0.7083,0.73788,0.7579,0.7937,0.9630150634765625,0.8315190380859375,0.7307841796875,0.6344128247070312
21,CIFAR10,feddecorr,0,0,100,0.01,2,219,0.701,0.73442,0.7608,0.79836,0.9259078369140625,0.8013266577148438,0.718236279296875,0.61772974609375
22,CIFAR10,feddecorr,0,0,100,0.01,2,229,0.6874,0.72574,0.7669,0.80614,0.985603955078125,0.8398820581054688,0.70262255859375,0.5977307055664063
23,CIFAR10,feddecorr,0,0,100,0.01,2,239,0.681,0.7111,0.7669,0.80826,0.9887221435546875,0.8637317333984375,0.6986363037109375,0.5916056518554688
24,CIFAR10,feddecorr,0,0,100,0.01,2,249,0.7557,0.79676,0.7693,0.81498,0.7459260009765625,0.6075226293945313,0.6824793701171875,0.5644172265625
25,CIFAR10,feddecorr,0,0,100,0.01,2,259,0.7133,0.7527,0.7703,0.81864,0.93992158203125,0.77415328125,0.6763572021484375,0.5506375134277344
26,CIFAR10,feddecorr,0,0,100,0.01,2,269,0.7432,0.78334,0.7746,0.82242,0.8147981201171876,0.6577953100585937,0.668069140625,0.538363994140625
27,CIFAR10,feddecorr,0,0,100,0.01,2,279,0.7537,0.79152,0.7767,0.82438,0.8163330078125,0.6530666650390625,0.6642962646484375,0.5317407214355468
28,CIFAR10,feddecorr,0,0,100,0.01,2,289,0.7035,0.74148,0.7791,0.82744,0.91915546875,0.7827582104492188,0.6572165283203125,0.5201791638183594
29,CIFAR10,feddecorr,0,0,100,0.01,2,299,0.7045,0.7417,0.7813,0.83072,0.9517397216796875,0.8033677978515625,0.6513957275390625,0.5113288427734375
30,CIFAR10,feddecorr,0,0,100,0.01,2,309,0.7205,0.76264,0.7836,0.83324,0.893835595703125,0.7300714672851563,0.6448955810546875,0.5012560388183593
31,CIFAR10,feddecorr,0,0,100,0.01,2,319,0.7564,0.80888,0.7869,0.8377,0.73873583984375,0.5740868627929687,0.638733056640625,0.4901879919433594
32,CIFAR10,feddecorr,0,0,100,0.01,2,329,0.7063,0.74796,0.7872,0.83976,0.94807802734375,0.7785188232421875,0.6362613037109375,0.48526535034179685
33,CIFAR10,feddecorr,0,0,100,0.01,2,339,0.7352,0.77416,0.7886,0.8424,0.8880482666015626,0.7147889819335937,0.6313905029296875,0.47882160888671876
34,CIFAR10,feddecorr,0,0,100,0.01,2,349,0.7273,0.76776,0.788,0.84318,0.889109716796875,0.7155850439453125,0.6297912353515625,0.47533109375
35,CIFAR10,feddecorr,0,0,100,0.01,2,359,0.726,0.7673,0.7913,0.8449,0.8725407958984375,0.7123004614257813,0.6265854736328125,0.46969744873046876
36,CIFAR10,feddecorr,0,0,100,0.01,2,369,0.7298,0.77374,0.7919,0.8471,0.856901708984375,0.6799988208007812,0.623021240234375,0.46105472900390626
37,CIFAR10,feddecorr,0,0,100,0.01,2,379,0.7392,0.78116,0.7949,0.84952,0.8369406982421875,0.6726132788085938,0.6190928466796874,0.4561474951171875
38,CIFAR10,feddecorr,0,0,100,0.01,2,389,0.7401,0.79,0.7959,0.85058,0.8095178466796875,0.6388017993164062,0.614944921875,0.451697705078125
39,CIFAR10,feddecorr,0,0,100,0.01,2,399,0.7273,0.77044,0.7976,0.85344,0.8688352783203125,0.7076989990234375,0.6094266845703125,0.44509684448242187
40,CIFAR10,feddecorr,0,0,100,0.01,2,409,0.7532,0.80738,0.7988,0.85552,0.7934604736328125,0.5859562878417969,0.6061547607421875,0.4374407067871094
41,CIFAR10,feddecorr,0,0,100,0.01,2,419,0.7283,0.77376,0.7984,0.85764,0.902557861328125,0.6975402294921875,0.604205419921875,0.4332645251464844
42,CIFAR10,feddecorr,0,0,100,0.01,2,429,0.7673,0.82202,0.7994,0.85944,0.72738447265625,0.5385230651855468,0.6021271484375,0.4297729235839844
43,CIFAR10,feddecorr,0,0,100,0.01,2,439,0.7734,0.82278,0.8014,0.86104,0.7247900390625,0.5358959191894531,0.59950966796875,0.42406547973632813
44,CIFAR10,feddecorr,0,0,100,0.01,2,449,0.7003,0.74192,0.803,0.86266,0.9746669677734375,0.8098816845703125,0.596997265625,0.41744513549804685
45,CIFAR10,feddecorr,0,0,100,0.01,2,459,0.7304,0.77704,0.8012,0.86294,0.8575268798828125,0.678929111328125,0.594904736328125,0.4150809558105469
46,CIFAR10,feddecorr,0,0,100,0.01,2,469,0.7298,0.78002,0.8017,0.8647,0.8677467529296875,0.6743588037109375,0.592672900390625,0.4110036022949219
47,CIFAR10,feddecorr,0,0,100,0.01,2,479,0.7601,0.80666,0.8021,0.86722,0.7525586181640626,0.5835269360351563,0.590188330078125,0.408299580078125
48,CIFAR10,feddecorr,0,0,100,0.01,2,489,0.7251,0.77506,0.8037,0.86734,0.9470292236328125,0.7347470068359375,0.5890321044921875,0.40623909790039064
49,CIFAR10,feddecorr,0,0,100,0.01,2,499,0.7852,0.83762,0.8058,0.86878,0.6761777587890625,0.4945702734375,0.5867267822265625,0.40217248779296877
50,CIFAR10,feddecorr,0,0,100,0.01,2,509,0.7383,0.78722,0.8053,0.8714,0.844451123046875,0.6488253088378906,0.584049853515625,0.3962140197753906
51,CIFAR10,feddecorr,0,0,100,0.01,2,519,0.7443,0.79986,0.8065,0.87362,0.82879609375,0.6200132177734375,0.580407177734375,0.39194862182617185
52,CIFAR10,feddecorr,0,0,100,0.01,2,529,0.7661,0.82696,0.8082,0.87422,0.7350786376953125,0.5210024536132812,0.57685341796875,0.3888907763671875
53,CIFAR10,feddecorr,0,0,100,0.01,2,539,0.7258,0.77696,0.8099,0.87638,0.87067646484375,0.6731642736816407,0.576129638671875,0.38178866455078125
54,CIFAR10,feddecorr,0,0,100,0.01,2,549,0.7528,0.80614,0.8105,0.87844,0.8301517578125,0.6019181628417969,0.5747113037109375,0.3768868884277344
55,CIFAR10,feddecorr,0,0,100,0.01,2,559,0.7747,0.83258,0.8127,0.8784,0.7376686279296875,0.5118091101074219,0.571421240234375,0.3733298229980469
56,CIFAR10,feddecorr,0,0,100,0.01,2,569,0.7293,0.78576,0.8135,0.88036,0.870616650390625,0.6600755737304688,0.5714878173828125,0.368940234375
57,CIFAR10,feddecorr,0,0,100,0.01,2,579,0.7663,0.82126,0.8147,0.88184,0.7577017333984375,0.5391168920898437,0.5701186767578125,0.3646858935546875
58,CIFAR10,feddecorr,0,0,100,0.01,2,589,0.7526,0.8046,0.8163,0.88328,0.854522021484375,0.6240813891601562,0.5688893798828125,0.35899111572265624
59,CIFAR10,feddecorr,0,0,100,0.01,2,599,0.7373,0.7898,0.8166,0.88532,0.85969521484375,0.6459130859375,0.566815380859375,0.3559142443847656
