,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0,100,0.1,2,9,0.5568,0.56214,0.4614,0.45948,1.243955615234375,1.2276978857421874,1.893148486328125,1.8939587451171875
1,CIFAR10,feddecorr,0,0,100,0.1,2,19,0.6454,0.66752,0.6016,0.6154,1.072552001953125,0.9936704541015625,1.22332724609375,1.1994710888671876
2,CIFAR10,feddecorr,0,0,100,0.1,2,29,0.6804,0.71844,0.6706,0.70248,0.9977587158203125,0.8566126684570312,0.9686046875,0.8803329272460938
3,CIFAR10,feddecorr,0,0,100,0.1,2,39,0.7096,0.7593,0.7047,0.74642,0.9067867431640625,0.72149857421875,0.8933572998046875,0.7487719067382812
4,CIFAR10,feddecorr,0,0,100,0.1,2,49,0.7239,0.7834,0.7209,0.77358,0.8626765380859375,0.6535872875976563,0.8515248291015625,0.6737605346679687
5,CIFAR10,feddecorr,0,0,100,0.1,2,59,0.7384,0.79918,0.7301,0.79466,0.8534365234375,0.61626919921875,0.8191184326171875,0.6137492224121094
6,CIFAR10,feddecorr,0,0,100,0.1,2,69,0.7508,0.81472,0.7473,0.81512,0.80203642578125,0.5540522912597656,0.7846814453125,0.5488973706054687
7,CIFAR10,feddecorr,0,0,100,0.1,2,79,0.7558,0.829,0.755,0.82884,0.7917386962890625,0.5157412377929688,0.7689808837890625,0.5092212475585938
8,CIFAR10,feddecorr,0,0,100,0.1,2,89,0.7586,0.832,0.7644,0.84022,0.7890797607421876,0.5083943530273437,0.7525454833984375,0.4748757312011719
9,CIFAR10,feddecorr,0,0,100,0.1,2,99,0.7675,0.84762,0.7695,0.85152,0.7515788330078125,0.45935841796875,0.73299873046875,0.44515598999023437
10,CIFAR10,feddecorr,0,0,100,0.1,2,109,0.7689,0.85082,0.7742,0.8608,0.7577527587890625,0.44715442138671874,0.718916357421875,0.4186403442382812
11,CIFAR10,feddecorr,0,0,100,0.1,2,119,0.7732,0.858,0.7784,0.86512,0.739182666015625,0.4280859765625,0.711667529296875,0.4023358911132813
12,CIFAR10,feddecorr,0,0,100,0.1,2,129,0.7752,0.85834,0.7797,0.87058,0.747732275390625,0.432081240234375,0.70386533203125,0.39086726440429687
13,CIFAR10,feddecorr,0,0,100,0.1,2,139,0.7776,0.86432,0.7839,0.87442,0.717426806640625,0.40542685791015626,0.6940351806640624,0.376976865234375
14,CIFAR10,feddecorr,0,0,100,0.1,2,149,0.7857,0.87168,0.7874,0.8788,0.7016352783203125,0.38365185791015627,0.6851211669921875,0.3631404455566406
15,CIFAR10,feddecorr,0,0,100,0.1,2,159,0.7873,0.87684,0.7892,0.88292,0.685840576171875,0.3710557006835937,0.6766371826171875,0.35395900390625
16,CIFAR10,feddecorr,0,0,100,0.1,2,169,0.7775,0.86192,0.7906,0.887,0.7429758056640625,0.4141632385253906,0.6685468505859375,0.34056890625
17,CIFAR10,feddecorr,0,0,100,0.1,2,179,0.789,0.88162,0.793,0.89002,0.686927001953125,0.3565482092285156,0.6628517578125,0.33083901123046877
18,CIFAR10,feddecorr,0,0,100,0.1,2,189,0.7863,0.88056,0.7943,0.893,0.6882722900390625,0.3568728063964844,0.6584018310546875,0.32243682678222657
19,CIFAR10,feddecorr,0,0,100,0.1,2,199,0.7853,0.87624,0.7957,0.89432,0.7038955810546875,0.3740029296875,0.6569924560546875,0.3180082788085937
20,CIFAR10,feddecorr,0,0,100,0.1,2,209,0.7886,0.88614,0.7937,0.89702,0.676885205078125,0.3411802734375,0.652591259765625,0.3115233728027344
21,CIFAR10,feddecorr,0,0,100,0.1,2,219,0.7784,0.87404,0.7964,0.89996,0.7258009521484375,0.37663801391601565,0.6466087890625,0.3041780401611328
22,CIFAR10,feddecorr,0,0,100,0.1,2,229,0.792,0.88894,0.7956,0.90124,0.6763432861328125,0.33150322998046877,0.6423853515625,0.29891974670410154
23,CIFAR10,feddecorr,0,0,100,0.1,2,239,0.7947,0.89204,0.7989,0.90378,0.6622410400390625,0.3249607250976562,0.63690078125,0.29240489135742187
24,CIFAR10,feddecorr,0,0,100,0.1,2,249,0.7938,0.89152,0.8013,0.90412,0.6783021728515625,0.328677275390625,0.6357724609375,0.29029519287109373
25,CIFAR10,feddecorr,0,0,100,0.1,2,259,0.7898,0.88734,0.8027,0.90484,0.687849755859375,0.3391134936523437,0.63404033203125,0.2887255712890625
26,CIFAR10,feddecorr,0,0,100,0.1,2,269,0.7904,0.8838,0.801,0.90582,0.6898847412109375,0.35242197998046876,0.6314546630859375,0.2863524694824219
27,CIFAR10,feddecorr,0,0,100,0.1,2,279,0.7977,0.89772,0.8014,0.9079,0.644067919921875,0.30726104248046876,0.62699462890625,0.28270764892578126
28,CIFAR10,feddecorr,0,0,100,0.1,2,289,0.7903,0.88802,0.801,0.90888,0.683097705078125,0.3407358520507813,0.622880224609375,0.27807456787109375
29,CIFAR10,feddecorr,0,0,100,0.1,2,299,0.789,0.89232,0.8024,0.91022,0.672806787109375,0.32573946411132815,0.62263193359375,0.27540551879882813
