,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0,100,0.1,1,9,0.5529,0.55534,0.4109,0.4073,1.27215087890625,1.2627090576171875,2.032762158203125,2.03381556640625
1,CIFAR10,feddecorr,0,0,100,0.1,1,19,0.6504,0.67294,0.6119,0.62432,1.04223701171875,0.960464609375,1.253108642578125,1.230585166015625
2,CIFAR10,feddecorr,0,0,100,0.1,1,29,0.6923,0.72888,0.6708,0.6957,0.9568812744140625,0.8189179541015625,0.9806655029296875,0.905604013671875
3,CIFAR10,feddecorr,0,0,100,0.1,1,39,0.719,0.76322,0.701,0.746,0.8962685546875,0.7142490893554687,0.881820556640625,0.7510609423828125
4,CIFAR10,feddecorr,0,0,100,0.1,1,49,0.7293,0.7849,0.7285,0.78264,0.8682150390625,0.6575799829101563,0.8250226806640625,0.6460170654296875
5,CIFAR10,feddecorr,0,0,100,0.1,1,59,0.7375,0.80706,0.7437,0.8065,0.8316084716796875,0.593069443359375,0.7922137451171875,0.580112744140625
6,CIFAR10,feddecorr,0,0,100,0.1,1,69,0.7522,0.81492,0.7546,0.82028,0.799819287109375,0.5627273828125,0.7663532958984375,0.536842919921875
7,CIFAR10,feddecorr,0,0,100,0.1,1,79,0.7587,0.8309,0.7639,0.83392,0.7607670166015625,0.5032370581054687,0.7443635009765625,0.4967982629394531
8,CIFAR10,feddecorr,0,0,100,0.1,1,89,0.7619,0.83788,0.7712,0.84676,0.7708111572265625,0.4907673620605469,0.723966162109375,0.46000975341796874
9,CIFAR10,feddecorr,0,0,100,0.1,1,99,0.7643,0.84478,0.7756,0.85542,0.761939794921875,0.4692644140625,0.7124656494140625,0.4350582299804687
10,CIFAR10,feddecorr,0,0,100,0.1,1,109,0.7773,0.85432,0.7825,0.86316,0.7256857666015625,0.43682585693359377,0.6971859619140625,0.4116107287597656
11,CIFAR10,feddecorr,0,0,100,0.1,1,119,0.7718,0.8551,0.7881,0.86678,0.745643212890625,0.43668934814453125,0.6896188720703125,0.39580564453125
12,CIFAR10,feddecorr,0,0,100,0.1,1,129,0.7782,0.86584,0.7901,0.87306,0.72007265625,0.40439349609375,0.683429638671875,0.37795132934570314
13,CIFAR10,feddecorr,0,0,100,0.1,1,139,0.7856,0.86724,0.7885,0.87872,0.7116116455078125,0.397711474609375,0.679323291015625,0.3636653955078125
14,CIFAR10,feddecorr,0,0,100,0.1,1,149,0.7881,0.87082,0.7942,0.88338,0.70041513671875,0.3900788391113281,0.6666945068359375,0.35165113403320314
15,CIFAR10,feddecorr,0,0,100,0.1,1,159,0.7895,0.87612,0.7976,0.88848,0.698911376953125,0.3745855834960938,0.659419921875,0.3393127197265625
16,CIFAR10,feddecorr,0,0,100,0.1,1,169,0.7912,0.8793,0.7973,0.89178,0.6998028564453125,0.36754742431640625,0.654423388671875,0.3293424597167969
17,CIFAR10,feddecorr,0,0,100,0.1,1,179,0.7818,0.86664,0.8002,0.89522,0.729535009765625,0.40258678466796877,0.6511234130859375,0.3205569201660156
18,CIFAR10,feddecorr,0,0,100,0.1,1,189,0.788,0.87636,0.8019,0.89704,0.6998053955078125,0.3703954248046875,0.639666943359375,0.31278982666015626
19,CIFAR10,feddecorr,0,0,100,0.1,1,199,0.7889,0.88248,0.8044,0.89942,0.684785546875,0.3520836083984375,0.637333056640625,0.3057844580078125
20,CIFAR10,feddecorr,0,0,100,0.1,1,209,0.793,0.88286,0.8035,0.90098,0.6795544677734375,0.3541428820800781,0.6331989990234375,0.3017709765625
21,CIFAR10,feddecorr,0,0,100,0.1,1,219,0.7978,0.89364,0.8077,0.90444,0.6694529296875,0.3265955163574219,0.630225,0.29442012329101563
22,CIFAR10,feddecorr,0,0,100,0.1,1,229,0.7934,0.88446,0.8063,0.90678,0.6802347412109375,0.3482105212402344,0.6263375,0.2895287744140625
23,CIFAR10,feddecorr,0,0,100,0.1,1,239,0.7895,0.8796,0.8059,0.9063,0.7006233154296875,0.362115693359375,0.6257775390625,0.2879048742675781
24,CIFAR10,feddecorr,0,0,100,0.1,1,249,0.7942,0.88314,0.8105,0.90662,0.6771948974609375,0.3504365942382813,0.6198664794921875,0.28348130859375
25,CIFAR10,feddecorr,0,0,100,0.1,1,259,0.8025,0.89642,0.8121,0.90868,0.6546854248046875,0.31412882629394534,0.6167532470703125,0.27845007751464845
26,CIFAR10,feddecorr,0,0,100,0.1,1,269,0.7997,0.89632,0.8118,0.9103,0.64997802734375,0.31515195556640624,0.6100098876953125,0.27430881591796874
27,CIFAR10,feddecorr,0,0,100,0.1,1,279,0.8013,0.89532,0.81,0.91172,0.6505060546875,0.31837651000976563,0.6079310791015625,0.2714251202392578
28,CIFAR10,feddecorr,0,0,100,0.1,1,289,0.7996,0.89824,0.812,0.91272,0.6552324462890625,0.30859480590820315,0.605730224609375,0.2683855432128906
29,CIFAR10,feddecorr,0,0,100,0.1,1,299,0.7973,0.89628,0.811,0.9136,0.650404443359375,0.3151909423828125,0.603486767578125,0.26397132080078123
