,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0,100,0.1,3,9,0.427,0.42736,0.3783,0.37286,1.57680712890625,1.57966439453125,2.0616396484375,2.063505576171875
1,CIFAR10,feddecorr,0,0,100,0.1,3,19,0.5319,0.53104,0.4928,0.4862,1.313581884765625,1.3079711083984376,1.544973828125,1.5481748291015625
2,CIFAR10,feddecorr,0,0,100,0.1,3,29,0.5961,0.60836,0.5607,0.56468,1.14454833984375,1.123459853515625,1.29603125,1.28742958984375
3,CIFAR10,feddecorr,0,0,100,0.1,3,39,0.6362,0.65578,0.6089,0.62312,1.03651201171875,0.9924909545898437,1.120694580078125,1.0954688330078124
4,CIFAR10,feddecorr,0,0,100,0.1,3,49,0.6802,0.7045,0.6598,0.67464,0.9371733642578125,0.8611238989257812,0.9966693359375,0.9501551806640625
5,CIFAR10,feddecorr,0,0,100,0.1,3,59,0.7047,0.73752,0.695,0.71872,0.86526181640625,0.7673615869140625,0.8951447265625,0.8217586499023437
6,CIFAR10,feddecorr,0,0,100,0.1,3,69,0.7225,0.7616,0.7161,0.75142,0.81268310546875,0.699450732421875,0.826115771484375,0.7299575610351563
7,CIFAR10,feddecorr,0,0,100,0.1,3,79,0.7388,0.77866,0.7341,0.77332,0.7821181396484375,0.6442151611328125,0.7850448486328125,0.6663497924804688
8,CIFAR10,feddecorr,0,0,100,0.1,3,89,0.7484,0.79404,0.7445,0.79084,0.764377294921875,0.6020119970703125,0.7577470703125,0.6158813110351562
9,CIFAR10,feddecorr,0,0,100,0.1,3,99,0.7584,0.80864,0.7557,0.8049,0.73851025390625,0.5618191650390625,0.7338927001953125,0.5726757250976563
10,CIFAR10,feddecorr,0,0,100,0.1,3,109,0.7608,0.81738,0.7654,0.81956,0.7269920166015625,0.5350385961914063,0.711878564453125,0.5307173828125
11,CIFAR10,feddecorr,0,0,100,0.1,3,119,0.7648,0.82568,0.7687,0.83114,0.714202001953125,0.5094045666503906,0.695240478515625,0.4978941235351563
12,CIFAR10,feddecorr,0,0,100,0.1,3,129,0.7745,0.83948,0.7755,0.84164,0.68789423828125,0.4717761145019531,0.684472607421875,0.46944848999023436
13,CIFAR10,feddecorr,0,0,100,0.1,3,139,0.7694,0.84068,0.781,0.84966,0.6991989501953125,0.4686308435058594,0.67283876953125,0.44583297607421873
14,CIFAR10,feddecorr,0,0,100,0.1,3,149,0.7765,0.85202,0.7809,0.8584,0.68802744140625,0.43317203491210937,0.6666985595703125,0.421172822265625
15,CIFAR10,feddecorr,0,0,100,0.1,3,159,0.7791,0.85804,0.7841,0.86194,0.6758009521484375,0.41988567626953127,0.6613636962890626,0.4086242492675781
