,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0.3,100,0.01,2,9,0.3245,0.31826,0.1656,0.16454,2.13735322265625,2.14287619140625,2.2924548828125,2.292710166015625
1,CIFAR10,feddecorr,0,0.3,100,0.01,2,19,0.3533,0.34878,0.2308,0.22878,2.0724640625,2.07016486328125,2.2589654296875,2.25935109375
2,CIFAR10,feddecorr,0,0.3,100,0.01,2,29,0.2627,0.26346,0.2699,0.27006,3.11867421875,3.089239375,2.19562939453125,2.19630765625
3,CIFAR10,feddecorr,0,0.3,100,0.01,2,39,0.4255,0.4297,0.32,0.32604,1.82961796875,1.80323517578125,2.121749609375,2.12251775390625
4,CIFAR10,feddecorr,0,0.3,100,0.01,2,49,0.3655,0.3711,0.3654,0.36698,2.23560673828125,2.205360380859375,2.05015380859375,2.05080859375
5,CIFAR10,feddecorr,0,0.3,100,0.01,2,59,0.3743,0.38288,0.4207,0.42118,2.53859169921875,2.48946837890625,1.921092431640625,1.9204708154296875
6,CIFAR10,feddecorr,0,0.3,100,0.01,2,69,0.5324,0.54246,0.4806,0.48658,1.408855078125,1.3648994189453125,1.767306689453125,1.7640946875
7,CIFAR10,feddecorr,0,0.3,100,0.01,2,79,0.6133,0.62906,0.5384,0.54346,1.15759248046875,1.094963369140625,1.58825869140625,1.58081859375
8,CIFAR10,feddecorr,0,0.3,100,0.01,2,89,0.4966,0.5127,0.5691,0.5726,1.88137548828125,1.7869137255859375,1.480117626953125,1.4688088720703125
9,CIFAR10,feddecorr,0,0.3,100,0.01,2,99,0.6317,0.65744,0.5924,0.60058,1.109606982421875,1.015321123046875,1.402158447265625,1.385254541015625
10,CIFAR10,feddecorr,0,0.3,100,0.01,2,109,0.5482,0.56616,0.6108,0.6219,1.59148349609375,1.5062917822265625,1.326533544921875,1.304049423828125
11,CIFAR10,feddecorr,0,0.3,100,0.01,2,119,0.6136,0.63116,0.6397,0.65396,1.25203974609375,1.1612219140625,1.20977314453125,1.179325634765625
12,CIFAR10,feddecorr,0,0.3,100,0.01,2,129,0.6279,0.65426,0.6581,0.6779,1.14356201171875,1.051393427734375,1.124448046875,1.0859650927734374
13,CIFAR10,feddecorr,0,0.3,100,0.01,2,139,0.4041,0.42492,0.6684,0.69254,1.988152099609375,1.890296826171875,1.06668408203125,1.0212983203125
14,CIFAR10,feddecorr,0,0.3,100,0.01,2,149,0.3977,0.40836,0.6762,0.7039,2.60306669921875,2.504878388671875,1.028347216796875,0.9779945068359375
15,CIFAR10,feddecorr,0,0.3,100,0.01,2,159,0.6457,0.67322,0.6839,0.71466,1.087875537109375,0.978380234375,0.9823787353515625,0.925079599609375
16,CIFAR10,feddecorr,0,0.3,100,0.01,2,169,0.534,0.5574,0.6999,0.73368,1.91759013671875,1.79324009765625,0.8946787841796875,0.8226682763671875
17,CIFAR10,feddecorr,0,0.3,100,0.01,2,179,0.5027,0.51718,0.7047,0.74012,2.25900205078125,2.14101931640625,0.8804671875,0.8053827514648437
18,CIFAR10,feddecorr,0,0.3,100,0.01,2,189,0.6165,0.6494,0.7164,0.75288,1.230885107421875,1.09386111328125,0.8462517578125,0.7625920654296875
19,CIFAR10,feddecorr,0,0.3,100,0.01,2,199,0.6483,0.67554,0.7265,0.76318,1.213387158203125,1.0990927416992187,0.815231640625,0.7242595263671875
20,CIFAR10,feddecorr,0,0.3,100,0.01,2,209,0.5561,0.57844,0.7318,0.76844,1.740916552734375,1.6210738134765625,0.8006989013671875,0.7059501489257812
21,CIFAR10,feddecorr,0,0.3,100,0.01,2,219,0.5644,0.58662,0.7388,0.77418,1.612510986328125,1.4846121142578126,0.787360009765625,0.6891312719726562
