,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0.3,100,0.01,3,9,0.2479,0.24698,0.1253,0.12634,2.22955849609375,2.225982275390625,2.30047109375,2.300438876953125
1,CIFAR10,feddecorr,0,0.3,100,0.01,3,19,0.3204,0.31664,0.1309,0.13348,1.82151474609375,1.82235828125,2.28315263671875,2.283141982421875
2,CIFAR10,feddecorr,0,0.3,100,0.01,3,29,0.3038,0.30524,0.1711,0.17344,2.73536689453125,2.741504140625,2.23442138671875,2.234519404296875
3,CIFAR10,feddecorr,0,0.3,100,0.01,3,39,0.2404,0.23388,0.2666,0.26568,3.34521103515625,3.363085712890625,2.16369697265625,2.163813291015625
4,CIFAR10,feddecorr,0,0.3,100,0.01,3,49,0.4636,0.46866,0.3528,0.352,1.682199365234375,1.669682900390625,2.09994130859375,2.100060986328125
5,CIFAR10,feddecorr,0,0.3,100,0.01,3,59,0.3786,0.38598,0.4052,0.40668,2.2784501953125,2.242061005859375,2.018015625,2.01781873046875
6,CIFAR10,feddecorr,0,0.3,100,0.01,3,69,0.4204,0.43222,0.4435,0.4474,2.40100908203125,2.330265751953125,1.936895751953125,1.935905263671875
7,CIFAR10,feddecorr,0,0.3,100,0.01,3,79,0.465,0.4755,0.5181,0.52016,1.743995263671875,1.6885149853515624,1.786109130859375,1.7826119921875
8,CIFAR10,feddecorr,0,0.3,100,0.01,3,89,0.4679,0.48766,0.5507,0.55744,1.93791923828125,1.867117802734375,1.697348046875,1.690783984375
9,CIFAR10,feddecorr,0,0.3,100,0.01,3,99,0.5388,0.55142,0.5844,0.59508,1.4358974609375,1.37943060546875,1.585817333984375,1.5753336181640625
10,CIFAR10,feddecorr,0,0.3,100,0.01,3,109,0.6234,0.64684,0.6288,0.64234,1.11570146484375,1.0281250048828126,1.39291015625,1.37367056640625
11,CIFAR10,feddecorr,0,0.3,100,0.01,3,119,0.5896,0.60902,0.6677,0.68264,1.223339599609375,1.1455677587890625,1.183591064453125,1.152241474609375
12,CIFAR10,feddecorr,0,0.3,100,0.01,3,129,0.4488,0.45546,0.683,0.70536,2.31209912109375,2.2552963427734376,1.045220556640625,1.00207751953125
13,CIFAR10,feddecorr,0,0.3,100,0.01,3,139,0.5617,0.57754,0.6928,0.71528,1.65911357421875,1.53897443359375,1.0138588134765625,0.9649494091796875
14,CIFAR10,feddecorr,0,0.3,100,0.01,3,149,0.5296,0.55822,0.7027,0.72764,1.61850166015625,1.498521826171875,0.945101708984375,0.8866730981445312
