,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0.3,100,0.01,3,9,0.3673,0.36846,0.1132,0.11112,2.22466845703125,2.20447396484375,2.29068095703125,2.29089259765625
1,CIFAR10,feddecorr,0,0.3,100,0.01,3,19,0.4533,0.4667,0.1712,0.17152,1.64382099609375,1.6119331103515624,2.25908193359375,2.259171064453125
2,CIFAR10,feddecorr,0,0.3,100,0.01,3,29,0.3602,0.3677,0.2824,0.28294,3.21055419921875,3.1600960546875,2.167004296875,2.166661669921875
3,CIFAR10,feddecorr,0,0.3,100,0.01,3,39,0.3539,0.35894,0.3363,0.3443,3.3598958984375,3.283151845703125,2.1034693359375,2.1018705859375
4,CIFAR10,feddecorr,0,0.3,100,0.01,3,49,0.5377,0.55822,0.4065,0.41632,1.548237158203125,1.45806611328125,2.0082888671875,2.0045557958984377
5,CIFAR10,feddecorr,0,0.3,100,0.01,3,59,0.4496,0.45542,0.4863,0.49994,2.878590234375,2.7884288671875,1.853172412109375,1.84471333984375
6,CIFAR10,feddecorr,0,0.3,100,0.01,3,69,0.4668,0.48506,0.5357,0.5568,2.3226369140625,2.205141806640625,1.70622060546875,1.691475576171875
7,CIFAR10,feddecorr,0,0.3,100,0.01,3,79,0.4996,0.51332,0.5769,0.60206,2.0989509765625,1.9910339208984376,1.568635009765625,1.5460982275390625
8,CIFAR10,feddecorr,0,0.3,100,0.01,3,89,0.5509,0.57034,0.6185,0.64722,2.015617578125,1.8626707861328125,1.387748193359375,1.353337685546875
9,CIFAR10,feddecorr,0,0.3,100,0.01,3,99,0.5943,0.6164,0.6531,0.68612,1.405183984375,1.29320076171875,1.20783916015625,1.158785625
10,CIFAR10,feddecorr,0,0.3,100,0.01,3,109,0.6017,0.62952,0.6782,0.71184,1.3691943359375,1.231781533203125,1.073233837890625,1.0090246875
11,CIFAR10,feddecorr,0,0.3,100,0.01,3,119,0.4867,0.50438,0.6959,0.73472,2.5451791015625,2.3768922314453125,0.9644645751953125,0.8840886352539062
12,CIFAR10,feddecorr,0,0.3,100,0.01,3,129,0.4734,0.481,0.7052,0.7492,2.6638197265625,2.561202568359375,0.913116845703125,0.8230357836914063
13,CIFAR10,feddecorr,0,0.3,100,0.01,3,139,0.4693,0.49448,0.7069,0.75346,2.53240595703125,2.386744072265625,0.892985546875,0.7984898999023438
14,CIFAR10,feddecorr,0,0.3,100,0.01,3,149,0.5558,0.57932,0.7217,0.76326,1.706710009765625,1.5726171337890624,0.852081396484375,0.7487785131835938
15,CIFAR10,feddecorr,0,0.3,100,0.01,3,159,0.6799,0.71644,0.7228,0.76828,1.048832958984375,0.8956321630859375,0.8260490234375,0.7154623364257813
16,CIFAR10,feddecorr,0,0.3,100,0.01,3,169,0.5126,0.52986,0.7287,0.77388,2.16269970703125,2.0229386669921876,0.8087644775390626,0.6927668432617188
17,CIFAR10,feddecorr,0,0.3,100,0.01,3,179,0.6737,0.71194,0.7343,0.78242,1.09769580078125,0.921105048828125,0.7838357666015625,0.6585769799804687
18,CIFAR10,feddecorr,0,0.3,100,0.01,3,189,0.6424,0.67384,0.7394,0.78798,1.2072923828125,1.0594700756835937,0.771338671875,0.639839072265625
19,CIFAR10,feddecorr,0,0.3,100,0.01,3,199,0.6821,0.71468,0.7415,0.79074,1.0627455078125,0.906453857421875,0.7646663818359375,0.6324938720703125
20,CIFAR10,feddecorr,0,0.3,100,0.01,3,209,0.5146,0.53702,0.7471,0.798,2.0873357421875,1.9132226171875,0.7477336669921875,0.60296365234375
21,CIFAR10,feddecorr,0,0.3,100,0.01,3,219,0.6085,0.63262,0.7505,0.80114,1.55913017578125,1.3764989794921876,0.741333740234375,0.5915033447265625
22,CIFAR10,feddecorr,0,0.3,100,0.01,3,229,0.5612,0.587,0.7519,0.80318,1.7514291015625,1.60438017578125,0.7368339599609375,0.58711119140625
23,CIFAR10,feddecorr,0,0.3,100,0.01,3,239,0.6015,0.63612,0.7522,0.80384,1.349245751953125,1.1837512939453125,0.7349083984375,0.5866680615234375
24,CIFAR10,feddecorr,0,0.3,100,0.01,3,249,0.6686,0.6936,0.7546,0.8046,1.19290400390625,1.0481279052734376,0.731175830078125,0.5825093432617188
25,CIFAR10,feddecorr,0,0.3,100,0.01,3,259,0.5055,0.52832,0.7579,0.80758,2.42095263671875,2.23172564453125,0.7234267822265625,0.5719466479492188
26,CIFAR10,feddecorr,0,0.3,100,0.01,3,269,0.6667,0.69992,0.758,0.81152,1.12997470703125,0.9762447802734375,0.7139209716796875,0.5598204809570313
27,CIFAR10,feddecorr,0,0.3,100,0.01,3,279,0.5629,0.58482,0.7621,0.81208,1.85595927734375,1.7204289013671874,0.7088349365234375,0.5550199829101562
28,CIFAR10,feddecorr,0,0.3,100,0.01,3,289,0.4561,0.47048,0.7621,0.81408,2.70438349609375,2.533398232421875,0.7038701904296875,0.5479772875976563
29,CIFAR10,feddecorr,0,0.3,100,0.01,3,299,0.6212,0.6516,0.765,0.81702,1.478388916015625,1.3053786279296875,0.6993614013671875,0.541578876953125
30,CIFAR10,feddecorr,0,0.3,100,0.01,3,309,0.5094,0.53272,0.7657,0.81782,2.26649990234375,2.1130625341796874,0.69726259765625,0.538959345703125
31,CIFAR10,feddecorr,0,0.3,100,0.01,3,319,0.4656,0.49112,0.7684,0.82134,2.30605185546875,2.1329991259765624,0.6899613037109374,0.528601484375
32,CIFAR10,feddecorr,0,0.3,100,0.01,3,329,0.6576,0.69416,0.77,0.82338,1.148581787109375,0.9883476025390625,0.6862354248046875,0.5245177075195312
33,CIFAR10,feddecorr,0,0.3,100,0.01,3,339,0.6638,0.70146,0.7747,0.82538,1.178616015625,1.001164951171875,0.6794504638671875,0.5155222436523438
34,CIFAR10,feddecorr,0,0.3,100,0.01,3,349,0.6724,0.71262,0.7757,0.82788,1.11271015625,0.94743783203125,0.6750835693359375,0.511765859375
35,CIFAR10,feddecorr,0,0.3,100,0.01,3,359,0.639,0.67448,0.7771,0.82932,1.3081318359375,1.1311755517578126,0.670443896484375,0.5085042236328124
36,CIFAR10,feddecorr,0,0.3,100,0.01,3,369,0.7006,0.73926,0.7795,0.82988,0.9907678466796875,0.8256660009765625,0.66748388671875,0.5054642309570313
37,CIFAR10,feddecorr,0,0.3,100,0.01,3,379,0.4516,0.46786,0.7796,0.83058,2.952201171875,2.741529501953125,0.666098681640625,0.5028960595703125
38,CIFAR10,feddecorr,0,0.3,100,0.01,3,389,0.4768,0.49842,0.7807,0.83218,2.42419423828125,2.26804904296875,0.6634272705078125,0.5002473046875
39,CIFAR10,feddecorr,0,0.3,100,0.01,3,399,0.5725,0.58802,0.7815,0.83376,2.18333837890625,2.0177326123046875,0.659344873046875,0.49771665283203126
40,CIFAR10,feddecorr,0,0.3,100,0.01,3,409,0.6264,0.6585,0.782,0.83494,1.281890771484375,1.129775439453125,0.6570792236328125,0.4955345446777344
41,CIFAR10,feddecorr,0,0.3,100,0.01,3,419,0.5856,0.61212,0.7853,0.8353,1.897539111328125,1.7094827197265625,0.6551288818359375,0.4929438305664062
42,CIFAR10,feddecorr,0,0.3,100,0.01,3,429,0.5589,0.57634,0.7857,0.8363,2.115059375,1.9374023291015625,0.6554998046875,0.4916249658203125
43,CIFAR10,feddecorr,0,0.3,100,0.01,3,439,0.6101,0.64402,0.7849,0.83658,1.366571630859375,1.2001277197265625,0.6566176025390625,0.491660263671875
44,CIFAR10,feddecorr,0,0.3,100,0.01,3,449,0.6611,0.70196,0.7863,0.8371,1.061791650390625,0.911851845703125,0.6523116943359375,0.48801185180664064
45,CIFAR10,feddecorr,0,0.3,100,0.01,3,459,0.6174,0.64318,0.7869,0.8383,1.576390673828125,1.4077241259765625,0.650242431640625,0.484616015625
46,CIFAR10,feddecorr,0,0.3,100,0.01,3,469,0.645,0.683,0.7862,0.83886,1.251177197265625,1.076512216796875,0.6494156982421875,0.4823824206542969
47,CIFAR10,feddecorr,0,0.3,100,0.01,3,479,0.6422,0.6799,0.7872,0.83938,1.236119873046875,1.0523721533203125,0.647431591796875,0.48013134033203125
48,CIFAR10,feddecorr,0,0.3,100,0.01,3,489,0.6206,0.64978,0.7882,0.84022,1.599614404296875,1.45153544921875,0.6440472412109375,0.4775202758789063
49,CIFAR10,feddecorr,0,0.3,100,0.01,3,499,0.5772,0.60432,0.7894,0.84232,1.803606689453125,1.6524465625,0.6397572998046875,0.47376192138671874
50,CIFAR10,feddecorr,0,0.3,100,0.01,3,509,0.568,0.59494,0.7911,0.84278,1.7617486328125,1.59641298828125,0.6373779052734375,0.47151822509765623
51,CIFAR10,feddecorr,0,0.3,100,0.01,3,519,0.5566,0.58114,0.7909,0.84258,1.903318017578125,1.7330781298828124,0.636955322265625,0.472293876953125
52,CIFAR10,feddecorr,0,0.3,100,0.01,3,529,0.669,0.69778,0.7926,0.84286,1.168267333984375,1.0157408374023438,0.637515380859375,0.47455729248046874
53,CIFAR10,feddecorr,0,0.3,100,0.01,3,539,0.6567,0.68488,0.7944,0.84284,1.33671279296875,1.1423786547851562,0.6356963134765625,0.47332506225585935
54,CIFAR10,feddecorr,0,0.3,100,0.01,3,549,0.5497,0.57202,0.7942,0.84248,2.0499853515625,1.861942041015625,0.6351016845703125,0.4723884130859375
55,CIFAR10,feddecorr,0,0.3,100,0.01,3,559,0.6968,0.7241,0.7939,0.8428,1.255066552734375,1.0946521484375,0.633767138671875,0.4710763427734375
56,CIFAR10,feddecorr,0,0.3,100,0.01,3,569,0.7203,0.75602,0.7933,0.84194,0.928713427734375,0.7749112866210938,0.6342810546875,0.47178219482421874
57,CIFAR10,feddecorr,0,0.3,100,0.01,3,579,0.6191,0.64816,0.7942,0.84252,1.463831884765625,1.2855805102539062,0.6339111328125,0.47105060668945314
58,CIFAR10,feddecorr,0,0.3,100,0.01,3,589,0.7166,0.74476,0.7931,0.84202,0.9591890380859375,0.8165770458984375,0.63503974609375,0.4708376049804687
59,CIFAR10,feddecorr,0,0.3,100,0.01,3,599,0.6499,0.68998,0.7922,0.84188,1.221534765625,1.0446942919921876,0.6349276611328125,0.47014206787109375
