,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0.3,100,0.01,4,9,0.2688,0.2694,0.1594,0.16218,3.2898796875,3.280482236328125,2.29300107421875,2.2930333984375
1,CIFAR10,feddecorr,0,0.3,100,0.01,4,19,0.3073,0.31614,0.1626,0.16328,3.052876171875,3.03777181640625,2.2732009765625,2.27324982421875
2,CIFAR10,feddecorr,0,0.3,100,0.01,4,29,0.3522,0.35658,0.2255,0.22756,3.241087109375,3.19936287109375,2.2390935546875,2.239011455078125
3,CIFAR10,feddecorr,0,0.3,100,0.01,4,39,0.5545,0.57008,0.2908,0.29544,1.508439111328125,1.43059537109375,2.181455078125,2.18060986328125
4,CIFAR10,feddecorr,0,0.3,100,0.01,4,49,0.4807,0.49526,0.4108,0.415,2.27226728515625,2.1626259765625,1.977567822265625,1.9721144384765625
5,CIFAR10,feddecorr,0,0.3,100,0.01,4,59,0.3865,0.40304,0.4752,0.48164,2.98364130859375,2.90052451171875,1.84147265625,1.831511474609375
6,CIFAR10,feddecorr,0,0.3,100,0.01,4,69,0.6274,0.64424,0.5686,0.58472,1.19885537109375,1.1122403637695313,1.5904953125,1.5701530859375
7,CIFAR10,feddecorr,0,0.3,100,0.01,4,79,0.6261,0.64396,0.597,0.61424,1.208136572265625,1.1166767529296875,1.466179150390625,1.4385673876953124
8,CIFAR10,feddecorr,0,0.3,100,0.01,4,89,0.521,0.53306,0.6157,0.6378,2.1827390625,2.0769718701171875,1.389732275390625,1.358313984375
9,CIFAR10,feddecorr,0,0.3,100,0.01,4,99,0.5304,0.54562,0.6614,0.6879,1.91244306640625,1.7953873486328125,1.168567626953125,1.123813525390625
10,CIFAR10,feddecorr,0,0.3,100,0.01,4,109,0.5209,0.54152,0.6772,0.70622,1.895363818359375,1.77414822265625,1.1136650390625,1.063945693359375
11,CIFAR10,feddecorr,0,0.3,100,0.01,4,119,0.5033,0.5159,0.6934,0.7213,2.25846552734375,2.15425224609375,1.06117861328125,1.00548060546875
12,CIFAR10,feddecorr,0,0.3,100,0.01,4,129,0.4547,0.47158,0.7027,0.73234,2.89269423828125,2.72519216796875,0.9938562744140625,0.9306375830078125
13,CIFAR10,feddecorr,0,0.3,100,0.01,4,139,0.5634,0.58578,0.7056,0.7413,2.058966455078125,1.909664130859375,0.9684359130859375,0.8996258984375
14,CIFAR10,feddecorr,0,0.3,100,0.01,4,149,0.4875,0.50648,0.7085,0.7434,2.26096044921875,2.10584521484375,0.9632700439453125,0.8930828784179687
15,CIFAR10,feddecorr,0,0.3,100,0.01,4,159,0.5838,0.60586,0.7173,0.75316,1.820744140625,1.6752252880859375,0.91737470703125,0.8387961010742188
16,CIFAR10,feddecorr,0,0.3,100,0.01,4,169,0.4408,0.4633,0.7236,0.75984,2.9444337890625,2.745690322265625,0.8924830078125,0.8099538623046875
17,CIFAR10,feddecorr,0,0.3,100,0.01,4,179,0.5746,0.5946,0.7304,0.76734,1.851976708984375,1.71652984375,0.8581250732421875,0.7686284204101562
18,CIFAR10,feddecorr,0,0.3,100,0.01,4,189,0.5936,0.621,0.7344,0.77366,1.5115126953125,1.370606083984375,0.8384343017578125,0.74413400390625
19,CIFAR10,feddecorr,0,0.3,100,0.01,4,199,0.4836,0.50668,0.7385,0.78082,2.60997880859375,2.451633232421875,0.8122050537109375,0.7128416650390625
20,CIFAR10,feddecorr,0,0.3,100,0.01,4,209,0.6086,0.63994,0.741,0.78702,1.498077587890625,1.3103412109375,0.7873559814453125,0.6796861450195313
21,CIFAR10,feddecorr,0,0.3,100,0.01,4,219,0.4991,0.51006,0.7452,0.79222,2.53608193359375,2.447139638671875,0.7748172119140625,0.6634214111328125
22,CIFAR10,feddecorr,0,0.3,100,0.01,4,229,0.6855,0.71934,0.75,0.7977,1.0328015625,0.8884622265625,0.759593701171875,0.6431778588867187
23,CIFAR10,feddecorr,0,0.3,100,0.01,4,239,0.4429,0.45684,0.758,0.80258,2.9204955078125,2.765114169921875,0.7372040771484375,0.6114660473632813
24,CIFAR10,feddecorr,0,0.3,100,0.01,4,249,0.4903,0.50488,0.7619,0.80632,2.7726041015625,2.59723447265625,0.7269541748046875,0.6001790844726562
25,CIFAR10,feddecorr,0,0.3,100,0.01,4,259,0.642,0.67912,0.766,0.81022,1.22638408203125,1.067113154296875,0.7163385009765625,0.5868179028320313
26,CIFAR10,feddecorr,0,0.3,100,0.01,4,269,0.5844,0.60668,0.7673,0.81196,1.770946533203125,1.61608408203125,0.713341552734375,0.5837811157226562
27,CIFAR10,feddecorr,0,0.3,100,0.01,4,279,0.7002,0.74284,0.7701,0.81456,0.96850205078125,0.8114645092773437,0.702355126953125,0.569780771484375
