,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0.3,100,0.01,1,9,0.2472,0.24736,0.1447,0.14096,2.139249609375,2.14164974609375,2.29857919921875,2.29875986328125
1,CIFAR10,feddecorr,0,0.3,100,0.01,1,19,0.2818,0.27862,0.1621,0.1621,1.96865107421875,1.972214384765625,2.27596904296875,2.276043544921875
2,CIFAR10,feddecorr,0,0.3,100,0.01,1,29,0.3696,0.37252,0.1963,0.1917,1.776149658203125,1.7684307958984375,2.248620703125,2.248714892578125
3,CIFAR10,feddecorr,0,0.3,100,0.01,1,39,0.4892,0.4953,0.3018,0.30556,1.41705087890625,1.40783142578125,2.1742259765625,2.174626865234375
4,CIFAR10,feddecorr,0,0.3,100,0.01,1,49,0.474,0.47548,0.4284,0.4274,1.482280419921875,1.479303681640625,2.024766455078125,2.025578310546875
5,CIFAR10,feddecorr,0,0.3,100,0.01,1,59,0.5369,0.541,0.4998,0.49946,1.2874064453125,1.27734314453125,1.850353466796875,1.85099427734375
6,CIFAR10,feddecorr,0,0.3,100,0.01,1,69,0.4445,0.4436,0.5505,0.551,1.783060205078125,1.761764990234375,1.696372314453125,1.6958481298828125
7,CIFAR10,feddecorr,0,0.3,100,0.01,1,79,0.5273,0.5316,0.5712,0.57374,1.4043435546875,1.371609072265625,1.602751513671875,1.600715244140625
8,CIFAR10,feddecorr,0,0.3,100,0.01,1,89,0.4366,0.44028,0.5918,0.59432,2.27245048828125,2.24630263671875,1.509949365234375,1.5059472802734375
9,CIFAR10,feddecorr,0,0.3,100,0.01,1,99,0.5312,0.54156,0.6107,0.61632,1.491877392578125,1.4408065869140625,1.400775341796875,1.3931773681640625
10,CIFAR10,feddecorr,0,0.3,100,0.01,1,109,0.4677,0.4749,0.6264,0.6373,1.984746923828125,1.917453720703125,1.2960046875,1.2835707080078125
11,CIFAR10,feddecorr,0,0.3,100,0.01,1,119,0.6515,0.6663,0.6429,0.659,1.0438673828125,0.982961337890625,1.19697939453125,1.178212529296875
12,CIFAR10,feddecorr,0,0.3,100,0.01,1,129,0.5532,0.57612,0.6641,0.67912,1.366675439453125,1.3034279931640624,1.102561474609375,1.07697435546875
13,CIFAR10,feddecorr,0,0.3,100,0.01,1,139,0.5049,0.51768,0.6832,0.698,1.617459619140625,1.5590173583984375,1.023643212890625,0.9903548974609375
14,CIFAR10,feddecorr,0,0.3,100,0.01,1,149,0.5354,0.54744,0.6932,0.71044,1.487070556640625,1.41812005859375,0.9816497802734375,0.9434318115234375
15,CIFAR10,feddecorr,0,0.3,100,0.01,1,159,0.5215,0.53834,0.6984,0.7159,1.69808037109375,1.6085380224609376,0.9624518310546875,0.9219890209960937
16,CIFAR10,feddecorr,0,0.3,100,0.01,1,169,0.642,0.65794,0.7045,0.72402,1.0977533203125,1.0250457763671874,0.9281794189453125,0.8828201513671875
17,CIFAR10,feddecorr,0,0.3,100,0.01,1,179,0.4902,0.50348,0.713,0.73452,2.005284912109375,1.9398127783203125,0.881055224609375,0.8290335522460938
18,CIFAR10,feddecorr,0,0.3,100,0.01,1,189,0.6894,0.71476,0.7184,0.73806,0.95817490234375,0.854685732421875,0.8706644775390625,0.8164955908203125
19,CIFAR10,feddecorr,0,0.3,100,0.01,1,199,0.6256,0.6554,0.724,0.74806,1.169716748046875,1.0576153955078125,0.849285498046875,0.7905237841796875
20,CIFAR10,feddecorr,0,0.3,100,0.01,1,209,0.5753,0.60498,0.7362,0.76046,1.4547734375,1.3401006640625,0.8004704833984375,0.731571669921875
21,CIFAR10,feddecorr,0,0.3,100,0.01,1,219,0.6019,0.6203,0.7416,0.76686,1.46322548828125,1.345460546875,0.7687253662109375,0.6898768603515625
22,CIFAR10,feddecorr,0,0.3,100,0.01,1,229,0.4409,0.45782,0.7464,0.77328,2.27549501953125,2.160194130859375,0.75356591796875,0.6684380053710938
23,CIFAR10,feddecorr,0,0.3,100,0.01,1,239,0.5523,0.57588,0.7493,0.77736,1.588740185546875,1.4760817578125,0.7456227783203125,0.6562209350585938
24,CIFAR10,feddecorr,0,0.3,100,0.01,1,249,0.5909,0.61956,0.7516,0.78238,1.38336689453125,1.2609961279296875,0.73604765625,0.6417769848632813
25,CIFAR10,feddecorr,0,0.3,100,0.01,1,259,0.6327,0.65452,0.752,0.78742,1.24984013671875,1.1192848657226562,0.7260718994140625,0.6248347045898438
26,CIFAR10,feddecorr,0,0.3,100,0.01,1,269,0.6758,0.70944,0.7557,0.78994,0.95964501953125,0.8504952026367187,0.7210008544921875,0.617212744140625
27,CIFAR10,feddecorr,0,0.3,100,0.01,1,279,0.6337,0.65114,0.758,0.79288,1.23092255859375,1.1104523681640626,0.7164716552734375,0.6097534423828125
28,CIFAR10,feddecorr,0,0.3,100,0.01,1,289,0.6474,0.68018,0.7611,0.79716,1.1724328125,1.030810185546875,0.707672802734375,0.5962668383789063
29,CIFAR10,feddecorr,0,0.3,100,0.01,1,299,0.496,0.51492,0.764,0.79864,2.0764443359375,1.970538037109375,0.7032872802734375,0.5886130981445312
30,CIFAR10,feddecorr,0,0.3,100,0.01,1,309,0.6194,0.63872,0.7648,0.80224,1.35488134765625,1.218853662109375,0.6979255615234375,0.5804106420898437
31,CIFAR10,feddecorr,0,0.3,100,0.01,1,319,0.6861,0.72234,0.7657,0.8058,0.9975870361328125,0.8452601220703125,0.6919269287109375,0.57148369140625
32,CIFAR10,feddecorr,0,0.3,100,0.01,1,329,0.5872,0.61588,0.7694,0.8103,1.51661904296875,1.3651961083984374,0.686018896484375,0.5604222875976562
33,CIFAR10,feddecorr,0,0.3,100,0.01,1,339,0.5137,0.54154,0.771,0.81278,1.857639013671875,1.6951095068359374,0.6822786865234375,0.5534454248046875
34,CIFAR10,feddecorr,0,0.3,100,0.01,1,349,0.6701,0.70738,0.7741,0.81636,1.0467908203125,0.9017205151367188,0.6771037841796875,0.5423854541015625
35,CIFAR10,feddecorr,0,0.3,100,0.01,1,359,0.5326,0.55184,0.7754,0.81734,1.735592626953125,1.6130838427734375,0.675067919921875,0.5394389013671875
36,CIFAR10,feddecorr,0,0.3,100,0.01,1,369,0.6599,0.69156,0.7753,0.81958,1.077896044921875,0.937820732421875,0.670785888671875,0.5331476123046875
37,CIFAR10,feddecorr,0,0.3,100,0.01,1,379,0.645,0.67574,0.776,0.82132,1.21624208984375,1.064241396484375,0.666158740234375,0.5282724633789062
38,CIFAR10,feddecorr,0,0.3,100,0.01,1,389,0.6919,0.73142,0.7794,0.82406,1.0040282958984375,0.849490419921875,0.659898388671875,0.5204905444335938
39,CIFAR10,feddecorr,0,0.3,100,0.01,1,399,0.5857,0.61006,0.7812,0.82546,1.542296923828125,1.366340810546875,0.65909130859375,0.5180256323242187
40,CIFAR10,feddecorr,0,0.3,100,0.01,1,409,0.7178,0.75884,0.7798,0.82686,0.8579525390625,0.716779326171875,0.6562178955078125,0.5134483032226562
41,CIFAR10,feddecorr,0,0.3,100,0.01,1,419,0.5829,0.60864,0.7824,0.82726,1.501861279296875,1.3452533154296875,0.6550580078125,0.511377060546875
42,CIFAR10,feddecorr,0,0.3,100,0.01,1,429,0.602,0.62134,0.782,0.82852,1.431226904296875,1.3042277783203124,0.6531543701171875,0.5082670288085938
43,CIFAR10,feddecorr,0,0.3,100,0.01,1,439,0.6051,0.6387,0.7836,0.8284,1.3709814453125,1.222456865234375,0.6522690185546876,0.5059214892578126
44,CIFAR10,feddecorr,0,0.3,100,0.01,1,449,0.5568,0.58414,0.7854,0.83006,1.889903466796875,1.73220517578125,0.6493904296875,0.5010534533691406
45,CIFAR10,feddecorr,0,0.3,100,0.01,1,459,0.5462,0.57028,0.786,0.83094,1.96318388671875,1.7950981103515624,0.6481362548828125,0.4986999560546875
46,CIFAR10,feddecorr,0,0.3,100,0.01,1,469,0.533,0.55506,0.7855,0.83176,1.747423974609375,1.59382919921875,0.6463054443359375,0.4953380102539062
47,CIFAR10,feddecorr,0,0.3,100,0.01,1,479,0.6897,0.72976,0.7844,0.83262,0.9838322021484375,0.8236998559570312,0.646481689453125,0.49267905639648435
48,CIFAR10,feddecorr,0,0.3,100,0.01,1,489,0.7271,0.76936,0.7878,0.83412,0.9103515625,0.728529521484375,0.6457717529296875,0.48839382202148435
49,CIFAR10,feddecorr,0,0.3,100,0.01,1,499,0.6734,0.71208,0.7877,0.83532,1.10900068359375,0.9292371850585938,0.6449363037109375,0.4833020617675781
50,CIFAR10,feddecorr,0,0.3,100,0.01,1,509,0.7384,0.77616,0.787,0.83756,0.842676708984375,0.6871103564453125,0.64111171875,0.47860361206054686
51,CIFAR10,feddecorr,0,0.3,100,0.01,1,519,0.6879,0.72952,0.7893,0.83914,1.0153295166015626,0.8343045190429688,0.6361884521484376,0.473176552734375
52,CIFAR10,feddecorr,0,0.3,100,0.01,1,529,0.6808,0.71578,0.7892,0.83996,1.0678384765625,0.9145911987304688,0.63369345703125,0.46939893798828125
53,CIFAR10,feddecorr,0,0.3,100,0.01,1,539,0.6801,0.72318,0.7916,0.8417,0.9991429931640625,0.834160341796875,0.62989658203125,0.46431171142578126
54,CIFAR10,feddecorr,0,0.3,100,0.01,1,549,0.6645,0.70592,0.7911,0.84284,1.0302455322265625,0.8788835400390625,0.6256642822265625,0.461290107421875
55,CIFAR10,feddecorr,0,0.3,100,0.01,1,559,0.6564,0.69394,0.7932,0.84452,1.214055810546875,1.026679453125,0.6207350341796875,0.4575264270019531
56,CIFAR10,feddecorr,0,0.3,100,0.01,1,569,0.565,0.59376,0.7952,0.84486,1.510577685546875,1.3219750244140624,0.6195687255859375,0.4555632421875
57,CIFAR10,feddecorr,0,0.3,100,0.01,1,579,0.6719,0.7074,0.7977,0.84526,1.13478515625,0.9734615869140625,0.6174769775390625,0.4532961340332031
58,CIFAR10,feddecorr,0,0.3,100,0.01,1,589,0.6034,0.6387,0.7976,0.84604,1.4483576171875,1.260315126953125,0.6161333740234375,0.45092135620117185
59,CIFAR10,feddecorr,0,0.3,100,0.01,1,599,0.647,0.67374,0.7984,0.84752,1.310299853515625,1.1356565625,0.61464677734375,0.4480815637207031
