,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0.3,100,0.1,1,9,0.4768,0.47382,0.3858,0.37658,1.429139892578125,1.4301598828125,2.07860615234375,2.079663291015625
1,CIFAR10,feddecorr,0,0.3,100,0.1,1,19,0.6056,0.61346,0.557,0.56164,1.14585107421875,1.1001426123046876,1.392071435546875,1.384133505859375
2,CIFAR10,feddecorr,0,0.3,100,0.1,1,29,0.6453,0.67074,0.6253,0.64284,1.05509375,0.9615444580078125,1.08283447265625,1.043553828125
3,CIFAR10,feddecorr,0,0.3,100,0.1,1,39,0.686,0.71386,0.6693,0.69758,0.96631826171875,0.8418384106445312,0.9569949462890625,0.87828009765625
4,CIFAR10,feddecorr,0,0.3,100,0.1,1,49,0.6676,0.70388,0.6993,0.7358,1.0028920166015625,0.8745778125,0.8833554443359375,0.7682213330078125
5,CIFAR10,feddecorr,0,0.3,100,0.1,1,59,0.6949,0.7391,0.7198,0.76132,0.9702496337890625,0.788524208984375,0.8487404541015625,0.6980931616210938
6,CIFAR10,feddecorr,0,0.3,100,0.1,1,69,0.7097,0.75804,0.7311,0.77494,0.9063815673828125,0.7250001708984375,0.823372314453125,0.6563038232421875
7,CIFAR10,feddecorr,0,0.3,100,0.1,1,79,0.7133,0.76272,0.7364,0.78834,0.894218310546875,0.698677177734375,0.801706884765625,0.619229658203125
8,CIFAR10,feddecorr,0,0.3,100,0.1,1,89,0.7114,0.76104,0.7454,0.80122,0.9040061767578125,0.6998301123046875,0.777944091796875,0.5823224926757813
9,CIFAR10,feddecorr,0,0.3,100,0.1,1,99,0.724,0.78288,0.7505,0.80738,0.8442504638671875,0.633859169921875,0.7580451171875,0.556640263671875
10,CIFAR10,feddecorr,0,0.3,100,0.1,1,109,0.7397,0.79294,0.7562,0.81678,0.8133156982421875,0.6082332763671875,0.7399804443359375,0.5347242944335937
11,CIFAR10,feddecorr,0,0.3,100,0.1,1,119,0.734,0.78816,0.7595,0.8231,0.86543837890625,0.6384348559570312,0.729826708984375,0.517217353515625
12,CIFAR10,feddecorr,0,0.3,100,0.1,1,129,0.7459,0.80238,0.7637,0.82902,0.8194366943359375,0.5879660473632813,0.7182267578125,0.4980777197265625
13,CIFAR10,feddecorr,0,0.3,100,0.1,1,139,0.7421,0.80462,0.7637,0.83434,0.796109033203125,0.5676434741210937,0.7114138916015625,0.4814983349609375
14,CIFAR10,feddecorr,0,0.3,100,0.1,1,149,0.7557,0.81632,0.7709,0.83848,0.760383251953125,0.5335638159179688,0.70615380859375,0.470956572265625
15,CIFAR10,feddecorr,0,0.3,100,0.1,1,159,0.7555,0.82374,0.7743,0.84068,0.766998486328125,0.5193965893554687,0.70120966796875,0.462785673828125
16,CIFAR10,feddecorr,0,0.3,100,0.1,1,169,0.7639,0.83164,0.7765,0.845,0.7261220458984375,0.48706513916015626,0.692280029296875,0.4497298388671875
17,CIFAR10,feddecorr,0,0.3,100,0.1,1,179,0.7371,0.79986,0.7744,0.84848,0.842187060546875,0.5918194189453125,0.688027685546875,0.44070010131835935
18,CIFAR10,feddecorr,0,0.3,100,0.1,1,189,0.7442,0.8093,0.777,0.85156,0.81985185546875,0.5672687255859375,0.6850415283203125,0.4321694775390625
19,CIFAR10,feddecorr,0,0.3,100,0.1,1,199,0.7419,0.81226,0.7782,0.85334,0.8310724365234375,0.5661619702148437,0.680599462890625,0.4277140979003906
20,CIFAR10,feddecorr,0,0.3,100,0.1,1,209,0.7598,0.83016,0.7801,0.85638,0.7660462890625,0.5079939025878907,0.6760710693359375,0.4212401477050781
21,CIFAR10,feddecorr,0,0.3,100,0.1,1,219,0.7377,0.80544,0.7809,0.85732,0.8321921630859375,0.5704718017578125,0.672546875,0.413741845703125
22,CIFAR10,feddecorr,0,0.3,100,0.1,1,229,0.7659,0.83602,0.781,0.85696,0.7239842529296875,0.4757162414550781,0.67245439453125,0.4121537768554687
23,CIFAR10,feddecorr,0,0.3,100,0.1,1,239,0.7565,0.8245,0.7839,0.85916,0.783019921875,0.520640634765625,0.6657667724609375,0.4105327856445313
24,CIFAR10,feddecorr,0,0.3,100,0.1,1,249,0.7381,0.80178,0.7854,0.86134,0.864699658203125,0.5978481591796875,0.6626232666015625,0.40707421142578126
25,CIFAR10,feddecorr,0,0.3,100,0.1,1,259,0.7666,0.83742,0.7863,0.86252,0.7489338623046875,0.48218869995117186,0.66168935546875,0.40195499877929686
26,CIFAR10,feddecorr,0,0.3,100,0.1,1,269,0.7593,0.82894,0.7881,0.8647,0.7728728515625,0.4974442956542969,0.659264306640625,0.39721212768554687
27,CIFAR10,feddecorr,0,0.3,100,0.1,1,279,0.7588,0.82842,0.7881,0.86416,0.7649826904296875,0.49761174072265624,0.6607010009765625,0.3960294836425781
28,CIFAR10,feddecorr,0,0.3,100,0.1,1,289,0.7702,0.8431,0.79,0.86598,0.7249248779296875,0.45629314086914063,0.6573609619140625,0.3906912487792969
29,CIFAR10,feddecorr,0,0.3,100,0.1,1,299,0.7662,0.83742,0.7868,0.86798,0.7661168212890626,0.4878974389648438,0.6563661865234375,0.3867179382324219
