,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0.3,100,0.1,1,9,0.3436,0.33408,0.3058,0.29736,1.771235595703125,1.779091533203125,2.19638212890625,2.19732349609375
1,CIFAR10,feddecorr,0,0.3,100,0.1,1,19,0.5005,0.50282,0.471,0.46978,1.36981767578125,1.363905625,1.689175341796875,1.6910475341796876
2,CIFAR10,feddecorr,0,0.3,100,0.1,1,29,0.5594,0.56904,0.5401,0.54568,1.249268017578125,1.219487978515625,1.34661787109375,1.33845236328125
3,CIFAR10,feddecorr,0,0.3,100,0.1,1,39,0.62,0.634,0.592,0.60632,1.11117607421875,1.0546910083007812,1.17070126953125,1.1414871484375
4,CIFAR10,feddecorr,0,0.3,100,0.1,1,49,0.6192,0.64098,0.6367,0.6541,1.08856328125,1.0225209106445312,1.052623095703125,0.9966886547851562
5,CIFAR10,feddecorr,0,0.3,100,0.1,1,59,0.6602,0.69508,0.6662,0.6935,1.0040068115234375,0.8973603833007813,0.96833955078125,0.8863637377929687
6,CIFAR10,feddecorr,0,0.3,100,0.1,1,69,0.6768,0.70848,0.6863,0.71898,0.9791169677734375,0.8607487646484375,0.914974365234375,0.816429990234375
7,CIFAR10,feddecorr,0,0.3,100,0.1,1,79,0.6905,0.72674,0.7035,0.74016,0.939787939453125,0.8008843896484374,0.8722534423828125,0.7560639916992188
8,CIFAR10,feddecorr,0,0.3,100,0.1,1,89,0.6868,0.72712,0.7177,0.7596,0.9429430419921875,0.7989456274414063,0.8376669921875,0.7027666186523438
9,CIFAR10,feddecorr,0,0.3,100,0.1,1,99,0.7112,0.75696,0.7278,0.77236,0.8869364013671875,0.7204608715820312,0.8143498046875,0.6644619067382812
10,CIFAR10,feddecorr,0,0.3,100,0.1,1,109,0.7195,0.76688,0.7353,0.78492,0.86366630859375,0.68905630859375,0.7953714599609375,0.6305966455078125
11,CIFAR10,feddecorr,0,0.3,100,0.1,1,119,0.7267,0.7726,0.7425,0.79244,0.8724206787109375,0.683441689453125,0.7802426513671875,0.6055717163085937
12,CIFAR10,feddecorr,0,0.3,100,0.1,1,129,0.7363,0.78754,0.7475,0.80146,0.83814599609375,0.6350549145507812,0.7665171142578125,0.5785497241210937
13,CIFAR10,feddecorr,0,0.3,100,0.1,1,139,0.7365,0.79372,0.7529,0.80942,0.8041222900390625,0.6056821142578125,0.7549012451171875,0.5551177758789062
14,CIFAR10,feddecorr,0,0.3,100,0.1,1,149,0.7444,0.79724,0.7597,0.8155,0.801904296875,0.5909172119140625,0.7454688720703125,0.5374017236328125
15,CIFAR10,feddecorr,0,0.3,100,0.1,1,159,0.7548,0.8076,0.7629,0.82036,0.783447021484375,0.5672698071289063,0.7379609375,0.5245095483398438
16,CIFAR10,feddecorr,0,0.3,100,0.1,1,169,0.7467,0.80924,0.764,0.82556,0.785645751953125,0.563252998046875,0.728358251953125,0.5088594702148438
17,CIFAR10,feddecorr,0,0.3,100,0.1,1,179,0.7323,0.79208,0.7668,0.83074,0.830575390625,0.6090267822265625,0.7199232421875,0.4941265319824219
18,CIFAR10,feddecorr,0,0.3,100,0.1,1,189,0.7533,0.8122,0.77,0.8347,0.7937675537109375,0.555118251953125,0.71361103515625,0.4820405163574219
19,CIFAR10,feddecorr,0,0.3,100,0.1,1,199,0.751,0.81198,0.7757,0.83804,0.8068824951171875,0.565983212890625,0.705005712890625,0.4743027209472656
20,CIFAR10,feddecorr,0,0.3,100,0.1,1,209,0.753,0.81346,0.7772,0.84106,0.7905424560546875,0.5571869702148438,0.696792724609375,0.46633913330078125
21,CIFAR10,feddecorr,0,0.3,100,0.1,1,219,0.7391,0.79828,0.7799,0.84526,0.8288069091796875,0.5933301098632813,0.6890343994140625,0.4543098107910156
22,CIFAR10,feddecorr,0,0.3,100,0.1,1,229,0.7607,0.82716,0.7804,0.84596,0.744030615234375,0.50590419921875,0.6888347900390625,0.4504393969726562
23,CIFAR10,feddecorr,0,0.3,100,0.1,1,239,0.7522,0.81404,0.779,0.84752,0.812535302734375,0.5566134814453125,0.6842553466796875,0.4451304846191406
24,CIFAR10,feddecorr,0,0.3,100,0.1,1,249,0.7584,0.82136,0.7826,0.85108,0.7659971435546875,0.5245056079101562,0.6813296630859375,0.43712849243164065
25,CIFAR10,feddecorr,0,0.3,100,0.1,1,259,0.7679,0.83124,0.7836,0.8537,0.7470240478515625,0.50066546875,0.6791544677734375,0.4315890759277344
26,CIFAR10,feddecorr,0,0.3,100,0.1,1,269,0.7575,0.825,0.785,0.8558,0.7784665283203125,0.5168375646972656,0.6746733642578125,0.4245673583984375
27,CIFAR10,feddecorr,0,0.3,100,0.1,1,279,0.7696,0.83302,0.7849,0.8585,0.7438139892578125,0.4904612341308594,0.673684033203125,0.4197822998046875
28,CIFAR10,feddecorr,0,0.3,100,0.1,1,289,0.7681,0.84122,0.7865,0.86032,0.7262876708984375,0.4696975732421875,0.6693004638671874,0.41479745849609373
29,CIFAR10,feddecorr,0,0.3,100,0.1,1,299,0.7648,0.83506,0.7853,0.86166,0.7501202392578125,0.4876042932128906,0.669137548828125,0.4124511376953125
