,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddecorr,0,0.3,100,0.1,3,9,0.2773,0.2754,0.2264,0.2256,2.00901123046875,2.010561416015625,2.2239525390625,2.224262900390625
1,CIFAR10,feddecorr,0,0.3,100,0.1,3,19,0.3403,0.34266,0.33,0.32768,1.7915779296875,1.7990889306640625,2.000692529296875,2.00333013671875
2,CIFAR10,feddecorr,0,0.3,100,0.1,3,29,0.4139,0.41022,0.4119,0.41106,1.61693603515625,1.621155419921875,1.770203125,1.7747545947265626
3,CIFAR10,feddecorr,0,0.3,100,0.1,3,39,0.4706,0.474,0.4564,0.457,1.47526796875,1.473139736328125,1.567011669921875,1.57053931640625
4,CIFAR10,feddecorr,0,0.3,100,0.1,3,49,0.4969,0.50312,0.5,0.50514,1.36922841796875,1.361140078125,1.430312744140625,1.4299362060546874
5,CIFAR10,feddecorr,0,0.3,100,0.1,3,59,0.5573,0.5611,0.5387,0.54752,1.255492431640625,1.23817244140625,1.298845166015625,1.2909437060546876
6,CIFAR10,feddecorr,0,0.3,100,0.1,3,69,0.5736,0.58452,0.571,0.57804,1.193047216796875,1.1685094091796875,1.216990869140625,1.2009524658203126
7,CIFAR10,feddecorr,0,0.3,100,0.1,3,79,0.5899,0.6028,0.594,0.60376,1.161464111328125,1.1303217431640624,1.151558984375,1.12847193359375
8,CIFAR10,feddecorr,0,0.3,100,0.1,3,89,0.6324,0.63826,0.6184,0.6285,1.067599365234375,1.028476240234375,1.092846728515625,1.059232001953125
9,CIFAR10,feddecorr,0,0.3,100,0.1,3,99,0.6265,0.64352,0.6394,0.64958,1.061702978515625,1.013378369140625,1.043732177734375,1.000704814453125
10,CIFAR10,feddecorr,0,0.3,100,0.1,3,109,0.6585,0.67422,0.6627,0.67304,0.9890675537109375,0.931862275390625,0.9919216064453125,0.9376214526367187
11,CIFAR10,feddecorr,0,0.3,100,0.1,3,119,0.6692,0.68598,0.6742,0.69212,0.9796116943359375,0.90878421875,0.9503614990234375,0.8865173364257812
12,CIFAR10,feddecorr,0,0.3,100,0.1,3,129,0.6678,0.6989,0.6872,0.71092,0.942501318359375,0.8619190258789062,0.9099232421875,0.833581748046875
13,CIFAR10,feddecorr,0,0.3,100,0.1,3,139,0.6682,0.6961,0.698,0.72418,0.9407046875,0.8544829541015625,0.880955224609375,0.795209228515625
14,CIFAR10,feddecorr,0,0.3,100,0.1,3,149,0.6982,0.7304,0.7078,0.73932,0.8760674560546875,0.767921376953125,0.851125390625,0.752449052734375
15,CIFAR10,feddecorr,0,0.3,100,0.1,3,159,0.7083,0.73922,0.7153,0.7488,0.8647914306640625,0.7512491723632813,0.8333960205078125,0.7268813159179688
16,CIFAR10,feddecorr,0,0.3,100,0.1,3,169,0.717,0.75296,0.7231,0.76066,0.8363509033203125,0.7109231787109375,0.8110162353515625,0.693352470703125
17,CIFAR10,feddecorr,0,0.3,100,0.1,3,179,0.7216,0.76008,0.7299,0.77024,0.8254239990234375,0.6889022241210937,0.7933216064453125,0.6657795654296875
18,CIFAR10,feddecorr,0,0.3,100,0.1,3,189,0.7267,0.76662,0.7339,0.77758,0.8308684814453124,0.6813679125976563,0.7805989990234375,0.645041865234375
19,CIFAR10,feddecorr,0,0.3,100,0.1,3,199,0.7236,0.75736,0.7414,0.7839,0.8505121337890625,0.7071296899414062,0.7687794677734375,0.62494373046875
20,CIFAR10,feddecorr,0,0.3,100,0.1,3,209,0.7284,0.77218,0.7431,0.79188,0.82698359375,0.6613318896484375,0.758305078125,0.6039238061523438
21,CIFAR10,feddecorr,0,0.3,100,0.1,3,219,0.7361,0.78116,0.7479,0.79752,0.792083935546875,0.6272358178710937,0.7502185546875,0.5898052758789063
22,CIFAR10,feddecorr,0,0.3,100,0.1,3,229,0.7307,0.77798,0.751,0.8019,0.8037353759765625,0.632989296875,0.74015947265625,0.5731054370117188
23,CIFAR10,feddecorr,0,0.3,100,0.1,3,239,0.7209,0.76582,0.7569,0.8074,0.851589404296875,0.6738111547851563,0.7285731201171874,0.5539286938476562
24,CIFAR10,feddecorr,0,0.3,100,0.1,3,249,0.7457,0.79978,0.7567,0.81248,0.766136279296875,0.5817533251953125,0.7250575439453125,0.5437627563476563
25,CIFAR10,feddecorr,0,0.3,100,0.1,3,259,0.7545,0.80914,0.7597,0.81614,0.74704091796875,0.552241982421875,0.719597802734375,0.52998810546875
26,CIFAR10,feddecorr,0,0.3,100,0.1,3,269,0.7487,0.80602,0.7603,0.81826,0.7584067138671875,0.5553985717773438,0.71816669921875,0.5198702319335937
27,CIFAR10,feddecorr,0,0.3,100,0.1,3,279,0.7542,0.81036,0.7633,0.82262,0.73595751953125,0.5399027172851563,0.707465625,0.5080503637695313
28,CIFAR10,feddecorr,0,0.3,100,0.1,3,289,0.7588,0.82052,0.7649,0.82622,0.715069482421875,0.5140196557617187,0.702290185546875,0.4975863818359375
29,CIFAR10,feddecorr,0,0.3,100,0.1,3,299,0.7492,0.80834,0.7651,0.82988,0.7557606689453125,0.5440112646484375,0.6994677001953125,0.4880221264648438
30,CIFAR10,feddecorr,0,0.3,100,0.1,3,309,0.7404,0.80198,0.7649,0.83364,0.7786198486328125,0.555758515625,0.697868212890625,0.47859451782226564
31,CIFAR10,feddecorr,0,0.3,100,0.1,3,319,0.7424,0.80242,0.7647,0.83566,0.785166796875,0.5600048193359375,0.6982865966796875,0.47300658081054686
32,CIFAR10,feddecorr,0,0.3,100,0.1,3,329,0.685,0.72866,0.7659,0.8364,1.0377474609375,0.8113879736328125,0.695597021484375,0.46739783569335935
33,CIFAR10,feddecorr,0,0.3,100,0.1,3,339,0.7506,0.81108,0.7667,0.83962,0.770722705078125,0.548157080078125,0.6948259033203125,0.46088657592773435
34,CIFAR10,feddecorr,0,0.3,100,0.1,3,349,0.7603,0.82562,0.7695,0.84238,0.72742509765625,0.498591767578125,0.6890369140625,0.45249602783203124
35,CIFAR10,feddecorr,0,0.3,100,0.1,3,359,0.7572,0.83182,0.7713,0.84588,0.7262509765625,0.48038119873046875,0.68535185546875,0.4432273278808594
36,CIFAR10,feddecorr,0,0.3,100,0.1,3,369,0.7642,0.83532,0.7723,0.8476,0.7174913330078125,0.4699700549316406,0.6816627197265624,0.4348102197265625
37,CIFAR10,feddecorr,0,0.3,100,0.1,3,379,0.7653,0.8372,0.7739,0.84928,0.7146979736328125,0.4672404943847656,0.679586083984375,0.42965685668945314
38,CIFAR10,feddecorr,0,0.3,100,0.1,3,389,0.7688,0.83942,0.7752,0.85178,0.718111962890625,0.4635200708007812,0.67583798828125,0.4238721350097656
39,CIFAR10,feddecorr,0,0.3,100,0.1,3,399,0.7684,0.83854,0.7759,0.85436,0.7295248779296875,0.46767843505859374,0.6751175537109375,0.4170408044433594
40,CIFAR10,feddecorr,0,0.3,100,0.1,3,409,0.7646,0.83462,0.7795,0.85568,0.722907568359375,0.46516215576171877,0.672290380859375,0.412452978515625
41,CIFAR10,feddecorr,0,0.3,100,0.1,3,419,0.7613,0.82938,0.7813,0.85732,0.7587026123046875,0.49479566162109373,0.668398486328125,0.4082344860839844
42,CIFAR10,feddecorr,0,0.3,100,0.1,3,429,0.7308,0.79718,0.78,0.85914,0.86549921875,0.6016839575195313,0.667341943359375,0.40611805419921876
43,CIFAR10,feddecorr,0,0.3,100,0.1,3,439,0.7705,0.84736,0.7796,0.86092,0.71988623046875,0.4460319848632813,0.6663471923828125,0.4022612231445313
44,CIFAR10,feddecorr,0,0.3,100,0.1,3,449,0.7734,0.8494,0.7812,0.8618,0.694072509765625,0.43296959716796873,0.6634287109375,0.39920154418945314
45,CIFAR10,feddecorr,0,0.3,100,0.1,3,459,0.7643,0.84028,0.782,0.86326,0.7233297607421875,0.4601590856933594,0.6577941650390625,0.3946580749511719
46,CIFAR10,feddecorr,0,0.3,100,0.1,3,469,0.7773,0.84962,0.7848,0.86456,0.69564794921875,0.4284941735839844,0.656313818359375,0.3903369128417969
47,CIFAR10,feddecorr,0,0.3,100,0.1,3,479,0.7718,0.85216,0.7838,0.86564,0.696107373046875,0.4244286474609375,0.65746650390625,0.3860795837402344
48,CIFAR10,feddecorr,0,0.3,100,0.1,3,489,0.775,0.85154,0.7835,0.8655,0.6992516845703125,0.4242472607421875,0.658584228515625,0.3857646020507812
49,CIFAR10,feddecorr,0,0.3,100,0.1,3,499,0.7658,0.84064,0.7858,0.8673,0.7215355712890625,0.45486289794921875,0.657088037109375,0.38142521118164063
