,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0,100,0.01,2,9,0.5042,0.51948,0.1762,0.17704,1.403112353515625,1.37960775390625,2.27417490234375,2.273969091796875
1,CIFAR10,feddyn,0,0,100,0.01,2,19,0.5739,0.60178,0.27,0.26928,1.33018662109375,1.253232451171875,2.2321494140625,2.231698583984375
2,CIFAR10,feddyn,0,0,100,0.01,2,29,0.5677,0.58946,0.3378,0.34228,1.69467783203125,1.555977646484375,2.15159853515625,2.1501273828125
3,CIFAR10,feddyn,0,0,100,0.01,2,39,0.5973,0.6258,0.4099,0.41724,1.4385490234375,1.3158673046875,2.0220384765625,2.01825525390625
4,CIFAR10,feddyn,0,0,100,0.01,2,49,0.6018,0.63956,0.4477,0.45648,1.449759033203125,1.29373185546875,1.93582216796875,1.9291692529296876
5,CIFAR10,feddyn,0,0,100,0.01,2,59,0.6456,0.67842,0.5396,0.55878,1.384657177734375,1.21330904296875,1.710017578125,1.694118896484375
6,CIFAR10,feddyn,0,0,100,0.01,2,69,0.6398,0.67526,0.6102,0.64372,1.43739609375,1.23532349609375,1.423612646484375,1.39037185546875
7,CIFAR10,feddyn,0,0,100,0.01,2,79,0.6986,0.74124,0.639,0.67892,1.044735791015625,0.8576265258789062,1.2822056640625,1.23550173828125
8,CIFAR10,feddyn,0,0,100,0.01,2,89,0.6665,0.7063,0.6627,0.70564,1.336722607421875,1.136166455078125,1.16925830078125,1.110059521484375
9,CIFAR10,feddyn,0,0,100,0.01,2,99,0.7338,0.78372,0.6862,0.73268,0.9371518798828125,0.7162637231445312,1.0587884765625,0.98544783203125
10,CIFAR10,feddyn,0,0,100,0.01,2,109,0.6981,0.74332,0.7069,0.75472,1.191961328125,0.9630766918945313,0.950725048828125,0.86118234375
11,CIFAR10,feddyn,0,0,100,0.01,2,119,0.7131,0.7593,0.7286,0.78082,1.055651416015625,0.8331662353515625,0.8285505126953125,0.7138529052734375
12,CIFAR10,feddyn,0,0,100,0.01,2,129,0.7316,0.78726,0.7403,0.7949,0.9243876220703126,0.698146650390625,0.770819189453125,0.6379051391601562
13,CIFAR10,feddyn,0,0,100,0.01,2,139,0.6563,0.69748,0.7505,0.80566,1.415504541015625,1.205156142578125,0.7400972900390625,0.59521076171875
14,CIFAR10,feddyn,0,0,100,0.01,2,149,0.7049,0.74818,0.7531,0.81102,1.1044802734375,0.8861805444335937,0.730611376953125,0.5854997241210937
15,CIFAR10,feddyn,0,0,100,0.01,2,159,0.707,0.74674,0.7655,0.8208,1.1665357421875,0.9342551123046875,0.7022643310546876,0.5370740673828125
16,CIFAR10,feddyn,0,0,100,0.01,2,169,0.704,0.74454,0.7715,0.82634,1.129216748046875,0.909714697265625,0.691021923828125,0.5160045861816406
17,CIFAR10,feddyn,0,0,100,0.01,2,179,0.7237,0.77022,0.7778,0.83228,1.001190478515625,0.7797127099609374,0.6850340576171875,0.4975113757324219
18,CIFAR10,feddyn,0,0,100,0.01,2,189,0.7435,0.79548,0.7801,0.8362,0.955645458984375,0.700651142578125,0.67542431640625,0.48629756225585935
19,CIFAR10,feddyn,0,0,100,0.01,2,199,0.7099,0.7693,0.7837,0.84294,1.03421416015625,0.780827548828125,0.662013720703125,0.4675771508789062
20,CIFAR10,feddyn,0,0,100,0.01,2,209,0.712,0.76328,0.785,0.84644,1.052817919921875,0.8297036743164062,0.6522794921875,0.45708555053710936
21,CIFAR10,feddyn,0,0,100,0.01,2,219,0.7336,0.77976,0.7882,0.84968,0.9562271240234375,0.7367651489257813,0.64372998046875,0.4456627807617187
22,CIFAR10,feddyn,0,0,100,0.01,2,229,0.7213,0.7724,0.7905,0.85128,0.9951105224609375,0.7702037182617187,0.63723701171875,0.4375331311035156
23,CIFAR10,feddyn,0,0,100,0.01,2,239,0.7653,0.8289,0.795,0.85842,0.8205173828125,0.5648952026367188,0.6230201171875,0.4207957141113281
24,CIFAR10,feddyn,0,0,100,0.01,2,249,0.7686,0.82412,0.8002,0.8632,0.787341650390625,0.5562332263183594,0.6139843505859375,0.4064559045410156
25,CIFAR10,feddyn,0,0,100,0.01,2,259,0.722,0.76662,0.8015,0.86534,1.039742578125,0.8183396484375,0.6101176025390626,0.4012641442871094
26,CIFAR10,feddyn,0,0,100,0.01,2,269,0.7555,0.81134,0.8021,0.86812,0.8542217529296875,0.6228976025390625,0.6020317626953124,0.3936493212890625
27,CIFAR10,feddyn,0,0,100,0.01,2,279,0.759,0.81664,0.8049,0.86858,0.8497465087890625,0.6062574536132812,0.603183935546875,0.3905894714355469
28,CIFAR10,feddyn,0,0,100,0.01,2,289,0.7377,0.78962,0.8064,0.87162,1.0141191162109375,0.7485887939453125,0.5978006591796875,0.3845013525390625
29,CIFAR10,feddyn,0,0,100,0.01,2,299,0.7303,0.77082,0.8067,0.8732,1.059814404296875,0.8264061499023437,0.5942582763671875,0.3802606213378906
30,CIFAR10,feddyn,0,0,100,0.01,2,309,0.721,0.77476,0.8052,0.87356,0.990975634765625,0.7572977514648438,0.590962548828125,0.3795071765136719
31,CIFAR10,feddyn,0,0,100,0.01,2,319,0.7677,0.82724,0.8072,0.87454,0.7767859375,0.544798515625,0.587992041015625,0.37761323364257815
32,CIFAR10,feddyn,0,0,100,0.01,2,329,0.7265,0.77882,0.8067,0.87458,0.9811782958984375,0.746588251953125,0.5875983642578125,0.37739432861328126
