,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0,100,0.01,3,9,0.5282,0.53528,0.2295,0.2314,1.3696388671875,1.356300654296875,2.272503515625,2.272723935546875
1,CIFAR10,feddyn,0,0,100,0.01,3,19,0.5949,0.62296,0.2834,0.28604,1.266620947265625,1.176087294921875,2.2114107421875,2.210946435546875
2,CIFAR10,feddyn,0,0,100,0.01,3,29,0.5813,0.58782,0.358,0.3636,1.610077099609375,1.5223505908203125,2.0637017578125,2.06033630859375
3,CIFAR10,feddyn,0,0,100,0.01,3,39,0.6118,0.6362,0.4104,0.41994,1.47801328125,1.3425305322265626,1.955511376953125,1.9482127001953125
4,CIFAR10,feddyn,0,0,100,0.01,3,49,0.6741,0.7116,0.4841,0.49744,1.16268515625,0.990046376953125,1.79126982421875,1.7773890771484375
5,CIFAR10,feddyn,0,0,100,0.01,3,59,0.6637,0.6934,0.5646,0.58672,1.2482990234375,1.0937681982421874,1.563925146484375,1.53739599609375
6,CIFAR10,feddyn,0,0,100,0.01,3,69,0.6653,0.70202,0.6177,0.6465,1.251852978515625,1.0653489501953124,1.369348828125,1.328105625
7,CIFAR10,feddyn,0,0,100,0.01,3,79,0.6518,0.69772,0.6583,0.69162,1.2708484375,1.0486326635742187,1.20747216796875,1.1508433935546876
8,CIFAR10,feddyn,0,0,100,0.01,3,89,0.6794,0.73378,0.6911,0.73266,1.245532080078125,0.977733125,1.0321306640625,0.9542392504882813
9,CIFAR10,feddyn,0,0,100,0.01,3,99,0.7146,0.75936,0.7145,0.76196,1.05071015625,0.8209537158203125,0.902559228515625,0.8010568334960938
10,CIFAR10,feddyn,0,0,100,0.01,3,109,0.704,0.7567,0.7311,0.78212,1.04520341796875,0.8139959790039063,0.8211767822265625,0.6957309912109375
11,CIFAR10,feddyn,0,0,100,0.01,3,119,0.6932,0.74938,0.7454,0.7987,1.136873291015625,0.879309814453125,0.7642934326171875,0.6149722900390625
12,CIFAR10,feddyn,0,0,100,0.01,3,129,0.7017,0.75098,0.7528,0.81108,1.13697666015625,0.8874475952148437,0.7378599609375,0.5745379150390625
13,CIFAR10,feddyn,0,0,100,0.01,3,139,0.7044,0.75486,0.7568,0.81774,1.16259912109375,0.9083313671875,0.7257370849609375,0.5559160791015625
14,CIFAR10,feddyn,0,0,100,0.01,3,149,0.7005,0.75394,0.764,0.8263,1.14037919921875,0.8929547290039063,0.70627578125,0.5242784753417968
15,CIFAR10,feddyn,0,0,100,0.01,3,159,0.7437,0.79984,0.7686,0.83154,0.8982238525390625,0.6516428173828125,0.6975252197265625,0.5043709997558594
16,CIFAR10,feddyn,0,0,100,0.01,3,169,0.7084,0.7528,0.7746,0.83616,1.1675810546875,0.9213532861328125,0.68868564453125,0.4885155334472656
